game,2011,8,20111030,201110300buf,was,"Washington Redskins",0,buf,"Buffalo Bills",23
team,201110300buf,was,First Downs,10,,,,,,
team,201110300buf,buf,First Downs,17,,,,,,
team,201110300buf,was,Rush-Yds-TDs,11-26-0,,,,,,
team,201110300buf,buf,Rush-Yds-TDs,33-138-0,,,,,,
team,201110300buf,was,Cmp-Att-Yd-TD-INT,20-33-208-0-2,,,,,,
team,201110300buf,buf,Cmp-Att-Yd-TD-INT,21-27-262-2-1,,,,,,
team,201110300buf,was,Sacked-Yards,10-56,,,,,,
team,201110300buf,buf,Sacked-Yards,2-10,,,,,,
team,201110300buf,was,Net Pass Yards,152,,,,,,
team,201110300buf,buf,Net Pass Yards,252,,,,,,
team,201110300buf,was,Total Yards,178,,,,,,
team,201110300buf,buf,Total Yards,390,,,,,,
team,201110300buf,was,Fumbles-Lost,1-0,,,,,,
team,201110300buf,buf,Fumbles-Lost,1-1,,,,,,
team,201110300buf,was,Turnovers,2,,,,,,
team,201110300buf,buf,Turnovers,2,,,,,,
team,201110300buf,was,Penalties-Yards,4-59,,,,,,
team,201110300buf,buf,Penalties-Yards,6-35,,,,,,
team,201110300buf,was,Third Down Conv.,4-14,,,,,,
team,201110300buf,buf,Third Down Conv.,7-14,,,,,,
team,201110300buf,was,Fourth Down Conv.,0-2,,,,,,
team,201110300buf,buf,Fourth Down Conv.,0-0,,,,,,
team,201110300buf,was,Time of Possession,25:09,,,,,,
team,201110300buf,buf,Time of Possession,34:51,,,,,,
player,201110300buf,was,BeckJo00,pass_cmp,20,,,,,
player,201110300buf,was,BeckJo00,pass_att,33,,,,,
player,201110300buf,was,BeckJo00,pass_yds,208,,,,,
player,201110300buf,was,BeckJo00,pass_td,0,,,,,
player,201110300buf,was,BeckJo00,pass_int,2,,,,,
player,201110300buf,was,BeckJo00,pass_sacked,10,,,,,
player,201110300buf,was,BeckJo00,pass_sacked_yds,56,,,,,
player,201110300buf,was,BeckJo00,pass_long,24,,,,,
player,201110300buf,was,BeckJo00,pass_rating,53.6,,,,,
player,201110300buf,was,BeckJo00,rush_att,2,,,,,
player,201110300buf,was,BeckJo00,rush_yds,10,,,,,
player,201110300buf,was,BeckJo00,rush_td,0,,,,,
player,201110300buf,was,BeckJo00,rush_long,7,,,,,
player,201110300buf,was,BeckJo00,targets,0,,,,,
player,201110300buf,was,BeckJo00,rec,0,,,,,
player,201110300buf,was,BeckJo00,rec_yds,0,,,,,
player,201110300buf,was,BeckJo00,rec_td,0,,,,,
player,201110300buf,was,BeckJo00,rec_long,0,,,,,
player,201110300buf,was,BeckJo00,fumbles,1,,,,,
player,201110300buf,was,BeckJo00,fumbles_lost,0,,,,,
player,201110300buf,was,ToraRy00,pass_cmp,0,,,,,
player,201110300buf,was,ToraRy00,pass_att,0,,,,,
player,201110300buf,was,ToraRy00,pass_yds,0,,,,,
player,201110300buf,was,ToraRy00,pass_td,0,,,,,
player,201110300buf,was,ToraRy00,pass_int,0,,,,,
player,201110300buf,was,ToraRy00,pass_sacked,0,,,,,
player,201110300buf,was,ToraRy00,pass_sacked_yds,0,,,,,
player,201110300buf,was,ToraRy00,pass_long,0,,,,,
player,201110300buf,was,ToraRy00,pass_rating,,,,,,
player,201110300buf,was,ToraRy00,rush_att,8,,,,,
player,201110300buf,was,ToraRy00,rush_yds,14,,,,,
player,201110300buf,was,ToraRy00,rush_td,0,,,,,
player,201110300buf,was,ToraRy00,rush_long,6,,,,,
player,201110300buf,was,ToraRy00,targets,1,,,,,
player,201110300buf,was,ToraRy00,rec,1,,,,,
player,201110300buf,was,ToraRy00,rec_yds,6,,,,,
player,201110300buf,was,ToraRy00,rec_td,0,,,,,
player,201110300buf,was,ToraRy00,rec_long,6,,,,,
player,201110300buf,was,ToraRy00,fumbles,0,,,,,
player,201110300buf,was,ToraRy00,fumbles_lost,,,,,,
player,201110300buf,was,StalDo00,pass_cmp,0,,,,,
player,201110300buf,was,StalDo00,pass_att,0,,,,,
player,201110300buf,was,StalDo00,pass_yds,0,,,,,
player,201110300buf,was,StalDo00,pass_td,0,,,,,
player,201110300buf,was,StalDo00,pass_int,0,,,,,
player,201110300buf,was,StalDo00,pass_sacked,0,,,,,
player,201110300buf,was,StalDo00,pass_sacked_yds,0,,,,,
player,201110300buf,was,StalDo00,pass_long,0,,,,,
player,201110300buf,was,StalDo00,pass_rating,,,,,,
player,201110300buf,was,StalDo00,rush_att,1,,,,,
player,201110300buf,was,StalDo00,rush_yds,2,,,,,
player,201110300buf,was,StalDo00,rush_td,0,,,,,
player,201110300buf,was,StalDo00,rush_long,2,,,,,
