game,2011,2,20110918,201109180was,crd,"Arizona Cardinals",21,was,"Washington Redskins",22
team,201109180was,crd,First Downs,16,,,,,,
team,201109180was,was,First Downs,28,,,,,,
team,201109180was,crd,Rush-Yds-TDs,15-93-1,,,,,,
team,201109180was,was,Rush-Yds-TDs,35-172-0,,,,,,
team,201109180was,crd,Cmp-Att-Yd-TD-INT,17-30-251-2-1,,,,,,
team,201109180was,was,Cmp-Att-Yd-TD-INT,25-43-291-2-2,,,,,,
team,201109180was,crd,Sacked-Yards,3-20,,,,,,
team,201109180was,was,Sacked-Yards,1-8,,,,,,
team,201109180was,crd,Net Pass Yards,231,,,,,,
team,201109180was,was,Net Pass Yards,283,,,,,,
team,201109180was,crd,Total Yards,324,,,,,,
team,201109180was,was,Total Yards,455,,,,,,
team,201109180was,crd,Fumbles-Lost,3-1,,,,,,
team,201109180was,was,Fumbles-Lost,0-0,,,,,,
team,201109180was,crd,Turnovers,2,,,,,,
team,201109180was,was,Turnovers,2,,,,,,
team,201109180was,crd,Penalties-Yards,10-97,,,,,,
team,201109180was,was,Penalties-Yards,3-15,,,,,,
team,201109180was,crd,Third Down Conv.,3-9,,,,,,
team,201109180was,was,Third Down Conv.,6-17,,,,,,
team,201109180was,crd,Fourth Down Conv.,0-0,,,,,,
team,201109180was,was,Fourth Down Conv.,1-1,,,,,,
team,201109180was,crd,Time of Possession,21:30,,,,,,
team,201109180was,was,Time of Possession,38:30,,,,,,
player,201109180was,crd,KolbKe00,pass_cmp,17,,,,,
player,201109180was,crd,KolbKe00,pass_att,30,,,,,
player,201109180was,crd,KolbKe00,pass_yds,251,,,,,
player,201109180was,crd,KolbKe00,pass_td,2,,,,,
player,201109180was,crd,KolbKe00,pass_int,1,,,,,
player,201109180was,crd,KolbKe00,pass_sacked,3,,,,,
player,201109180was,crd,KolbKe00,pass_sacked_yds,20,,,,,
player,201109180was,crd,KolbKe00,pass_long,73,,,,,
player,201109180was,crd,KolbKe00,pass_rating,92.5,,,,,
player,201109180was,crd,KolbKe00,rush_att,0,,,,,
player,201109180was,crd,KolbKe00,rush_yds,0,,,,,
player,201109180was,crd,KolbKe00,rush_td,0,,,,,
player,201109180was,crd,KolbKe00,rush_long,0,,,,,
player,201109180was,crd,KolbKe00,targets,0,,,,,
player,201109180was,crd,KolbKe00,rec,0,,,,,
player,201109180was,crd,KolbKe00,rec_yds,0,,,,,
