game,2011,2,20110918,201109180nor,chi,"Chicago Bears",13,nor,"New Orleans Saints",30
team,201109180nor,chi,First Downs,18,,,,,,
team,201109180nor,nor,First Downs,16,,,,,,
team,201109180nor,chi,Rush-Yds-TDs,12-60-0,,,,,,
team,201109180nor,nor,Rush-Yds-TDs,29-118-0,,,,,,
team,201109180nor,chi,Cmp-Att-Yd-TD-INT,19-45-244-1-0,,,,,,
team,201109180nor,nor,Cmp-Att-Yd-TD-INT,26-37-270-3-0,,,,,,
team,201109180nor,chi,Sacked-Yards,6-58,,,,,,
team,201109180nor,nor,Sacked-Yards,1-6,,,,,,
team,201109180nor,chi,Net Pass Yards,186,,,,,,
team,201109180nor,nor,Net Pass Yards,264,,,,,,
team,201109180nor,chi,Total Yards,246,,,,,,
team,201109180nor,nor,Total Yards,382,,,,,,
team,201109180nor,chi,Fumbles-Lost,3-1,,,,,,
team,201109180nor,nor,Fumbles-Lost,1-1,,,,,,
team,201109180nor,chi,Turnovers,1,,,,,,
team,201109180nor,nor,Turnovers,1,,,,,,
team,201109180nor,chi,Penalties-Yards,6-47,,,,,,
team,201109180nor,nor,Penalties-Yards,7-41,,,,,,
team,201109180nor,chi,Third Down Conv.,2-12,,,,,,
team,201109180nor,nor,Third Down Conv.,8-17,,,,,,
team,201109180nor,chi,Fourth Down Conv.,0-1,,,,,,
team,201109180nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201109180nor,chi,Time of Possession,23:46,,,,,,
team,201109180nor,nor,Time of Possession,36:14,,,,,,
player,201109180nor,chi,CutlJa00,pass_cmp,19,,,,,
player,201109180nor,chi,CutlJa00,pass_att,45,,,,,
player,201109180nor,chi,CutlJa00,pass_yds,244,,,,,
player,201109180nor,chi,CutlJa00,pass_td,1,,,,,
player,201109180nor,chi,CutlJa00,pass_int,0,,,,,
player,201109180nor,chi,CutlJa00,pass_sacked,6,,,,,
player,201109180nor,chi,CutlJa00,pass_sacked_yds,58,,,,,
player,201109180nor,chi,CutlJa00,pass_long,30,,,,,
player,201109180nor,chi,CutlJa00,pass_rating,67.3,,,,,
player,201109180nor,chi,CutlJa00,rush_att,1,,,,,
player,201109180nor,chi,CutlJa00,rush_yds,12,,,,,
player,201109180nor,chi,CutlJa00,rush_td,0,,,,,
player,201109180nor,chi,CutlJa00,rush_long,12,,,,,
player,201109180nor,chi,CutlJa00,targets,0,,,,,
player,201109180nor,chi,CutlJa00,rec,0,,,,,
player,201109180nor,chi,CutlJa00,rec_yds,0,,,,,
player,201109180nor,chi,CutlJa00,rec_td,0,,,,,
player,201109180nor,chi,CutlJa00,rec_long,0,,,,,
player,201109180nor,chi,CutlJa00,fumbles,1,,,,,
player,201109180nor,chi,CutlJa00,fumbles_lost,1,,,,,
player,201109180nor,chi,FortMa00,pass_cmp,0,,,,,
player,201109180nor,chi,FortMa00,pass_att,0,,,,,
player,201109180nor,chi,FortMa00,pass_yds,0,,,,,
player,201109180nor,chi,FortMa00,pass_td,0,,,,,
player,201109180nor,chi,FortMa00,pass_int,0,,,,,
player,201109180nor,chi,FortMa00,pass_sacked,0,,,,,
player,201109180nor,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201109180nor,chi,FortMa00,pass_long,0,,,,,
player,201109180nor,chi,FortMa00,pass_rating,,,,,,
player,201109180nor,chi,FortMa00,rush_att,10,,,,,
player,201109180nor,chi,FortMa00,rush_yds,49,,,,,
