game,2011,2,20110918,201109180sfo,dal,"Dallas Cowboys",27,sfo,"San Francisco 49ers",24
team,201109180sfo,dal,First Downs,20,,,,,,
team,201109180sfo,sfo,First Downs,14,,,,,,
team,201109180sfo,dal,Rush-Yds-TDs,22-45-0,,,,,,
team,201109180sfo,sfo,Rush-Yds-TDs,24-74-1,,,,,,
team,201109180sfo,dal,Cmp-Att-Yd-TD-INT,26-43-432-3-2,,,,,,
team,201109180sfo,sfo,Cmp-Att-Yd-TD-INT,16-24-179-2-1,,,,,,
team,201109180sfo,dal,Sacked-Yards,1-5,,,,,,
team,201109180sfo,sfo,Sacked-Yards,6-47,,,,,,
team,201109180sfo,dal,Net Pass Yards,427,,,,,,
team,201109180sfo,sfo,Net Pass Yards,132,,,,,,
team,201109180sfo,dal,Total Yards,472,,,,,,
team,201109180sfo,sfo,Total Yards,206,,,,,,
team,201109180sfo,dal,Fumbles-Lost,3-0,,,,,,
team,201109180sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201109180sfo,dal,Turnovers,2,,,,,,
team,201109180sfo,sfo,Turnovers,1,,,,,,
team,201109180sfo,dal,Penalties-Yards,8-83,,,,,,
team,201109180sfo,sfo,Penalties-Yards,5-25,,,,,,
team,201109180sfo,dal,Third Down Conv.,6-14,,,,,,
team,201109180sfo,sfo,Third Down Conv.,8-16,,,,,,
team,201109180sfo,dal,Fourth Down Conv.,1-1,,,,,,
team,201109180sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201109180sfo,dal,Time of Possession,32:10,,,,,,
team,201109180sfo,sfo,Time of Possession,30:43,,,,,,
player,201109180sfo,dal,RomoTo00,pass_cmp,20,,,,,
player,201109180sfo,dal,RomoTo00,pass_att,33,,,,,
player,201109180sfo,dal,RomoTo00,pass_yds,345,,,,,
player,201109180sfo,dal,RomoTo00,pass_td,2,,,,,
player,201109180sfo,dal,RomoTo00,pass_int,0,,,,,
player,201109180sfo,dal,RomoTo00,pass_sacked,1,,,,,
player,201109180sfo,dal,RomoTo00,pass_sacked_yds,5,,,,,
player,201109180sfo,dal,RomoTo00,pass_long,77,,,,,
player,201109180sfo,dal,RomoTo00,pass_rating,116.4,,,,,
player,201109180sfo,dal,RomoTo00,rush_att,0,,,,,
player,201109180sfo,dal,RomoTo00,rush_yds,0,,,,,
player,201109180sfo,dal,RomoTo00,rush_td,0,,,,,
player,201109180sfo,dal,RomoTo00,rush_long,0,,,,,
player,201109180sfo,dal,RomoTo00,targets,0,,,,,
player,201109180sfo,dal,RomoTo00,rec,0,,,,,
player,201109180sfo,dal,RomoTo00,rec_yds,0,,,,,
player,201109180sfo,dal,RomoTo00,rec_td,0,,,,,
player,201109180sfo,dal,RomoTo00,rec_long,0,,,,,
player,201109180sfo,dal,RomoTo00,fumbles,1,,,,,
player,201109180sfo,dal,RomoTo00,fumbles_lost,0,,,,,
player,201109180sfo,dal,KitnJo00,pass_cmp,6,,,,,
player,201109180sfo,dal,KitnJo00,pass_att,10,,,,,
player,201109180sfo,dal,KitnJo00,pass_yds,87,,,,,
player,201109180sfo,dal,KitnJo00,pass_td,1,,,,,
player,201109180sfo,dal,KitnJo00,pass_int,2,,,,,
player,201109180sfo,dal,KitnJo00,pass_sacked,0,,,,,
player,201109180sfo,dal,KitnJo00,pass_sacked_yds,0,,,,,
player,201109180sfo,dal,KitnJo00,pass_long,33,,,,,
player,201109180sfo,dal,KitnJo00,pass_rating,82.1,,,,,
player,201109180sfo,dal,KitnJo00,rush_att,0,,,,,
player,201109180sfo,dal,KitnJo00,rush_yds,0,,,,,
player,201109180sfo,dal,KitnJo00,rush_td,0,,,,,
player,201109180sfo,dal,KitnJo00,rush_long,0,,,,,
player,201109180sfo,dal,KitnJo00,targets,0,,,,,
player,201109180sfo,dal,KitnJo00,rec,0,,,,,
player,201109180sfo,dal,KitnJo00,rec_yds,0,,,,,
player,201109180sfo,dal,KitnJo00,rec_td,0,,,,,
player,201109180sfo,dal,KitnJo00,rec_long,0,,,,,
player,201109180sfo,dal,KitnJo00,fumbles,0,,,,,
player,201109180sfo,dal,KitnJo00,fumbles_lost,,,,,,
player,201109180sfo,dal,JoneFe00,pass_cmp,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_att,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_yds,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_td,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_int,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_sacked,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_long,0,,,,,
player,201109180sfo,dal,JoneFe00,pass_rating,,,,,,
player,201109180sfo,dal,JoneFe00,rush_att,9,,,,,
player,201109180sfo,dal,JoneFe00,rush_yds,25,,,,,
player,201109180sfo,dal,JoneFe00,rush_td,0,,,,,
player,201109180sfo,dal,JoneFe00,rush_long,5,,,,,
player,201109180sfo,dal,JoneFe00,targets,2,,,,,
player,201109180sfo,dal,JoneFe00,rec,1,,,,,
player,201109180sfo,dal,JoneFe00,rec_yds,5,,,,,
player,201109180sfo,dal,JoneFe00,rec_td,0,,,,,
player,201109180sfo,dal,JoneFe00,rec_long,5,,,,,
player,201109180sfo,dal,JoneFe00,fumbles,1,,,,,
player,201109180sfo,dal,JoneFe00,fumbles_lost,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_cmp,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_att,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_yds,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_td,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_int,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_sacked,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_long,0,,,,,
player,201109180sfo,dal,MurrDe00,pass_rating,,,,,,
player,201109180sfo,dal,MurrDe00,rush_att,6,,,,,
player,201109180sfo,dal,MurrDe00,rush_yds,21,,,,,
player,201109180sfo,dal,MurrDe00,rush_td,0,,,,,
player,201109180sfo,dal,MurrDe00,rush_long,8,,,,,
player,201109180sfo,dal,MurrDe00,targets,1,,,,,
player,201109180sfo,dal,MurrDe00,rec,1,,,,,
player,201109180sfo,dal,MurrDe00,rec_yds,4,,,,,
player,201109180sfo,dal,MurrDe00,rec_td,0,,,,,
player,201109180sfo,dal,MurrDe00,rec_long,4,,,,,
player,201109180sfo,dal,MurrDe00,fumbles,0,,,,,
player,201109180sfo,dal,MurrDe00,fumbles_lost,,,,,,
player,201109180sfo,dal,ChoiTa00,pass_cmp,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_att,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_yds,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_td,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_int,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_sacked,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_sacked_yds,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_long,0,,,,,
player,201109180sfo,dal,ChoiTa00,pass_rating,,,,,,
player,201109180sfo,dal,ChoiTa00,rush_att,5,,,,,
player,201109180sfo,dal,ChoiTa00,rush_yds,5,,,,,
player,201109180sfo,dal,ChoiTa00,rush_td,0,,,,,
player,201109180sfo,dal,ChoiTa00,rush_long,5,,,,,
player,201109180sfo,dal,ChoiTa00,targets,2,,,,,
player,201109180sfo,dal,ChoiTa00,rec,2,,,,,
player,201109180sfo,dal,ChoiTa00,rec_yds,24,,,,,
player,201109180sfo,dal,ChoiTa00,rec_td,0,,,,,
player,201109180sfo,dal,ChoiTa00,rec_long,18,,,,,
player,201109180sfo,dal,ChoiTa00,fumbles,0,,,,,
player,201109180sfo,dal,ChoiTa00,fumbles_lost,,,,,,
player,201109180sfo,dal,WittJa00,pass_cmp,0,,,,,
player,201109180sfo,dal,WittJa00,pass_att,0,,,,,
player,201109180sfo,dal,WittJa00,pass_yds,0,,,,,
player,201109180sfo,dal,WittJa00,pass_td,0,,,,,
player,201109180sfo,dal,WittJa00,pass_int,0,,,,,
player,201109180sfo,dal,WittJa00,pass_sacked,0,,,,,
player,201109180sfo,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201109180sfo,dal,WittJa00,pass_long,0,,,,,
player,201109180sfo,dal,WittJa00,pass_rating,,,,,,
player,201109180sfo,dal,WittJa00,rush_att,0,,,,,
player,201109180sfo,dal,WittJa00,rush_yds,0,,,,,
player,201109180sfo,dal,WittJa00,rush_td,0,,,,,
player,201109180sfo,dal,WittJa00,rush_long,0,,,,,
player,201109180sfo,dal,WittJa00,targets,14,,,,,
player,201109180sfo,dal,WittJa00,rec,7,,,,,
player,201109180sfo,dal,WittJa00,rec_yds,102,,,,,
player,201109180sfo,dal,WittJa00,rec_td,0,,,,,
player,201109180sfo,dal,WittJa00,rec_long,25,,,,,
player,201109180sfo,dal,WittJa00,fumbles,0,,,,,
player,201109180sfo,dal,WittJa00,fumbles_lost,,,,,,
player,201109180sfo,dal,HollJe00,pass_cmp,0,,,,,
player,201109180sfo,dal,HollJe00,pass_att,0,,,,,
player,201109180sfo,dal,HollJe00,pass_yds,0,,,,,
player,201109180sfo,dal,HollJe00,pass_td,0,,,,,
player,201109180sfo,dal,HollJe00,pass_int,0,,,,,
player,201109180sfo,dal,HollJe00,pass_sacked,0,,,,,
player,201109180sfo,dal,HollJe00,pass_sacked_yds,0,,,,,
player,201109180sfo,dal,HollJe00,pass_long,0,,,,,
player,201109180sfo,dal,HollJe00,pass_rating,,,,,,
player,201109180sfo,dal,HollJe00,rush_att,0,,,,,
player,201109180sfo,dal,HollJe00,rush_yds,0,,,,,
player,201109180sfo,dal,HollJe00,rush_td,0,,,,,
player,201109180sfo,dal,HollJe00,rush_long,0,,,,,
player,201109180sfo,dal,HollJe00,targets,3,,,,,
player,201109180sfo,dal,HollJe00,rec,3,,,,,
