game,2011,4,20111002,201110020jax,nor,"New Orleans Saints",23,jax,"Jacksonville Jaguars",10
team,201110020jax,nor,First Downs,30,,,,,,
team,201110020jax,jax,First Downs,15,,,,,,
team,201110020jax,nor,Rush-Yds-TDs,34-177-1,,,,,,
team,201110020jax,jax,Rush-Yds-TDs,17-104-0,,,,,,
team,201110020jax,nor,Cmp-Att-Yd-TD-INT,31-44-351-1-2,,,,,,
team,201110020jax,jax,Cmp-Att-Yd-TD-INT,16-42-196-1-1,,,,,,
team,201110020jax,nor,Sacked-Yards,3-25,,,,,,
team,201110020jax,jax,Sacked-Yards,3-26,,,,,,
team,201110020jax,nor,Net Pass Yards,326,,,,,,
team,201110020jax,jax,Net Pass Yards,170,,,,,,
team,201110020jax,nor,Total Yards,503,,,,,,
team,201110020jax,jax,Total Yards,274,,,,,,
team,201110020jax,nor,Fumbles-Lost,0-0,,,,,,
team,201110020jax,jax,Fumbles-Lost,1-0,,,,,,
team,201110020jax,nor,Turnovers,2,,,,,,
team,201110020jax,jax,Turnovers,1,,,,,,
team,201110020jax,nor,Penalties-Yards,6-50,,,,,,
team,201110020jax,jax,Penalties-Yards,2-15,,,,,,
team,201110020jax,nor,Third Down Conv.,7-14,,,,,,
team,201110020jax,jax,Third Down Conv.,4-15,,,,,,
team,201110020jax,nor,Fourth Down Conv.,1-1,,,,,,
team,201110020jax,jax,Fourth Down Conv.,0-4,,,,,,
team,201110020jax,nor,Time of Possession,37:05,,,,,,
team,201110020jax,jax,Time of Possession,22:55,,,,,,
player,201110020jax,nor,BreeDr00,pass_cmp,31,,,,,
player,201110020jax,nor,BreeDr00,pass_att,44,,,,,
player,201110020jax,nor,BreeDr00,pass_yds,351,,,,,
player,201110020jax,nor,BreeDr00,pass_td,1,,,,,
player,201110020jax,nor,BreeDr00,pass_int,2,,,,,
player,201110020jax,nor,BreeDr00,pass_sacked,3,,,,,
player,201110020jax,nor,BreeDr00,pass_sacked_yds,25,,,,,
player,201110020jax,nor,BreeDr00,pass_long,59,,,,,
player,201110020jax,nor,BreeDr00,pass_rating,82.7,,,,,
player,201110020jax,nor,BreeDr00,rush_att,3,,,,,
player,201110020jax,nor,BreeDr00,rush_yds,10,,,,,
player,201110020jax,nor,BreeDr00,rush_td,0,,,,,
player,201110020jax,nor,BreeDr00,rush_long,6,,,,,
player,201110020jax,nor,BreeDr00,targets,0,,,,,
player,201110020jax,nor,BreeDr00,rec,0,,,,,
player,201110020jax,nor,BreeDr00,rec_yds,0,,,,,
player,201110020jax,nor,BreeDr00,rec_td,0,,,,,
player,201110020jax,nor,BreeDr00,rec_long,0,,,,,
player,201110020jax,nor,BreeDr00,fumbles,0,,,,,
player,201110020jax,nor,BreeDr00,fumbles_lost,,,,,,
player,201110020jax,nor,SproDa00,pass_cmp,0,,,,,
player,201110020jax,nor,SproDa00,pass_att,0,,,,,
player,201110020jax,nor,SproDa00,pass_yds,0,,,,,
player,201110020jax,nor,SproDa00,pass_td,0,,,,,
player,201110020jax,nor,SproDa00,pass_int,0,,,,,
player,201110020jax,nor,SproDa00,pass_sacked,0,,,,,
player,201110020jax,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201110020jax,nor,SproDa00,pass_long,0,,,,,
player,201110020jax,nor,SproDa00,pass_rating,,,,,,
player,201110020jax,nor,SproDa00,rush_att,7,,,,,
player,201110020jax,nor,SproDa00,rush_yds,75,,,,,
player,201110020jax,nor,SproDa00,rush_td,0,,,,,
player,201110020jax,nor,SproDa00,rush_long,34,,,,,
player,201110020jax,nor,SproDa00,targets,7,,,,,
player,201110020jax,nor,SproDa00,rec,5,,,,,
player,201110020jax,nor,SproDa00,rec_yds,56,,,,,
player,201110020jax,nor,SproDa00,rec_td,0,,,,,
player,201110020jax,nor,SproDa00,rec_long,14,,,,,
player,201110020jax,nor,SproDa00,fumbles,0,,,,,
player,201110020jax,nor,SproDa00,fumbles_lost,,,,,,
player,201110020jax,nor,IngrMa01,pass_cmp,0,,,,,
player,201110020jax,nor,IngrMa01,pass_att,0,,,,,
