game,2011,3,20110925,201109250min,det,"Detroit Lions",26,min,"Minnesota Vikings",23
team,201109250min,det,First Downs,19,,,,,,
team,201109250min,min,First Downs,16,,,,,,
team,201109250min,det,Rush-Yds-TDs,19-20-0,,,,,,
team,201109250min,min,Rush-Yds-TDs,23-132-1,,,,,,
team,201109250min,det,Cmp-Att-Yd-TD-INT,32-46-378-2-0,,,,,,
team,201109250min,min,Cmp-Att-Yd-TD-INT,22-36-211-1-0,,,,,,
team,201109250min,det,Sacked-Yards,5-40,,,,,,
team,201109250min,min,Sacked-Yards,4-22,,,,,,
team,201109250min,det,Net Pass Yards,338,,,,,,
team,201109250min,min,Net Pass Yards,189,,,,,,
team,201109250min,det,Total Yards,358,,,,,,
team,201109250min,min,Total Yards,321,,,,,,
team,201109250min,det,Fumbles-Lost,1-0,,,,,,
team,201109250min,min,Fumbles-Lost,1-0,,,,,,
team,201109250min,det,Turnovers,0,,,,,,
team,201109250min,min,Turnovers,0,,,,,,
team,201109250min,det,Penalties-Yards,7-65,,,,,,
team,201109250min,min,Penalties-Yards,10-79,,,,,,
team,201109250min,det,Third Down Conv.,7-17,,,,,,
team,201109250min,min,Third Down Conv.,4-14,,,,,,
team,201109250min,det,Fourth Down Conv.,0-0,,,,,,
team,201109250min,min,Fourth Down Conv.,0-1,,,,,,
team,201109250min,det,Time of Possession,34:09,,,,,,
team,201109250min,min,Time of Possession,27:50,,,,,,
player,201109250min,det,StafMa00,pass_cmp,32,,,,,
player,201109250min,det,StafMa00,pass_att,46,,,,,
player,201109250min,det,StafMa00,pass_yds,378,,,,,
player,201109250min,det,StafMa00,pass_td,2,,,,,
player,201109250min,det,StafMa00,pass_int,0,,,,,
player,201109250min,det,StafMa00,pass_sacked,5,,,,,
player,201109250min,det,StafMa00,pass_sacked_yds,40,,,,,
player,201109250min,det,StafMa00,pass_long,60,,,,,
player,201109250min,det,StafMa00,pass_rating,108.8,,,,,
player,201109250min,det,StafMa00,rush_att,1,,,,,
player,201109250min,det,StafMa00,rush_yds,-1,,,,,
player,201109250min,det,StafMa00,rush_td,0,,,,,
player,201109250min,det,StafMa00,rush_long,-1,,,,,
player,201109250min,det,StafMa00,targets,0,,,,,
player,201109250min,det,StafMa00,rec,0,,,,,
player,201109250min,det,StafMa00,rec_yds,0,,,,,
player,201109250min,det,StafMa00,rec_td,0,,,,,
player,201109250min,det,StafMa00,rec_long,0,,,,,
player,201109250min,det,StafMa00,fumbles,1,,,,,
player,201109250min,det,StafMa00,fumbles_lost,0,,,,,
player,201109250min,det,BestJa00,pass_cmp,0,,,,,
player,201109250min,det,BestJa00,pass_att,0,,,,,
player,201109250min,det,BestJa00,pass_yds,0,,,,,
player,201109250min,det,BestJa00,pass_td,0,,,,,
player,201109250min,det,BestJa00,pass_int,0,,,,,
player,201109250min,det,BestJa00,pass_sacked,0,,,,,
player,201109250min,det,BestJa00,pass_sacked_yds,0,,,,,
player,201109250min,det,BestJa00,pass_long,0,,,,,
player,201109250min,det,BestJa00,pass_rating,,,,,,
player,201109250min,det,BestJa00,rush_att,12,,,,,
player,201109250min,det,BestJa00,rush_yds,14,,,,,
player,201109250min,det,BestJa00,rush_td,0,,,,,
player,201109250min,det,BestJa00,rush_long,5,,,,,
player,201109250min,det,BestJa00,targets,7,,,,,
player,201109250min,det,BestJa00,rec,5,,,,,
player,201109250min,det,BestJa00,rec_yds,74,,,,,
player,201109250min,det,BestJa00,rec_td,0,,,,,
player,201109250min,det,BestJa00,rec_long,60,,,,,
player,201109250min,det,BestJa00,fumbles,0,,,,,
player,201109250min,det,BestJa00,fumbles_lost,,,,,,
player,201109250min,det,HarrJe00,pass_cmp,0,,,,,
player,201109250min,det,HarrJe00,pass_att,0,,,,,
player,201109250min,det,HarrJe00,pass_yds,0,,,,,
player,201109250min,det,HarrJe00,pass_td,0,,,,,
player,201109250min,det,HarrJe00,pass_int,0,,,,,
player,201109250min,det,HarrJe00,pass_sacked,0,,,,,
player,201109250min,det,HarrJe00,pass_sacked_yds,0,,,,,
player,201109250min,det,HarrJe00,pass_long,0,,,,,
player,201109250min,det,HarrJe00,pass_rating,,,,,,
