game,2011,3,20110925,201109250buf,nwe,"New England Patriots",31,buf,"Buffalo Bills",34
team,201109250buf,nwe,First Downs,30,,,,,,
team,201109250buf,buf,First Downs,24,,,,,,
team,201109250buf,nwe,Rush-Yds-TDs,26-108-0,,,,,,
team,201109250buf,buf,Rush-Yds-TDs,20-79-1,,,,,,
team,201109250buf,nwe,Cmp-Att-Yd-TD-INT,30-45-387-4-4,,,,,,
team,201109250buf,buf,Cmp-Att-Yd-TD-INT,27-40-369-2-2,,,,,,
team,201109250buf,nwe,Sacked-Yards,0-0,,,,,,
team,201109250buf,buf,Sacked-Yards,0-0,,,,,,
team,201109250buf,nwe,Net Pass Yards,387,,,,,,
team,201109250buf,buf,Net Pass Yards,369,,,,,,
team,201109250buf,nwe,Total Yards,495,,,,,,
team,201109250buf,buf,Total Yards,448,,,,,,
team,201109250buf,nwe,Fumbles-Lost,0-0,,,,,,
team,201109250buf,buf,Fumbles-Lost,0-0,,,,,,
team,201109250buf,nwe,Turnovers,4,,,,,,
team,201109250buf,buf,Turnovers,2,,,,,,
team,201109250buf,nwe,Penalties-Yards,8-93,,,,,,
team,201109250buf,buf,Penalties-Yards,9-77,,,,,,
team,201109250buf,nwe,Third Down Conv.,3-9,,,,,,
team,201109250buf,buf,Third Down Conv.,4-11,,,,,,
team,201109250buf,nwe,Fourth Down Conv.,2-2,,,,,,
team,201109250buf,buf,Fourth Down Conv.,0-1,,,,,,
team,201109250buf,nwe,Time of Possession,31:15,,,,,,
team,201109250buf,buf,Time of Possession,28:45,,,,,,
player,201109250buf,nwe,BradTo00,pass_cmp,30,,,,,
player,201109250buf,nwe,BradTo00,pass_att,45,,,,,
player,201109250buf,nwe,BradTo00,pass_yds,387,,,,,
player,201109250buf,nwe,BradTo00,pass_td,4,,,,,
player,201109250buf,nwe,BradTo00,pass_int,4,,,,,
player,201109250buf,nwe,BradTo00,pass_sacked,0,,,,,
player,201109250buf,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201109250buf,nwe,BradTo00,pass_long,33,,,,,
player,201109250buf,nwe,BradTo00,pass_rating,86.1,,,,,
player,201109250buf,nwe,BradTo00,rush_att,1,,,,,
player,201109250buf,nwe,BradTo00,rush_yds,5,,,,,
player,201109250buf,nwe,BradTo00,rush_td,0,,,,,
player,201109250buf,nwe,BradTo00,rush_long,5,,,,,
player,201109250buf,nwe,BradTo00,targets,0,,,,,
player,201109250buf,nwe,BradTo00,rec,0,,,,,
player,201109250buf,nwe,BradTo00,rec_yds,0,,,,,
player,201109250buf,nwe,BradTo00,rec_td,0,,,,,
player,201109250buf,nwe,BradTo00,rec_long,0,,,,,
player,201109250buf,nwe,BradTo00,fumbles,0,,,,,
player,201109250buf,nwe,BradTo00,fumbles_lost,,,,,,
player,201109250buf,nwe,RidlSt00,pass_cmp,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_att,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_yds,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_td,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_int,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_sacked,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_long,0,,,,,
player,201109250buf,nwe,RidlSt00,pass_rating,,,,,,
player,201109250buf,nwe,RidlSt00,rush_att,6,,,,,
player,201109250buf,nwe,RidlSt00,rush_yds,42,,,,,
player,201109250buf,nwe,RidlSt00,rush_td,0,,,,,
player,201109250buf,nwe,RidlSt00,rush_long,16,,,,,
player,201109250buf,nwe,RidlSt00,targets,1,,,,,
player,201109250buf,nwe,RidlSt00,rec,1,,,,,
player,201109250buf,nwe,RidlSt00,rec_yds,8,,,,,
player,201109250buf,nwe,RidlSt00,rec_td,0,,,,,
player,201109250buf,nwe,RidlSt00,rec_long,8,,,,,
