game,2011,7,20111023,201110230nor,clt,"Indianapolis Colts",7,nor,"New Orleans Saints",62
team,201110230nor,clt,First Downs,11,,,,,,
team,201110230nor,nor,First Downs,36,,,,,,
team,201110230nor,clt,Rush-Yds-TDs,23-155-1,,,,,,
team,201110230nor,nor,Rush-Yds-TDs,38-236-2,,,,,,
team,201110230nor,clt,Cmp-Att-Yd-TD-INT,12-22-102-0-1,,,,,,
team,201110230nor,nor,Cmp-Att-Yd-TD-INT,31-35-325-5-0,,,,,,
team,201110230nor,clt,Sacked-Yards,1-5,,,,,,
team,201110230nor,nor,Sacked-Yards,2-4,,,,,,
team,201110230nor,clt,Net Pass Yards,97,,,,,,
team,201110230nor,nor,Net Pass Yards,321,,,,,,
team,201110230nor,clt,Total Yards,252,,,,,,
team,201110230nor,nor,Total Yards,557,,,,,,
team,201110230nor,clt,Fumbles-Lost,2-2,,,,,,
team,201110230nor,nor,Fumbles-Lost,0-0,,,,,,
team,201110230nor,clt,Turnovers,3,,,,,,
team,201110230nor,nor,Turnovers,0,,,,,,
team,201110230nor,clt,Penalties-Yards,7-49,,,,,,
team,201110230nor,nor,Penalties-Yards,1-10,,,,,,
team,201110230nor,clt,Third Down Conv.,4-11,,,,,,
team,201110230nor,nor,Third Down Conv.,6-8,,,,,,
team,201110230nor,clt,Fourth Down Conv.,0-0,,,,,,
team,201110230nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201110230nor,clt,Time of Possession,21:41,,,,,,
team,201110230nor,nor,Time of Possession,38:19,,,,,,
player,201110230nor,clt,PainCu00,pass_cmp,9,,,,,
player,201110230nor,clt,PainCu00,pass_att,17,,,,,
player,201110230nor,clt,PainCu00,pass_yds,67,,,,,
player,201110230nor,clt,PainCu00,pass_td,0,,,,,
player,201110230nor,clt,PainCu00,pass_int,1,,,,,
player,201110230nor,clt,PainCu00,pass_sacked,1,,,,,
player,201110230nor,clt,PainCu00,pass_sacked_yds,5,,,,,
player,201110230nor,clt,PainCu00,pass_long,15,,,,,
player,201110230nor,clt,PainCu00,pass_rating,38.1,,,,,
player,201110230nor,clt,PainCu00,rush_att,2,,,,,
player,201110230nor,clt,PainCu00,rush_yds,11,,,,,
player,201110230nor,clt,PainCu00,rush_td,0,,,,,
player,201110230nor,clt,PainCu00,rush_long,11,,,,,
player,201110230nor,clt,PainCu00,targets,0,,,,,
player,201110230nor,clt,PainCu00,rec,0,,,,,
player,201110230nor,clt,PainCu00,rec_yds,0,,,,,
player,201110230nor,clt,PainCu00,rec_td,0,,,,,
player,201110230nor,clt,PainCu00,rec_long,0,,,,,
player,201110230nor,clt,PainCu00,fumbles,1,,,,,
player,201110230nor,clt,PainCu00,fumbles_lost,1,,,,,
player,201110230nor,clt,OrloDa00,pass_cmp,3,,,,,
player,201110230nor,clt,OrloDa00,pass_att,5,,,,,
player,201110230nor,clt,OrloDa00,pass_yds,35,,,,,
player,201110230nor,clt,OrloDa00,pass_td,0,,,,,
player,201110230nor,clt,OrloDa00,pass_int,0,,,,,
player,201110230nor,clt,OrloDa00,pass_sacked,0,,,,,
player,201110230nor,clt,OrloDa00,pass_sacked_yds,0,,,,,
player,201110230nor,clt,OrloDa00,pass_long,19,,,,,
