game,2011,15,20111218,201112180ram,cin,"Cincinnati Bengals",20,ram,"St. Louis Rams",13
team,201112180ram,cin,First Downs,19,,,,,,
team,201112180ram,ram,First Downs,18,,,,,,
team,201112180ram,cin,Rush-Yds-TDs,34-110-2,,,,,,
team,201112180ram,ram,Rush-Yds-TDs,24-95-0,,,,,,
team,201112180ram,cin,Cmp-Att-Yd-TD-INT,15-26-179-0-1,,,,,,
team,201112180ram,ram,Cmp-Att-Yd-TD-INT,25-36-229-1-0,,,,,,
team,201112180ram,cin,Sacked-Yards,1-6,,,,,,
team,201112180ram,ram,Sacked-Yards,3-19,,,,,,
team,201112180ram,cin,Net Pass Yards,173,,,,,,
team,201112180ram,ram,Net Pass Yards,210,,,,,,
team,201112180ram,cin,Total Yards,283,,,,,,
team,201112180ram,ram,Total Yards,305,,,,,,
team,201112180ram,cin,Fumbles-Lost,3-0,,,,,,
team,201112180ram,ram,Fumbles-Lost,1-0,,,,,,
team,201112180ram,cin,Turnovers,1,,,,,,
team,201112180ram,ram,Turnovers,0,,,,,,
team,201112180ram,cin,Penalties-Yards,11-101,,,,,,
team,201112180ram,ram,Penalties-Yards,10-109,,,,,,
team,201112180ram,cin,Third Down Conv.,3-11,,,,,,
team,201112180ram,ram,Third Down Conv.,2-13,,,,,,
team,201112180ram,cin,Fourth Down Conv.,0-1,,,,,,
team,201112180ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201112180ram,cin,Time of Possession,30:03,,,,,,
team,201112180ram,ram,Time of Possession,29:57,,,,,,
player,201112180ram,cin,DaltAn00,pass_cmp,15,,,,,
player,201112180ram,cin,DaltAn00,pass_att,26,,,,,
player,201112180ram,cin,DaltAn00,pass_yds,179,,,,,
player,201112180ram,cin,DaltAn00,pass_td,0,,,,,
player,201112180ram,cin,DaltAn00,pass_int,1,,,,,
player,201112180ram,cin,DaltAn00,pass_sacked,1,,,,,
player,201112180ram,cin,DaltAn00,pass_sacked_yds,6,,,,,
player,201112180ram,cin,DaltAn00,pass_long,55,,,,,
player,201112180ram,cin,DaltAn00,pass_rating,62.8,,,,,
player,201112180ram,cin,DaltAn00,rush_att,2,,,,,
player,201112180ram,cin,DaltAn00,rush_yds,-2,,,,,
player,201112180ram,cin,DaltAn00,rush_td,0,,,,,
player,201112180ram,cin,DaltAn00,rush_long,-1,,,,,
player,201112180ram,cin,DaltAn00,targets,0,,,,,
player,201112180ram,cin,DaltAn00,rec,0,,,,,
player,201112180ram,cin,DaltAn00,rec_yds,0,,,,,
player,201112180ram,cin,DaltAn00,rec_td,0,,,,,
player,201112180ram,cin,DaltAn00,rec_long,0,,,,,
player,201112180ram,cin,DaltAn00,fumbles,0,,,,,
player,201112180ram,cin,DaltAn00,fumbles_lost,,,,,,
player,201112180ram,cin,BensCe00,pass_cmp,0,,,,,
player,201112180ram,cin,BensCe00,pass_att,0,,,,,
player,201112180ram,cin,BensCe00,pass_yds,0,,,,,
player,201112180ram,cin,BensCe00,pass_td,0,,,,,
player,201112180ram,cin,BensCe00,pass_int,0,,,,,
player,201112180ram,cin,BensCe00,pass_sacked,0,,,,,
player,201112180ram,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201112180ram,cin,BensCe00,pass_long,0,,,,,
player,201112180ram,cin,BensCe00,pass_rating,,,,,,
