game,2011,1,20110911,201109110kan,buf,"Buffalo Bills",41,kan,"Kansas City Chiefs",7
team,201109110kan,buf,First Downs,23,,,,,,
team,201109110kan,kan,First Downs,13,,,,,,
team,201109110kan,buf,Rush-Yds-TDs,39-163-1,,,,,,
team,201109110kan,kan,Rush-Yds-TDs,18-108-0,,,,,,
team,201109110kan,buf,Cmp-Att-Yd-TD-INT,17-26-208-4-1,,,,,,
team,201109110kan,kan,Cmp-Att-Yd-TD-INT,22-36-119-1-1,,,,,,
team,201109110kan,buf,Sacked-Yards,1-7,,,,,,
team,201109110kan,kan,Sacked-Yards,2-14,,,,,,
team,201109110kan,buf,Net Pass Yards,201,,,,,,
team,201109110kan,kan,Net Pass Yards,105,,,,,,
team,201109110kan,buf,Total Yards,364,,,,,,
team,201109110kan,kan,Total Yards,213,,,,,,
team,201109110kan,buf,Fumbles-Lost,1-0,,,,,,
team,201109110kan,kan,Fumbles-Lost,2-2,,,,,,
team,201109110kan,buf,Turnovers,1,,,,,,
team,201109110kan,kan,Turnovers,3,,,,,,
team,201109110kan,buf,Penalties-Yards,5-30,,,,,,
team,201109110kan,kan,Penalties-Yards,1-3,,,,,,
team,201109110kan,buf,Third Down Conv.,7-14,,,,,,
team,201109110kan,kan,Third Down Conv.,3-13,,,,,,
team,201109110kan,buf,Fourth Down Conv.,0-0,,,,,,
team,201109110kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201109110kan,buf,Time of Possession,37:02,,,,,,
team,201109110kan,kan,Time of Possession,22:58,,,,,,
player,201109110kan,buf,FitzRy00,pass_cmp,17,,,,,
player,201109110kan,buf,FitzRy00,pass_att,25,,,,,
player,201109110kan,buf,FitzRy00,pass_yds,208,,,,,
player,201109110kan,buf,FitzRy00,pass_td,4,,,,,
player,201109110kan,buf,FitzRy00,pass_int,0,,,,,
player,201109110kan,buf,FitzRy00,pass_sacked,1,,,,,
player,201109110kan,buf,FitzRy00,pass_sacked_yds,7,,,,,
player,201109110kan,buf,FitzRy00,pass_long,35,,,,,
player,201109110kan,buf,FitzRy00,pass_rating,133.0,,,,,
player,201109110kan,buf,FitzRy00,rush_att,3,,,,,
player,201109110kan,buf,FitzRy00,rush_yds,3,,,,,
player,201109110kan,buf,FitzRy00,rush_td,0,,,,,
player,201109110kan,buf,FitzRy00,rush_long,3,,,,,
