game,2011,5,20111009,201110090buf,phi,"Philadelphia Eagles",24,buf,"Buffalo Bills",31
team,201110090buf,phi,First Downs,24,,,,,,
team,201110090buf,buf,First Downs,21,,,,,,
team,201110090buf,phi,Rush-Yds-TDs,20-174-1,,,,,,
team,201110090buf,buf,Rush-Yds-TDs,35-143-2,,,,,,
team,201110090buf,phi,Cmp-Att-Yd-TD-INT,26-40-315-2-4,,,,,,
team,201110090buf,buf,Cmp-Att-Yd-TD-INT,21-27-193-1-1,,,,,,
team,201110090buf,phi,Sacked-Yards,0-0,,,,,,
team,201110090buf,buf,Sacked-Yards,1-5,,,,,,
team,201110090buf,phi,Net Pass Yards,315,,,,,,
team,201110090buf,buf,Net Pass Yards,188,,,,,,
team,201110090buf,phi,Total Yards,489,,,,,,
team,201110090buf,buf,Total Yards,331,,,,,,
team,201110090buf,phi,Fumbles-Lost,1-1,,,,,,
team,201110090buf,buf,Fumbles-Lost,0-0,,,,,,
team,201110090buf,phi,Turnovers,5,,,,,,
team,201110090buf,buf,Turnovers,1,,,,,,
team,201110090buf,phi,Penalties-Yards,5-46,,,,,,
team,201110090buf,buf,Penalties-Yards,4-40,,,,,,
team,201110090buf,phi,Third Down Conv.,2-9,,,,,,
team,201110090buf,buf,Third Down Conv.,6-14,,,,,,
team,201110090buf,phi,Fourth Down Conv.,1-1,,,,,,
team,201110090buf,buf,Fourth Down Conv.,0-0,,,,,,
team,201110090buf,phi,Time of Possession,26:22,,,,,,
team,201110090buf,buf,Time of Possession,33:38,,,,,,
player,201110090buf,phi,VickMi00,pass_cmp,26,,,,,
player,201110090buf,phi,VickMi00,pass_att,40,,,,,
player,201110090buf,phi,VickMi00,pass_yds,315,,,,,
player,201110090buf,phi,VickMi00,pass_td,2,,,,,
player,201110090buf,phi,VickMi00,pass_int,4,,,,,
player,201110090buf,phi,VickMi00,pass_sacked,0,,,,,
player,201110090buf,phi,VickMi00,pass_sacked_yds,0,,,,,
player,201110090buf,phi,VickMi00,pass_long,35,,,,,
player,201110090buf,phi,VickMi00,pass_rating,66.1,,,,,
player,201110090buf,phi,VickMi00,rush_att,6,,,,,
player,201110090buf,phi,VickMi00,rush_yds,90,,,,,
player,201110090buf,phi,VickMi00,rush_td,0,,,,,
player,201110090buf,phi,VickMi00,rush_long,53,,,,,
player,201110090buf,phi,VickMi00,targets,0,,,,,
player,201110090buf,phi,VickMi00,rec,0,,,,,
player,201110090buf,phi,VickMi00,rec_yds,0,,,,,
player,201110090buf,phi,VickMi00,rec_td,0,,,,,
player,201110090buf,phi,VickMi00,rec_long,0,,,,,
player,201110090buf,phi,VickMi00,fumbles,0,,,,,
player,201110090buf,phi,VickMi00,fumbles_lost,,,,,,
player,201110090buf,phi,McCoLe01,pass_cmp,0,,,,,
player,201110090buf,phi,McCoLe01,pass_att,0,,,,,
player,201110090buf,phi,McCoLe01,pass_yds,0,,,,,
player,201110090buf,phi,McCoLe01,pass_td,0,,,,,
player,201110090buf,phi,McCoLe01,pass_int,0,,,,,
player,201110090buf,phi,McCoLe01,pass_sacked,0,,,,,
player,201110090buf,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201110090buf,phi,McCoLe01,pass_long,0,,,,,
player,201110090buf,phi,McCoLe01,pass_rating,,,,,,
player,201110090buf,phi,McCoLe01,rush_att,11,,,,,
player,201110090buf,phi,McCoLe01,rush_yds,80,,,,,
player,201110090buf,phi,McCoLe01,rush_td,1,,,,,
player,201110090buf,phi,McCoLe01,rush_long,32,,,,,
player,201110090buf,phi,McCoLe01,targets,7,,,,,
player,201110090buf,phi,McCoLe01,rec,4,,,,,
player,201110090buf,phi,McCoLe01,rec_yds,27,,,,,
player,201110090buf,phi,McCoLe01,rec_td,0,,,,,
player,201110090buf,phi,McCoLe01,rec_long,16,,,,,
player,201110090buf,phi,McCoLe01,fumbles,0,,,,,
player,201110090buf,phi,McCoLe01,fumbles_lost,,,,,,
player,201110090buf,phi,LewiDi00,pass_cmp,0,,,,,
player,201110090buf,phi,LewiDi00,pass_att,0,,,,,
player,201110090buf,phi,LewiDi00,pass_yds,0,,,,,
player,201110090buf,phi,LewiDi00,pass_td,0,,,,,
player,201110090buf,phi,LewiDi00,pass_int,0,,,,,
player,201110090buf,phi,LewiDi00,pass_sacked,0,,,,,
player,201110090buf,phi,LewiDi00,pass_sacked_yds,0,,,,,
player,201110090buf,phi,LewiDi00,pass_long,0,,,,,
player,201110090buf,phi,LewiDi00,pass_rating,,,,,,
player,201110090buf,phi,LewiDi00,rush_att,2,,,,,
player,201110090buf,phi,LewiDi00,rush_yds,8,,,,,
player,201110090buf,phi,LewiDi00,rush_td,0,,,,,
player,201110090buf,phi,LewiDi00,rush_long,6,,,,,
player,201110090buf,phi,LewiDi00,targets,0,,,,,
player,201110090buf,phi,LewiDi00,rec,0,,,,,
player,201110090buf,phi,LewiDi00,rec_yds,0,,,,,
player,201110090buf,phi,LewiDi00,rec_td,0,,,,,
player,201110090buf,phi,LewiDi00,rec_long,0,,,,,
player,201110090buf,phi,LewiDi00,fumbles,0,,,,,
player,201110090buf,phi,LewiDi00,fumbles_lost,,,,,,
player,201110090buf,phi,AvanJa00,pass_cmp,0,,,,,
player,201110090buf,phi,AvanJa00,pass_att,0,,,,,
player,201110090buf,phi,AvanJa00,pass_yds,0,,,,,
player,201110090buf,phi,AvanJa00,pass_td,0,,,,,
player,201110090buf,phi,AvanJa00,pass_int,0,,,,,
player,201110090buf,phi,AvanJa00,pass_sacked,0,,,,,
player,201110090buf,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201110090buf,phi,AvanJa00,pass_long,0,,,,,
player,201110090buf,phi,AvanJa00,pass_rating,,,,,,
player,201110090buf,phi,AvanJa00,rush_att,0,,,,,
player,201110090buf,phi,AvanJa00,rush_yds,0,,,,,
player,201110090buf,phi,AvanJa00,rush_td,0,,,,,
player,201110090buf,phi,AvanJa00,rush_long,0,,,,,
player,201110090buf,phi,AvanJa00,targets,10,,,,,
player,201110090buf,phi,AvanJa00,rec,9,,,,,
player,201110090buf,phi,AvanJa00,rec_yds,139,,,,,
player,201110090buf,phi,AvanJa00,rec_td,0,,,,,
player,201110090buf,phi,AvanJa00,rec_long,35,,,,,
player,201110090buf,phi,AvanJa00,fumbles,1,,,,,
player,201110090buf,phi,AvanJa00,fumbles_lost,1,,,,,
player,201110090buf,phi,MaclJe00,pass_cmp,0,,,,,
player,201110090buf,phi,MaclJe00,pass_att,0,,,,,
player,201110090buf,phi,MaclJe00,pass_yds,0,,,,,
player,201110090buf,phi,MaclJe00,pass_td,0,,,,,
player,201110090buf,phi,MaclJe00,pass_int,0,,,,,
player,201110090buf,phi,MaclJe00,pass_sacked,0,,,,,
player,201110090buf,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201110090buf,phi,MaclJe00,pass_long,0,,,,,
player,201110090buf,phi,MaclJe00,pass_rating,,,,,,
player,201110090buf,phi,MaclJe00,rush_att,0,,,,,
player,201110090buf,phi,MaclJe00,rush_yds,0,,,,,
player,201110090buf,phi,MaclJe00,rush_td,0,,,,,
player,201110090buf,phi,MaclJe00,rush_long,0,,,,,
player,201110090buf,phi,MaclJe00,targets,8,,,,,
player,201110090buf,phi,MaclJe00,rec,6,,,,,
player,201110090buf,phi,MaclJe00,rec_yds,54,,,,,
player,201110090buf,phi,MaclJe00,rec_td,1,,,,,
player,201110090buf,phi,MaclJe00,rec_long,19,,,,,
player,201110090buf,phi,MaclJe00,fumbles,0,,,,,
player,201110090buf,phi,MaclJe00,fumbles_lost,,,,,,
player,201110090buf,phi,CeleBr00,pass_cmp,0,,,,,
player,201110090buf,phi,CeleBr00,pass_att,0,,,,,
player,201110090buf,phi,CeleBr00,pass_yds,0,,,,,
player,201110090buf,phi,CeleBr00,pass_td,0,,,,,
player,201110090buf,phi,CeleBr00,pass_int,0,,,,,
player,201110090buf,phi,CeleBr00,pass_sacked,0,,,,,
player,201110090buf,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201110090buf,phi,CeleBr00,pass_long,0,,,,,
player,201110090buf,phi,CeleBr00,pass_rating,,,,,,
player,201110090buf,phi,CeleBr00,rush_att,0,,,,,
player,201110090buf,phi,CeleBr00,rush_yds,0,,,,,
player,201110090buf,phi,CeleBr00,rush_td,0,,,,,
player,201110090buf,phi,CeleBr00,rush_long,0,,,,,
player,201110090buf,phi,CeleBr00,targets,5,,,,,
player,201110090buf,phi,CeleBr00,rec,1,,,,,
player,201110090buf,phi,CeleBr00,rec_yds,6,,,,,
player,201110090buf,phi,CeleBr00,rec_td,0,,,,,
player,201110090buf,phi,CeleBr00,rec_long,6,,,,,
player,201110090buf,phi,CeleBr00,fumbles,0,,,,,
player,201110090buf,phi,CeleBr00,fumbles_lost,,,,,,
player,201110090buf,phi,HarbCl00,pass_cmp,0,,,,,
player,201110090buf,phi,HarbCl00,pass_att,0,,,,,
player,201110090buf,phi,HarbCl00,pass_yds,0,,,,,
player,201110090buf,phi,HarbCl00,pass_td,0,,,,,
player,201110090buf,phi,HarbCl00,pass_int,0,,,,,
player,201110090buf,phi,HarbCl00,pass_sacked,0,,,,,
player,201110090buf,phi,HarbCl00,pass_sacked_yds,0,,,,,
player,201110090buf,phi,HarbCl00,pass_long,0,,,,,
player,201110090buf,phi,HarbCl00,pass_rating,,,,,,
player,201110090buf,phi,HarbCl00,rush_att,0,,,,,
