game,2011,17,20120101,201201010phi,was,"Washington Redskins",10,phi,"Philadelphia Eagles",34
team,201201010phi,was,First Downs,21,,,,,,
team,201201010phi,phi,First Downs,24,,,,,,
team,201201010phi,was,Rush-Yds-TDs,25-130-0,,,,,,
team,201201010phi,phi,Rush-Yds-TDs,19-75-1,,,,,,
team,201201010phi,was,Cmp-Att-Yd-TD-INT,22-45-256-1-1,,,,,,
team,201201010phi,phi,Cmp-Att-Yd-TD-INT,24-39-335-3-1,,,,,,
team,201201010phi,was,Sacked-Yards,1-9,,,,,,
team,201201010phi,phi,Sacked-Yards,2-20,,,,,,
team,201201010phi,was,Net Pass Yards,247,,,,,,
team,201201010phi,phi,Net Pass Yards,315,,,,,,
team,201201010phi,was,Total Yards,377,,,,,,
team,201201010phi,phi,Total Yards,390,,,,,,
team,201201010phi,was,Fumbles-Lost,1-0,,,,,,
team,201201010phi,phi,Fumbles-Lost,1-1,,,,,,
team,201201010phi,was,Turnovers,1,,,,,,
team,201201010phi,phi,Turnovers,2,,,,,,
team,201201010phi,was,Penalties-Yards,6-71,,,,,,
team,201201010phi,phi,Penalties-Yards,8-75,,,,,,
team,201201010phi,was,Third Down Conv.,6-16,,,,,,
team,201201010phi,phi,Third Down Conv.,5-11,,,,,,
team,201201010phi,was,Fourth Down Conv.,0-2,,,,,,
team,201201010phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201201010phi,was,Time of Possession,30:41,,,,,,
team,201201010phi,phi,Time of Possession,29:19,,,,,,
player,201201010phi,was,GrosRe00,pass_cmp,22,,,,,
player,201201010phi,was,GrosRe00,pass_att,45,,,,,
player,201201010phi,was,GrosRe00,pass_yds,256,,,,,
player,201201010phi,was,GrosRe00,pass_td,1,,,,,
player,201201010phi,was,GrosRe00,pass_int,1,,,,,
player,201201010phi,was,GrosRe00,pass_sacked,1,,,,,
player,201201010phi,was,GrosRe00,pass_sacked_yds,9,,,,,
player,201201010phi,was,GrosRe00,pass_long,47,,,,,
player,201201010phi,was,GrosRe00,pass_rating,64.7,,,,,
player,201201010phi,was,GrosRe00,rush_att,0,,,,,
player,201201010phi,was,GrosRe00,rush_yds,0,,,,,
player,201201010phi,was,GrosRe00,rush_td,0,,,,,
player,201201010phi,was,GrosRe00,rush_long,0,,,,,
player,201201010phi,was,GrosRe00,targets,0,,,,,
player,201201010phi,was,GrosRe00,rec,0,,,,,
player,201201010phi,was,GrosRe00,rec_yds,0,,,,,
player,201201010phi,was,GrosRe00,rec_td,0,,,,,
player,201201010phi,was,GrosRe00,rec_long,0,,,,,
player,201201010phi,was,GrosRe00,fumbles,0,,,,,
player,201201010phi,was,GrosRe00,fumbles_lost,,,,,,
player,201201010phi,was,RoysEv00,pass_cmp,0,,,,,
player,201201010phi,was,RoysEv00,pass_att,0,,,,,
player,201201010phi,was,RoysEv00,pass_yds,0,,,,,
player,201201010phi,was,RoysEv00,pass_td,0,,,,,
player,201201010phi,was,RoysEv00,pass_int,0,,,,,
player,201201010phi,was,RoysEv00,pass_sacked,0,,,,,
player,201201010phi,was,RoysEv00,pass_sacked_yds,0,,,,,
player,201201010phi,was,RoysEv00,pass_long,0,,,,,
player,201201010phi,was,RoysEv00,pass_rating,,,,,,
player,201201010phi,was,RoysEv00,rush_att,20,,,,,
player,201201010phi,was,RoysEv00,rush_yds,113,,,,,
player,201201010phi,was,RoysEv00,rush_td,0,,,,,
player,201201010phi,was,RoysEv00,rush_long,28,,,,,
player,201201010phi,was,RoysEv00,targets,7,,,,,
player,201201010phi,was,RoysEv00,rec,4,,,,,
player,201201010phi,was,RoysEv00,rec_yds,44,,,,,
player,201201010phi,was,RoysEv00,rec_td,0,,,,,
player,201201010phi,was,RoysEv00,rec_long,16,,,,,
player,201201010phi,was,RoysEv00,fumbles,0,,,,,
player,201201010phi,was,RoysEv00,fumbles_lost,,,,,,
player,201201010phi,was,YounDa01,pass_cmp,0,,,,,
player,201201010phi,was,YounDa01,pass_att,0,,,,,
player,201201010phi,was,YounDa01,pass_yds,0,,,,,
player,201201010phi,was,YounDa01,pass_td,0,,,,,
player,201201010phi,was,YounDa01,pass_int,0,,,,,
player,201201010phi,was,YounDa01,pass_sacked,0,,,,,
player,201201010phi,was,YounDa01,pass_sacked_yds,0,,,,,
player,201201010phi,was,YounDa01,pass_long,0,,,,,
player,201201010phi,was,YounDa01,pass_rating,,,,,,
player,201201010phi,was,YounDa01,rush_att,1,,,,,
player,201201010phi,was,YounDa01,rush_yds,12,,,,,
player,201201010phi,was,YounDa01,rush_td,0,,,,,
player,201201010phi,was,YounDa01,rush_long,12,,,,,
player,201201010phi,was,YounDa01,targets,4,,,,,
player,201201010phi,was,YounDa01,rec,4,,,,,
player,201201010phi,was,YounDa01,rec_yds,40,,,,,
player,201201010phi,was,YounDa01,rec_td,0,,,,,
player,201201010phi,was,YounDa01,rec_long,20,,,,,
player,201201010phi,was,YounDa01,fumbles,0,,,,,
player,201201010phi,was,YounDa01,fumbles_lost,,,,,,
player,201201010phi,was,HeluRo00,pass_cmp,0,,,,,
player,201201010phi,was,HeluRo00,pass_att,0,,,,,
player,201201010phi,was,HeluRo00,pass_yds,0,,,,,
player,201201010phi,was,HeluRo00,pass_td,0,,,,,
player,201201010phi,was,HeluRo00,pass_int,0,,,,,
player,201201010phi,was,HeluRo00,pass_sacked,0,,,,,
player,201201010phi,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201201010phi,was,HeluRo00,pass_long,0,,,,,
player,201201010phi,was,HeluRo00,pass_rating,,,,,,
player,201201010phi,was,HeluRo00,rush_att,4,,,,,
player,201201010phi,was,HeluRo00,rush_yds,5,,,,,
player,201201010phi,was,HeluRo00,rush_td,0,,,,,
player,201201010phi,was,HeluRo00,rush_long,7,,,,,
player,201201010phi,was,HeluRo00,targets,2,,,,,
player,201201010phi,was,HeluRo00,rec,2,,,,,
player,201201010phi,was,HeluRo00,rec_yds,48,,,,,
player,201201010phi,was,HeluRo00,rec_td,1,,,,,
player,201201010phi,was,HeluRo00,rec_long,47,,,,,
player,201201010phi,was,HeluRo00,fumbles,0,,,,,
player,201201010phi,was,HeluRo00,fumbles_lost,,,,,,
player,201201010phi,was,MossSa00,pass_cmp,0,,,,,
player,201201010phi,was,MossSa00,pass_att,0,,,,,
player,201201010phi,was,MossSa00,pass_yds,0,,,,,
player,201201010phi,was,MossSa00,pass_td,0,,,,,
player,201201010phi,was,MossSa00,pass_int,0,,,,,
player,201201010phi,was,MossSa00,pass_sacked,0,,,,,
player,201201010phi,was,MossSa00,pass_sacked_yds,0,,,,,
player,201201010phi,was,MossSa00,pass_long,0,,,,,
player,201201010phi,was,MossSa00,pass_rating,,,,,,
player,201201010phi,was,MossSa00,rush_att,0,,,,,
player,201201010phi,was,MossSa00,rush_yds,0,,,,,
player,201201010phi,was,MossSa00,rush_td,0,,,,,
player,201201010phi,was,MossSa00,rush_long,0,,,,,
player,201201010phi,was,MossSa00,targets,9,,,,,
player,201201010phi,was,MossSa00,rec,3,,,,,
player,201201010phi,was,MossSa00,rec_yds,45,,,,,
player,201201010phi,was,MossSa00,rec_td,0,,,,,
player,201201010phi,was,MossSa00,rec_long,22,,,,,
player,201201010phi,was,MossSa00,fumbles,0,,,,,
player,201201010phi,was,MossSa00,fumbles_lost,,,,,,
player,201201010phi,was,PaulLo00,pass_cmp,0,,,,,
player,201201010phi,was,PaulLo00,pass_att,0,,,,,
player,201201010phi,was,PaulLo00,pass_yds,0,,,,,
player,201201010phi,was,PaulLo00,pass_td,0,,,,,
player,201201010phi,was,PaulLo00,pass_int,0,,,,,
player,201201010phi,was,PaulLo00,pass_sacked,0,,,,,
player,201201010phi,was,PaulLo00,pass_sacked_yds,0,,,,,
player,201201010phi,was,PaulLo00,pass_long,0,,,,,
player,201201010phi,was,PaulLo00,pass_rating,,,,,,
player,201201010phi,was,PaulLo00,rush_att,0,,,,,
player,201201010phi,was,PaulLo00,rush_yds,0,,,,,
player,201201010phi,was,PaulLo00,rush_td,0,,,,,
player,201201010phi,was,PaulLo00,rush_long,0,,,,,
player,201201010phi,was,PaulLo00,targets,5,,,,,
player,201201010phi,was,PaulLo00,rec,2,,,,,
player,201201010phi,was,PaulLo00,rec_yds,29,,,,,
player,201201010phi,was,PaulLo00,rec_td,0,,,,,
player,201201010phi,was,PaulLo00,rec_long,22,,,,,
player,201201010phi,was,PaulLo00,fumbles,0,,,,,
player,201201010phi,was,PaulLo00,fumbles_lost,,,,,,
player,201201010phi,was,GaffJa00,pass_cmp,0,,,,,
player,201201010phi,was,GaffJa00,pass_att,0,,,,,
player,201201010phi,was,GaffJa00,pass_yds,0,,,,,
player,201201010phi,was,GaffJa00,pass_td,0,,,,,
player,201201010phi,was,GaffJa00,pass_int,0,,,,,
player,201201010phi,was,GaffJa00,pass_sacked,0,,,,,
player,201201010phi,was,GaffJa00,pass_sacked_yds,0,,,,,
player,201201010phi,was,GaffJa00,pass_long,0,,,,,
player,201201010phi,was,GaffJa00,pass_rating,,,,,,
