game,2011,13,20111204,201112040nwe,clt,"Indianapolis Colts",24,nwe,"New England Patriots",31
team,201112040nwe,clt,First Downs,26,,,,,,
team,201112040nwe,nwe,First Downs,24,,,,,,
team,201112040nwe,clt,Rush-Yds-TDs,31-99-1,,,,,,
team,201112040nwe,nwe,Rush-Yds-TDs,24-73-2,,,,,,
team,201112040nwe,clt,Cmp-Att-Yd-TD-INT,30-37-353-2-1,,,,,,
team,201112040nwe,nwe,Cmp-Att-Yd-TD-INT,29-38-289-2-0,,,,,,
team,201112040nwe,clt,Sacked-Yards,2-15,,,,,,
team,201112040nwe,nwe,Sacked-Yards,1-0,,,,,,
team,201112040nwe,clt,Net Pass Yards,338,,,,,,
team,201112040nwe,nwe,Net Pass Yards,289,,,,,,
team,201112040nwe,clt,Total Yards,437,,,,,,
team,201112040nwe,nwe,Total Yards,362,,,,,,
team,201112040nwe,clt,Fumbles-Lost,1-1,,,,,,
team,201112040nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201112040nwe,clt,Turnovers,2,,,,,,
team,201112040nwe,nwe,Turnovers,0,,,,,,
team,201112040nwe,clt,Penalties-Yards,5-29,,,,,,
team,201112040nwe,nwe,Penalties-Yards,3-20,,,,,,
team,201112040nwe,clt,Third Down Conv.,10-15,,,,,,
team,201112040nwe,nwe,Third Down Conv.,6-11,,,,,,
team,201112040nwe,clt,Fourth Down Conv.,0-0,,,,,,
team,201112040nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201112040nwe,clt,Time of Possession,35:39,,,,,,
team,201112040nwe,nwe,Time of Possession,24:21,,,,,,
player,201112040nwe,clt,OrloDa00,pass_cmp,30,,,,,
player,201112040nwe,clt,OrloDa00,pass_att,37,,,,,
player,201112040nwe,clt,OrloDa00,pass_yds,353,,,,,
player,201112040nwe,clt,OrloDa00,pass_td,2,,,,,
player,201112040nwe,clt,OrloDa00,pass_int,1,,,,,
player,201112040nwe,clt,OrloDa00,pass_sacked,2,,,,,
player,201112040nwe,clt,OrloDa00,pass_sacked_yds,15,,,,,
player,201112040nwe,clt,OrloDa00,pass_long,40,,,,,
player,201112040nwe,clt,OrloDa00,pass_rating,113.2,,,,,
player,201112040nwe,clt,OrloDa00,rush_att,1,,,,,
player,201112040nwe,clt,OrloDa00,rush_yds,-1,,,,,
player,201112040nwe,clt,OrloDa00,rush_td,0,,,,,
player,201112040nwe,clt,OrloDa00,rush_long,-1,,,,,
player,201112040nwe,clt,OrloDa00,targets,0,,,,,
player,201112040nwe,clt,OrloDa00,rec,0,,,,,
player,201112040nwe,clt,OrloDa00,rec_yds,0,,,,,
player,201112040nwe,clt,OrloDa00,rec_td,0,,,,,
player,201112040nwe,clt,OrloDa00,rec_long,0,,,,,
player,201112040nwe,clt,OrloDa00,fumbles,0,,,,,
player,201112040nwe,clt,OrloDa00,fumbles_lost,,,,,,
player,201112040nwe,clt,BrowDo00,pass_cmp,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_att,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_yds,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_td,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_int,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_sacked,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_long,0,,,,,
player,201112040nwe,clt,BrowDo00,pass_rating,,,,,,
player,201112040nwe,clt,BrowDo00,rush_att,14,,,,,
player,201112040nwe,clt,BrowDo00,rush_yds,41,,,,,
player,201112040nwe,clt,BrowDo00,rush_td,1,,,,,
player,201112040nwe,clt,BrowDo00,rush_long,7,,,,,
player,201112040nwe,clt,BrowDo00,targets,1,,,,,
player,201112040nwe,clt,BrowDo00,rec,1,,,,,
player,201112040nwe,clt,BrowDo00,rec_yds,15,,,,,
player,201112040nwe,clt,BrowDo00,rec_td,0,,,,,
player,201112040nwe,clt,BrowDo00,rec_long,15,,,,,
player,201112040nwe,clt,BrowDo00,fumbles,0,,,,,
player,201112040nwe,clt,BrowDo00,fumbles_lost,,,,,,
