game,2011,6,20111017,201110170nyj,mia,"Miami Dolphins",6,nyj,"New York Jets",24
team,201110170nyj,mia,First Downs,17,,,,,,
team,201110170nyj,nyj,First Downs,13,,,,,,
team,201110170nyj,mia,Rush-Yds-TDs,25-118-0,,,,,,
team,201110170nyj,nyj,Rush-Yds-TDs,29-104-1,,,,,,
team,201110170nyj,mia,Cmp-Att-Yd-TD-INT,16-34-204-0-2,,,,,,
team,201110170nyj,nyj,Cmp-Att-Yd-TD-INT,14-25-201-1-0,,,,,,
team,201110170nyj,mia,Sacked-Yards,4-14,,,,,,
team,201110170nyj,nyj,Sacked-Yards,2-9,,,,,,
team,201110170nyj,mia,Net Pass Yards,190,,,,,,
team,201110170nyj,nyj,Net Pass Yards,192,,,,,,
team,201110170nyj,mia,Total Yards,308,,,,,,
team,201110170nyj,nyj,Total Yards,296,,,,,,
team,201110170nyj,mia,Fumbles-Lost,5-1,,,,,,
team,201110170nyj,nyj,Fumbles-Lost,2-1,,,,,,
team,201110170nyj,mia,Turnovers,3,,,,,,
team,201110170nyj,nyj,Turnovers,1,,,,,,
team,201110170nyj,mia,Penalties-Yards,2-10,,,,,,
team,201110170nyj,nyj,Penalties-Yards,6-49,,,,,,
team,201110170nyj,mia,Third Down Conv.,2-13,,,,,,
team,201110170nyj,nyj,Third Down Conv.,6-15,,,,,,
team,201110170nyj,mia,Fourth Down Conv.,0-1,,,,,,
team,201110170nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201110170nyj,mia,Time of Possession,29:39,,,,,,
team,201110170nyj,nyj,Time of Possession,30:21,,,,,,
player,201110170nyj,mia,MoorMa01,pass_cmp,16,,,,,
player,201110170nyj,mia,MoorMa01,pass_att,34,,,,,
player,201110170nyj,mia,MoorMa01,pass_yds,204,,,,,
player,201110170nyj,mia,MoorMa01,pass_td,0,,,,,
player,201110170nyj,mia,MoorMa01,pass_int,2,,,,,
player,201110170nyj,mia,MoorMa01,pass_sacked,4,,,,,
player,201110170nyj,mia,MoorMa01,pass_sacked_yds,14,,,,,
player,201110170nyj,mia,MoorMa01,pass_long,46,,,,,
player,201110170nyj,mia,MoorMa01,pass_rating,41.8,,,,,
player,201110170nyj,mia,MoorMa01,rush_att,0,,,,,
player,201110170nyj,mia,MoorMa01,rush_yds,0,,,,,
player,201110170nyj,mia,MoorMa01,rush_td,0,,,,,
player,201110170nyj,mia,MoorMa01,rush_long,0,,,,,
player,201110170nyj,mia,MoorMa01,targets,0,,,,,
player,201110170nyj,mia,MoorMa01,rec,0,,,,,
player,201110170nyj,mia,MoorMa01,rec_yds,0,,,,,
player,201110170nyj,mia,MoorMa01,rec_td,0,,,,,
player,201110170nyj,mia,MoorMa01,rec_long,0,,,,,
player,201110170nyj,mia,MoorMa01,fumbles,2,,,,,
player,201110170nyj,mia,MoorMa01,fumbles_lost,,,,,,
player,201110170nyj,mia,BushRe00,pass_cmp,0,,,,,
player,201110170nyj,mia,BushRe00,pass_att,0,,,,,
player,201110170nyj,mia,BushRe00,pass_yds,0,,,,,
player,201110170nyj,mia,BushRe00,pass_td,0,,,,,
player,201110170nyj,mia,BushRe00,pass_int,0,,,,,
player,201110170nyj,mia,BushRe00,pass_sacked,0,,,,,
player,201110170nyj,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201110170nyj,mia,BushRe00,pass_long,0,,,,,
player,201110170nyj,mia,BushRe00,pass_rating,,,,,,
player,201110170nyj,mia,BushRe00,rush_att,10,,,,,
player,201110170nyj,mia,BushRe00,rush_yds,71,,,,,
player,201110170nyj,mia,BushRe00,rush_td,0,,,,,
player,201110170nyj,mia,BushRe00,rush_long,36,,,,,
player,201110170nyj,mia,BushRe00,targets,2,,,,,
player,201110170nyj,mia,BushRe00,rec,2,,,,,
player,201110170nyj,mia,BushRe00,rec_yds,7,,,,,
player,201110170nyj,mia,BushRe00,rec_td,0,,,,,
player,201110170nyj,mia,BushRe00,rec_long,6,,,,,
player,201110170nyj,mia,BushRe00,fumbles,1,,,,,
player,201110170nyj,mia,BushRe00,fumbles_lost,0,,,,,
