game,2011,9,20111106,201111060nwe,nyg,"New York Giants",24,nwe,"New England Patriots",20
team,201111060nwe,nyg,First Downs,23,,,,,,
team,201111060nwe,nwe,First Downs,23,,,,,,
team,201111060nwe,nyg,Rush-Yds-TDs,29-111-1,,,,,,
team,201111060nwe,nwe,Rush-Yds-TDs,24-106-0,,,,,,
team,201111060nwe,nyg,Cmp-Att-Yd-TD-INT,20-39-250-2-1,,,,,,
team,201111060nwe,nwe,Cmp-Att-Yd-TD-INT,28-49-342-2-2,,,,,,
team,201111060nwe,nyg,Sacked-Yards,0-0,,,,,,
team,201111060nwe,nwe,Sacked-Yards,2-10,,,,,,
team,201111060nwe,nyg,Net Pass Yards,250,,,,,,
team,201111060nwe,nwe,Net Pass Yards,332,,,,,,
team,201111060nwe,nyg,Total Yards,361,,,,,,
team,201111060nwe,nwe,Total Yards,438,,,,,,
team,201111060nwe,nyg,Fumbles-Lost,2-1,,,,,,
team,201111060nwe,nwe,Fumbles-Lost,2-2,,,,,,
team,201111060nwe,nyg,Turnovers,2,,,,,,
team,201111060nwe,nwe,Turnovers,4,,,,,,
team,201111060nwe,nyg,Penalties-Yards,6-50,,,,,,
team,201111060nwe,nwe,Penalties-Yards,7-81,,,,,,
team,201111060nwe,nyg,Third Down Conv.,4-14,,,,,,
team,201111060nwe,nwe,Third Down Conv.,5-15,,,,,,
team,201111060nwe,nyg,Fourth Down Conv.,0-0,,,,,,
team,201111060nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201111060nwe,nyg,Time of Possession,30:17,,,,,,
team,201111060nwe,nwe,Time of Possession,29:43,,,,,,
player,201111060nwe,nyg,MannEl00,pass_cmp,20,,,,,
player,201111060nwe,nyg,MannEl00,pass_att,39,,,,,
player,201111060nwe,nyg,MannEl00,pass_yds,250,,,,,
player,201111060nwe,nyg,MannEl00,pass_td,2,,,,,
player,201111060nwe,nyg,MannEl00,pass_int,1,,,,,
player,201111060nwe,nyg,MannEl00,pass_sacked,0,,,,,
player,201111060nwe,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201111060nwe,nyg,MannEl00,pass_long,30,,,,,
player,201111060nwe,nyg,MannEl00,pass_rating,77.9,,,,,
player,201111060nwe,nyg,MannEl00,rush_att,3,,,,,
player,201111060nwe,nyg,MannEl00,rush_yds,11,,,,,
player,201111060nwe,nyg,MannEl00,rush_td,0,,,,,
player,201111060nwe,nyg,MannEl00,rush_long,12,,,,,
player,201111060nwe,nyg,MannEl00,targets,0,,,,,
player,201111060nwe,nyg,MannEl00,rec,0,,,,,
player,201111060nwe,nyg,MannEl00,rec_yds,0,,,,,
player,201111060nwe,nyg,MannEl00,rec_td,0,,,,,
player,201111060nwe,nyg,MannEl00,rec_long,0,,,,,
player,201111060nwe,nyg,MannEl00,fumbles,0,,,,,
player,201111060nwe,nyg,MannEl00,fumbles_lost,,,,,,
player,201111060nwe,nyg,JacoBr00,pass_cmp,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_att,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_yds,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_td,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_int,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_sacked,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_long,0,,,,,
player,201111060nwe,nyg,JacoBr00,pass_rating,,,,,,
player,201111060nwe,nyg,JacoBr00,rush_att,18,,,,,
player,201111060nwe,nyg,JacoBr00,rush_yds,72,,,,,
player,201111060nwe,nyg,JacoBr00,rush_td,1,,,,,
player,201111060nwe,nyg,JacoBr00,rush_long,11,,,,,
player,201111060nwe,nyg,JacoBr00,targets,5,,,,,
player,201111060nwe,nyg,JacoBr00,rec,4,,,,,
player,201111060nwe,nyg,JacoBr00,rec_yds,28,,,,,
player,201111060nwe,nyg,JacoBr00,rec_td,0,,,,,
player,201111060nwe,nyg,JacoBr00,rec_long,10,,,,,
player,201111060nwe,nyg,JacoBr00,fumbles,0,,,,,
player,201111060nwe,nyg,JacoBr00,fumbles_lost,,,,,,
player,201111060nwe,nyg,WareDa00,pass_cmp,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_att,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_yds,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_td,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_int,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_sacked,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_sacked_yds,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_long,0,,,,,
player,201111060nwe,nyg,WareDa00,pass_rating,,,,,,
player,201111060nwe,nyg,WareDa00,rush_att,7,,,,,
player,201111060nwe,nyg,WareDa00,rush_yds,23,,,,,
player,201111060nwe,nyg,WareDa00,rush_td,0,,,,,
player,201111060nwe,nyg,WareDa00,rush_long,10,,,,,
player,201111060nwe,nyg,WareDa00,targets,2,,,,,
player,201111060nwe,nyg,WareDa00,rec,0,,,,,
player,201111060nwe,nyg,WareDa00,rec_yds,0,,,,,
player,201111060nwe,nyg,WareDa00,rec_td,0,,,,,
player,201111060nwe,nyg,WareDa00,rec_long,0,,,,,
player,201111060nwe,nyg,WareDa00,fumbles,0,,,,,
player,201111060nwe,nyg,WareDa00,fumbles_lost,,,,,,
player,201111060nwe,nyg,ScotDa01,pass_cmp,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_att,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_yds,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_td,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_int,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_sacked,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_sacked_yds,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_long,0,,,,,
player,201111060nwe,nyg,ScotDa01,pass_rating,,,,,,
player,201111060nwe,nyg,ScotDa01,rush_att,1,,,,,
player,201111060nwe,nyg,ScotDa01,rush_yds,5,,,,,
player,201111060nwe,nyg,ScotDa01,rush_td,0,,,,,
player,201111060nwe,nyg,ScotDa01,rush_long,5,,,,,
player,201111060nwe,nyg,ScotDa01,targets,0,,,,,
player,201111060nwe,nyg,ScotDa01,rec,0,,,,,
player,201111060nwe,nyg,ScotDa01,rec_yds,0,,,,,
player,201111060nwe,nyg,ScotDa01,rec_td,0,,,,,
player,201111060nwe,nyg,ScotDa01,rec_long,0,,,,,
player,201111060nwe,nyg,ScotDa01,fumbles,0,,,,,
player,201111060nwe,nyg,ScotDa01,fumbles_lost,,,,,,
player,201111060nwe,nyg,CruzVi00,pass_cmp,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_att,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_yds,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_td,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_int,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_sacked,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_long,0,,,,,
player,201111060nwe,nyg,CruzVi00,pass_rating,,,,,,
player,201111060nwe,nyg,CruzVi00,rush_att,0,,,,,
player,201111060nwe,nyg,CruzVi00,rush_yds,0,,,,,
player,201111060nwe,nyg,CruzVi00,rush_td,0,,,,,
player,201111060nwe,nyg,CruzVi00,rush_long,0,,,,,
player,201111060nwe,nyg,CruzVi00,targets,11,,,,,
player,201111060nwe,nyg,CruzVi00,rec,6,,,,,
player,201111060nwe,nyg,CruzVi00,rec_yds,91,,,,,
player,201111060nwe,nyg,CruzVi00,rec_td,0,,,,,
player,201111060nwe,nyg,CruzVi00,rec_long,23,,,,,
player,201111060nwe,nyg,CruzVi00,fumbles,0,,,,,
player,201111060nwe,nyg,CruzVi00,fumbles_lost,,,,,,
player,201111060nwe,nyg,BallJa21,pass_cmp,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_att,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_yds,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_td,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_int,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_sacked,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_sacked_yds,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_long,0,,,,,
player,201111060nwe,nyg,BallJa21,pass_rating,,,,,,
player,201111060nwe,nyg,BallJa21,rush_att,0,,,,,
player,201111060nwe,nyg,BallJa21,rush_yds,0,,,,,
player,201111060nwe,nyg,BallJa21,rush_td,0,,,,,
player,201111060nwe,nyg,BallJa21,rush_long,0,,,,,
player,201111060nwe,nyg,BallJa21,targets,7,,,,,
player,201111060nwe,nyg,BallJa21,rec,4,,,,,
player,201111060nwe,nyg,BallJa21,rec_yds,67,,,,,
player,201111060nwe,nyg,BallJa21,rec_td,1,,,,,
player,201111060nwe,nyg,BallJa21,rec_long,30,,,,,
player,201111060nwe,nyg,BallJa21,fumbles,0,,,,,
player,201111060nwe,nyg,BallJa21,fumbles_lost,,,,,,
player,201111060nwe,nyg,MannMa01,pass_cmp,0,,,,,
player,201111060nwe,nyg,MannMa01,pass_att,0,,,,,
player,201111060nwe,nyg,MannMa01,pass_yds,0,,,,,
player,201111060nwe,nyg,MannMa01,pass_td,0,,,,,
player,201111060nwe,nyg,MannMa01,pass_int,0,,,,,
player,201111060nwe,nyg,MannMa01,pass_sacked,0,,,,,
