game,2011,4,20111002,201110020cle,oti,"Tennessee Titans",31,cle,"Cleveland Browns",13
player,201110020cle,oti,HarpJa01,pass_att,0,,,,,
player,201110020cle,oti,HarpJa01,pass_yds,0,,,,,
player,201110020cle,oti,HarpJa01,pass_td,0,,,,,
player,201110020cle,oti,HarpJa01,pass_int,0,,,,,
player,201110020cle,oti,HarpJa01,pass_sacked,0,,,,,
player,201110020cle,oti,HarpJa01,pass_sacked_yds,0,,,,,
player,201110020cle,oti,HarpJa01,pass_long,0,,,,,
player,201110020cle,oti,HarpJa01,pass_rating,,,,,,
player,201110020cle,oti,HarpJa01,rush_att,1,,,,,
player,201110020cle,oti,HarpJa01,rush_yds,2,,,,,
player,201110020cle,oti,HarpJa01,rush_td,0,,,,,
player,201110020cle,oti,HarpJa01,rush_long,2,,,,,
player,201110020cle,oti,HarpJa01,targets,0,,,,,
player,201110020cle,oti,HarpJa01,rec,0,,,,,
player,201110020cle,oti,HarpJa01,rec_yds,0,,,,,
player,201110020cle,oti,HarpJa01,rec_td,0,,,,,
player,201110020cle,oti,HarpJa01,rec_long,0,,,,,
player,201110020cle,oti,HarpJa01,fumbles,0,,,,,
player,201110020cle,oti,HarpJa01,fumbles_lost,,,,,,
player,201110020cle,oti,CookJa02,pass_cmp,0,,,,,
player,201110020cle,oti,CookJa02,pass_att,0,,,,,
player,201110020cle,oti,CookJa02,pass_yds,0,,,,,
player,201110020cle,oti,CookJa02,pass_td,0,,,,,
player,201110020cle,oti,CookJa02,pass_int,0,,,,,
player,201110020cle,oti,CookJa02,pass_sacked,0,,,,,
player,201110020cle,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201110020cle,oti,CookJa02,pass_long,0,,,,,
player,201110020cle,oti,CookJa02,pass_rating,,,,,,
player,201110020cle,oti,CookJa02,rush_att,0,,,,,
player,201110020cle,oti,CookJa02,rush_yds,0,,,,,
player,201110020cle,oti,CookJa02,rush_td,0,,,,,
player,201110020cle,oti,CookJa02,rush_long,0,,,,,
player,201110020cle,oti,CookJa02,targets,6,,,,,
player,201110020cle,oti,CookJa02,rec,2,,,,,
player,201110020cle,oti,CookJa02,rec_yds,93,,,,,
