game,2011,7,20111023,201110230min,gnb,"Green Bay Packers",33,min,"Minnesota Vikings",27
team,201110230min,gnb,First Downs,25,,,,,,
team,201110230min,min,First Downs,22,,,,,,
team,201110230min,gnb,Rush-Yds-TDs,26-114-0,,,,,,
team,201110230min,min,Rush-Yds-TDs,31-218-1,,,,,,
team,201110230min,gnb,Cmp-Att-Yd-TD-INT,24-30-335-3-0,,,,,,
team,201110230min,min,Cmp-Att-Yd-TD-INT,13-32-219-2-2,,,,,,
team,201110230min,gnb,Sacked-Yards,4-28,,,,,,
team,201110230min,min,Sacked-Yards,2-2,,,,,,
team,201110230min,gnb,Net Pass Yards,307,,,,,,
team,201110230min,min,Net Pass Yards,217,,,,,,
team,201110230min,gnb,Total Yards,421,,,,,,
team,201110230min,min,Total Yards,435,,,,,,
team,201110230min,gnb,Fumbles-Lost,1-1,,,,,,
team,201110230min,min,Fumbles-Lost,0-0,,,,,,
team,201110230min,gnb,Turnovers,1,,,,,,
team,201110230min,min,Turnovers,2,,,,,,
team,201110230min,gnb,Penalties-Yards,6-44,,,,,,
team,201110230min,min,Penalties-Yards,9-91,,,,,,
team,201110230min,gnb,Third Down Conv.,2-8,,,,,,
team,201110230min,min,Third Down Conv.,9-16,,,,,,
team,201110230min,gnb,Fourth Down Conv.,0-0,,,,,,
team,201110230min,min,Fourth Down Conv.,0-0,,,,,,
team,201110230min,gnb,Time of Possession,32:06,,,,,,
team,201110230min,min,Time of Possession,27:54,,,,,,
player,201110230min,gnb,RodgAa00,pass_cmp,24,,,,,
player,201110230min,gnb,RodgAa00,pass_att,30,,,,,
player,201110230min,gnb,RodgAa00,pass_yds,335,,,,,
player,201110230min,gnb,RodgAa00,pass_td,3,,,,,
player,201110230min,gnb,RodgAa00,pass_int,0,,,,,
player,201110230min,gnb,RodgAa00,pass_sacked,4,,,,,
player,201110230min,gnb,RodgAa00,pass_sacked_yds,28,,,,,
player,201110230min,gnb,RodgAa00,pass_long,79,,,,,
player,201110230min,gnb,RodgAa00,pass_rating,146.5,,,,,
player,201110230min,gnb,RodgAa00,rush_att,2,,,,,
player,201110230min,gnb,RodgAa00,rush_yds,8,,,,,
player,201110230min,gnb,RodgAa00,rush_td,0,,,,,
player,201110230min,gnb,RodgAa00,rush_long,9,,,,,
player,201110230min,gnb,RodgAa00,targets,0,,,,,
player,201110230min,gnb,RodgAa00,rec,0,,,,,
player,201110230min,gnb,RodgAa00,rec_yds,0,,,,,
player,201110230min,gnb,RodgAa00,rec_td,0,,,,,
player,201110230min,gnb,RodgAa00,rec_long,0,,,,,
player,201110230min,gnb,RodgAa00,fumbles,0,,,,,
player,201110230min,gnb,RodgAa00,fumbles_lost,,,,,,
player,201110230min,gnb,StarJa00,pass_cmp,0,,,,,
player,201110230min,gnb,StarJa00,pass_att,0,,,,,
player,201110230min,gnb,StarJa00,pass_yds,0,,,,,
player,201110230min,gnb,StarJa00,pass_td,0,,,,,
player,201110230min,gnb,StarJa00,pass_int,0,,,,,
player,201110230min,gnb,StarJa00,pass_sacked,0,,,,,
player,201110230min,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201110230min,gnb,StarJa00,pass_long,0,,,,,
player,201110230min,gnb,StarJa00,pass_rating,,,,,,
player,201110230min,gnb,StarJa00,rush_att,13,,,,,
player,201110230min,gnb,StarJa00,rush_yds,75,,,,,
player,201110230min,gnb,StarJa00,rush_td,0,,,,,
player,201110230min,gnb,StarJa00,rush_long,20,,,,,
player,201110230min,gnb,StarJa00,targets,4,,,,,
player,201110230min,gnb,StarJa00,rec,3,,,,,
player,201110230min,gnb,StarJa00,rec_yds,24,,,,,
player,201110230min,gnb,StarJa00,rec_td,0,,,,,
player,201110230min,gnb,StarJa00,rec_long,13,,,,,
player,201110230min,gnb,StarJa00,fumbles,0,,,,,
player,201110230min,gnb,StarJa00,fumbles_lost,,,,,,
player,201110230min,gnb,GranRy00,pass_cmp,0,,,,,
player,201110230min,gnb,GranRy00,pass_att,0,,,,,
player,201110230min,gnb,GranRy00,pass_yds,0,,,,,
player,201110230min,gnb,GranRy00,pass_td,0,,,,,
player,201110230min,gnb,GranRy00,pass_int,0,,,,,
player,201110230min,gnb,GranRy00,pass_sacked,0,,,,,
player,201110230min,gnb,GranRy00,pass_sacked_yds,0,,,,,
player,201110230min,gnb,GranRy00,pass_long,0,,,,,
player,201110230min,gnb,GranRy00,pass_rating,,,,,,
player,201110230min,gnb,GranRy00,rush_att,9,,,,,
