game,2011,1,20110911,201109110jax,oti,"Tennessee Titans",14,jax,"Jacksonville Jaguars",16
team,201109110jax,oti,First Downs,13,,,,,,
team,201109110jax,jax,First Downs,20,,,,,,
team,201109110jax,oti,Rush-Yds-TDs,13-43-0,,,,,,
team,201109110jax,jax,Rush-Yds-TDs,47-163-1,,,,,,
team,201109110jax,oti,Cmp-Att-Yd-TD-INT,21-34-263-2-1,,,,,,
team,201109110jax,jax,Cmp-Att-Yd-TD-INT,17-24-175-0-0,,,,,,
team,201109110jax,oti,Sacked-Yards,2-14,,,,,,
team,201109110jax,jax,Sacked-Yards,2-15,,,,,,
team,201109110jax,oti,Net Pass Yards,249,,,,,,
team,201109110jax,jax,Net Pass Yards,160,,,,,,
team,201109110jax,oti,Total Yards,292,,,,,,
team,201109110jax,jax,Total Yards,323,,,,,,
team,201109110jax,oti,Fumbles-Lost,1-0,,,,,,
team,201109110jax,jax,Fumbles-Lost,2-1,,,,,,
team,201109110jax,oti,Turnovers,1,,,,,,
team,201109110jax,jax,Turnovers,1,,,,,,
team,201109110jax,oti,Penalties-Yards,7-60,,,,,,
team,201109110jax,jax,Penalties-Yards,5-39,,,,,,
team,201109110jax,oti,Third Down Conv.,4-11,,,,,,
team,201109110jax,jax,Third Down Conv.,9-18,,,,,,
team,201109110jax,oti,Fourth Down Conv.,0-0,,,,,,
team,201109110jax,jax,Fourth Down Conv.,0-0,,,,,,
team,201109110jax,oti,Time of Possession,20:22,,,,,,
team,201109110jax,jax,Time of Possession,39:38,,,,,,
player,201109110jax,oti,HassMa00,pass_cmp,21,,,,,
player,201109110jax,oti,HassMa00,pass_att,34,,,,,
player,201109110jax,oti,HassMa00,pass_yds,263,,,,,
player,201109110jax,oti,HassMa00,pass_td,2,,,,,
player,201109110jax,oti,HassMa00,pass_int,1,,,,,
player,201109110jax,oti,HassMa00,pass_sacked,2,,,,,
player,201109110jax,oti,HassMa00,pass_sacked_yds,14,,,,,
player,201109110jax,oti,HassMa00,pass_long,80,,,,,
player,201109110jax,oti,HassMa00,pass_rating,93.1,,,,,
