game,2011,11,20111120,201111200nyg,phi,"Philadelphia Eagles",17,nyg,"New York Giants",10
team,201111200nyg,phi,First Downs,17,,,,,,
team,201111200nyg,nyg,First Downs,12,,,,,,
team,201111200nyg,phi,Rush-Yds-TDs,33-136-0,,,,,,
team,201111200nyg,nyg,Rush-Yds-TDs,17-29-0,,,,,,
team,201111200nyg,phi,Cmp-Att-Yd-TD-INT,23-36-258-2-3,,,,,,
team,201111200nyg,nyg,Cmp-Att-Yd-TD-INT,18-35-264-1-1,,,,,,
team,201111200nyg,phi,Sacked-Yards,1-3,,,,,,
team,201111200nyg,nyg,Sacked-Yards,3-15,,,,,,
team,201111200nyg,phi,Net Pass Yards,255,,,,,,
team,201111200nyg,nyg,Net Pass Yards,249,,,,,,
team,201111200nyg,phi,Total Yards,391,,,,,,
team,201111200nyg,nyg,Total Yards,278,,,,,,
team,201111200nyg,phi,Fumbles-Lost,0-0,,,,,,
team,201111200nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201111200nyg,phi,Turnovers,3,,,,,,
team,201111200nyg,nyg,Turnovers,2,,,,,,
team,201111200nyg,phi,Penalties-Yards,5-30,,,,,,
team,201111200nyg,nyg,Penalties-Yards,5-39,,,,,,
team,201111200nyg,phi,Third Down Conv.,9-17,,,,,,
team,201111200nyg,nyg,Third Down Conv.,5-14,,,,,,
team,201111200nyg,phi,Fourth Down Conv.,0-0,,,,,,
team,201111200nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201111200nyg,phi,Time of Possession,36:18,,,,,,
team,201111200nyg,nyg,Time of Possession,23:42,,,,,,
player,201111200nyg,phi,YounVi00,pass_cmp,23,,,,,
player,201111200nyg,phi,YounVi00,pass_att,36,,,,,
player,201111200nyg,phi,YounVi00,pass_yds,258,,,,,
player,201111200nyg,phi,YounVi00,pass_td,2,,,,,
player,201111200nyg,phi,YounVi00,pass_int,3,,,,,
player,201111200nyg,phi,YounVi00,pass_sacked,1,,,,,
player,201111200nyg,phi,YounVi00,pass_sacked_yds,3,,,,,
player,201111200nyg,phi,YounVi00,pass_long,32,,,,,
player,201111200nyg,phi,YounVi00,pass_rating,69.0,,,,,
player,201111200nyg,phi,YounVi00,rush_att,6,,,,,
player,201111200nyg,phi,YounVi00,rush_yds,5,,,,,
player,201111200nyg,phi,YounVi00,rush_td,0,,,,,
player,201111200nyg,phi,YounVi00,rush_long,5,,,,,
player,201111200nyg,phi,YounVi00,targets,0,,,,,
player,201111200nyg,phi,YounVi00,rec,0,,,,,
player,201111200nyg,phi,YounVi00,rec_yds,0,,,,,
player,201111200nyg,phi,YounVi00,rec_td,0,,,,,
player,201111200nyg,phi,YounVi00,rec_long,0,,,,,
player,201111200nyg,phi,YounVi00,fumbles,0,,,,,
player,201111200nyg,phi,YounVi00,fumbles_lost,,,,,,
player,201111200nyg,phi,McCoLe01,pass_cmp,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_att,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_yds,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_td,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_int,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_sacked,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_long,0,,,,,
player,201111200nyg,phi,McCoLe01,pass_rating,,,,,,
player,201111200nyg,phi,McCoLe01,rush_att,23,,,,,
player,201111200nyg,phi,McCoLe01,rush_yds,113,,,,,
player,201111200nyg,phi,McCoLe01,rush_td,0,,,,,
player,201111200nyg,phi,McCoLe01,rush_long,60,,,,,
player,201111200nyg,phi,McCoLe01,targets,4,,,,,
player,201111200nyg,phi,McCoLe01,rec,3,,,,,
player,201111200nyg,phi,McCoLe01,rec_yds,2,,,,,
player,201111200nyg,phi,McCoLe01,rec_td,0,,,,,
player,201111200nyg,phi,McCoLe01,rec_long,3,,,,,
player,201111200nyg,phi,McCoLe01,fumbles,0,,,,,
player,201111200nyg,phi,McCoLe01,fumbles_lost,,,,,,
player,201111200nyg,phi,HallCh00,pass_cmp,0,,,,,
player,201111200nyg,phi,HallCh00,pass_att,0,,,,,
player,201111200nyg,phi,HallCh00,pass_yds,0,,,,,
player,201111200nyg,phi,HallCh00,pass_td,0,,,,,
