game,2011,17,20120101,201201010htx,oti,"Tennessee Titans",23,htx,"Houston Texans",22
team,201201010htx,oti,First Downs,17,,,,,,
team,201201010htx,htx,First Downs,22,,,,,,
team,201201010htx,oti,Rush-Yds-TDs,22-86-0,,,,,,
team,201201010htx,htx,Rush-Yds-TDs,30-152-1,,,,,,
team,201201010htx,oti,Cmp-Att-Yd-TD-INT,22-35-297-2-0,,,,,,
team,201201010htx,htx,Cmp-Att-Yd-TD-INT,22-32-258-1-0,,,,,,
team,201201010htx,oti,Sacked-Yards,3-22,,,,,,
team,201201010htx,htx,Sacked-Yards,3-23,,,,,,
team,201201010htx,oti,Net Pass Yards,275,,,,,,
team,201201010htx,htx,Net Pass Yards,235,,,,,,
team,201201010htx,oti,Total Yards,361,,,,,,
team,201201010htx,htx,Total Yards,387,,,,,,
team,201201010htx,oti,Fumbles-Lost,1-1,,,,,,
team,201201010htx,htx,Fumbles-Lost,1-1,,,,,,
team,201201010htx,oti,Turnovers,1,,,,,,
team,201201010htx,htx,Turnovers,1,,,,,,
team,201201010htx,oti,Penalties-Yards,6-47,,,,,,
team,201201010htx,htx,Penalties-Yards,7-55,,,,,,
team,201201010htx,oti,Third Down Conv.,6-14,,,,,,
team,201201010htx,htx,Third Down Conv.,5-14,,,,,,
team,201201010htx,oti,Fourth Down Conv.,0-0,,,,,,
team,201201010htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201201010htx,oti,Time of Possession,25:22,,,,,,
team,201201010htx,htx,Time of Possession,34:38,,,,,,
player,201201010htx,oti,HassMa00,pass_cmp,22,,,,,
player,201201010htx,oti,HassMa00,pass_att,35,,,,,
player,201201010htx,oti,HassMa00,pass_yds,297,,,,,
player,201201010htx,oti,HassMa00,pass_td,2,,,,,
player,201201010htx,oti,HassMa00,pass_int,0,,,,,
player,201201010htx,oti,HassMa00,pass_sacked,3,,,,,
player,201201010htx,oti,HassMa00,pass_sacked_yds,22,,,,,
player,201201010htx,oti,HassMa00,pass_long,55,,,,,
player,201201010htx,oti,HassMa00,pass_rating,108.9,,,,,
player,201201010htx,oti,HassMa00,rush_att,1,,,,,
player,201201010htx,oti,HassMa00,rush_yds,-1,,,,,
player,201201010htx,oti,HassMa00,rush_td,0,,,,,
player,201201010htx,oti,HassMa00,rush_long,-1,,,,,
player,201201010htx,oti,HassMa00,targets,0,,,,,
player,201201010htx,oti,HassMa00,rec,0,,,,,
player,201201010htx,oti,HassMa00,rec_yds,0,,,,,
