game,2011,17,20120101,201201010ram,sfo,"San Francisco 49ers",34,ram,"St. Louis Rams",27
team,201201010ram,sfo,First Downs,21,,,,,,
team,201201010ram,ram,First Downs,18,,,,,,
team,201201010ram,sfo,Rush-Yds-TDs,37-116-2,,,,,,
team,201201010ram,ram,Rush-Yds-TDs,25-111-2,,,,,,
team,201201010ram,sfo,Cmp-Att-Yd-TD-INT,21-31-227-2-0,,,,,,
team,201201010ram,ram,Cmp-Att-Yd-TD-INT,14-34-226-1-2,,,,,,
team,201201010ram,sfo,Sacked-Yards,3-22,,,,,,
team,201201010ram,ram,Sacked-Yards,3-26,,,,,,
team,201201010ram,sfo,Net Pass Yards,205,,,,,,
team,201201010ram,ram,Net Pass Yards,200,,,,,,
team,201201010ram,sfo,Total Yards,321,,,,,,
team,201201010ram,ram,Total Yards,311,,,,,,
team,201201010ram,sfo,Fumbles-Lost,1-0,,,,,,
team,201201010ram,ram,Fumbles-Lost,1-0,,,,,,
team,201201010ram,sfo,Turnovers,0,,,,,,
team,201201010ram,ram,Turnovers,2,,,,,,
team,201201010ram,sfo,Penalties-Yards,5-80,,,,,,
team,201201010ram,ram,Penalties-Yards,6-50,,,,,,
team,201201010ram,sfo,Third Down Conv.,6-16,,,,,,
team,201201010ram,ram,Third Down Conv.,5-15,,,,,,
team,201201010ram,sfo,Fourth Down Conv.,1-1,,,,,,
team,201201010ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201201010ram,sfo,Time of Possession,35:08,,,,,,
team,201201010ram,ram,Time of Possession,24:52,,,,,,
player,201201010ram,sfo,SmitAl03,pass_cmp,20,,,,,
player,201201010ram,sfo,SmitAl03,pass_att,30,,,,,
player,201201010ram,sfo,SmitAl03,pass_yds,213,,,,,
player,201201010ram,sfo,SmitAl03,pass_td,1,,,,,
player,201201010ram,sfo,SmitAl03,pass_int,0,,,,,
player,201201010ram,sfo,SmitAl03,pass_sacked,3,,,,,
player,201201010ram,sfo,SmitAl03,pass_sacked_yds,22,,,,,
player,201201010ram,sfo,SmitAl03,pass_long,44,,,,,
player,201201010ram,sfo,SmitAl03,pass_rating,98.3,,,,,
player,201201010ram,sfo,SmitAl03,rush_att,5,,,,,
player,201201010ram,sfo,SmitAl03,rush_yds,4,,,,,
player,201201010ram,sfo,SmitAl03,rush_td,1,,,,,
player,201201010ram,sfo,SmitAl03,rush_long,8,,,,,
player,201201010ram,sfo,SmitAl03,targets,0,,,,,
player,201201010ram,sfo,SmitAl03,rec,0,,,,,
player,201201010ram,sfo,SmitAl03,rec_yds,0,,,,,
player,201201010ram,sfo,SmitAl03,rec_td,0,,,,,
player,201201010ram,sfo,SmitAl03,rec_long,0,,,,,
player,201201010ram,sfo,SmitAl03,fumbles,0,,,,,
player,201201010ram,sfo,SmitAl03,fumbles_lost,,,,,,
player,201201010ram,sfo,akersdav01,pass_cmp,1,,,,,
player,201201010ram,sfo,akersdav01,pass_att,1,,,,,
player,201201010ram,sfo,akersdav01,pass_yds,14,,,,,
player,201201010ram,sfo,akersdav01,pass_td,1,,,,,
player,201201010ram,sfo,akersdav01,pass_int,0,,,,,
player,201201010ram,sfo,akersdav01,pass_sacked,0,,,,,
player,201201010ram,sfo,akersdav01,pass_sacked_yds,0,,,,,
player,201201010ram,sfo,akersdav01,pass_long,14,,,,,
player,201201010ram,sfo,akersdav01,pass_rating,158.3,,,,,
player,201201010ram,sfo,akersdav01,rush_att,0,,,,,
player,201201010ram,sfo,akersdav01,rush_yds,0,,,,,
player,201201010ram,sfo,akersdav01,rush_td,0,,,,,
player,201201010ram,sfo,akersdav01,rush_long,0,,,,,
player,201201010ram,sfo,akersdav01,targets,0,,,,,
player,201201010ram,sfo,akersdav01,rec,0,,,,,
player,201201010ram,sfo,akersdav01,rec_yds,0,,,,,
player,201201010ram,sfo,akersdav01,rec_td,0,,,,,
player,201201010ram,sfo,akersdav01,rec_long,0,,,,,
player,201201010ram,sfo,akersdav01,fumbles,0,,,,,
player,201201010ram,sfo,akersdav01,fumbles_lost,,,,,,
player,201201010ram,sfo,HuntKe00,pass_cmp,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_att,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_yds,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_td,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_int,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_sacked,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_long,0,,,,,
player,201201010ram,sfo,HuntKe00,pass_rating,,,,,,
player,201201010ram,sfo,HuntKe00,rush_att,16,,,,,
player,201201010ram,sfo,HuntKe00,rush_yds,76,,,,,
player,201201010ram,sfo,HuntKe00,rush_td,0,,,,,
player,201201010ram,sfo,HuntKe00,rush_long,13,,,,,
player,201201010ram,sfo,HuntKe00,targets,3,,,,,
player,201201010ram,sfo,HuntKe00,rec,2,,,,,
player,201201010ram,sfo,HuntKe00,rec_yds,11,,,,,
player,201201010ram,sfo,HuntKe00,rec_td,0,,,,,
player,201201010ram,sfo,HuntKe00,rec_long,11,,,,,
player,201201010ram,sfo,HuntKe00,fumbles,0,,,,,
player,201201010ram,sfo,HuntKe00,fumbles_lost,,,,,,
player,201201010ram,sfo,DixoAn00,pass_cmp,0,,,,,
player,201201010ram,sfo,DixoAn00,pass_att,0,,,,,
player,201201010ram,sfo,DixoAn00,pass_yds,0,,,,,
player,201201010ram,sfo,DixoAn00,pass_td,0,,,,,
player,201201010ram,sfo,DixoAn00,pass_int,0,,,,,
player,201201010ram,sfo,DixoAn00,pass_sacked,0,,,,,
