game,2011,11,20111121,201111210nwe,kan,"Kansas City Chiefs",3,nwe,"New England Patriots",34
team,201111210nwe,kan,First Downs,16,,,,,,
team,201111210nwe,nwe,First Downs,20,,,,,,
team,201111210nwe,kan,Rush-Yds-TDs,27-125-0,,,,,,
team,201111210nwe,nwe,Rush-Yds-TDs,35-157-1,,,,,,
team,201111210nwe,kan,Cmp-Att-Yd-TD-INT,24-37-230-0-3,,,,,,
team,201111210nwe,nwe,Cmp-Att-Yd-TD-INT,15-27-234-2-0,,,,,,
team,201111210nwe,kan,Sacked-Yards,3-21,,,,,,
team,201111210nwe,nwe,Sacked-Yards,3-11,,,,,,
team,201111210nwe,kan,Net Pass Yards,209,,,,,,
team,201111210nwe,nwe,Net Pass Yards,223,,,,,,
team,201111210nwe,kan,Total Yards,334,,,,,,
team,201111210nwe,nwe,Total Yards,380,,,,,,
team,201111210nwe,kan,Fumbles-Lost,0-0,,,,,,
team,201111210nwe,nwe,Fumbles-Lost,1-1,,,,,,
team,201111210nwe,kan,Turnovers,3,,,,,,
team,201111210nwe,nwe,Turnovers,1,,,,,,
team,201111210nwe,kan,Penalties-Yards,5-34,,,,,,
team,201111210nwe,nwe,Penalties-Yards,3-20,,,,,,
team,201111210nwe,kan,Third Down Conv.,6-14,,,,,,
team,201111210nwe,nwe,Third Down Conv.,4-13,,,,,,
team,201111210nwe,kan,Fourth Down Conv.,1-2,,,,,,
team,201111210nwe,nwe,Fourth Down Conv.,2-2,,,,,,
team,201111210nwe,kan,Time of Possession,31:30,,,,,,
team,201111210nwe,nwe,Time of Possession,28:30,,,,,,
player,201111210nwe,kan,PalkTy00,pass_cmp,24,,,,,
player,201111210nwe,kan,PalkTy00,pass_att,37,,,,,
player,201111210nwe,kan,PalkTy00,pass_yds,230,,,,,
player,201111210nwe,kan,PalkTy00,pass_td,0,,,,,
player,201111210nwe,kan,PalkTy00,pass_int,3,,,,,
player,201111210nwe,kan,PalkTy00,pass_sacked,3,,,,,
player,201111210nwe,kan,PalkTy00,pass_sacked_yds,21,,,,,
player,201111210nwe,kan,PalkTy00,pass_long,28,,,,,
player,201111210nwe,kan,PalkTy00,pass_rating,48.3,,,,,
player,201111210nwe,kan,PalkTy00,rush_att,1,,,,,
player,201111210nwe,kan,PalkTy00,rush_yds,-6,,,,,
player,201111210nwe,kan,PalkTy00,rush_td,0,,,,,
player,201111210nwe,kan,PalkTy00,rush_long,-6,,,,,
player,201111210nwe,kan,PalkTy00,targets,0,,,,,
player,201111210nwe,kan,PalkTy00,rec,0,,,,,
player,201111210nwe,kan,PalkTy00,rec_yds,0,,,,,
player,201111210nwe,kan,PalkTy00,rec_td,0,,,,,
player,201111210nwe,kan,PalkTy00,rec_long,0,,,,,
player,201111210nwe,kan,PalkTy00,fumbles,0,,,,,
player,201111210nwe,kan,PalkTy00,fumbles_lost,,,,,,
player,201111210nwe,kan,JoneTh00,pass_cmp,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_att,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_yds,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_td,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_int,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_sacked,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_long,0,,,,,
player,201111210nwe,kan,JoneTh00,pass_rating,,,,,,
player,201111210nwe,kan,JoneTh00,rush_att,8,,,,,
