game,2011,1,20110911,201109110nyj,dal,"Dallas Cowboys",24,nyj,"New York Jets",27
team,201109110nyj,dal,First Downs,21,,,,,,
team,201109110nyj,nyj,First Downs,19,,,,,,
team,201109110nyj,dal,Rush-Yds-TDs,26-64-1,,,,,,
team,201109110nyj,nyj,Rush-Yds-TDs,16-45-0,,,,,,
team,201109110nyj,dal,Cmp-Att-Yd-TD-INT,23-36-342-2-1,,,,,,
team,201109110nyj,nyj,Cmp-Att-Yd-TD-INT,26-44-335-2-1,,,,,,
team,201109110nyj,dal,Sacked-Yards,4-16,,,,,,
team,201109110nyj,nyj,Sacked-Yards,4-20,,,,,,
team,201109110nyj,dal,Net Pass Yards,326,,,,,,
team,201109110nyj,nyj,Net Pass Yards,315,,,,,,
team,201109110nyj,dal,Total Yards,390,,,,,,
team,201109110nyj,nyj,Total Yards,360,,,,,,
team,201109110nyj,dal,Fumbles-Lost,3-2,,,,,,
team,201109110nyj,nyj,Fumbles-Lost,3-1,,,,,,
team,201109110nyj,dal,Turnovers,3,,,,,,
team,201109110nyj,nyj,Turnovers,2,,,,,,
team,201109110nyj,dal,Penalties-Yards,7-40,,,,,,
team,201109110nyj,nyj,Penalties-Yards,0-0,,,,,,
team,201109110nyj,dal,Third Down Conv.,4-12,,,,,,
team,201109110nyj,nyj,Third Down Conv.,6-14,,,,,,
team,201109110nyj,dal,Fourth Down Conv.,0-0,,,,,,
team,201109110nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201109110nyj,dal,Time of Possession,33:53,,,,,,
team,201109110nyj,nyj,Time of Possession,26:07,,,,,,
player,201109110nyj,dal,RomoTo00,pass_cmp,23,,,,,
player,201109110nyj,dal,RomoTo00,pass_att,36,,,,,
player,201109110nyj,dal,RomoTo00,pass_yds,342,,,,,
player,201109110nyj,dal,RomoTo00,pass_td,2,,,,,
player,201109110nyj,dal,RomoTo00,pass_int,1,,,,,
player,201109110nyj,dal,RomoTo00,pass_sacked,4,,,,,
player,201109110nyj,dal,RomoTo00,pass_sacked_yds,16,,,,,
player,201109110nyj,dal,RomoTo00,pass_long,64,,,,,
player,201109110nyj,dal,RomoTo00,pass_rating,101.9,,,,,
player,201109110nyj,dal,RomoTo00,rush_att,3,,,,,
player,201109110nyj,dal,RomoTo00,rush_yds,9,,,,,
player,201109110nyj,dal,RomoTo00,rush_td,0,,,,,
player,201109110nyj,dal,RomoTo00,rush_long,7,,,,,
player,201109110nyj,dal,RomoTo00,targets,0,,,,,
player,201109110nyj,dal,RomoTo00,rec,0,,,,,
player,201109110nyj,dal,RomoTo00,rec_yds,0,,,,,
player,201109110nyj,dal,RomoTo00,rec_td,0,,,,,
player,201109110nyj,dal,RomoTo00,rec_long,0,,,,,
player,201109110nyj,dal,RomoTo00,fumbles,2,,,,,
player,201109110nyj,dal,RomoTo00,fumbles_lost,1,,,,,
player,201109110nyj,dal,JoneFe00,pass_cmp,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_att,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_yds,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_td,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_int,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_sacked,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_long,0,,,,,
player,201109110nyj,dal,JoneFe00,pass_rating,,,,,,
player,201109110nyj,dal,JoneFe00,rush_att,17,,,,,
player,201109110nyj,dal,JoneFe00,rush_yds,44,,,,,
player,201109110nyj,dal,JoneFe00,rush_td,1,,,,,
player,201109110nyj,dal,JoneFe00,rush_long,8,,,,,
player,201109110nyj,dal,JoneFe00,targets,5,,,,,
player,201109110nyj,dal,JoneFe00,rec,3,,,,,
player,201109110nyj,dal,JoneFe00,rec_yds,22,,,,,
player,201109110nyj,dal,JoneFe00,rec_td,0,,,,,
player,201109110nyj,dal,JoneFe00,rec_long,19,,,,,
player,201109110nyj,dal,JoneFe00,fumbles,1,,,,,
player,201109110nyj,dal,JoneFe00,fumbles_lost,1,,,,,
player,201109110nyj,dal,OgleKe00,pass_cmp,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_att,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_yds,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_td,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_int,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_sacked,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_long,0,,,,,
player,201109110nyj,dal,OgleKe00,pass_rating,,,,,,
player,201109110nyj,dal,OgleKe00,rush_att,1,,,,,
player,201109110nyj,dal,OgleKe00,rush_yds,7,,,,,
player,201109110nyj,dal,OgleKe00,rush_td,0,,,,,
player,201109110nyj,dal,OgleKe00,rush_long,7,,,,,
player,201109110nyj,dal,OgleKe00,targets,2,,,,,
player,201109110nyj,dal,OgleKe00,rec,2,,,,,
player,201109110nyj,dal,OgleKe00,rec_yds,12,,,,,
player,201109110nyj,dal,OgleKe00,rec_td,0,,,,,
player,201109110nyj,dal,OgleKe00,rec_long,7,,,,,
player,201109110nyj,dal,OgleKe00,fumbles,0,,,,,
player,201109110nyj,dal,OgleKe00,fumbles_lost,,,,,,
player,201109110nyj,dal,ChoiTa00,pass_cmp,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_att,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_yds,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_td,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_int,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_sacked,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_sacked_yds,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_long,0,,,,,
player,201109110nyj,dal,ChoiTa00,pass_rating,,,,,,
player,201109110nyj,dal,ChoiTa00,rush_att,3,,,,,
player,201109110nyj,dal,ChoiTa00,rush_yds,4,,,,,
player,201109110nyj,dal,ChoiTa00,rush_td,0,,,,,
player,201109110nyj,dal,ChoiTa00,rush_long,2,,,,,
player,201109110nyj,dal,ChoiTa00,targets,1,,,,,
player,201109110nyj,dal,ChoiTa00,rec,1,,,,,
player,201109110nyj,dal,ChoiTa00,rec_yds,5,,,,,
player,201109110nyj,dal,ChoiTa00,rec_td,0,,,,,
player,201109110nyj,dal,ChoiTa00,rec_long,5,,,,,
player,201109110nyj,dal,ChoiTa00,fumbles,0,,,,,
player,201109110nyj,dal,ChoiTa00,fumbles_lost,,,,,,
player,201109110nyj,dal,WittJa00,pass_cmp,0,,,,,
player,201109110nyj,dal,WittJa00,pass_att,0,,,,,
