game,2011,11,20111117,201111170den,nyj,"New York Jets",13,den,"Denver Broncos",17
team,201111170den,nyj,First Downs,22,,,,,,
team,201111170den,den,First Downs,11,,,,,,
team,201111170den,nyj,Rush-Yds-TDs,28-83-0,,,,,,
team,201111170den,den,Rush-Yds-TDs,34-125-1,,,,,,
team,201111170den,nyj,Cmp-Att-Yd-TD-INT,24-40-252-0-1,,,,,,
team,201111170den,den,Cmp-Att-Yd-TD-INT,9-21-104-0-0,,,,,,
team,201111170den,nyj,Sacked-Yards,3-17,,,,,,
team,201111170den,den,Sacked-Yards,1-0,,,,,,
team,201111170den,nyj,Net Pass Yards,235,,,,,,
team,201111170den,den,Net Pass Yards,104,,,,,,
team,201111170den,nyj,Total Yards,318,,,,,,
team,201111170den,den,Total Yards,229,,,,,,
team,201111170den,nyj,Fumbles-Lost,3-1,,,,,,
team,201111170den,den,Fumbles-Lost,1-1,,,,,,
team,201111170den,nyj,Turnovers,2,,,,,,
team,201111170den,den,Turnovers,1,,,,,,
team,201111170den,nyj,Penalties-Yards,2-15,,,,,,
team,201111170den,den,Penalties-Yards,6-51,,,,,,
team,201111170den,nyj,Third Down Conv.,3-14,,,,,,
team,201111170den,den,Third Down Conv.,3-13,,,,,,
team,201111170den,nyj,Fourth Down Conv.,1-1,,,,,,
team,201111170den,den,Fourth Down Conv.,0-1,,,,,,
team,201111170den,nyj,Time of Possession,32:12,,,,,,
team,201111170den,den,Time of Possession,27:48,,,,,,
player,201111170den,nyj,SancMa00,pass_cmp,24,,,,,
player,201111170den,nyj,SancMa00,pass_att,40,,,,,
player,201111170den,nyj,SancMa00,pass_yds,252,,,,,
player,201111170den,nyj,SancMa00,pass_td,0,,,,,
player,201111170den,nyj,SancMa00,pass_int,1,,,,,
player,201111170den,nyj,SancMa00,pass_sacked,3,,,,,
player,201111170den,nyj,SancMa00,pass_sacked_yds,17,,,,,
player,201111170den,nyj,SancMa00,pass_long,30,,,,,
player,201111170den,nyj,SancMa00,pass_rating,67.9,,,,,
player,201111170den,nyj,SancMa00,rush_att,1,,,,,
player,201111170den,nyj,SancMa00,rush_yds,0,,,,,
player,201111170den,nyj,SancMa00,rush_td,0,,,,,
player,201111170den,nyj,SancMa00,rush_long,0,,,,,
player,201111170den,nyj,SancMa00,targets,0,,,,,
player,201111170den,nyj,SancMa00,rec,0,,,,,
player,201111170den,nyj,SancMa00,rec_yds,0,,,,,
player,201111170den,nyj,SancMa00,rec_td,0,,,,,
player,201111170den,nyj,SancMa00,rec_long,0,,,,,
player,201111170den,nyj,SancMa00,fumbles,0,,,,,
player,201111170den,nyj,SancMa00,fumbles_lost,0,,,,,
player,201111170den,nyj,McKnJo00,pass_cmp,0,,,,,
player,201111170den,nyj,McKnJo00,pass_att,0,,,,,
player,201111170den,nyj,McKnJo00,pass_yds,0,,,,,
player,201111170den,nyj,McKnJo00,pass_td,0,,,,,
player,201111170den,nyj,McKnJo00,pass_int,0,,,,,
player,201111170den,nyj,McKnJo00,pass_sacked,0,,,,,
player,201111170den,nyj,McKnJo00,pass_sacked_yds,0,,,,,
player,201111170den,nyj,McKnJo00,pass_long,0,,,,,
player,201111170den,nyj,McKnJo00,pass_rating,,,,,,
player,201111170den,nyj,McKnJo00,rush_att,16,,,,,
player,201111170den,nyj,McKnJo00,rush_yds,59,,,,,
player,201111170den,nyj,McKnJo00,rush_td,0,,,,,
player,201111170den,nyj,McKnJo00,rush_long,11,,,,,
player,201111170den,nyj,McKnJo00,targets,7,,,,,
player,201111170den,nyj,McKnJo00,rec,6,,,,,
player,201111170den,nyj,McKnJo00,rec_yds,62,,,,,
player,201111170den,nyj,McKnJo00,rec_td,0,,,,,
player,201111170den,nyj,McKnJo00,rec_long,14,,,,,
player,201111170den,nyj,McKnJo00,fumbles,1,,,,,
player,201111170den,nyj,McKnJo00,fumbles_lost,1,,,,,
player,201111170den,nyj,PoweBi00,pass_cmp,0,,,,,
player,201111170den,nyj,PoweBi00,pass_att,0,,,,,
player,201111170den,nyj,PoweBi00,pass_yds,0,,,,,
player,201111170den,nyj,PoweBi00,pass_td,0,,,,,
player,201111170den,nyj,PoweBi00,pass_int,0,,,,,
player,201111170den,nyj,PoweBi00,pass_sacked,0,,,,,
player,201111170den,nyj,PoweBi00,pass_sacked_yds,0,,,,,
player,201111170den,nyj,PoweBi00,pass_long,0,,,,,
