game,2011,17,20120101,201201010crd,sea,"Seattle Seahawks",20,crd,"Arizona Cardinals",23
team,201201010crd,sea,First Downs,19,,,,,,
team,201201010crd,crd,First Downs,20,,,,,,
team,201201010crd,sea,Rush-Yds-TDs,34-178-1,,,,,,
team,201201010crd,crd,Rush-Yds-TDs,31-131-1,,,,,,
team,201201010crd,sea,Cmp-Att-Yd-TD-INT,21-35-222-1-1,,,,,,
team,201201010crd,crd,Cmp-Att-Yd-TD-INT,22-40-271-1-1,,,,,,
team,201201010crd,sea,Sacked-Yards,4-31,,,,,,
team,201201010crd,crd,Sacked-Yards,2-14,,,,,,
team,201201010crd,sea,Net Pass Yards,191,,,,,,
team,201201010crd,crd,Net Pass Yards,257,,,,,,
team,201201010crd,sea,Total Yards,369,,,,,,
team,201201010crd,crd,Total Yards,388,,,,,,
team,201201010crd,sea,Fumbles-Lost,1-0,,,,,,
team,201201010crd,crd,Fumbles-Lost,1-1,,,,,,
team,201201010crd,sea,Turnovers,1,,,,,,
team,201201010crd,crd,Turnovers,2,,,,,,
team,201201010crd,sea,Penalties-Yards,7-55,,,,,,
team,201201010crd,crd,Penalties-Yards,9-76,,,,,,
team,201201010crd,sea,Third Down Conv.,3-16,,,,,,
team,201201010crd,crd,Third Down Conv.,7-17,,,,,,
team,201201010crd,sea,Fourth Down Conv.,0-0,,,,,,
team,201201010crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201201010crd,sea,Time of Possession,33:42,,,,,,
team,201201010crd,crd,Time of Possession,35:19,,,,,,
player,201201010crd,sea,JackTa00,pass_cmp,21,,,,,
player,201201010crd,sea,JackTa00,pass_att,35,,,,,
player,201201010crd,sea,JackTa00,pass_yds,222,,,,,
player,201201010crd,sea,JackTa00,pass_td,1,,,,,
player,201201010crd,sea,JackTa00,pass_int,1,,,,,
player,201201010crd,sea,JackTa00,pass_sacked,4,,,,,
player,201201010crd,sea,JackTa00,pass_sacked_yds,31,,,,,
player,201201010crd,sea,JackTa00,pass_long,61,,,,,
player,201201010crd,sea,JackTa00,pass_rating,76.1,,,,,
player,201201010crd,sea,JackTa00,rush_att,1,,,,,
player,201201010crd,sea,JackTa00,rush_yds,3,,,,,
player,201201010crd,sea,JackTa00,rush_td,0,,,,,
player,201201010crd,sea,JackTa00,rush_long,3,,,,,
player,201201010crd,sea,JackTa00,targets,0,,,,,
player,201201010crd,sea,JackTa00,rec,0,,,,,
player,201201010crd,sea,JackTa00,rec_yds,0,,,,,
player,201201010crd,sea,JackTa00,rec_td,0,,,,,
player,201201010crd,sea,JackTa00,rec_long,0,,,,,
player,201201010crd,sea,JackTa00,fumbles,1,,,,,
player,201201010crd,sea,JackTa00,fumbles_lost,0,,,,,
player,201201010crd,sea,LyncMa00,pass_cmp,0,,,,,
player,201201010crd,sea,LyncMa00,pass_att,0,,,,,
player,201201010crd,sea,LyncMa00,pass_yds,0,,,,,
player,201201010crd,sea,LyncMa00,pass_td,0,,,,,
player,201201010crd,sea,LyncMa00,pass_int,0,,,,,
player,201201010crd,sea,LyncMa00,pass_sacked,0,,,,,
player,201201010crd,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,LyncMa00,pass_long,0,,,,,
player,201201010crd,sea,LyncMa00,pass_rating,,,,,,
player,201201010crd,sea,LyncMa00,rush_att,19,,,,,
player,201201010crd,sea,LyncMa00,rush_yds,86,,,,,
player,201201010crd,sea,LyncMa00,rush_td,0,,,,,
player,201201010crd,sea,LyncMa00,rush_long,18,,,,,
player,201201010crd,sea,LyncMa00,targets,4,,,,,
player,201201010crd,sea,LyncMa00,rec,2,,,,,
player,201201010crd,sea,LyncMa00,rec_yds,5,,,,,
player,201201010crd,sea,LyncMa00,rec_td,0,,,,,
player,201201010crd,sea,LyncMa00,rec_long,3,,,,,
player,201201010crd,sea,LyncMa00,fumbles,0,,,,,
player,201201010crd,sea,LyncMa00,fumbles_lost,,,,,,
player,201201010crd,sea,WashLe00,pass_cmp,0,,,,,
player,201201010crd,sea,WashLe00,pass_att,0,,,,,
player,201201010crd,sea,WashLe00,pass_yds,0,,,,,
player,201201010crd,sea,WashLe00,pass_td,0,,,,,
player,201201010crd,sea,WashLe00,pass_int,0,,,,,
player,201201010crd,sea,WashLe00,pass_sacked,0,,,,,
player,201201010crd,sea,WashLe00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,WashLe00,pass_long,0,,,,,
player,201201010crd,sea,WashLe00,pass_rating,,,,,,
player,201201010crd,sea,WashLe00,rush_att,7,,,,,
player,201201010crd,sea,WashLe00,rush_yds,78,,,,,
player,201201010crd,sea,WashLe00,rush_td,1,,,,,
player,201201010crd,sea,WashLe00,rush_long,48,,,,,
player,201201010crd,sea,WashLe00,targets,2,,,,,
player,201201010crd,sea,WashLe00,rec,2,,,,,
player,201201010crd,sea,WashLe00,rec_yds,12,,,,,
player,201201010crd,sea,WashLe00,rec_td,0,,,,,
player,201201010crd,sea,WashLe00,rec_long,8,,,,,
player,201201010crd,sea,WashLe00,fumbles,0,,,,,
player,201201010crd,sea,WashLe00,fumbles_lost,,,,,,
player,201201010crd,sea,ForsJu00,pass_cmp,0,,,,,
player,201201010crd,sea,ForsJu00,pass_att,0,,,,,
player,201201010crd,sea,ForsJu00,pass_yds,0,,,,,
player,201201010crd,sea,ForsJu00,pass_td,0,,,,,
player,201201010crd,sea,ForsJu00,pass_int,0,,,,,
player,201201010crd,sea,ForsJu00,pass_sacked,0,,,,,
player,201201010crd,sea,ForsJu00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,ForsJu00,pass_long,0,,,,,
player,201201010crd,sea,ForsJu00,pass_rating,,,,,,
player,201201010crd,sea,ForsJu00,rush_att,6,,,,,
player,201201010crd,sea,ForsJu00,rush_yds,16,,,,,
player,201201010crd,sea,ForsJu00,rush_td,0,,,,,
player,201201010crd,sea,ForsJu00,rush_long,13,,,,,
player,201201010crd,sea,ForsJu00,targets,3,,,,,
player,201201010crd,sea,ForsJu00,rec,3,,,,,
player,201201010crd,sea,ForsJu00,rec_yds,-4,,,,,
player,201201010crd,sea,ForsJu00,rec_td,0,,,,,
player,201201010crd,sea,ForsJu00,rec_long,3,,,,,
player,201201010crd,sea,ForsJu00,fumbles,0,,,,,
player,201201010crd,sea,ForsJu00,fumbles_lost,,,,,,
player,201201010crd,sea,LockRi00,pass_cmp,0,,,,,
player,201201010crd,sea,LockRi00,pass_att,0,,,,,
player,201201010crd,sea,LockRi00,pass_yds,0,,,,,
player,201201010crd,sea,LockRi00,pass_td,0,,,,,
player,201201010crd,sea,LockRi00,pass_int,0,,,,,
player,201201010crd,sea,LockRi00,pass_sacked,0,,,,,
player,201201010crd,sea,LockRi00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,LockRi00,pass_long,0,,,,,
player,201201010crd,sea,LockRi00,pass_rating,,,,,,
player,201201010crd,sea,LockRi00,rush_att,0,,,,,
player,201201010crd,sea,LockRi00,rush_yds,0,,,,,
player,201201010crd,sea,LockRi00,rush_td,0,,,,,
player,201201010crd,sea,LockRi00,rush_long,0,,,,,
player,201201010crd,sea,LockRi00,targets,2,,,,,
player,201201010crd,sea,LockRi00,rec,1,,,,,
player,201201010crd,sea,LockRi00,rec_yds,61,,,,,
player,201201010crd,sea,LockRi00,rec_td,1,,,,,
player,201201010crd,sea,LockRi00,rec_long,61,,,,,
player,201201010crd,sea,LockRi00,fumbles,0,,,,,
player,201201010crd,sea,LockRi00,fumbles_lost,,,,,,
player,201201010crd,sea,BaldDo00,pass_cmp,0,,,,,
player,201201010crd,sea,BaldDo00,pass_att,0,,,,,
player,201201010crd,sea,BaldDo00,pass_yds,0,,,,,
player,201201010crd,sea,BaldDo00,pass_td,0,,,,,
player,201201010crd,sea,BaldDo00,pass_int,0,,,,,
player,201201010crd,sea,BaldDo00,pass_sacked,0,,,,,
player,201201010crd,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,BaldDo00,pass_long,0,,,,,
player,201201010crd,sea,BaldDo00,pass_rating,,,,,,
player,201201010crd,sea,BaldDo00,rush_att,0,,,,,
player,201201010crd,sea,BaldDo00,rush_yds,0,,,,,
player,201201010crd,sea,BaldDo00,rush_td,0,,,,,
player,201201010crd,sea,BaldDo00,rush_long,0,,,,,
player,201201010crd,sea,BaldDo00,targets,4,,,,,
player,201201010crd,sea,BaldDo00,rec,3,,,,,
player,201201010crd,sea,BaldDo00,rec_yds,40,,,,,
player,201201010crd,sea,BaldDo00,rec_td,0,,,,,
player,201201010crd,sea,BaldDo00,rec_long,21,,,,,
player,201201010crd,sea,BaldDo00,fumbles,0,,,,,
player,201201010crd,sea,BaldDo00,fumbles_lost,,,,,,
player,201201010crd,sea,ObomBe00,pass_cmp,0,,,,,
player,201201010crd,sea,ObomBe00,pass_att,0,,,,,
player,201201010crd,sea,ObomBe00,pass_yds,0,,,,,
player,201201010crd,sea,ObomBe00,pass_td,0,,,,,
player,201201010crd,sea,ObomBe00,pass_int,0,,,,,
player,201201010crd,sea,ObomBe00,pass_sacked,0,,,,,
player,201201010crd,sea,ObomBe00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,ObomBe00,pass_long,0,,,,,
player,201201010crd,sea,ObomBe00,pass_rating,,,,,,
player,201201010crd,sea,ObomBe00,rush_att,0,,,,,
player,201201010crd,sea,ObomBe00,rush_yds,0,,,,,
player,201201010crd,sea,ObomBe00,rush_td,0,,,,,
player,201201010crd,sea,ObomBe00,rush_long,0,,,,,
player,201201010crd,sea,ObomBe00,targets,7,,,,,
player,201201010crd,sea,ObomBe00,rec,3,,,,,
player,201201010crd,sea,ObomBe00,rec_yds,37,,,,,
player,201201010crd,sea,ObomBe00,rec_td,0,,,,,
player,201201010crd,sea,ObomBe00,rec_long,20,,,,,
player,201201010crd,sea,ObomBe00,fumbles,0,,,,,
player,201201010crd,sea,ObomBe00,fumbles_lost,,,,,,
player,201201010crd,sea,MorrCa00,pass_cmp,0,,,,,
player,201201010crd,sea,MorrCa00,pass_att,0,,,,,
player,201201010crd,sea,MorrCa00,pass_yds,0,,,,,
player,201201010crd,sea,MorrCa00,pass_td,0,,,,,
player,201201010crd,sea,MorrCa00,pass_int,0,,,,,
player,201201010crd,sea,MorrCa00,pass_sacked,0,,,,,
player,201201010crd,sea,MorrCa00,pass_sacked_yds,0,,,,,
player,201201010crd,sea,MorrCa00,pass_long,0,,,,,
player,201201010crd,sea,MorrCa00,pass_rating,,,,,,
player,201201010crd,sea,MorrCa00,rush_att,0,,,,,
player,201201010crd,sea,MorrCa00,rush_yds,0,,,,,
player,201201010crd,sea,MorrCa00,rush_td,0,,,,,
player,201201010crd,sea,MorrCa00,rush_long,0,,,,,
player,201201010crd,sea,MorrCa00,targets,2,,,,,
player,201201010crd,sea,MorrCa00,rec,1,,,,,
player,201201010crd,sea,MorrCa00,rec_yds,14,,,,,
player,201201010crd,sea,MorrCa00,rec_td,0,,,,,
player,201201010crd,sea,MorrCa00,rec_long,14,,,,,
player,201201010crd,sea,MorrCa00,fumbles,0,,,,,
player,201201010crd,sea,MorrCa00,fumbles_lost,,,,,,
