game,2011,10,20111113,201111130cle,ram,"St. Louis Rams",13,cle,"Cleveland Browns",12
team,201111130cle,ram,First Downs,17,,,,,,
team,201111130cle,cle,First Downs,16,,,,,,
team,201111130cle,ram,Rush-Yds-TDs,32-133-0,,,,,,
team,201111130cle,cle,Rush-Yds-TDs,30-126-0,,,,,,
team,201111130cle,ram,Cmp-Att-Yd-TD-INT,15-25-155-1-1,,,,,,
team,201111130cle,cle,Cmp-Att-Yd-TD-INT,20-27-218-0-0,,,,,,
team,201111130cle,ram,Sacked-Yards,1-7,,,,,,
team,201111130cle,cle,Sacked-Yards,2-9,,,,,,
team,201111130cle,ram,Net Pass Yards,148,,,,,,
team,201111130cle,cle,Net Pass Yards,209,,,,,,
team,201111130cle,ram,Total Yards,281,,,,,,
team,201111130cle,cle,Total Yards,335,,,,,,
team,201111130cle,ram,Fumbles-Lost,1-1,,,,,,
team,201111130cle,cle,Fumbles-Lost,2-1,,,,,,
team,201111130cle,ram,Turnovers,2,,,,,,
team,201111130cle,cle,Turnovers,1,,,,,,
team,201111130cle,ram,Penalties-Yards,7-55,,,,,,
team,201111130cle,cle,Penalties-Yards,6-60,,,,,,
team,201111130cle,ram,Third Down Conv.,4-12,,,,,,
team,201111130cle,cle,Third Down Conv.,5-14,,,,,,
team,201111130cle,ram,Fourth Down Conv.,0-0,,,,,,
team,201111130cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201111130cle,ram,Time of Possession,27:33,,,,,,
team,201111130cle,cle,Time of Possession,32:27,,,,,,
player,201111130cle,ram,BradSa00,pass_cmp,15,,,,,
player,201111130cle,ram,BradSa00,pass_att,25,,,,,
player,201111130cle,ram,BradSa00,pass_yds,155,,,,,
player,201111130cle,ram,BradSa00,pass_td,1,,,,,
player,201111130cle,ram,BradSa00,pass_int,1,,,,,
player,201111130cle,ram,BradSa00,pass_sacked,1,,,,,
player,201111130cle,ram,BradSa00,pass_sacked_yds,7,,,,,
player,201111130cle,ram,BradSa00,pass_long,24,,,,,
player,201111130cle,ram,BradSa00,pass_rating,74.6,,,,,
player,201111130cle,ram,BradSa00,rush_att,4,,,,,
player,201111130cle,ram,BradSa00,rush_yds,3,,,,,
player,201111130cle,ram,BradSa00,rush_td,0,,,,,
player,201111130cle,ram,BradSa00,rush_long,6,,,,,
player,201111130cle,ram,BradSa00,targets,0,,,,,
player,201111130cle,ram,BradSa00,rec,0,,,,,
player,201111130cle,ram,BradSa00,rec_yds,0,,,,,
player,201111130cle,ram,BradSa00,rec_td,0,,,,,
player,201111130cle,ram,BradSa00,rec_long,0,,,,,
player,201111130cle,ram,BradSa00,fumbles,0,,,,,
player,201111130cle,ram,BradSa00,fumbles_lost,,,,,,
player,201111130cle,ram,JackSt00,pass_cmp,0,,,,,
player,201111130cle,ram,JackSt00,pass_att,0,,,,,
