game,2011,13,20111204,201112040was,nyj,"New York Jets",34,was,"Washington Redskins",19
team,201112040was,nyj,First Downs,16,,,,,,
team,201112040was,was,First Downs,17,,,,,,
team,201112040was,nyj,Rush-Yds-TDs,30-101-3,,,,,,
team,201112040was,was,Rush-Yds-TDs,23-100-1,,,,,,
team,201112040was,nyj,Cmp-Att-Yd-TD-INT,19-32-165-1-0,,,,,,
team,201112040was,was,Cmp-Att-Yd-TD-INT,19-46-221-0-1,,,,,,
team,201112040was,nyj,Sacked-Yards,0-0,,,,,,
team,201112040was,was,Sacked-Yards,2-17,,,,,,
team,201112040was,nyj,Net Pass Yards,165,,,,,,
team,201112040was,was,Net Pass Yards,204,,,,,,
team,201112040was,nyj,Total Yards,266,,,,,,
team,201112040was,was,Total Yards,304,,,,,,
team,201112040was,nyj,Fumbles-Lost,1-1,,,,,,
team,201112040was,was,Fumbles-Lost,3-2,,,,,,
team,201112040was,nyj,Turnovers,1,,,,,,
team,201112040was,was,Turnovers,3,,,,,,
team,201112040was,nyj,Penalties-Yards,6-40,,,,,,
team,201112040was,was,Penalties-Yards,6-50,,,,,,
team,201112040was,nyj,Third Down Conv.,4-13,,,,,,
team,201112040was,was,Third Down Conv.,5-16,,,,,,
team,201112040was,nyj,Fourth Down Conv.,1-1,,,,,,
team,201112040was,was,Fourth Down Conv.,0-0,,,,,,
team,201112040was,nyj,Time of Possession,32:12,,,,,,
team,201112040was,was,Time of Possession,27:48,,,,,,
player,201112040was,nyj,SancMa00,pass_cmp,19,,,,,
player,201112040was,nyj,SancMa00,pass_att,32,,,,,
player,201112040was,nyj,SancMa00,pass_yds,165,,,,,
player,201112040was,nyj,SancMa00,pass_td,1,,,,,
player,201112040was,nyj,SancMa00,pass_int,0,,,,,
player,201112040was,nyj,SancMa00,pass_sacked,0,,,,,
player,201112040was,nyj,SancMa00,pass_sacked_yds,0,,,,,
player,201112040was,nyj,SancMa00,pass_long,30,,,,,
player,201112040was,nyj,SancMa00,pass_rating,83.5,,,,,
player,201112040was,nyj,SancMa00,rush_att,3,,,,,
player,201112040was,nyj,SancMa00,rush_yds,1,,,,,
player,201112040was,nyj,SancMa00,rush_td,0,,,,,
player,201112040was,nyj,SancMa00,rush_long,3,,,,,
player,201112040was,nyj,SancMa00,targets,0,,,,,
player,201112040was,nyj,SancMa00,rec,0,,,,,
player,201112040was,nyj,SancMa00,rec_yds,0,,,,,
player,201112040was,nyj,SancMa00,rec_td,0,,,,,
player,201112040was,nyj,SancMa00,rec_long,0,,,,,
player,201112040was,nyj,SancMa00,fumbles,0,,,,,
player,201112040was,nyj,SancMa00,fumbles_lost,,,,,,
player,201112040was,nyj,GreeSh00,pass_cmp,0,,,,,
player,201112040was,nyj,GreeSh00,pass_att,0,,,,,
player,201112040was,nyj,GreeSh00,pass_yds,0,,,,,
player,201112040was,nyj,GreeSh00,pass_td,0,,,,,
player,201112040was,nyj,GreeSh00,pass_int,0,,,,,
player,201112040was,nyj,GreeSh00,pass_sacked,0,,,,,
player,201112040was,nyj,GreeSh00,pass_sacked_yds,0,,,,,
player,201112040was,nyj,GreeSh00,pass_long,0,,,,,
player,201112040was,nyj,GreeSh00,pass_rating,,,,,,
player,201112040was,nyj,GreeSh00,rush_att,22,,,,,
player,201112040was,nyj,GreeSh00,rush_yds,88,,,,,
player,201112040was,nyj,GreeSh00,rush_td,3,,,,,
player,201112040was,nyj,GreeSh00,rush_long,25,,,,,
player,201112040was,nyj,GreeSh00,targets,4,,,,,
player,201112040was,nyj,GreeSh00,rec,3,,,,,
player,201112040was,nyj,GreeSh00,rec_yds,26,,,,,
player,201112040was,nyj,GreeSh00,rec_td,0,,,,,
player,201112040was,nyj,GreeSh00,rec_long,10,,,,,
player,201112040was,nyj,GreeSh00,fumbles,0,,,,,
player,201112040was,nyj,GreeSh00,fumbles_lost,,,,,,
player,201112040was,nyj,KerlJe00,pass_cmp,0,,,,,
player,201112040was,nyj,KerlJe00,pass_att,0,,,,,
player,201112040was,nyj,KerlJe00,pass_yds,0,,,,,
player,201112040was,nyj,KerlJe00,pass_td,0,,,,,
player,201112040was,nyj,KerlJe00,pass_int,0,,,,,
player,201112040was,nyj,KerlJe00,pass_sacked,0,,,,,
player,201112040was,nyj,KerlJe00,pass_sacked_yds,0,,,,,
player,201112040was,nyj,KerlJe00,pass_long,0,,,,,
player,201112040was,nyj,KerlJe00,pass_rating,,,,,,
player,201112040was,nyj,KerlJe00,rush_att,1,,,,,
player,201112040was,nyj,KerlJe00,rush_yds,6,,,,,
player,201112040was,nyj,KerlJe00,rush_td,0,,,,,
player,201112040was,nyj,KerlJe00,rush_long,6,,,,,
player,201112040was,nyj,KerlJe00,targets,1,,,,,
player,201112040was,nyj,KerlJe00,rec,1,,,,,
player,201112040was,nyj,KerlJe00,rec_yds,7,,,,,
player,201112040was,nyj,KerlJe00,rec_td,0,,,,,
player,201112040was,nyj,KerlJe00,rec_long,7,,,,,
player,201112040was,nyj,KerlJe00,fumbles,1,,,,,
player,201112040was,nyj,KerlJe00,fumbles_lost,1,,,,,
player,201112040was,nyj,TomlLa00,pass_cmp,0,,,,,
player,201112040was,nyj,TomlLa00,pass_att,0,,,,,
player,201112040was,nyj,TomlLa00,pass_yds,0,,,,,
player,201112040was,nyj,TomlLa00,pass_td,0,,,,,
player,201112040was,nyj,TomlLa00,pass_int,0,,,,,
player,201112040was,nyj,TomlLa00,pass_sacked,0,,,,,
player,201112040was,nyj,TomlLa00,pass_sacked_yds,0,,,,,
player,201112040was,nyj,TomlLa00,pass_long,0,,,,,
player,201112040was,nyj,TomlLa00,pass_rating,,,,,,
player,201112040was,nyj,TomlLa00,rush_att,1,,,,,
player,201112040was,nyj,TomlLa00,rush_yds,5,,,,,
player,201112040was,nyj,TomlLa00,rush_td,0,,,,,
player,201112040was,nyj,TomlLa00,rush_long,5,,,,,
player,201112040was,nyj,TomlLa00,targets,1,,,,,
player,201112040was,nyj,TomlLa00,rec,1,,,,,
