game,2011,10,20111113,201111130nyj,nwe,"New England Patriots",37,nyj,"New York Jets",16
team,201111130nyj,nwe,First Downs,21,,,,,,
team,201111130nyj,nyj,First Downs,22,,,,,,
team,201111130nyj,nwe,Rush-Yds-TDs,28-60-0,,,,,,
team,201111130nyj,nyj,Rush-Yds-TDs,25-110-1,,,,,,
team,201111130nyj,nwe,Cmp-Att-Yd-TD-INT,26-39-329-3-0,,,,,,
team,201111130nyj,nyj,Cmp-Att-Yd-TD-INT,20-39-306-1-2,,,,,,
team,201111130nyj,nwe,Sacked-Yards,0-0,,,,,,
team,201111130nyj,nyj,Sacked-Yards,5-38,,,,,,
team,201111130nyj,nwe,Net Pass Yards,329,,,,,,
team,201111130nyj,nyj,Net Pass Yards,268,,,,,,
team,201111130nyj,nwe,Total Yards,389,,,,,,
team,201111130nyj,nyj,Total Yards,378,,,,,,
team,201111130nyj,nwe,Fumbles-Lost,1-0,,,,,,
team,201111130nyj,nyj,Fumbles-Lost,1-1,,,,,,
team,201111130nyj,nwe,Turnovers,0,,,,,,
team,201111130nyj,nyj,Turnovers,3,,,,,,
team,201111130nyj,nwe,Penalties-Yards,9-80,,,,,,
team,201111130nyj,nyj,Penalties-Yards,5-56,,,,,,
team,201111130nyj,nwe,Third Down Conv.,4-13,,,,,,
team,201111130nyj,nyj,Third Down Conv.,5-13,,,,,,
team,201111130nyj,nwe,Fourth Down Conv.,0-1,,,,,,
team,201111130nyj,nyj,Fourth Down Conv.,0-2,,,,,,
team,201111130nyj,nwe,Time of Possession,30:07,,,,,,
team,201111130nyj,nyj,Time of Possession,29:53,,,,,,
player,201111130nyj,nwe,BradTo00,pass_cmp,26,,,,,
player,201111130nyj,nwe,BradTo00,pass_att,39,,,,,
player,201111130nyj,nwe,BradTo00,pass_yds,329,,,,,
player,201111130nyj,nwe,BradTo00,pass_td,3,,,,,
player,201111130nyj,nwe,BradTo00,pass_int,0,,,,,
player,201111130nyj,nwe,BradTo00,pass_sacked,0,,,,,
player,201111130nyj,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201111130nyj,nwe,BradTo00,pass_long,53,,,,,
player,201111130nyj,nwe,BradTo00,pass_rating,118.4,,,,,
player,201111130nyj,nwe,BradTo00,rush_att,3,,,,,
player,201111130nyj,nwe,BradTo00,rush_yds,2,,,,,
player,201111130nyj,nwe,BradTo00,rush_td,0,,,,,
player,201111130nyj,nwe,BradTo00,rush_long,3,,,,,
player,201111130nyj,nwe,BradTo00,targets,0,,,,,
player,201111130nyj,nwe,BradTo00,rec,0,,,,,
player,201111130nyj,nwe,BradTo00,rec_yds,0,,,,,
player,201111130nyj,nwe,BradTo00,rec_td,0,,,,,
player,201111130nyj,nwe,BradTo00,rec_long,0,,,,,
player,201111130nyj,nwe,BradTo00,fumbles,1,,,,,
player,201111130nyj,nwe,BradTo00,fumbles_lost,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_cmp,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_att,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_yds,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_td,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_int,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_sacked,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_long,0,,,,,
player,201111130nyj,nwe,WoodDa02,pass_rating,,,,,,
player,201111130nyj,nwe,WoodDa02,rush_att,7,,,,,
player,201111130nyj,nwe,WoodDa02,rush_yds,38,,,,,
player,201111130nyj,nwe,WoodDa02,rush_td,0,,,,,
player,201111130nyj,nwe,WoodDa02,rush_long,9,,,,,
player,201111130nyj,nwe,WoodDa02,targets,3,,,,,
player,201111130nyj,nwe,WoodDa02,rec,1,,,,,
player,201111130nyj,nwe,WoodDa02,rec_yds,6,,,,,
player,201111130nyj,nwe,WoodDa02,rec_td,0,,,,,
player,201111130nyj,nwe,WoodDa02,rec_long,6,,,,,
player,201111130nyj,nwe,WoodDa02,fumbles,0,,,,,
player,201111130nyj,nwe,WoodDa02,fumbles_lost,,,,,,
player,201111130nyj,nwe,FaulKe00,pass_cmp,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_att,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_yds,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_td,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_int,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_sacked,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_sacked_yds,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_long,0,,,,,
player,201111130nyj,nwe,FaulKe00,pass_rating,,,,,,
player,201111130nyj,nwe,FaulKe00,rush_att,5,,,,,
player,201111130nyj,nwe,FaulKe00,rush_yds,8,,,,,
