game,2011,4,20111002,201110020chi,car,"Carolina Panthers",29,chi,"Chicago Bears",34
team,201110020chi,car,First Downs,24,,,,,,
team,201110020chi,chi,First Downs,15,,,,,,
team,201110020chi,car,Rush-Yds-TDs,26-169-2,,,,,,
team,201110020chi,chi,Rush-Yds-TDs,31-224-2,,,,,,
team,201110020chi,car,Cmp-Att-Yd-TD-INT,27-46-374-1-1,,,,,,
team,201110020chi,chi,Cmp-Att-Yd-TD-INT,9-17-102-0-1,,,,,,
team,201110020chi,car,Sacked-Yards,0-0,,,,,,
team,201110020chi,chi,Sacked-Yards,1-9,,,,,,
team,201110020chi,car,Net Pass Yards,374,,,,,,
team,201110020chi,chi,Net Pass Yards,93,,,,,,
team,201110020chi,car,Total Yards,543,,,,,,
team,201110020chi,chi,Total Yards,317,,,,,,
team,201110020chi,car,Fumbles-Lost,1-0,,,,,,
team,201110020chi,chi,Fumbles-Lost,0-0,,,,,,
team,201110020chi,car,Turnovers,1,,,,,,
team,201110020chi,chi,Turnovers,1,,,,,,
team,201110020chi,car,Penalties-Yards,8-52,,,,,,
team,201110020chi,chi,Penalties-Yards,5-45,,,,,,
team,201110020chi,car,Third Down Conv.,2-12,,,,,,
team,201110020chi,chi,Third Down Conv.,3-10,,,,,,
team,201110020chi,car,Fourth Down Conv.,1-2,,,,,,
team,201110020chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201110020chi,car,Time of Possession,33:29,,,,,,
team,201110020chi,chi,Time of Possession,26:31,,,,,,
player,201110020chi,car,NewtCa00,pass_cmp,27,,,,,
player,201110020chi,car,NewtCa00,pass_att,46,,,,,
player,201110020chi,car,NewtCa00,pass_yds,374,,,,,
player,201110020chi,car,NewtCa00,pass_td,1,,,,,
player,201110020chi,car,NewtCa00,pass_int,1,,,,,
player,201110020chi,car,NewtCa00,pass_sacked,0,,,,,
player,201110020chi,car,NewtCa00,pass_sacked_yds,0,,,,,
player,201110020chi,car,NewtCa00,pass_long,53,,,,,
player,201110020chi,car,NewtCa00,pass_rating,83.1,,,,,
player,201110020chi,car,NewtCa00,rush_att,8,,,,,
player,201110020chi,car,NewtCa00,rush_yds,35,,,,,
player,201110020chi,car,NewtCa00,rush_td,2,,,,,
player,201110020chi,car,NewtCa00,rush_long,14,,,,,
player,201110020chi,car,NewtCa00,targets,0,,,,,
player,201110020chi,car,NewtCa00,rec,0,,,,,
player,201110020chi,car,NewtCa00,rec_yds,0,,,,,
player,201110020chi,car,NewtCa00,rec_td,0,,,,,
player,201110020chi,car,NewtCa00,rec_long,0,,,,,
player,201110020chi,car,NewtCa00,fumbles,1,,,,,
player,201110020chi,car,NewtCa00,fumbles_lost,0,,,,,
player,201110020chi,car,WillDe02,pass_cmp,0,,,,,
player,201110020chi,car,WillDe02,pass_att,0,,,,,
player,201110020chi,car,WillDe02,pass_yds,0,,,,,
player,201110020chi,car,WillDe02,pass_td,0,,,,,
player,201110020chi,car,WillDe02,pass_int,0,,,,,
player,201110020chi,car,WillDe02,pass_sacked,0,,,,,
player,201110020chi,car,WillDe02,pass_sacked_yds,0,,,,,
