game,2011,17,20120101,201201010cle,pit,"Pittsburgh Steelers",13,cle,"Cleveland Browns",9
team,201201010cle,pit,First Downs,22,,,,,,
team,201201010cle,cle,First Downs,14,,,,,,
team,201201010cle,pit,Rush-Yds-TDs,36-161-1,,,,,,
team,201201010cle,cle,Rush-Yds-TDs,15-72-0,,,,,,
team,201201010cle,pit,Cmp-Att-Yd-TD-INT,23-40-221-0-0,,,,,,
team,201201010cle,cle,Cmp-Att-Yd-TD-INT,16-41-177-0-1,,,,,,
team,201201010cle,pit,Sacked-Yards,2-22,,,,,,
team,201201010cle,cle,Sacked-Yards,2-9,,,,,,
team,201201010cle,pit,Net Pass Yards,199,,,,,,
team,201201010cle,cle,Net Pass Yards,168,,,,,,
team,201201010cle,pit,Total Yards,360,,,,,,
team,201201010cle,cle,Total Yards,240,,,,,,
team,201201010cle,pit,Fumbles-Lost,2-2,,,,,,
team,201201010cle,cle,Fumbles-Lost,2-0,,,,,,
team,201201010cle,pit,Turnovers,2,,,,,,
team,201201010cle,cle,Turnovers,1,,,,,,
team,201201010cle,pit,Penalties-Yards,4-37,,,,,,
team,201201010cle,cle,Penalties-Yards,5-40,,,,,,
team,201201010cle,pit,Third Down Conv.,8-16,,,,,,
team,201201010cle,cle,Third Down Conv.,4-14,,,,,,
team,201201010cle,pit,Fourth Down Conv.,1-2,,,,,,
team,201201010cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201201010cle,pit,Time of Possession,39:11,,,,,,
team,201201010cle,cle,Time of Possession,20:49,,,,,,
player,201201010cle,pit,RoetBe00,pass_cmp,23,,,,,
player,201201010cle,pit,RoetBe00,pass_att,40,,,,,
player,201201010cle,pit,RoetBe00,pass_yds,221,,,,,
player,201201010cle,pit,RoetBe00,pass_td,0,,,,,
player,201201010cle,pit,RoetBe00,pass_int,0,,,,,
player,201201010cle,pit,RoetBe00,pass_sacked,2,,,,,
player,201201010cle,pit,RoetBe00,pass_sacked_yds,22,,,,,
player,201201010cle,pit,RoetBe00,pass_long,40,,,,,
player,201201010cle,pit,RoetBe00,pass_rating,73.0,,,,,
player,201201010cle,pit,RoetBe00,rush_att,0,,,,,
player,201201010cle,pit,RoetBe00,rush_yds,0,,,,,
player,201201010cle,pit,RoetBe00,rush_td,0,,,,,
player,201201010cle,pit,RoetBe00,rush_long,0,,,,,
player,201201010cle,pit,RoetBe00,targets,0,,,,,
player,201201010cle,pit,RoetBe00,rec,0,,,,,
player,201201010cle,pit,RoetBe00,rec_yds,0,,,,,
player,201201010cle,pit,RoetBe00,rec_td,0,,,,,
player,201201010cle,pit,RoetBe00,rec_long,0,,,,,
player,201201010cle,pit,RoetBe00,fumbles,0,,,,,
player,201201010cle,pit,RoetBe00,fumbles_lost,,,,,,
player,201201010cle,pit,RedmIs20,pass_cmp,0,,,,,
player,201201010cle,pit,RedmIs20,pass_att,0,,,,,
player,201201010cle,pit,RedmIs20,pass_yds,0,,,,,
player,201201010cle,pit,RedmIs20,pass_td,0,,,,,
player,201201010cle,pit,RedmIs20,pass_int,0,,,,,
player,201201010cle,pit,RedmIs20,pass_sacked,0,,,,,
player,201201010cle,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201201010cle,pit,RedmIs20,pass_long,0,,,,,
player,201201010cle,pit,RedmIs20,pass_rating,,,,,,
player,201201010cle,pit,RedmIs20,rush_att,19,,,,,
player,201201010cle,pit,RedmIs20,rush_yds,92,,,,,
