game,2011,17,20120101,201201010nor,car,"Carolina Panthers",17,nor,"New Orleans Saints",45
team,201201010nor,car,First Downs,21,,,,,,
team,201201010nor,nor,First Downs,33,,,,,,
team,201201010nor,car,Rush-Yds-TDs,24-164-1,,,,,,
team,201201010nor,nor,Rush-Yds-TDs,35-208-1,,,,,,
team,201201010nor,car,Cmp-Att-Yd-TD-INT,15-25-158-1-1,,,,,,
team,201201010nor,nor,Cmp-Att-Yd-TD-INT,31-38-409-5-1,,,,,,
team,201201010nor,car,Sacked-Yards,2-21,,,,,,
team,201201010nor,nor,Sacked-Yards,0-0,,,,,,
team,201201010nor,car,Net Pass Yards,137,,,,,,
team,201201010nor,nor,Net Pass Yards,409,,,,,,
team,201201010nor,car,Total Yards,301,,,,,,
team,201201010nor,nor,Total Yards,617,,,,,,
team,201201010nor,car,Fumbles-Lost,1-1,,,,,,
team,201201010nor,nor,Fumbles-Lost,0-0,,,,,,
team,201201010nor,car,Turnovers,2,,,,,,
team,201201010nor,nor,Turnovers,1,,,,,,
team,201201010nor,car,Penalties-Yards,1-5,,,,,,
team,201201010nor,nor,Penalties-Yards,6-60,,,,,,
team,201201010nor,car,Third Down Conv.,0-5,,,,,,
team,201201010nor,nor,Third Down Conv.,6-9,,,,,,
team,201201010nor,car,Fourth Down Conv.,0-0,,,,,,
team,201201010nor,nor,Fourth Down Conv.,0-1,,,,,,
team,201201010nor,car,Time of Possession,25:26,,,,,,
team,201201010nor,nor,Time of Possession,34:34,,,,,,
player,201201010nor,car,NewtCa00,pass_cmp,15,,,,,
player,201201010nor,car,NewtCa00,pass_att,25,,,,,
player,201201010nor,car,NewtCa00,pass_yds,158,,,,,
player,201201010nor,car,NewtCa00,pass_td,1,,,,,
player,201201010nor,car,NewtCa00,pass_int,1,,,,,
player,201201010nor,car,NewtCa00,pass_sacked,2,,,,,
player,201201010nor,car,NewtCa00,pass_sacked_yds,21,,,,,
player,201201010nor,car,NewtCa00,pass_long,22,,,,,
player,201201010nor,car,NewtCa00,pass_rating,75.1,,,,,
player,201201010nor,car,NewtCa00,rush_att,6,,,,,
player,201201010nor,car,NewtCa00,rush_yds,32,,,,,
player,201201010nor,car,NewtCa00,rush_td,0,,,,,
player,201201010nor,car,NewtCa00,rush_long,16,,,,,
player,201201010nor,car,NewtCa00,targets,0,,,,,
player,201201010nor,car,NewtCa00,rec,0,,,,,
player,201201010nor,car,NewtCa00,rec_yds,0,,,,,
player,201201010nor,car,NewtCa00,rec_td,0,,,,,
player,201201010nor,car,NewtCa00,rec_long,0,,,,,
player,201201010nor,car,NewtCa00,fumbles,0,,,,,
player,201201010nor,car,NewtCa00,fumbles_lost,,,,,,
player,201201010nor,car,StewJo00,pass_cmp,0,,,,,
player,201201010nor,car,StewJo00,pass_att,0,,,,,
player,201201010nor,car,StewJo00,pass_yds,0,,,,,
player,201201010nor,car,StewJo00,pass_td,0,,,,,
player,201201010nor,car,StewJo00,pass_int,0,,,,,
player,201201010nor,car,StewJo00,pass_sacked,0,,,,,
player,201201010nor,car,StewJo00,pass_sacked_yds,0,,,,,
player,201201010nor,car,StewJo00,pass_long,0,,,,,
player,201201010nor,car,StewJo00,pass_rating,,,,,,
player,201201010nor,car,StewJo00,rush_att,9,,,,,
player,201201010nor,car,StewJo00,rush_yds,79,,,,,
player,201201010nor,car,StewJo00,rush_td,1,,,,,
player,201201010nor,car,StewJo00,rush_long,29,,,,,
player,201201010nor,car,StewJo00,targets,2,,,,,
player,201201010nor,car,StewJo00,rec,2,,,,,
player,201201010nor,car,StewJo00,rec_yds,7,,,,,
player,201201010nor,car,StewJo00,rec_td,0,,,,,
player,201201010nor,car,StewJo00,rec_long,11,,,,,
player,201201010nor,car,StewJo00,fumbles,0,,,,,
player,201201010nor,car,StewJo00,fumbles_lost,,,,,,
player,201201010nor,car,WillDe02,pass_cmp,0,,,,,
player,201201010nor,car,WillDe02,pass_att,0,,,,,
player,201201010nor,car,WillDe02,pass_yds,0,,,,,
player,201201010nor,car,WillDe02,pass_td,0,,,,,
player,201201010nor,car,WillDe02,pass_int,0,,,,,
player,201201010nor,car,WillDe02,pass_sacked,0,,,,,
player,201201010nor,car,WillDe02,pass_sacked_yds,0,,,,,
player,201201010nor,car,WillDe02,pass_long,0,,,,,
player,201201010nor,car,WillDe02,pass_rating,,,,,,
player,201201010nor,car,WillDe02,rush_att,7,,,,,
player,201201010nor,car,WillDe02,rush_yds,53,,,,,
player,201201010nor,car,WillDe02,rush_td,0,,,,,
player,201201010nor,car,WillDe02,rush_long,20,,,,,
player,201201010nor,car,WillDe02,targets,4,,,,,
player,201201010nor,car,WillDe02,rec,2,,,,,
player,201201010nor,car,WillDe02,rec_yds,20,,,,,
player,201201010nor,car,WillDe02,rec_td,0,,,,,
player,201201010nor,car,WillDe02,rec_long,12,,,,,
player,201201010nor,car,WillDe02,fumbles,0,,,,,
player,201201010nor,car,WillDe02,fumbles_lost,,,,,,
player,201201010nor,car,SmitSt01,pass_cmp,0,,,,,
player,201201010nor,car,SmitSt01,pass_att,0,,,,,
player,201201010nor,car,SmitSt01,pass_yds,0,,,,,
player,201201010nor,car,SmitSt01,pass_td,0,,,,,
player,201201010nor,car,SmitSt01,pass_int,0,,,,,
player,201201010nor,car,SmitSt01,pass_sacked,0,,,,,
player,201201010nor,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201201010nor,car,SmitSt01,pass_long,0,,,,,
player,201201010nor,car,SmitSt01,pass_rating,,,,,,
player,201201010nor,car,SmitSt01,rush_att,1,,,,,
player,201201010nor,car,SmitSt01,rush_yds,1,,,,,
player,201201010nor,car,SmitSt01,rush_td,0,,,,,
player,201201010nor,car,SmitSt01,rush_long,1,,,,,
player,201201010nor,car,SmitSt01,targets,7,,,,,
player,201201010nor,car,SmitSt01,rec,6,,,,,
player,201201010nor,car,SmitSt01,rec_yds,86,,,,,
player,201201010nor,car,SmitSt01,rec_td,1,,,,,
player,201201010nor,car,SmitSt01,rec_long,22,,,,,
player,201201010nor,car,SmitSt01,fumbles,1,,,,,
player,201201010nor,car,SmitSt01,fumbles_lost,1,,,,,
player,201201010nor,car,LaFeBr00,pass_cmp,0,,,,,
player,201201010nor,car,LaFeBr00,pass_att,0,,,,,
player,201201010nor,car,LaFeBr00,pass_yds,0,,,,,
player,201201010nor,car,LaFeBr00,pass_td,0,,,,,
player,201201010nor,car,LaFeBr00,pass_int,0,,,,,
player,201201010nor,car,LaFeBr00,pass_sacked,0,,,,,
player,201201010nor,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201201010nor,car,LaFeBr00,pass_long,0,,,,,
player,201201010nor,car,LaFeBr00,pass_rating,,,,,,
player,201201010nor,car,LaFeBr00,rush_att,0,,,,,
player,201201010nor,car,LaFeBr00,rush_yds,0,,,,,
player,201201010nor,car,LaFeBr00,rush_td,0,,,,,
player,201201010nor,car,LaFeBr00,rush_long,0,,,,,
player,201201010nor,car,LaFeBr00,targets,2,,,,,
player,201201010nor,car,LaFeBr00,rec,2,,,,,
player,201201010nor,car,LaFeBr00,rec_yds,27,,,,,
player,201201010nor,car,LaFeBr00,rec_td,0,,,,,
player,201201010nor,car,LaFeBr00,rec_long,14,,,,,
player,201201010nor,car,LaFeBr00,fumbles,0,,,,,
player,201201010nor,car,LaFeBr00,fumbles_lost,,,,,,
player,201201010nor,car,ShocJe00,pass_cmp,0,,,,,
player,201201010nor,car,ShocJe00,pass_att,0,,,,,
player,201201010nor,car,ShocJe00,pass_yds,0,,,,,
player,201201010nor,car,ShocJe00,pass_td,0,,,,,
player,201201010nor,car,ShocJe00,pass_int,0,,,,,
player,201201010nor,car,ShocJe00,pass_sacked,0,,,,,
player,201201010nor,car,ShocJe00,pass_sacked_yds,0,,,,,
player,201201010nor,car,ShocJe00,pass_long,0,,,,,
player,201201010nor,car,ShocJe00,pass_rating,,,,,,
player,201201010nor,car,ShocJe00,rush_att,0,,,,,
player,201201010nor,car,ShocJe00,rush_yds,0,,,,,
player,201201010nor,car,ShocJe00,rush_td,0,,,,,
player,201201010nor,car,ShocJe00,rush_long,0,,,,,
player,201201010nor,car,ShocJe00,targets,6,,,,,
player,201201010nor,car,ShocJe00,rec,3,,,,,
player,201201010nor,car,ShocJe00,rec_yds,18,,,,,
player,201201010nor,car,ShocJe00,rec_td,0,,,,,
player,201201010nor,car,ShocJe00,rec_long,6,,,,,
player,201201010nor,car,ShocJe00,fumbles,0,,,,,
player,201201010nor,car,ShocJe00,fumbles_lost,,,,,,
player,201201010nor,car,OlseGr00,pass_cmp,0,,,,,
player,201201010nor,car,OlseGr00,pass_att,0,,,,,
player,201201010nor,car,OlseGr00,pass_yds,0,,,,,
player,201201010nor,car,OlseGr00,pass_td,0,,,,,
player,201201010nor,car,OlseGr00,pass_int,0,,,,,
player,201201010nor,car,OlseGr00,pass_sacked,0,,,,,
player,201201010nor,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201201010nor,car,OlseGr00,pass_long,0,,,,,
player,201201010nor,car,OlseGr00,pass_rating,,,,,,
player,201201010nor,car,OlseGr00,rush_att,0,,,,,
player,201201010nor,car,OlseGr00,rush_yds,0,,,,,
player,201201010nor,car,OlseGr00,rush_td,0,,,,,
player,201201010nor,car,OlseGr00,rush_long,0,,,,,
player,201201010nor,car,OlseGr00,targets,1,,,,,
player,201201010nor,car,OlseGr00,rec,0,,,,,
player,201201010nor,car,OlseGr00,rec_yds,0,,,,,
player,201201010nor,car,OlseGr00,rec_td,0,,,,,
