game,2011,13,20111204,201112040nyg,gnb,"Green Bay Packers",38,nyg,"New York Giants",35
team,201112040nyg,gnb,First Downs,29,,,,,,
team,201112040nyg,nyg,First Downs,24,,,,,,
team,201112040nyg,gnb,Rush-Yds-TDs,28-89-0,,,,,,
team,201112040nyg,nyg,Rush-Yds-TDs,20-100-1,,,,,,
team,201112040nyg,gnb,Cmp-Att-Yd-TD-INT,28-47-369-4-1,,,,,,
team,201112040nyg,nyg,Cmp-Att-Yd-TD-INT,23-40-347-3-1,,,,,,
team,201112040nyg,gnb,Sacked-Yards,2-9,,,,,,
team,201112040nyg,nyg,Sacked-Yards,1-0,,,,,,
team,201112040nyg,gnb,Net Pass Yards,360,,,,,,
team,201112040nyg,nyg,Net Pass Yards,347,,,,,,
team,201112040nyg,gnb,Total Yards,449,,,,,,
team,201112040nyg,nyg,Total Yards,447,,,,,,
team,201112040nyg,gnb,Fumbles-Lost,0-0,,,,,,
team,201112040nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201112040nyg,gnb,Turnovers,1,,,,,,
team,201112040nyg,nyg,Turnovers,2,,,,,,
team,201112040nyg,gnb,Penalties-Yards,4-30,,,,,,
team,201112040nyg,nyg,Penalties-Yards,6-55,,,,,,
team,201112040nyg,gnb,Third Down Conv.,7-12,,,,,,
team,201112040nyg,nyg,Third Down Conv.,5-11,,,,,,
team,201112040nyg,gnb,Fourth Down Conv.,0-0,,,,,,
team,201112040nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201112040nyg,gnb,Time of Possession,33:03,,,,,,
team,201112040nyg,nyg,Time of Possession,26:57,,,,,,
player,201112040nyg,gnb,RodgAa00,pass_cmp,28,,,,,
player,201112040nyg,gnb,RodgAa00,pass_att,46,,,,,
player,201112040nyg,gnb,RodgAa00,pass_yds,369,,,,,
player,201112040nyg,gnb,RodgAa00,pass_td,4,,,,,
player,201112040nyg,gnb,RodgAa00,pass_int,1,,,,,
player,201112040nyg,gnb,RodgAa00,pass_sacked,2,,,,,
player,201112040nyg,gnb,RodgAa00,pass_sacked_yds,9,,,,,
player,201112040nyg,gnb,RodgAa00,pass_long,33,,,,,
player,201112040nyg,gnb,RodgAa00,pass_rating,106.2,,,,,
player,201112040nyg,gnb,RodgAa00,rush_att,4,,,,,
player,201112040nyg,gnb,RodgAa00,rush_yds,32,,,,,
player,201112040nyg,gnb,RodgAa00,rush_td,0,,,,,
player,201112040nyg,gnb,RodgAa00,rush_long,13,,,,,
player,201112040nyg,gnb,RodgAa00,targets,0,,,,,
player,201112040nyg,gnb,RodgAa00,rec,0,,,,,
