game,2011,6,20111016,201110160atl,car,"Carolina Panthers",17,atl,"Atlanta Falcons",31
team,201110160atl,car,First Downs,24,,,,,,
team,201110160atl,atl,First Downs,24,,,,,,
team,201110160atl,car,Rush-Yds-TDs,26-139-2,,,,,,
team,201110160atl,atl,Rush-Yds-TDs,35-166-3,,,,,,
team,201110160atl,car,Cmp-Att-Yd-TD-INT,21-35-237-0-3,,,,,,
team,201110160atl,atl,Cmp-Att-Yd-TD-INT,14-22-163-1-0,,,,,,
team,201110160atl,car,Sacked-Yards,1-8,,,,,,
team,201110160atl,atl,Sacked-Yards,1-4,,,,,,
team,201110160atl,car,Net Pass Yards,229,,,,,,
team,201110160atl,atl,Net Pass Yards,159,,,,,,
team,201110160atl,car,Total Yards,368,,,,,,
team,201110160atl,atl,Total Yards,325,,,,,,
team,201110160atl,car,Fumbles-Lost,2-0,,,,,,
team,201110160atl,atl,Fumbles-Lost,0-0,,,,,,
team,201110160atl,car,Turnovers,3,,,,,,
team,201110160atl,atl,Turnovers,0,,,,,,
team,201110160atl,car,Penalties-Yards,7-85,,,,,,
team,201110160atl,atl,Penalties-Yards,4-57,,,,,,
team,201110160atl,car,Third Down Conv.,8-12,,,,,,
team,201110160atl,atl,Third Down Conv.,7-11,,,,,,
team,201110160atl,car,Fourth Down Conv.,1-1,,,,,,
team,201110160atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201110160atl,car,Time of Possession,29:26,,,,,,
team,201110160atl,atl,Time of Possession,30:34,,,,,,
player,201110160atl,car,NewtCa00,pass_cmp,21,,,,,
player,201110160atl,car,NewtCa00,pass_att,35,,,,,
player,201110160atl,car,NewtCa00,pass_yds,237,,,,,
player,201110160atl,car,NewtCa00,pass_td,0,,,,,
player,201110160atl,car,NewtCa00,pass_int,3,,,,,
player,201110160atl,car,NewtCa00,pass_sacked,1,,,,,
player,201110160atl,car,NewtCa00,pass_sacked_yds,8,,,,,
player,201110160atl,car,NewtCa00,pass_long,29,,,,,
player,201110160atl,car,NewtCa00,pass_rating,44.6,,,,,
player,201110160atl,car,NewtCa00,rush_att,7,,,,,
player,201110160atl,car,NewtCa00,rush_yds,47,,,,,
player,201110160atl,car,NewtCa00,rush_td,1,,,,,
player,201110160atl,car,NewtCa00,rush_long,14,,,,,
player,201110160atl,car,NewtCa00,targets,0,,,,,
player,201110160atl,car,NewtCa00,rec,0,,,,,
player,201110160atl,car,NewtCa00,rec_yds,0,,,,,
player,201110160atl,car,NewtCa00,rec_td,0,,,,,
player,201110160atl,car,NewtCa00,rec_long,0,,,,,
player,201110160atl,car,NewtCa00,fumbles,0,,,,,
player,201110160atl,car,NewtCa00,fumbles_lost,,,,,,
player,201110160atl,car,StewJo00,pass_cmp,0,,,,,
player,201110160atl,car,StewJo00,pass_att,0,,,,,
player,201110160atl,car,StewJo00,pass_yds,0,,,,,
player,201110160atl,car,StewJo00,pass_td,0,,,,,
player,201110160atl,car,StewJo00,pass_int,0,,,,,
player,201110160atl,car,StewJo00,pass_sacked,0,,,,,
player,201110160atl,car,StewJo00,pass_sacked_yds,0,,,,,
player,201110160atl,car,StewJo00,pass_long,0,,,,,
player,201110160atl,car,StewJo00,pass_rating,,,,,,
player,201110160atl,car,StewJo00,rush_att,7,,,,,
player,201110160atl,car,StewJo00,rush_yds,48,,,,,
player,201110160atl,car,StewJo00,rush_td,1,,,,,
player,201110160atl,car,StewJo00,rush_long,13,,,,,
player,201110160atl,car,StewJo00,targets,3,,,,,
player,201110160atl,car,StewJo00,rec,3,,,,,
player,201110160atl,car,StewJo00,rec_yds,24,,,,,
player,201110160atl,car,StewJo00,rec_td,0,,,,,
player,201110160atl,car,StewJo00,rec_long,12,,,,,
player,201110160atl,car,StewJo00,fumbles,0,,,,,
player,201110160atl,car,StewJo00,fumbles_lost,,,,,,
player,201110160atl,car,WillDe02,pass_cmp,0,,,,,
player,201110160atl,car,WillDe02,pass_att,0,,,,,
player,201110160atl,car,WillDe02,pass_yds,0,,,,,
player,201110160atl,car,WillDe02,pass_td,0,,,,,
player,201110160atl,car,WillDe02,pass_int,0,,,,,
player,201110160atl,car,WillDe02,pass_sacked,0,,,,,
player,201110160atl,car,WillDe02,pass_sacked_yds,0,,,,,
player,201110160atl,car,WillDe02,pass_long,0,,,,,
player,201110160atl,car,WillDe02,pass_rating,,,,,,
player,201110160atl,car,WillDe02,rush_att,12,,,,,
player,201110160atl,car,WillDe02,rush_yds,44,,,,,
player,201110160atl,car,WillDe02,rush_td,0,,,,,
player,201110160atl,car,WillDe02,rush_long,18,,,,,
player,201110160atl,car,WillDe02,targets,3,,,,,
player,201110160atl,car,WillDe02,rec,1,,,,,
player,201110160atl,car,WillDe02,rec_yds,2,,,,,
player,201110160atl,car,WillDe02,rec_td,0,,,,,
player,201110160atl,car,WillDe02,rec_long,2,,,,,
player,201110160atl,car,WillDe02,fumbles,0,,,,,
player,201110160atl,car,WillDe02,fumbles_lost,,,,,,
player,201110160atl,car,SmitSt01,pass_cmp,0,,,,,
player,201110160atl,car,SmitSt01,pass_att,0,,,,,
player,201110160atl,car,SmitSt01,pass_yds,0,,,,,
player,201110160atl,car,SmitSt01,pass_td,0,,,,,
player,201110160atl,car,SmitSt01,pass_int,0,,,,,
player,201110160atl,car,SmitSt01,pass_sacked,0,,,,,
player,201110160atl,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201110160atl,car,SmitSt01,pass_long,0,,,,,
player,201110160atl,car,SmitSt01,pass_rating,,,,,,
player,201110160atl,car,SmitSt01,rush_att,0,,,,,
player,201110160atl,car,SmitSt01,rush_yds,0,,,,,
player,201110160atl,car,SmitSt01,rush_td,0,,,,,
player,201110160atl,car,SmitSt01,rush_long,0,,,,,
player,201110160atl,car,SmitSt01,targets,7,,,,,
player,201110160atl,car,SmitSt01,rec,5,,,,,
player,201110160atl,car,SmitSt01,rec_yds,66,,,,,
player,201110160atl,car,SmitSt01,rec_td,0,,,,,
player,201110160atl,car,SmitSt01,rec_long,24,,,,,
