game,2011,15,20111218,201112180sdg,rav,"Baltimore Ravens",14,sdg,"San Diego Chargers",34
team,201112180sdg,rav,First Downs,19,,,,,,
team,201112180sdg,sdg,First Downs,23,,,,,,
team,201112180sdg,rav,Rush-Yds-TDs,14-89-0,,,,,,
team,201112180sdg,sdg,Rush-Yds-TDs,37-145-3,,,,,,
team,201112180sdg,rav,Cmp-Att-Yd-TD-INT,24-35-244-2-2,,,,,,
team,201112180sdg,sdg,Cmp-Att-Yd-TD-INT,17-23-270-1-0,,,,,,
team,201112180sdg,rav,Sacked-Yards,7-43,,,,,,
team,201112180sdg,sdg,Sacked-Yards,0-0,,,,,,
team,201112180sdg,rav,Net Pass Yards,201,,,,,,
team,201112180sdg,sdg,Net Pass Yards,270,,,,,,
team,201112180sdg,rav,Total Yards,290,,,,,,
team,201112180sdg,sdg,Total Yards,415,,,,,,
team,201112180sdg,rav,Fumbles-Lost,1-0,,,,,,
team,201112180sdg,sdg,Fumbles-Lost,1-0,,,,,,
team,201112180sdg,rav,Turnovers,2,,,,,,
team,201112180sdg,sdg,Turnovers,0,,,,,,
team,201112180sdg,rav,Penalties-Yards,3-25,,,,,,
team,201112180sdg,sdg,Penalties-Yards,3-35,,,,,,
team,201112180sdg,rav,Third Down Conv.,7-12,,,,,,
team,201112180sdg,sdg,Third Down Conv.,6-10,,,,,,
team,201112180sdg,rav,Fourth Down Conv.,0-0,,,,,,
team,201112180sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201112180sdg,rav,Time of Possession,25:48,,,,,,
team,201112180sdg,sdg,Time of Possession,34:12,,,,,,
player,201112180sdg,rav,FlacJo00,pass_cmp,23,,,,,
player,201112180sdg,rav,FlacJo00,pass_att,34,,,,,
player,201112180sdg,rav,FlacJo00,pass_yds,226,,,,,
player,201112180sdg,rav,FlacJo00,pass_td,2,,,,,
player,201112180sdg,rav,FlacJo00,pass_int,2,,,,,
player,201112180sdg,rav,FlacJo00,pass_sacked,5,,,,,
player,201112180sdg,rav,FlacJo00,pass_sacked_yds,40,,,,,
player,201112180sdg,rav,FlacJo00,pass_long,36,,,,,
player,201112180sdg,rav,FlacJo00,pass_rating,81.3,,,,,
player,201112180sdg,rav,FlacJo00,rush_att,1,,,,,
player,201112180sdg,rav,FlacJo00,rush_yds,12,,,,,
player,201112180sdg,rav,FlacJo00,rush_td,0,,,,,
player,201112180sdg,rav,FlacJo00,rush_long,12,,,,,
player,201112180sdg,rav,FlacJo00,targets,0,,,,,
player,201112180sdg,rav,FlacJo00,rec,0,,,,,
player,201112180sdg,rav,FlacJo00,rec_yds,0,,,,,
player,201112180sdg,rav,FlacJo00,rec_td,0,,,,,
player,201112180sdg,rav,FlacJo00,rec_long,0,,,,,
player,201112180sdg,rav,FlacJo00,fumbles,0,,,,,
player,201112180sdg,rav,FlacJo00,fumbles_lost,,,,,,
player,201112180sdg,rav,TaylTy00,pass_cmp,1,,,,,
player,201112180sdg,rav,TaylTy00,pass_att,1,,,,,
player,201112180sdg,rav,TaylTy00,pass_yds,18,,,,,
player,201112180sdg,rav,TaylTy00,pass_td,0,,,,,
player,201112180sdg,rav,TaylTy00,pass_int,0,,,,,
player,201112180sdg,rav,TaylTy00,pass_sacked,2,,,,,
player,201112180sdg,rav,TaylTy00,pass_sacked_yds,3,,,,,
player,201112180sdg,rav,TaylTy00,pass_long,18,,,,,
player,201112180sdg,rav,TaylTy00,pass_rating,118.7,,,,,
player,201112180sdg,rav,TaylTy00,rush_att,0,,,,,
player,201112180sdg,rav,TaylTy00,rush_yds,0,,,,,
player,201112180sdg,rav,TaylTy00,rush_td,0,,,,,
player,201112180sdg,rav,TaylTy00,rush_long,0,,,,,
player,201112180sdg,rav,TaylTy00,targets,0,,,,,
player,201112180sdg,rav,TaylTy00,rec,0,,,,,
player,201112180sdg,rav,TaylTy00,rec_yds,0,,,,,
player,201112180sdg,rav,TaylTy00,rec_td,0,,,,,
player,201112180sdg,rav,TaylTy00,rec_long,0,,,,,
player,201112180sdg,rav,TaylTy00,fumbles,0,,,,,
player,201112180sdg,rav,TaylTy00,fumbles_lost,,,,,,
player,201112180sdg,rav,RiceRa00,pass_cmp,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_att,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_yds,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_td,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_int,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_sacked,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_long,0,,,,,
player,201112180sdg,rav,RiceRa00,pass_rating,,,,,,
player,201112180sdg,rav,RiceRa00,rush_att,10,,,,,
player,201112180sdg,rav,RiceRa00,rush_yds,57,,,,,
player,201112180sdg,rav,RiceRa00,rush_td,0,,,,,
player,201112180sdg,rav,RiceRa00,rush_long,22,,,,,
player,201112180sdg,rav,RiceRa00,targets,11,,,,,
player,201112180sdg,rav,RiceRa00,rec,9,,,,,
player,201112180sdg,rav,RiceRa00,rec_yds,55,,,,,
player,201112180sdg,rav,RiceRa00,rec_td,0,,,,,
player,201112180sdg,rav,RiceRa00,rec_long,24,,,,,
