game,2011,13,20111204,201112040htx,atl,"Atlanta Falcons",10,htx,"Houston Texans",17
team,201112040htx,atl,First Downs,18,,,,,,
team,201112040htx,htx,First Downs,20,,,,,,
team,201112040htx,atl,Rush-Yds-TDs,18-70-0,,,,,,
team,201112040htx,htx,Rush-Yds-TDs,44-162-1,,,,,,
team,201112040htx,atl,Cmp-Att-Yd-TD-INT,20-47-267-1-2,,,,,,
team,201112040htx,htx,Cmp-Att-Yd-TD-INT,12-25-188-1-0,,,,,,
team,201112040htx,atl,Sacked-Yards,0-0,,,,,,
team,201112040htx,htx,Sacked-Yards,3-13,,,,,,
team,201112040htx,atl,Net Pass Yards,267,,,,,,
team,201112040htx,htx,Net Pass Yards,175,,,,,,
team,201112040htx,atl,Total Yards,337,,,,,,
team,201112040htx,htx,Total Yards,337,,,,,,
team,201112040htx,atl,Fumbles-Lost,0-0,,,,,,
team,201112040htx,htx,Fumbles-Lost,1-1,,,,,,
team,201112040htx,atl,Turnovers,2,,,,,,
team,201112040htx,htx,Turnovers,1,,,,,,
team,201112040htx,atl,Penalties-Yards,7-43,,,,,,
team,201112040htx,htx,Penalties-Yards,5-35,,,,,,
team,201112040htx,atl,Third Down Conv.,6-14,,,,,,
team,201112040htx,htx,Third Down Conv.,9-18,,,,,,
team,201112040htx,atl,Fourth Down Conv.,0-2,,,,,,
team,201112040htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201112040htx,atl,Time of Possession,24:56,,,,,,
team,201112040htx,htx,Time of Possession,35:04,,,,,,
player,201112040htx,atl,RyanMa00,pass_cmp,20,,,,,
player,201112040htx,atl,RyanMa00,pass_att,47,,,,,
player,201112040htx,atl,RyanMa00,pass_yds,267,,,,,
player,201112040htx,atl,RyanMa00,pass_td,1,,,,,
player,201112040htx,atl,RyanMa00,pass_int,2,,,,,
player,201112040htx,atl,RyanMa00,pass_sacked,0,,,,,
player,201112040htx,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201112040htx,atl,RyanMa00,pass_long,26,,,,,
player,201112040htx,atl,RyanMa00,pass_rating,50.6,,,,,
player,201112040htx,atl,RyanMa00,rush_att,1,,,,,
player,201112040htx,atl,RyanMa00,rush_yds,10,,,,,
player,201112040htx,atl,RyanMa00,rush_td,0,,,,,
player,201112040htx,atl,RyanMa00,rush_long,10,,,,,
player,201112040htx,atl,RyanMa00,targets,0,,,,,
