game,2011,17,20120101,201201010mia,nyj,"New York Jets",17,mia,"Miami Dolphins",19
team,201201010mia,nyj,First Downs,20,,,,,,
team,201201010mia,mia,First Downs,14,,,,,,
team,201201010mia,nyj,Rush-Yds-TDs,27-129-0,,,,,,
team,201201010mia,mia,Rush-Yds-TDs,26-82-0,,,,,,
team,201201010mia,nyj,Cmp-Att-Yd-TD-INT,22-33-248-2-3,,,,,,
team,201201010mia,mia,Cmp-Att-Yd-TD-INT,22-32-135-1-2,,,,,,
team,201201010mia,nyj,Sacked-Yards,2-3,,,,,,
team,201201010mia,mia,Sacked-Yards,1-7,,,,,,
team,201201010mia,nyj,Net Pass Yards,245,,,,,,
team,201201010mia,mia,Net Pass Yards,128,,,,,,
team,201201010mia,nyj,Total Yards,374,,,,,,
team,201201010mia,mia,Total Yards,210,,,,,,
team,201201010mia,nyj,Fumbles-Lost,0-0,,,,,,
team,201201010mia,mia,Fumbles-Lost,0-0,,,,,,
team,201201010mia,nyj,Turnovers,3,,,,,,
team,201201010mia,mia,Turnovers,2,,,,,,
team,201201010mia,nyj,Penalties-Yards,6-40,,,,,,
team,201201010mia,mia,Penalties-Yards,5-35,,,,,,
team,201201010mia,nyj,Third Down Conv.,4-11,,,,,,
team,201201010mia,mia,Third Down Conv.,8-15,,,,,,
team,201201010mia,nyj,Fourth Down Conv.,0-0,,,,,,
team,201201010mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201201010mia,nyj,Time of Possession,28:53,,,,,,
team,201201010mia,mia,Time of Possession,31:07,,,,,,
player,201201010mia,nyj,SancMa00,pass_cmp,21,,,,,
player,201201010mia,nyj,SancMa00,pass_att,32,,,,,
player,201201010mia,nyj,SancMa00,pass_yds,207,,,,,
player,201201010mia,nyj,SancMa00,pass_td,2,,,,,
player,201201010mia,nyj,SancMa00,pass_int,3,,,,,
player,201201010mia,nyj,SancMa00,pass_sacked,2,,,,,
player,201201010mia,nyj,SancMa00,pass_sacked_yds,3,,,,,
player,201201010mia,nyj,SancMa00,pass_long,30,,,,,
player,201201010mia,nyj,SancMa00,pass_rating,65.5,,,,,
player,201201010mia,nyj,SancMa00,rush_att,1,,,,,
player,201201010mia,nyj,SancMa00,rush_yds,2,,,,,
player,201201010mia,nyj,SancMa00,rush_td,0,,,,,
player,201201010mia,nyj,SancMa00,rush_long,2,,,,,
player,201201010mia,nyj,SancMa00,targets,0,,,,,
player,201201010mia,nyj,SancMa00,rec,0,,,,,
player,201201010mia,nyj,SancMa00,rec_yds,0,,,,,
player,201201010mia,nyj,SancMa00,rec_td,0,,,,,
player,201201010mia,nyj,SancMa00,rec_long,0,,,,,
player,201201010mia,nyj,SancMa00,fumbles,0,,,,,
player,201201010mia,nyj,SancMa00,fumbles_lost,,,,,,
player,201201010mia,nyj,KerlJe00,pass_cmp,1,,,,,
player,201201010mia,nyj,KerlJe00,pass_att,1,,,,,
player,201201010mia,nyj,KerlJe00,pass_yds,41,,,,,
player,201201010mia,nyj,KerlJe00,pass_td,0,,,,,
player,201201010mia,nyj,KerlJe00,pass_int,0,,,,,
player,201201010mia,nyj,KerlJe00,pass_sacked,0,,,,,
player,201201010mia,nyj,KerlJe00,pass_sacked_yds,0,,,,,
player,201201010mia,nyj,KerlJe00,pass_long,41,,,,,
player,201201010mia,nyj,KerlJe00,pass_rating,118.7,,,,,
player,201201010mia,nyj,KerlJe00,rush_att,1,,,,,
player,201201010mia,nyj,KerlJe00,rush_yds,16,,,,,
player,201201010mia,nyj,KerlJe00,rush_td,0,,,,,
player,201201010mia,nyj,KerlJe00,rush_long,16,,,,,
player,201201010mia,nyj,KerlJe00,targets,6,,,,,
player,201201010mia,nyj,KerlJe00,rec,4,,,,,
player,201201010mia,nyj,KerlJe00,rec_yds,71,,,,,
player,201201010mia,nyj,KerlJe00,rec_td,0,,,,,
player,201201010mia,nyj,KerlJe00,rec_long,30,,,,,
player,201201010mia,nyj,KerlJe00,fumbles,0,,,,,
player,201201010mia,nyj,KerlJe00,fumbles_lost,,,,,,
player,201201010mia,nyj,TomlLa00,pass_cmp,0,,,,,
player,201201010mia,nyj,TomlLa00,pass_att,0,,,,,
player,201201010mia,nyj,TomlLa00,pass_yds,0,,,,,
player,201201010mia,nyj,TomlLa00,pass_td,0,,,,,
player,201201010mia,nyj,TomlLa00,pass_int,0,,,,,
