game,2011,4,20111002,201110020rai,nwe,"New England Patriots",31,rai,"Oakland Raiders",19
team,201110020rai,nwe,First Downs,25,,,,,,
team,201110020rai,rai,First Downs,24,,,,,,
team,201110020rai,nwe,Rush-Yds-TDs,30-183-2,,,,,,
team,201110020rai,rai,Rush-Yds-TDs,27-160-1,,,,,,
team,201110020rai,nwe,Cmp-Att-Yd-TD-INT,16-30-226-2-0,,,,,,
team,201110020rai,rai,Cmp-Att-Yd-TD-INT,25-39-344-1-2,,,,,,
team,201110020rai,nwe,Sacked-Yards,1-0,,,,,,
team,201110020rai,rai,Sacked-Yards,0-0,,,,,,
team,201110020rai,nwe,Net Pass Yards,226,,,,,,
team,201110020rai,rai,Net Pass Yards,344,,,,,,
team,201110020rai,nwe,Total Yards,409,,,,,,
team,201110020rai,rai,Total Yards,504,,,,,,
team,201110020rai,nwe,Fumbles-Lost,0-0,,,,,,
team,201110020rai,rai,Fumbles-Lost,1-0,,,,,,
team,201110020rai,nwe,Turnovers,0,,,,,,
team,201110020rai,rai,Turnovers,2,,,,,,
team,201110020rai,nwe,Penalties-Yards,5-45,,,,,,
team,201110020rai,rai,Penalties-Yards,9-85,,,,,,
team,201110020rai,nwe,Third Down Conv.,4-9,,,,,,
team,201110020rai,rai,Third Down Conv.,8-13,,,,,,
team,201110020rai,nwe,Fourth Down Conv.,0-1,,,,,,
team,201110020rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201110020rai,nwe,Time of Possession,26:40,,,,,,
team,201110020rai,rai,Time of Possession,33:20,,,,,,
player,201110020rai,nwe,BradTo00,pass_cmp,16,,,,,
player,201110020rai,nwe,BradTo00,pass_att,30,,,,,
player,201110020rai,nwe,BradTo00,pass_yds,226,,,,,
player,201110020rai,nwe,BradTo00,pass_td,2,,,,,
player,201110020rai,nwe,BradTo00,pass_int,0,,,,,
player,201110020rai,nwe,BradTo00,pass_sacked,1,,,,,
player,201110020rai,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201110020rai,nwe,BradTo00,pass_long,32,,,,,
player,201110020rai,nwe,BradTo00,pass_rating,100.1,,,,,
player,201110020rai,nwe,BradTo00,rush_att,1,,,,,
player,201110020rai,nwe,BradTo00,rush_yds,-1,,,,,
player,201110020rai,nwe,BradTo00,rush_td,0,,,,,
player,201110020rai,nwe,BradTo00,rush_long,-1,,,,,
player,201110020rai,nwe,BradTo00,targets,0,,,,,
player,201110020rai,nwe,BradTo00,rec,0,,,,,
player,201110020rai,nwe,BradTo00,rec_yds,0,,,,,
player,201110020rai,nwe,BradTo00,rec_td,0,,,,,
player,201110020rai,nwe,BradTo00,rec_long,0,,,,,
player,201110020rai,nwe,BradTo00,fumbles,0,,,,,
player,201110020rai,nwe,BradTo00,fumbles_lost,,,,,,
player,201110020rai,nwe,RidlSt00,pass_cmp,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_att,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_yds,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_td,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_int,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_sacked,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_long,0,,,,,
player,201110020rai,nwe,RidlSt00,pass_rating,,,,,,
player,201110020rai,nwe,RidlSt00,rush_att,10,,,,,
player,201110020rai,nwe,RidlSt00,rush_yds,97,,,,,
player,201110020rai,nwe,RidlSt00,rush_td,1,,,,,
player,201110020rai,nwe,RidlSt00,rush_long,33,,,,,
player,201110020rai,nwe,RidlSt00,targets,2,,,,,
player,201110020rai,nwe,RidlSt00,rec,1,,,,,
player,201110020rai,nwe,RidlSt00,rec_yds,3,,,,,
player,201110020rai,nwe,RidlSt00,rec_td,0,,,,,
player,201110020rai,nwe,RidlSt00,rec_long,3,,,,,
player,201110020rai,nwe,RidlSt00,fumbles,0,,,,,
player,201110020rai,nwe,RidlSt00,fumbles_lost,,,,,,
player,201110020rai,nwe,GreeBe00,pass_cmp,0,,,,,
player,201110020rai,nwe,GreeBe00,pass_att,0,,,,,
player,201110020rai,nwe,GreeBe00,pass_yds,0,,,,,
player,201110020rai,nwe,GreeBe00,pass_td,0,,,,,
player,201110020rai,nwe,GreeBe00,pass_int,0,,,,,
player,201110020rai,nwe,GreeBe00,pass_sacked,0,,,,,
player,201110020rai,nwe,GreeBe00,pass_sacked_yds,0,,,,,
