game,2011,7,20111023,201110230tam,chi,"Chicago Bears",24,tam,"Tampa Bay Buccaneers",18
team,201110230tam,chi,First Downs,19,,,,,,
team,201110230tam,tam,First Downs,16,,,,,,
team,201110230tam,chi,Rush-Yds-TDs,33-177-2,,,,,,
team,201110230tam,tam,Rush-Yds-TDs,11-30-0,,,,,,
team,201110230tam,chi,Cmp-Att-Yd-TD-INT,17-32-226-1-2,,,,,,
team,201110230tam,tam,Cmp-Att-Yd-TD-INT,29-52-264-2-4,,,,,,
team,201110230tam,chi,Sacked-Yards,2-8,,,,,,
team,201110230tam,tam,Sacked-Yards,1-14,,,,,,
team,201110230tam,chi,Net Pass Yards,218,,,,,,
team,201110230tam,tam,Net Pass Yards,250,,,,,,
team,201110230tam,chi,Total Yards,395,,,,,,
team,201110230tam,tam,Total Yards,280,,,,,,
team,201110230tam,chi,Fumbles-Lost,0-0,,,,,,
team,201110230tam,tam,Fumbles-Lost,1-0,,,,,,
team,201110230tam,chi,Turnovers,2,,,,,,
team,201110230tam,tam,Turnovers,4,,,,,,
team,201110230tam,chi,Penalties-Yards,7-54,,,,,,
team,201110230tam,tam,Penalties-Yards,8-69,,,,,,
team,201110230tam,chi,Third Down Conv.,4-13,,,,,,
team,201110230tam,tam,Third Down Conv.,4-14,,,,,,
team,201110230tam,chi,Fourth Down Conv.,0-0,,,,,,
team,201110230tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201110230tam,chi,Time of Possession,33:12,,,,,,
team,201110230tam,tam,Time of Possession,26:48,,,,,,
player,201110230tam,chi,CutlJa00,pass_cmp,17,,,,,
player,201110230tam,chi,CutlJa00,pass_att,32,,,,,
player,201110230tam,chi,CutlJa00,pass_yds,226,,,,,
player,201110230tam,chi,CutlJa00,pass_td,1,,,,,
player,201110230tam,chi,CutlJa00,pass_int,2,,,,,
player,201110230tam,chi,CutlJa00,pass_sacked,2,,,,,
player,201110230tam,chi,CutlJa00,pass_sacked_yds,8,,,,,
player,201110230tam,chi,CutlJa00,pass_long,36,,,,,
player,201110230tam,chi,CutlJa00,pass_rating,60.2,,,,,
player,201110230tam,chi,CutlJa00,rush_att,1,,,,,
player,201110230tam,chi,CutlJa00,rush_yds,-1,,,,,
player,201110230tam,chi,CutlJa00,rush_td,0,,,,,
player,201110230tam,chi,CutlJa00,rush_long,-1,,,,,
player,201110230tam,chi,CutlJa00,targets,0,,,,,
player,201110230tam,chi,CutlJa00,rec,0,,,,,
player,201110230tam,chi,CutlJa00,rec_yds,0,,,,,
player,201110230tam,chi,CutlJa00,rec_td,0,,,,,
player,201110230tam,chi,CutlJa00,rec_long,0,,,,,
player,201110230tam,chi,CutlJa00,fumbles,0,,,,,
player,201110230tam,chi,CutlJa00,fumbles_lost,,,,,,
player,201110230tam,chi,FortMa00,pass_cmp,0,,,,,
player,201110230tam,chi,FortMa00,pass_att,0,,,,,
player,201110230tam,chi,FortMa00,pass_yds,0,,,,,
player,201110230tam,chi,FortMa00,pass_td,0,,,,,
player,201110230tam,chi,FortMa00,pass_int,0,,,,,
player,201110230tam,chi,FortMa00,pass_sacked,0,,,,,
player,201110230tam,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201110230tam,chi,FortMa00,pass_long,0,,,,,
player,201110230tam,chi,FortMa00,pass_rating,,,,,,
player,201110230tam,chi,FortMa00,rush_att,25,,,,,
player,201110230tam,chi,FortMa00,rush_yds,145,,,,,
player,201110230tam,chi,FortMa00,rush_td,1,,,,,
player,201110230tam,chi,FortMa00,rush_long,32,,,,,
player,201110230tam,chi,FortMa00,targets,4,,,,,
player,201110230tam,chi,FortMa00,rec,2,,,,,
player,201110230tam,chi,FortMa00,rec_yds,38,,,,,
player,201110230tam,chi,FortMa00,rec_td,0,,,,,
player,201110230tam,chi,FortMa00,rec_long,36,,,,,
player,201110230tam,chi,FortMa00,fumbles,0,,,,,
player,201110230tam,chi,FortMa00,fumbles_lost,,,,,,
player,201110230tam,chi,BarbMa01,pass_cmp,0,,,,,
player,201110230tam,chi,BarbMa01,pass_att,0,,,,,
player,201110230tam,chi,BarbMa01,pass_yds,0,,,,,
player,201110230tam,chi,BarbMa01,pass_td,0,,,,,
player,201110230tam,chi,BarbMa01,pass_int,0,,,,,
player,201110230tam,chi,BarbMa01,pass_sacked,0,,,,,
player,201110230tam,chi,BarbMa01,pass_sacked_yds,0,,,,,
player,201110230tam,chi,BarbMa01,pass_long,0,,,,,
player,201110230tam,chi,BarbMa01,pass_rating,,,,,,
player,201110230tam,chi,BarbMa01,rush_att,6,,,,,
player,201110230tam,chi,BarbMa01,rush_yds,39,,,,,
player,201110230tam,chi,BarbMa01,rush_td,1,,,,,
player,201110230tam,chi,BarbMa01,rush_long,29,,,,,
player,201110230tam,chi,BarbMa01,targets,1,,,,,
player,201110230tam,chi,BarbMa01,rec,0,,,,,
player,201110230tam,chi,BarbMa01,rec_yds,0,,,,,
player,201110230tam,chi,BarbMa01,rec_td,0,,,,,
player,201110230tam,chi,BarbMa01,rec_long,0,,,,,
player,201110230tam,chi,BarbMa01,fumbles,0,,,,,
player,201110230tam,chi,BarbMa01,fumbles_lost,,,,,,
player,201110230tam,chi,WillRo04,pass_cmp,0,,,,,
player,201110230tam,chi,WillRo04,pass_att,0,,,,,
player,201110230tam,chi,WillRo04,pass_yds,0,,,,,
player,201110230tam,chi,WillRo04,pass_td,0,,,,,
player,201110230tam,chi,WillRo04,pass_int,0,,,,,
player,201110230tam,chi,WillRo04,pass_sacked,0,,,,,
player,201110230tam,chi,WillRo04,pass_sacked_yds,0,,,,,
player,201110230tam,chi,WillRo04,pass_long,0,,,,,
player,201110230tam,chi,WillRo04,pass_rating,,,,,,
player,201110230tam,chi,WillRo04,rush_att,0,,,,,
player,201110230tam,chi,WillRo04,rush_yds,0,,,,,
player,201110230tam,chi,WillRo04,rush_td,0,,,,,
player,201110230tam,chi,WillRo04,rush_long,0,,,,,
player,201110230tam,chi,WillRo04,targets,5,,,,,
player,201110230tam,chi,WillRo04,rec,4,,,,,
player,201110230tam,chi,WillRo04,rec_yds,59,,,,,
player,201110230tam,chi,WillRo04,rec_td,1,,,,,
player,201110230tam,chi,WillRo04,rec_long,25,,,,,
player,201110230tam,chi,WillRo04,fumbles,0,,,,,
player,201110230tam,chi,WillRo04,fumbles_lost,,,,,,
player,201110230tam,chi,KnoxJo00,pass_cmp,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_att,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_yds,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_td,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_int,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_sacked,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_sacked_yds,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_long,0,,,,,
player,201110230tam,chi,KnoxJo00,pass_rating,,,,,,
player,201110230tam,chi,KnoxJo00,rush_att,0,,,,,
player,201110230tam,chi,KnoxJo00,rush_yds,0,,,,,
