game,2011,4,20111002,201110020cin,buf,"Buffalo Bills",20,cin,"Cincinnati Bengals",23
team,201110020cin,buf,First Downs,12,,,,,,
team,201110020cin,cin,First Downs,25,,,,,,
team,201110020cin,buf,Rush-Yds-TDs,21-83-1,,,,,,
team,201110020cin,cin,Rush-Yds-TDs,32-171-1,,,,,,
team,201110020cin,buf,Cmp-Att-Yd-TD-INT,20-34-199-0-0,,,,,,
team,201110020cin,cin,Cmp-Att-Yd-TD-INT,18-36-298-1-2,,,,,,
team,201110020cin,buf,Sacked-Yards,1-9,,,,,,
team,201110020cin,cin,Sacked-Yards,2-11,,,,,,
team,201110020cin,buf,Net Pass Yards,190,,,,,,
team,201110020cin,cin,Net Pass Yards,287,,,,,,
team,201110020cin,buf,Total Yards,273,,,,,,
team,201110020cin,cin,Total Yards,458,,,,,,
team,201110020cin,buf,Fumbles-Lost,0-0,,,,,,
team,201110020cin,cin,Fumbles-Lost,1-0,,,,,,
team,201110020cin,buf,Turnovers,0,,,,,,
team,201110020cin,cin,Turnovers,2,,,,,,
team,201110020cin,buf,Penalties-Yards,4-26,,,,,,
team,201110020cin,cin,Penalties-Yards,3-15,,,,,,
team,201110020cin,buf,Third Down Conv.,4-14,,,,,,
team,201110020cin,cin,Third Down Conv.,5-12,,,,,,
team,201110020cin,buf,Fourth Down Conv.,0-0,,,,,,
team,201110020cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201110020cin,buf,Time of Possession,28:39,,,,,,
team,201110020cin,cin,Time of Possession,31:21,,,,,,
player,201110020cin,buf,FitzRy00,pass_cmp,20,,,,,
player,201110020cin,buf,FitzRy00,pass_att,34,,,,,
player,201110020cin,buf,FitzRy00,pass_yds,199,,,,,
player,201110020cin,buf,FitzRy00,pass_td,0,,,,,
player,201110020cin,buf,FitzRy00,pass_int,0,,,,,
player,201110020cin,buf,FitzRy00,pass_sacked,1,,,,,
player,201110020cin,buf,FitzRy00,pass_sacked_yds,9,,,,,
player,201110020cin,buf,FitzRy00,pass_long,44,,,,,
player,201110020cin,buf,FitzRy00,pass_rating,75.5,,,,,
player,201110020cin,buf,FitzRy00,rush_att,1,,,,,
player,201110020cin,buf,FitzRy00,rush_yds,5,,,,,
player,201110020cin,buf,FitzRy00,rush_td,0,,,,,
player,201110020cin,buf,FitzRy00,rush_long,5,,,,,
player,201110020cin,buf,FitzRy00,targets,0,,,,,
player,201110020cin,buf,FitzRy00,rec,0,,,,,
player,201110020cin,buf,FitzRy00,rec_yds,0,,,,,
player,201110020cin,buf,FitzRy00,rec_td,0,,,,,
player,201110020cin,buf,FitzRy00,rec_long,0,,,,,
player,201110020cin,buf,FitzRy00,fumbles,0,,,,,
player,201110020cin,buf,FitzRy00,fumbles_lost,,,,,,
player,201110020cin,buf,JackFr02,pass_cmp,0,,,,,
player,201110020cin,buf,JackFr02,pass_att,0,,,,,
player,201110020cin,buf,JackFr02,pass_yds,0,,,,,
player,201110020cin,buf,JackFr02,pass_td,0,,,,,
player,201110020cin,buf,JackFr02,pass_int,0,,,,,
player,201110020cin,buf,JackFr02,pass_sacked,0,,,,,
player,201110020cin,buf,JackFr02,pass_sacked_yds,0,,,,,
