game,2011,1,20110911,201109110tam,det,"Detroit Lions",27,tam,"Tampa Bay Buccaneers",20
team,201109110tam,det,First Downs,25,,,,,,
team,201109110tam,tam,First Downs,17,,,,,,
team,201109110tam,det,Rush-Yds-TDs,35-126-0,,,,,,
team,201109110tam,tam,Rush-Yds-TDs,16-56-0,,,,,,
team,201109110tam,det,Cmp-Att-Yd-TD-INT,24-33-305-3-1,,,,,,
team,201109110tam,tam,Cmp-Att-Yd-TD-INT,29-46-266-1-1,,,,,,
team,201109110tam,det,Sacked-Yards,0-0,,,,,,
team,201109110tam,tam,Sacked-Yards,2-7,,,,,,
team,201109110tam,det,Net Pass Yards,305,,,,,,
team,201109110tam,tam,Net Pass Yards,259,,,,,,
team,201109110tam,det,Total Yards,431,,,,,,
team,201109110tam,tam,Total Yards,315,,,,,,
team,201109110tam,det,Fumbles-Lost,4-0,,,,,,
team,201109110tam,tam,Fumbles-Lost,4-1,,,,,,
team,201109110tam,det,Turnovers,1,,,,,,
team,201109110tam,tam,Turnovers,2,,,,,,
team,201109110tam,det,Penalties-Yards,8-68,,,,,,
team,201109110tam,tam,Penalties-Yards,6-39,,,,,,
team,201109110tam,det,Third Down Conv.,2-11,,,,,,
team,201109110tam,tam,Third Down Conv.,6-14,,,,,,
team,201109110tam,det,Fourth Down Conv.,1-1,,,,,,
team,201109110tam,tam,Fourth Down Conv.,1-2,,,,,,
team,201109110tam,det,Time of Possession,36:25,,,,,,
team,201109110tam,tam,Time of Possession,23:35,,,,,,
player,201109110tam,det,StafMa00,pass_cmp,24,,,,,
player,201109110tam,det,StafMa00,pass_att,33,,,,,
player,201109110tam,det,StafMa00,pass_yds,305,,,,,
player,201109110tam,det,StafMa00,pass_td,3,,,,,
player,201109110tam,det,StafMa00,pass_int,1,,,,,
player,201109110tam,det,StafMa00,pass_sacked,0,,,,,
player,201109110tam,det,StafMa00,pass_sacked_yds,0,,,,,
player,201109110tam,det,StafMa00,pass_long,36,,,,,
player,201109110tam,det,StafMa00,pass_rating,118.9,,,,,
player,201109110tam,det,StafMa00,rush_att,1,,,,,
player,201109110tam,det,StafMa00,rush_yds,0,,,,,
