game,2011,11,20111120,201111200chi,sdg,"San Diego Chargers",20,chi,"Chicago Bears",31
player,201111200chi,sdg,MathRy00,pass_int,0,,,,,
player,201111200chi,sdg,MathRy00,pass_sacked,0,,,,,
player,201111200chi,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,MathRy00,pass_long,0,,,,,
player,201111200chi,sdg,MathRy00,pass_rating,,,,,,
player,201111200chi,sdg,MathRy00,rush_att,13,,,,,
player,201111200chi,sdg,MathRy00,rush_yds,37,,,,,
player,201111200chi,sdg,MathRy00,rush_td,0,,,,,
player,201111200chi,sdg,MathRy00,rush_long,23,,,,,
player,201111200chi,sdg,MathRy00,targets,2,,,,,
player,201111200chi,sdg,MathRy00,rec,2,,,,,
player,201111200chi,sdg,MathRy00,rec_yds,14,,,,,
player,201111200chi,sdg,MathRy00,rec_td,0,,,,,
player,201111200chi,sdg,MathRy00,rec_long,10,,,,,
player,201111200chi,sdg,MathRy00,fumbles,2,,,,,
player,201111200chi,sdg,MathRy00,fumbles_lost,1,,,,,
player,201111200chi,sdg,TolbMi00,pass_cmp,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_att,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_yds,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_td,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_int,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_sacked,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_long,0,,,,,
player,201111200chi,sdg,TolbMi00,pass_rating,,,,,,
player,201111200chi,sdg,TolbMi00,rush_att,3,,,,,
player,201111200chi,sdg,TolbMi00,rush_yds,14,,,,,
player,201111200chi,sdg,TolbMi00,rush_td,0,,,,,
player,201111200chi,sdg,TolbMi00,rush_long,8,,,,,
player,201111200chi,sdg,TolbMi00,targets,7,,,,,
player,201111200chi,sdg,TolbMi00,rec,5,,,,,
player,201111200chi,sdg,TolbMi00,rec_yds,24,,,,,
player,201111200chi,sdg,TolbMi00,rec_td,0,,,,,
player,201111200chi,sdg,TolbMi00,rec_long,13,,,,,
player,201111200chi,sdg,TolbMi00,fumbles,0,,,,,
player,201111200chi,sdg,TolbMi00,fumbles_lost,,,,,,
player,201111200chi,sdg,HestJa00,pass_cmp,0,,,,,
player,201111200chi,sdg,HestJa00,pass_att,0,,,,,
player,201111200chi,sdg,HestJa00,pass_yds,0,,,,,
player,201111200chi,sdg,HestJa00,pass_td,0,,,,,
player,201111200chi,sdg,HestJa00,pass_int,0,,,,,
player,201111200chi,sdg,HestJa00,pass_sacked,0,,,,,
player,201111200chi,sdg,HestJa00,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,HestJa00,pass_long,0,,,,,
player,201111200chi,sdg,HestJa00,pass_rating,,,,,,
player,201111200chi,sdg,HestJa00,rush_att,1,,,,,
player,201111200chi,sdg,HestJa00,rush_yds,1,,,,,
player,201111200chi,sdg,HestJa00,rush_td,0,,,,,
player,201111200chi,sdg,HestJa00,rush_long,1,,,,,
player,201111200chi,sdg,HestJa00,targets,2,,,,,
player,201111200chi,sdg,HestJa00,rec,2,,,,,
player,201111200chi,sdg,HestJa00,rec_yds,6,,,,,
player,201111200chi,sdg,HestJa00,rec_td,0,,,,,
player,201111200chi,sdg,HestJa00,rec_long,11,,,,,
player,201111200chi,sdg,HestJa00,fumbles,0,,,,,
player,201111200chi,sdg,HestJa00,fumbles_lost,,,,,,
player,201111200chi,sdg,JackVi00,pass_cmp,0,,,,,
player,201111200chi,sdg,JackVi00,pass_att,0,,,,,
player,201111200chi,sdg,JackVi00,pass_yds,0,,,,,
player,201111200chi,sdg,JackVi00,pass_td,0,,,,,
player,201111200chi,sdg,JackVi00,pass_int,0,,,,,
player,201111200chi,sdg,JackVi00,pass_sacked,0,,,,,
player,201111200chi,sdg,JackVi00,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,JackVi00,pass_long,0,,,,,
player,201111200chi,sdg,JackVi00,pass_rating,,,,,,
player,201111200chi,sdg,JackVi00,rush_att,0,,,,,
player,201111200chi,sdg,JackVi00,rush_yds,0,,,,,
player,201111200chi,sdg,JackVi00,rush_td,0,,,,,
player,201111200chi,sdg,JackVi00,rush_long,0,,,,,
player,201111200chi,sdg,JackVi00,targets,9,,,,,
player,201111200chi,sdg,JackVi00,rec,7,,,,,
player,201111200chi,sdg,JackVi00,rec_yds,165,,,,,
player,201111200chi,sdg,JackVi00,rec_td,1,,,,,
player,201111200chi,sdg,JackVi00,rec_long,47,,,,,
player,201111200chi,sdg,JackVi00,fumbles,0,,,,,
player,201111200chi,sdg,JackVi00,fumbles_lost,,,,,,
player,201111200chi,sdg,GateAn00,pass_cmp,0,,,,,
player,201111200chi,sdg,GateAn00,pass_att,0,,,,,
player,201111200chi,sdg,GateAn00,pass_yds,0,,,,,
player,201111200chi,sdg,GateAn00,pass_td,0,,,,,
player,201111200chi,sdg,GateAn00,pass_int,0,,,,,
player,201111200chi,sdg,GateAn00,pass_sacked,0,,,,,
player,201111200chi,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,GateAn00,pass_long,0,,,,,
player,201111200chi,sdg,GateAn00,pass_rating,,,,,,
player,201111200chi,sdg,GateAn00,rush_att,0,,,,,
player,201111200chi,sdg,GateAn00,rush_yds,0,,,,,
player,201111200chi,sdg,GateAn00,rush_td,0,,,,,
player,201111200chi,sdg,GateAn00,rush_long,0,,,,,
player,201111200chi,sdg,GateAn00,targets,4,,,,,
player,201111200chi,sdg,GateAn00,rec,4,,,,,
player,201111200chi,sdg,GateAn00,rec_yds,63,,,,,
player,201111200chi,sdg,GateAn00,rec_td,1,,,,,
player,201111200chi,sdg,GateAn00,rec_long,26,,,,,
player,201111200chi,sdg,GateAn00,fumbles,0,,,,,
player,201111200chi,sdg,GateAn00,fumbles_lost,,,,,,
player,201111200chi,sdg,BrowVi00,pass_cmp,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_att,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_yds,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_td,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_int,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_sacked,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_long,0,,,,,
player,201111200chi,sdg,BrowVi00,pass_rating,,,,,,
player,201111200chi,sdg,BrowVi00,rush_att,0,,,,,
player,201111200chi,sdg,BrowVi00,rush_yds,0,,,,,
player,201111200chi,sdg,BrowVi00,rush_td,0,,,,,
player,201111200chi,sdg,BrowVi00,rush_long,0,,,,,
player,201111200chi,sdg,BrowVi00,targets,4,,,,,
player,201111200chi,sdg,BrowVi00,rec,1,,,,,
player,201111200chi,sdg,BrowVi00,rec_yds,8,,,,,
player,201111200chi,sdg,BrowVi00,rec_td,0,,,,,
player,201111200chi,sdg,BrowVi00,rec_long,8,,,,,
player,201111200chi,sdg,BrowVi00,fumbles,0,,,,,
player,201111200chi,sdg,BrowVi00,fumbles_lost,,,,,,
player,201111200chi,sdg,McMiRa01,pass_cmp,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_att,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_yds,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_td,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_int,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_sacked,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_sacked_yds,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_long,0,,,,,
player,201111200chi,sdg,McMiRa01,pass_rating,,,,,,
player,201111200chi,sdg,McMiRa01,rush_att,0,,,,,
player,201111200chi,sdg,McMiRa01,rush_yds,0,,,,,
player,201111200chi,sdg,McMiRa01,rush_td,0,,,,,
player,201111200chi,sdg,McMiRa01,rush_long,0,,,,,
player,201111200chi,sdg,McMiRa01,targets,3,,,,,
player,201111200chi,sdg,McMiRa01,rec,0,,,,,
player,201111200chi,sdg,McMiRa01,rec_yds,0,,,,,
player,201111200chi,sdg,McMiRa01,rec_td,0,,,,,
player,201111200chi,sdg,McMiRa01,rec_long,0,,,,,
player,201111200chi,sdg,McMiRa01,fumbles,0,,,,,
player,201111200chi,sdg,McMiRa01,fumbles_lost,,,,,,
player,201111200chi,chi,CutlJa00,pass_cmp,18,,,,,
player,201111200chi,chi,CutlJa00,pass_att,31,,,,,
player,201111200chi,chi,CutlJa00,pass_yds,286,,,,,
player,201111200chi,chi,CutlJa00,pass_td,2,,,,,
player,201111200chi,chi,CutlJa00,pass_int,1,,,,,
player,201111200chi,chi,CutlJa00,pass_sacked,0,,,,,
player,201111200chi,chi,CutlJa00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,CutlJa00,pass_long,42,,,,,
player,201111200chi,chi,CutlJa00,pass_rating,97.0,,,,,
player,201111200chi,chi,CutlJa00,rush_att,5,,,,,
player,201111200chi,chi,CutlJa00,rush_yds,10,,,,,
player,201111200chi,chi,CutlJa00,rush_td,1,,,,,
player,201111200chi,chi,CutlJa00,rush_long,11,,,,,
player,201111200chi,chi,CutlJa00,targets,0,,,,,
player,201111200chi,chi,CutlJa00,rec,0,,,,,
player,201111200chi,chi,CutlJa00,rec_yds,0,,,,,
player,201111200chi,chi,CutlJa00,rec_td,0,,,,,
player,201111200chi,chi,CutlJa00,rec_long,0,,,,,
player,201111200chi,chi,CutlJa00,fumbles,0,,,,,
player,201111200chi,chi,CutlJa00,fumbles_lost,,,,,,
player,201111200chi,chi,PodlAd20,pass_cmp,0,,,,,
player,201111200chi,chi,PodlAd20,pass_att,1,,,,,
player,201111200chi,chi,PodlAd20,pass_yds,0,,,,,
player,201111200chi,chi,PodlAd20,pass_td,0,,,,,
player,201111200chi,chi,PodlAd20,pass_int,0,,,,,
player,201111200chi,chi,PodlAd20,pass_sacked,0,,,,,
player,201111200chi,chi,PodlAd20,pass_sacked_yds,0,,,,,
player,201111200chi,chi,PodlAd20,pass_long,0,,,,,
player,201111200chi,chi,PodlAd20,pass_rating,39.6,,,,,
player,201111200chi,chi,PodlAd20,rush_att,0,,,,,
player,201111200chi,chi,PodlAd20,rush_yds,0,,,,,
player,201111200chi,chi,PodlAd20,rush_td,0,,,,,
player,201111200chi,chi,PodlAd20,rush_long,0,,,,,
player,201111200chi,chi,PodlAd20,targets,0,,,,,
player,201111200chi,chi,PodlAd20,rec,0,,,,,
player,201111200chi,chi,PodlAd20,rec_yds,0,,,,,
player,201111200chi,chi,PodlAd20,rec_td,0,,,,,
player,201111200chi,chi,PodlAd20,rec_long,0,,,,,
player,201111200chi,chi,PodlAd20,fumbles,0,,,,,
player,201111200chi,chi,PodlAd20,fumbles_lost,,,,,,
player,201111200chi,chi,FortMa00,pass_cmp,0,,,,,
player,201111200chi,chi,FortMa00,pass_att,0,,,,,
player,201111200chi,chi,FortMa00,pass_yds,0,,,,,
player,201111200chi,chi,FortMa00,pass_td,0,,,,,
player,201111200chi,chi,FortMa00,pass_int,0,,,,,
player,201111200chi,chi,FortMa00,pass_sacked,0,,,,,
player,201111200chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,FortMa00,pass_long,0,,,,,
player,201111200chi,chi,FortMa00,pass_rating,,,,,,
player,201111200chi,chi,FortMa00,rush_att,20,,,,,
player,201111200chi,chi,FortMa00,rush_yds,57,,,,,
player,201111200chi,chi,FortMa00,rush_td,0,,,,,
player,201111200chi,chi,FortMa00,rush_long,13,,,,,
player,201111200chi,chi,FortMa00,targets,5,,,,,
player,201111200chi,chi,FortMa00,rec,4,,,,,
player,201111200chi,chi,FortMa00,rec_yds,26,,,,,
player,201111200chi,chi,FortMa00,rec_td,0,,,,,
player,201111200chi,chi,FortMa00,rec_long,17,,,,,
player,201111200chi,chi,FortMa00,fumbles,0,,,,,
player,201111200chi,chi,FortMa00,fumbles_lost,,,,,,
player,201111200chi,chi,BarbMa01,pass_cmp,0,,,,,
player,201111200chi,chi,BarbMa01,pass_att,0,,,,,
player,201111200chi,chi,BarbMa01,pass_yds,0,,,,,
player,201111200chi,chi,BarbMa01,pass_td,0,,,,,
player,201111200chi,chi,BarbMa01,pass_int,0,,,,,
player,201111200chi,chi,BarbMa01,pass_sacked,0,,,,,
player,201111200chi,chi,BarbMa01,pass_sacked_yds,0,,,,,
player,201111200chi,chi,BarbMa01,pass_long,0,,,,,
player,201111200chi,chi,BarbMa01,pass_rating,,,,,,
player,201111200chi,chi,BarbMa01,rush_att,7,,,,,
player,201111200chi,chi,BarbMa01,rush_yds,25,,,,,
player,201111200chi,chi,BarbMa01,rush_td,1,,,,,
player,201111200chi,chi,BarbMa01,rush_long,10,,,,,
player,201111200chi,chi,BarbMa01,targets,0,,,,,
player,201111200chi,chi,BarbMa01,rec,0,,,,,
player,201111200chi,chi,BarbMa01,rec_yds,0,,,,,
player,201111200chi,chi,BarbMa01,rec_td,0,,,,,
player,201111200chi,chi,BarbMa01,rec_long,0,,,,,
player,201111200chi,chi,BarbMa01,fumbles,0,,,,,
player,201111200chi,chi,BarbMa01,fumbles_lost,,,,,,
player,201111200chi,chi,KnoxJo00,pass_cmp,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_att,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_yds,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_td,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_int,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_sacked,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_long,0,,,,,
player,201111200chi,chi,KnoxJo00,pass_rating,,,,,,
player,201111200chi,chi,KnoxJo00,rush_att,0,,,,,
player,201111200chi,chi,KnoxJo00,rush_yds,0,,,,,
player,201111200chi,chi,KnoxJo00,rush_td,0,,,,,
player,201111200chi,chi,KnoxJo00,rush_long,0,,,,,
player,201111200chi,chi,KnoxJo00,targets,5,,,,,
player,201111200chi,chi,KnoxJo00,rec,3,,,,,
player,201111200chi,chi,KnoxJo00,rec_yds,97,,,,,
player,201111200chi,chi,KnoxJo00,rec_td,1,,,,,
player,201111200chi,chi,KnoxJo00,rec_long,42,,,,,
player,201111200chi,chi,KnoxJo00,fumbles,0,,,,,
player,201111200chi,chi,KnoxJo00,fumbles_lost,,,,,,
player,201111200chi,chi,BennEa00,pass_cmp,0,,,,,
player,201111200chi,chi,BennEa00,pass_att,0,,,,,
player,201111200chi,chi,BennEa00,pass_yds,0,,,,,
player,201111200chi,chi,BennEa00,pass_td,0,,,,,
player,201111200chi,chi,BennEa00,pass_int,0,,,,,
player,201111200chi,chi,BennEa00,pass_sacked,0,,,,,
player,201111200chi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,BennEa00,pass_long,0,,,,,
player,201111200chi,chi,BennEa00,pass_rating,,,,,,
player,201111200chi,chi,BennEa00,rush_att,0,,,,,
player,201111200chi,chi,BennEa00,rush_yds,0,,,,,
player,201111200chi,chi,BennEa00,rush_td,0,,,,,
player,201111200chi,chi,BennEa00,rush_long,0,,,,,
player,201111200chi,chi,BennEa00,targets,9,,,,,
player,201111200chi,chi,BennEa00,rec,3,,,,,
player,201111200chi,chi,BennEa00,rec_yds,75,,,,,
player,201111200chi,chi,BennEa00,rec_td,0,,,,,
player,201111200chi,chi,BennEa00,rec_long,34,,,,,
player,201111200chi,chi,BennEa00,fumbles,0,,,,,
player,201111200chi,chi,BennEa00,fumbles_lost,,,,,,
player,201111200chi,chi,WillRo04,pass_cmp,0,,,,,
player,201111200chi,chi,WillRo04,pass_att,0,,,,,
player,201111200chi,chi,WillRo04,pass_yds,0,,,,,
player,201111200chi,chi,WillRo04,pass_td,0,,,,,
player,201111200chi,chi,WillRo04,pass_int,0,,,,,
player,201111200chi,chi,WillRo04,pass_sacked,0,,,,,
player,201111200chi,chi,WillRo04,pass_sacked_yds,0,,,,,
player,201111200chi,chi,WillRo04,pass_long,0,,,,,
player,201111200chi,chi,WillRo04,pass_rating,,,,,,
player,201111200chi,chi,WillRo04,rush_att,0,,,,,
player,201111200chi,chi,WillRo04,rush_yds,0,,,,,
player,201111200chi,chi,WillRo04,rush_td,0,,,,,
player,201111200chi,chi,WillRo04,rush_long,0,,,,,
player,201111200chi,chi,WillRo04,targets,8,,,,,
player,201111200chi,chi,WillRo04,rec,5,,,,,
player,201111200chi,chi,WillRo04,rec_yds,62,,,,,
player,201111200chi,chi,WillRo04,rec_td,0,,,,,
player,201111200chi,chi,WillRo04,rec_long,15,,,,,
player,201111200chi,chi,WillRo04,fumbles,0,,,,,
player,201111200chi,chi,WillRo04,fumbles_lost,,,,,,
player,201111200chi,chi,SpaeMa00,pass_cmp,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_att,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_yds,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_td,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_int,0,,,,,
player,201111200chi,chi,SpaeMa00,pass_sacked,0,,,,,
