game,2011,8,20111030,201110300htx,jax,"Jacksonville Jaguars",14,htx,"Houston Texans",24
team,201110300htx,jax,First Downs,13,,,,,,
team,201110300htx,htx,First Downs,20,,,,,,
team,201110300htx,jax,Rush-Yds-TDs,25-84-1,,,,,,
team,201110300htx,htx,Rush-Yds-TDs,39-156-2,,,,,,
team,201110300htx,jax,Cmp-Att-Yd-TD-INT,10-32-97-1-2,,,,,,
team,201110300htx,htx,Cmp-Att-Yd-TD-INT,16-30-225-1-0,,,,,,
team,201110300htx,jax,Sacked-Yards,1-7,,,,,,
team,201110300htx,htx,Sacked-Yards,2-23,,,,,,
team,201110300htx,jax,Net Pass Yards,90,,,,,,
team,201110300htx,htx,Net Pass Yards,202,,,,,,
team,201110300htx,jax,Total Yards,174,,,,,,
team,201110300htx,htx,Total Yards,358,,,,,,
team,201110300htx,jax,Fumbles-Lost,1-0,,,,,,
team,201110300htx,htx,Fumbles-Lost,2-2,,,,,,
team,201110300htx,jax,Turnovers,2,,,,,,
team,201110300htx,htx,Turnovers,2,,,,,,
team,201110300htx,jax,Penalties-Yards,5-39,,,,,,
team,201110300htx,htx,Penalties-Yards,7-60,,,,,,
team,201110300htx,jax,Third Down Conv.,5-14,,,,,,
team,201110300htx,htx,Third Down Conv.,10-17,,,,,,
team,201110300htx,jax,Fourth Down Conv.,1-1,,,,,,
team,201110300htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201110300htx,jax,Time of Possession,24:41,,,,,,
team,201110300htx,htx,Time of Possession,35:19,,,,,,
player,201110300htx,jax,GabbBl00,pass_cmp,10,,,,,
player,201110300htx,jax,GabbBl00,pass_att,30,,,,,
player,201110300htx,jax,GabbBl00,pass_yds,97,,,,,
player,201110300htx,jax,GabbBl00,pass_td,1,,,,,
player,201110300htx,jax,GabbBl00,pass_int,2,,,,,
player,201110300htx,jax,GabbBl00,pass_sacked,1,,,,,
player,201110300htx,jax,GabbBl00,pass_sacked_yds,7,,,,,
player,201110300htx,jax,GabbBl00,pass_long,21,,,,,
player,201110300htx,jax,GabbBl00,pass_rating,26.7,,,,,
player,201110300htx,jax,GabbBl00,rush_att,4,,,,,
player,201110300htx,jax,GabbBl00,rush_yds,14,,,,,
player,201110300htx,jax,GabbBl00,rush_td,0,,,,,
player,201110300htx,jax,GabbBl00,rush_long,11,,,,,
player,201110300htx,jax,GabbBl00,targets,0,,,,,
player,201110300htx,jax,GabbBl00,rec,0,,,,,
player,201110300htx,jax,GabbBl00,rec_yds,0,,,,,
player,201110300htx,jax,GabbBl00,rec_td,0,,,,,
player,201110300htx,jax,GabbBl00,rec_long,0,,,,,
player,201110300htx,jax,GabbBl00,fumbles,1,,,,,
player,201110300htx,jax,GabbBl00,fumbles_lost,0,,,,,
player,201110300htx,jax,McCoLu00,pass_cmp,0,,,,,
player,201110300htx,jax,McCoLu00,pass_att,2,,,,,
player,201110300htx,jax,McCoLu00,pass_yds,0,,,,,
player,201110300htx,jax,McCoLu00,pass_td,0,,,,,
player,201110300htx,jax,McCoLu00,pass_int,0,,,,,
player,201110300htx,jax,McCoLu00,pass_sacked,0,,,,,
player,201110300htx,jax,McCoLu00,pass_sacked_yds,0,,,,,
player,201110300htx,jax,McCoLu00,pass_long,0,,,,,
player,201110300htx,jax,McCoLu00,pass_rating,39.6,,,,,
player,201110300htx,jax,McCoLu00,rush_att,0,,,,,
player,201110300htx,jax,McCoLu00,rush_yds,0,,,,,
player,201110300htx,jax,McCoLu00,rush_td,0,,,,,
player,201110300htx,jax,McCoLu00,rush_long,0,,,,,
player,201110300htx,jax,McCoLu00,targets,0,,,,,
player,201110300htx,jax,McCoLu00,rec,0,,,,,
player,201110300htx,jax,McCoLu00,rec_yds,0,,,,,
player,201110300htx,jax,McCoLu00,rec_td,0,,,,,
player,201110300htx,jax,McCoLu00,rec_long,0,,,,,
player,201110300htx,jax,McCoLu00,fumbles,0,,,,,
player,201110300htx,jax,McCoLu00,fumbles_lost,,,,,,
player,201110300htx,jax,DrewMa00,pass_cmp,0,,,,,
player,201110300htx,jax,DrewMa00,pass_att,0,,,,,
player,201110300htx,jax,DrewMa00,pass_yds,0,,,,,
player,201110300htx,jax,DrewMa00,pass_td,0,,,,,
player,201110300htx,jax,DrewMa00,pass_int,0,,,,,
player,201110300htx,jax,DrewMa00,pass_sacked,0,,,,,
player,201110300htx,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201110300htx,jax,DrewMa00,pass_long,0,,,,,
player,201110300htx,jax,DrewMa00,pass_rating,,,,,,
player,201110300htx,jax,DrewMa00,rush_att,18,,,,,
player,201110300htx,jax,DrewMa00,rush_yds,63,,,,,
player,201110300htx,jax,DrewMa00,rush_td,1,,,,,
player,201110300htx,jax,DrewMa00,rush_long,10,,,,,
player,201110300htx,jax,DrewMa00,targets,4,,,,,
player,201110300htx,jax,DrewMa00,rec,1,,,,,
player,201110300htx,jax,DrewMa00,rec_yds,11,,,,,
player,201110300htx,jax,DrewMa00,rec_td,0,,,,,
player,201110300htx,jax,DrewMa00,rec_long,11,,,,,
player,201110300htx,jax,DrewMa00,fumbles,0,,,,,
player,201110300htx,jax,DrewMa00,fumbles_lost,,,,,,
player,201110300htx,jax,KariDe00,pass_cmp,0,,,,,
player,201110300htx,jax,KariDe00,pass_att,0,,,,,
player,201110300htx,jax,KariDe00,pass_yds,0,,,,,
player,201110300htx,jax,KariDe00,pass_td,0,,,,,
player,201110300htx,jax,KariDe00,pass_int,0,,,,,
player,201110300htx,jax,KariDe00,pass_sacked,0,,,,,
player,201110300htx,jax,KariDe00,pass_sacked_yds,0,,,,,
player,201110300htx,jax,KariDe00,pass_long,0,,,,,
player,201110300htx,jax,KariDe00,pass_rating,,,,,,
player,201110300htx,jax,KariDe00,rush_att,3,,,,,
player,201110300htx,jax,KariDe00,rush_yds,7,,,,,
player,201110300htx,jax,KariDe00,rush_td,0,,,,,
player,201110300htx,jax,KariDe00,rush_long,5,,,,,
player,201110300htx,jax,KariDe00,targets,1,,,,,
player,201110300htx,jax,KariDe00,rec,0,,,,,
