game,2011,8,20111030,201110300sea,cin,"Cincinnati Bengals",34,sea,"Seattle Seahawks",12
team,201110300sea,cin,First Downs,18,,,,,,
team,201110300sea,sea,First Downs,20,,,,,,
team,201110300sea,cin,Rush-Yds-TDs,27-92-0,,,,,,
team,201110300sea,sea,Rush-Yds-TDs,20-61-1,,,,,,
team,201110300sea,cin,Cmp-Att-Yd-TD-INT,18-29-168-2-2,,,,,,
team,201110300sea,sea,Cmp-Att-Yd-TD-INT,25-47-375-0-1,,,,,,
team,201110300sea,cin,Sacked-Yards,1-8,,,,,,
team,201110300sea,sea,Sacked-Yards,4-25,,,,,,
team,201110300sea,cin,Net Pass Yards,160,,,,,,
team,201110300sea,sea,Net Pass Yards,350,,,,,,
team,201110300sea,cin,Total Yards,252,,,,,,
team,201110300sea,sea,Total Yards,411,,,,,,
team,201110300sea,cin,Fumbles-Lost,0-0,,,,,,
team,201110300sea,sea,Fumbles-Lost,1-1,,,,,,
team,201110300sea,cin,Turnovers,2,,,,,,
team,201110300sea,sea,Turnovers,2,,,,,,
team,201110300sea,cin,Penalties-Yards,7-65,,,,,,
team,201110300sea,sea,Penalties-Yards,11-80,,,,,,
team,201110300sea,cin,Third Down Conv.,6-14,,,,,,
team,201110300sea,sea,Third Down Conv.,5-15,,,,,,
team,201110300sea,cin,Fourth Down Conv.,0-0,,,,,,
team,201110300sea,sea,Fourth Down Conv.,1-2,,,,,,
team,201110300sea,cin,Time of Possession,31:27,,,,,,
team,201110300sea,sea,Time of Possession,28:33,,,,,,
player,201110300sea,cin,DaltAn00,pass_cmp,18,,,,,
player,201110300sea,cin,DaltAn00,pass_att,29,,,,,
player,201110300sea,cin,DaltAn00,pass_yds,168,,,,,
player,201110300sea,cin,DaltAn00,pass_td,2,,,,,
player,201110300sea,cin,DaltAn00,pass_int,2,,,,,
player,201110300sea,cin,DaltAn00,pass_sacked,1,,,,,
player,201110300sea,cin,DaltAn00,pass_sacked_yds,8,,,,,
player,201110300sea,cin,DaltAn00,pass_long,43,,,,,
player,201110300sea,cin,DaltAn00,pass_rating,72.2,,,,,
player,201110300sea,cin,DaltAn00,rush_att,2,,,,,
