game,2011,16,20111224,201112240rav,cle,"Cleveland Browns",14,rav,"Baltimore Ravens",20
team,201112240rav,cle,First Downs,18,,,,,,
team,201112240rav,rav,First Downs,15,,,,,,
team,201112240rav,cle,Rush-Yds-TDs,25-117-0,,,,,,
team,201112240rav,rav,Rush-Yds-TDs,37-162-0,,,,,,
team,201112240rav,cle,Cmp-Att-Yd-TD-INT,19-33-147-1-1,,,,,,
team,201112240rav,rav,Cmp-Att-Yd-TD-INT,11-24-132-2-1,,,,,,
team,201112240rav,cle,Sacked-Yards,2-8,,,,,,
team,201112240rav,rav,Sacked-Yards,1-10,,,,,,
team,201112240rav,cle,Net Pass Yards,139,,,,,,
team,201112240rav,rav,Net Pass Yards,122,,,,,,
team,201112240rav,cle,Total Yards,256,,,,,,
team,201112240rav,rav,Total Yards,284,,,,,,
team,201112240rav,cle,Fumbles-Lost,0-0,,,,,,
team,201112240rav,rav,Fumbles-Lost,1-0,,,,,,
team,201112240rav,cle,Turnovers,1,,,,,,
team,201112240rav,rav,Turnovers,1,,,,,,
team,201112240rav,cle,Penalties-Yards,6-95,,,,,,
team,201112240rav,rav,Penalties-Yards,5-51,,,,,,
team,201112240rav,cle,Third Down Conv.,5-13,,,,,,
team,201112240rav,rav,Third Down Conv.,7-17,,,,,,
team,201112240rav,cle,Fourth Down Conv.,0-1,,,,,,
team,201112240rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201112240rav,cle,Time of Possession,27:42,,,,,,
team,201112240rav,rav,Time of Possession,32:18,,,,,,
player,201112240rav,cle,WallSe00,pass_cmp,19,,,,,
player,201112240rav,cle,WallSe00,pass_att,33,,,,,
player,201112240rav,cle,WallSe00,pass_yds,147,,,,,
player,201112240rav,cle,WallSe00,pass_td,1,,,,,
player,201112240rav,cle,WallSe00,pass_int,1,,,,,
player,201112240rav,cle,WallSe00,pass_sacked,2,,,,,
player,201112240rav,cle,WallSe00,pass_sacked_yds,8,,,,,
player,201112240rav,cle,WallSe00,pass_long,23,,,,,
player,201112240rav,cle,WallSe00,pass_rating,66.1,,,,,
player,201112240rav,cle,WallSe00,rush_att,1,,,,,
player,201112240rav,cle,WallSe00,rush_yds,5,,,,,
player,201112240rav,cle,WallSe00,rush_td,0,,,,,
player,201112240rav,cle,WallSe00,rush_long,5,,,,,
player,201112240rav,cle,WallSe00,targets,0,,,,,
player,201112240rav,cle,WallSe00,rec,0,,,,,
player,201112240rav,cle,WallSe00,rec_yds,0,,,,,
player,201112240rav,cle,WallSe00,rec_td,0,,,,,
