game,2011,2,20110918,201109180mia,htx,"Houston Texans",23,mia,"Miami Dolphins",13
team,201109180mia,htx,First Downs,19,,,,,,
team,201109180mia,mia,First Downs,18,,,,,,
team,201109180mia,htx,Rush-Yds-TDs,36-138-0,,,,,,
team,201109180mia,mia,Rush-Yds-TDs,28-153-0,,,,,,
team,201109180mia,htx,Cmp-Att-Yd-TD-INT,21-29-230-2-0,,,,,,
team,201109180mia,mia,Cmp-Att-Yd-TD-INT,12-30-170-1-1,,,,,,
team,201109180mia,htx,Sacked-Yards,3-23,,,,,,
team,201109180mia,mia,Sacked-Yards,2-17,,,,,,
team,201109180mia,htx,Net Pass Yards,207,,,,,,
team,201109180mia,mia,Net Pass Yards,153,,,,,,
team,201109180mia,htx,Total Yards,345,,,,,,
team,201109180mia,mia,Total Yards,306,,,,,,
team,201109180mia,htx,Fumbles-Lost,0-0,,,,,,
team,201109180mia,mia,Fumbles-Lost,1-1,,,,,,
team,201109180mia,htx,Turnovers,0,,,,,,
team,201109180mia,mia,Turnovers,2,,,,,,
team,201109180mia,htx,Penalties-Yards,4-76,,,,,,
team,201109180mia,mia,Penalties-Yards,3-20,,,,,,
team,201109180mia,htx,Third Down Conv.,5-15,,,,,,
team,201109180mia,mia,Third Down Conv.,4-12,,,,,,
team,201109180mia,htx,Fourth Down Conv.,1-1,,,,,,
team,201109180mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201109180mia,htx,Time of Possession,34:06,,,,,,
team,201109180mia,mia,Time of Possession,25:54,,,,,,
player,201109180mia,htx,SchaMa00,pass_cmp,21,,,,,
player,201109180mia,htx,SchaMa00,pass_att,29,,,,,
player,201109180mia,htx,SchaMa00,pass_yds,230,,,,,
player,201109180mia,htx,SchaMa00,pass_td,2,,,,,
player,201109180mia,htx,SchaMa00,pass_int,0,,,,,
player,201109180mia,htx,SchaMa00,pass_sacked,3,,,,,
player,201109180mia,htx,SchaMa00,pass_sacked_yds,23,,,,,
player,201109180mia,htx,SchaMa00,pass_long,43,,,,,
