game,2011,6,20111016,201110160cin,clt,"Indianapolis Colts",17,cin,"Cincinnati Bengals",27
team,201110160cin,clt,First Downs,18,,,,,,
team,201110160cin,cin,First Downs,17,,,,,,
team,201110160cin,clt,Rush-Yds-TDs,23-94-1,,,,,,
team,201110160cin,cin,Rush-Yds-TDs,31-94-1,,,,,,
team,201110160cin,clt,Cmp-Att-Yd-TD-INT,23-34-188-1-1,,,,,,
team,201110160cin,cin,Cmp-Att-Yd-TD-INT,25-32-264-1-0,,,,,,
team,201110160cin,clt,Sacked-Yards,1-9,,,,,,
team,201110160cin,cin,Sacked-Yards,0-0,,,,,,
team,201110160cin,clt,Net Pass Yards,179,,,,,,
team,201110160cin,cin,Net Pass Yards,264,,,,,,
team,201110160cin,clt,Total Yards,273,,,,,,
team,201110160cin,cin,Total Yards,358,,,,,,
team,201110160cin,clt,Fumbles-Lost,2-2,,,,,,
team,201110160cin,cin,Fumbles-Lost,0-0,,,,,,
team,201110160cin,clt,Turnovers,3,,,,,,
team,201110160cin,cin,Turnovers,0,,,,,,
team,201110160cin,clt,Penalties-Yards,2-11,,,,,,
team,201110160cin,cin,Penalties-Yards,11-111,,,,,,
team,201110160cin,clt,Third Down Conv.,6-12,,,,,,
team,201110160cin,cin,Third Down Conv.,6-14,,,,,,
team,201110160cin,clt,Fourth Down Conv.,0-0,,,,,,
team,201110160cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201110160cin,clt,Time of Possession,26:24,,,,,,
team,201110160cin,cin,Time of Possession,33:36,,,,,,
player,201110160cin,clt,PainCu00,pass_cmp,23,,,,,
player,201110160cin,clt,PainCu00,pass_att,34,,,,,
player,201110160cin,clt,PainCu00,pass_yds,188,,,,,
player,201110160cin,clt,PainCu00,pass_td,1,,,,,
player,201110160cin,clt,PainCu00,pass_int,1,,,,,
player,201110160cin,clt,PainCu00,pass_sacked,1,,,,,
player,201110160cin,clt,PainCu00,pass_sacked_yds,9,,,,,
player,201110160cin,clt,PainCu00,pass_long,22,,,,,
player,201110160cin,clt,PainCu00,pass_rating,79.0,,,,,
player,201110160cin,clt,PainCu00,rush_att,4,,,,,
player,201110160cin,clt,PainCu00,rush_yds,14,,,,,
player,201110160cin,clt,PainCu00,rush_td,0,,,,,
player,201110160cin,clt,PainCu00,rush_long,12,,,,,
player,201110160cin,clt,PainCu00,targets,0,,,,,
player,201110160cin,clt,PainCu00,rec,0,,,,,
player,201110160cin,clt,PainCu00,rec_yds,0,,,,,
player,201110160cin,clt,PainCu00,rec_td,0,,,,,
player,201110160cin,clt,PainCu00,rec_long,0,,,,,
player,201110160cin,clt,PainCu00,fumbles,0,,,,,
player,201110160cin,clt,PainCu00,fumbles_lost,,,,,,
player,201110160cin,clt,CartDe01,pass_cmp,0,,,,,
player,201110160cin,clt,CartDe01,pass_att,0,,,,,
player,201110160cin,clt,CartDe01,pass_yds,0,,,,,
player,201110160cin,clt,CartDe01,pass_td,0,,,,,
player,201110160cin,clt,CartDe01,pass_int,0,,,,,
player,201110160cin,clt,CartDe01,pass_sacked,0,,,,,
player,201110160cin,clt,CartDe01,pass_sacked_yds,0,,,,,
player,201110160cin,clt,CartDe01,pass_long,0,,,,,
player,201110160cin,clt,CartDe01,pass_rating,,,,,,
player,201110160cin,clt,CartDe01,rush_att,14,,,,,
player,201110160cin,clt,CartDe01,rush_yds,45,,,,,
player,201110160cin,clt,CartDe01,rush_td,0,,,,,
player,201110160cin,clt,CartDe01,rush_long,9,,,,,
player,201110160cin,clt,CartDe01,targets,1,,,,,
player,201110160cin,clt,CartDe01,rec,0,,,,,
player,201110160cin,clt,CartDe01,rec_yds,0,,,,,
player,201110160cin,clt,CartDe01,rec_td,0,,,,,
player,201110160cin,clt,CartDe01,rec_long,0,,,,,
player,201110160cin,clt,CartDe01,fumbles,0,,,,,
player,201110160cin,clt,CartDe01,fumbles_lost,,,,,,
player,201110160cin,clt,BrowDo00,pass_cmp,0,,,,,
player,201110160cin,clt,BrowDo00,pass_att,0,,,,,
player,201110160cin,clt,BrowDo00,pass_yds,0,,,,,
player,201110160cin,clt,BrowDo00,pass_td,0,,,,,
player,201110160cin,clt,BrowDo00,pass_int,0,,,,,
player,201110160cin,clt,BrowDo00,pass_sacked,0,,,,,
player,201110160cin,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201110160cin,clt,BrowDo00,pass_long,0,,,,,
player,201110160cin,clt,BrowDo00,pass_rating,,,,,,
player,201110160cin,clt,BrowDo00,rush_att,5,,,,,
player,201110160cin,clt,BrowDo00,rush_yds,35,,,,,
player,201110160cin,clt,BrowDo00,rush_td,1,,,,,
player,201110160cin,clt,BrowDo00,rush_long,18,,,,,
player,201110160cin,clt,BrowDo00,targets,2,,,,,
player,201110160cin,clt,BrowDo00,rec,2,,,,,
player,201110160cin,clt,BrowDo00,rec_yds,16,,,,,
player,201110160cin,clt,BrowDo00,rec_td,0,,,,,
player,201110160cin,clt,BrowDo00,rec_long,8,,,,,
player,201110160cin,clt,BrowDo00,fumbles,0,,,,,
player,201110160cin,clt,BrowDo00,fumbles_lost,,,,,,
player,201110160cin,clt,WaynRe00,pass_cmp,0,,,,,
player,201110160cin,clt,WaynRe00,pass_att,0,,,,,
player,201110160cin,clt,WaynRe00,pass_yds,0,,,,,
player,201110160cin,clt,WaynRe00,pass_td,0,,,,,
player,201110160cin,clt,WaynRe00,pass_int,0,,,,,
player,201110160cin,clt,WaynRe00,pass_sacked,0,,,,,
player,201110160cin,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201110160cin,clt,WaynRe00,pass_long,0,,,,,
player,201110160cin,clt,WaynRe00,pass_rating,,,,,,
player,201110160cin,clt,WaynRe00,rush_att,0,,,,,
player,201110160cin,clt,WaynRe00,rush_yds,0,,,,,
player,201110160cin,clt,WaynRe00,rush_td,0,,,,,
player,201110160cin,clt,WaynRe00,rush_long,0,,,,,
player,201110160cin,clt,WaynRe00,targets,6,,,,,
player,201110160cin,clt,WaynRe00,rec,5,,,,,
player,201110160cin,clt,WaynRe00,rec_yds,58,,,,,
player,201110160cin,clt,WaynRe00,rec_td,0,,,,,
player,201110160cin,clt,WaynRe00,rec_long,22,,,,,
player,201110160cin,clt,WaynRe00,fumbles,0,,,,,
player,201110160cin,clt,WaynRe00,fumbles_lost,,,,,,
player,201110160cin,clt,ClarDa00,pass_cmp,0,,,,,
player,201110160cin,clt,ClarDa00,pass_att,0,,,,,
player,201110160cin,clt,ClarDa00,pass_yds,0,,,,,
player,201110160cin,clt,ClarDa00,pass_td,0,,,,,
player,201110160cin,clt,ClarDa00,pass_int,0,,,,,
player,201110160cin,clt,ClarDa00,pass_sacked,0,,,,,
player,201110160cin,clt,ClarDa00,pass_sacked_yds,0,,,,,
player,201110160cin,clt,ClarDa00,pass_long,0,,,,,
player,201110160cin,clt,ClarDa00,pass_rating,,,,,,
player,201110160cin,clt,ClarDa00,rush_att,0,,,,,
player,201110160cin,clt,ClarDa00,rush_yds,0,,,,,
player,201110160cin,clt,ClarDa00,rush_td,0,,,,,
player,201110160cin,clt,ClarDa00,rush_long,0,,,,,
player,201110160cin,clt,ClarDa00,targets,7,,,,,
player,201110160cin,clt,ClarDa00,rec,6,,,,,
player,201110160cin,clt,ClarDa00,rec_yds,53,,,,,
player,201110160cin,clt,ClarDa00,rec_td,1,,,,,
