game,2011,8,20111031,201110310kan,sdg,"San Diego Chargers",20,kan,"Kansas City Chiefs",23
team,201110310kan,sdg,First Downs,22,,,,,,
team,201110310kan,kan,First Downs,19,,,,,,
team,201110310kan,sdg,Rush-Yds-TDs,27-102-1,,,,,,
team,201110310kan,kan,Rush-Yds-TDs,32-94-1,,,,,,
team,201110310kan,sdg,Cmp-Att-Yd-TD-INT,26-41-369-0-2,,,,,,
team,201110310kan,kan,Cmp-Att-Yd-TD-INT,19-32-261-1-2,,,,,,
team,201110310kan,sdg,Sacked-Yards,3-24,,,,,,
team,201110310kan,kan,Sacked-Yards,3-14,,,,,,
team,201110310kan,sdg,Net Pass Yards,345,,,,,,
team,201110310kan,kan,Net Pass Yards,247,,,,,,
team,201110310kan,sdg,Total Yards,447,,,,,,
team,201110310kan,kan,Total Yards,341,,,,,,
team,201110310kan,sdg,Fumbles-Lost,3-2,,,,,,
team,201110310kan,kan,Fumbles-Lost,2-2,,,,,,
team,201110310kan,sdg,Turnovers,4,,,,,,
team,201110310kan,kan,Turnovers,4,,,,,,
team,201110310kan,sdg,Penalties-Yards,12-105,,,,,,
team,201110310kan,kan,Penalties-Yards,9-53,,,,,,
team,201110310kan,sdg,Third Down Conv.,5-14,,,,,,
team,201110310kan,kan,Third Down Conv.,7-14,,,,,,
team,201110310kan,sdg,Fourth Down Conv.,0-0,,,,,,
team,201110310kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201110310kan,sdg,Time of Possession,37:29,,,,,,
team,201110310kan,kan,Time of Possession,32:15,,,,,,
player,201110310kan,sdg,RivePh00,pass_cmp,26,,,,,
player,201110310kan,sdg,RivePh00,pass_att,41,,,,,
player,201110310kan,sdg,RivePh00,pass_yds,369,,,,,
player,201110310kan,sdg,RivePh00,pass_td,0,,,,,
player,201110310kan,sdg,RivePh00,pass_int,2,,,,,
player,201110310kan,sdg,RivePh00,pass_sacked,3,,,,,
player,201110310kan,sdg,RivePh00,pass_sacked_yds,24,,,,,
player,201110310kan,sdg,RivePh00,pass_long,39,,,,,
player,201110310kan,sdg,RivePh00,pass_rating,72.1,,,,,
player,201110310kan,sdg,RivePh00,rush_att,3,,,,,
player,201110310kan,sdg,RivePh00,rush_yds,1,,,,,
player,201110310kan,sdg,RivePh00,rush_td,0,,,,,
player,201110310kan,sdg,RivePh00,rush_long,2,,,,,
player,201110310kan,sdg,RivePh00,targets,0,,,,,
player,201110310kan,sdg,RivePh00,rec,0,,,,,
player,201110310kan,sdg,RivePh00,rec_yds,0,,,,,
player,201110310kan,sdg,RivePh00,rec_td,0,,,,,
player,201110310kan,sdg,RivePh00,rec_long,0,,,,,
player,201110310kan,sdg,RivePh00,fumbles,2,,,,,
player,201110310kan,sdg,RivePh00,fumbles_lost,1,,,,,
player,201110310kan,sdg,MathRy00,pass_cmp,0,,,,,
player,201110310kan,sdg,MathRy00,pass_att,0,,,,,
player,201110310kan,sdg,MathRy00,pass_yds,0,,,,,
player,201110310kan,sdg,MathRy00,pass_td,0,,,,,
player,201110310kan,sdg,MathRy00,pass_int,0,,,,,
player,201110310kan,sdg,MathRy00,pass_sacked,0,,,,,
player,201110310kan,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201110310kan,sdg,MathRy00,pass_long,0,,,,,
player,201110310kan,sdg,MathRy00,pass_rating,,,,,,
player,201110310kan,sdg,MathRy00,rush_att,13,,,,,
player,201110310kan,sdg,MathRy00,rush_yds,57,,,,,
player,201110310kan,sdg,MathRy00,rush_td,0,,,,,
player,201110310kan,sdg,MathRy00,rush_long,18,,,,,
player,201110310kan,sdg,MathRy00,targets,7,,,,,
player,201110310kan,sdg,MathRy00,rec,6,,,,,
player,201110310kan,sdg,MathRy00,rec_yds,55,,,,,
player,201110310kan,sdg,MathRy00,rec_td,0,,,,,
player,201110310kan,sdg,MathRy00,rec_long,14,,,,,
player,201110310kan,sdg,MathRy00,fumbles,1,,,,,
player,201110310kan,sdg,MathRy00,fumbles_lost,1,,,,,
player,201110310kan,sdg,BrinCu00,pass_cmp,0,,,,,
player,201110310kan,sdg,BrinCu00,pass_att,0,,,,,
player,201110310kan,sdg,BrinCu00,pass_yds,0,,,,,
player,201110310kan,sdg,BrinCu00,pass_td,0,,,,,
player,201110310kan,sdg,BrinCu00,pass_int,0,,,,,
player,201110310kan,sdg,BrinCu00,pass_sacked,0,,,,,
player,201110310kan,sdg,BrinCu00,pass_sacked_yds,0,,,,,
