game,2011,14,20111211,201112110sdg,buf,"Buffalo Bills",10,sdg,"San Diego Chargers",37
team,201112110sdg,buf,First Downs,17,,,,,,
team,201112110sdg,sdg,First Downs,23,,,,,,
team,201112110sdg,buf,Rush-Yds-TDs,20-96-0,,,,,,
team,201112110sdg,sdg,Rush-Yds-TDs,32-150-1,,,,,,
team,201112110sdg,buf,Cmp-Att-Yd-TD-INT,15-37-195-0-3,,,,,,
team,201112110sdg,sdg,Cmp-Att-Yd-TD-INT,24-33-240-3-0,,,,,,
team,201112110sdg,buf,Sacked-Yards,1-10,,,,,,
team,201112110sdg,sdg,Sacked-Yards,2-24,,,,,,
team,201112110sdg,buf,Net Pass Yards,185,,,,,,
team,201112110sdg,sdg,Net Pass Yards,216,,,,,,
team,201112110sdg,buf,Total Yards,281,,,,,,
team,201112110sdg,sdg,Total Yards,366,,,,,,
team,201112110sdg,buf,Fumbles-Lost,0-0,,,,,,
team,201112110sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201112110sdg,buf,Turnovers,3,,,,,,
team,201112110sdg,sdg,Turnovers,1,,,,,,
team,201112110sdg,buf,Penalties-Yards,1-5,,,,,,
team,201112110sdg,sdg,Penalties-Yards,5-50,,,,,,
team,201112110sdg,buf,Third Down Conv.,4-11,,,,,,
team,201112110sdg,sdg,Third Down Conv.,8-14,,,,,,
team,201112110sdg,buf,Fourth Down Conv.,0-2,,,,,,
team,201112110sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201112110sdg,buf,Time of Possession,24:27,,,,,,
team,201112110sdg,sdg,Time of Possession,35:33,,,,,,
player,201112110sdg,buf,FitzRy00,pass_cmp,13,,,,,
player,201112110sdg,buf,FitzRy00,pass_att,34,,,,,
player,201112110sdg,buf,FitzRy00,pass_yds,176,,,,,
player,201112110sdg,buf,FitzRy00,pass_td,0,,,,,
player,201112110sdg,buf,FitzRy00,pass_int,2,,,,,
player,201112110sdg,buf,FitzRy00,pass_sacked,1,,,,,
player,201112110sdg,buf,FitzRy00,pass_sacked_yds,10,,,,,
player,201112110sdg,buf,FitzRy00,pass_long,53,,,,,
player,201112110sdg,buf,FitzRy00,pass_rating,31.0,,,,,
player,201112110sdg,buf,FitzRy00,rush_att,5,,,,,
player,201112110sdg,buf,FitzRy00,rush_yds,26,,,,,
player,201112110sdg,buf,FitzRy00,rush_td,0,,,,,
player,201112110sdg,buf,FitzRy00,rush_long,18,,,,,
player,201112110sdg,buf,FitzRy00,targets,0,,,,,
player,201112110sdg,buf,FitzRy00,rec,0,,,,,
player,201112110sdg,buf,FitzRy00,rec_yds,0,,,,,
player,201112110sdg,buf,FitzRy00,rec_td,0,,,,,
player,201112110sdg,buf,FitzRy00,rec_long,0,,,,,
player,201112110sdg,buf,FitzRy00,fumbles,0,,,,,
