game,2011,10,20111113,201111130car,oti,"Tennessee Titans",30,car,"Carolina Panthers",3
team,201111130car,oti,First Downs,22,,,,,,
team,201111130car,car,First Downs,16,,,,,,
team,201111130car,oti,Rush-Yds-TDs,35-172-1,,,,,,
team,201111130car,car,Rush-Yds-TDs,19-113-0,,,,,,
team,201111130car,oti,Cmp-Att-Yd-TD-INT,15-27-219-1-1,,,,,,
team,201111130car,car,Cmp-Att-Yd-TD-INT,23-40-212-0-1,,,,,,
team,201111130car,oti,Sacked-Yards,1-8,,,,,,
team,201111130car,car,Sacked-Yards,5-46,,,,,,
team,201111130car,oti,Net Pass Yards,211,,,,,,
team,201111130car,car,Net Pass Yards,166,,,,,,
team,201111130car,oti,Total Yards,383,,,,,,
team,201111130car,car,Total Yards,279,,,,,,
team,201111130car,oti,Fumbles-Lost,0-0,,,,,,
team,201111130car,car,Fumbles-Lost,2-1,,,,,,
team,201111130car,oti,Turnovers,1,,,,,,
team,201111130car,car,Turnovers,2,,,,,,
team,201111130car,oti,Penalties-Yards,9-92,,,,,,
team,201111130car,car,Penalties-Yards,12-99,,,,,,
team,201111130car,oti,Third Down Conv.,3-13,,,,,,
team,201111130car,car,Third Down Conv.,3-14,,,,,,
team,201111130car,oti,Fourth Down Conv.,0-0,,,,,,
team,201111130car,car,Fourth Down Conv.,0-0,,,,,,
team,201111130car,oti,Time of Possession,32:36,,,,,,
team,201111130car,car,Time of Possession,27:24,,,,,,
player,201111130car,oti,HassMa00,pass_cmp,15,,,,,
player,201111130car,oti,HassMa00,pass_att,27,,,,,
player,201111130car,oti,HassMa00,pass_yds,219,,,,,
player,201111130car,oti,HassMa00,pass_td,1,,,,,
player,201111130car,oti,HassMa00,pass_int,1,,,,,
player,201111130car,oti,HassMa00,pass_sacked,1,,,,,
player,201111130car,oti,HassMa00,pass_sacked_yds,8,,,,,
player,201111130car,oti,HassMa00,pass_long,43,,,,,
player,201111130car,oti,HassMa00,pass_rating,79.1,,,,,
player,201111130car,oti,HassMa00,rush_att,1,,,,,
player,201111130car,oti,HassMa00,rush_yds,21,,,,,
player,201111130car,oti,HassMa00,rush_td,0,,,,,
player,201111130car,oti,HassMa00,rush_long,21,,,,,
player,201111130car,oti,HassMa00,targets,0,,,,,
player,201111130car,oti,HassMa00,rec,0,,,,,
player,201111130car,oti,HassMa00,rec_yds,0,,,,,
player,201111130car,oti,HassMa00,rec_td,0,,,,,
player,201111130car,oti,HassMa00,rec_long,0,,,,,
player,201111130car,oti,HassMa00,fumbles,0,,,,,
player,201111130car,oti,HassMa00,fumbles_lost,,,,,,
player,201111130car,oti,JohnCh04,pass_cmp,0,,,,,
player,201111130car,oti,JohnCh04,pass_att,0,,,,,
player,201111130car,oti,JohnCh04,pass_yds,0,,,,,
player,201111130car,oti,JohnCh04,pass_td,0,,,,,
player,201111130car,oti,JohnCh04,pass_int,0,,,,,
player,201111130car,oti,JohnCh04,pass_sacked,0,,,,,
player,201111130car,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201111130car,oti,JohnCh04,pass_long,0,,,,,
player,201111130car,oti,JohnCh04,pass_rating,,,,,,
player,201111130car,oti,JohnCh04,rush_att,27,,,,,
player,201111130car,oti,JohnCh04,rush_yds,130,,,,,
player,201111130car,oti,JohnCh04,rush_td,1,,,,,
player,201111130car,oti,JohnCh04,rush_long,25,,,,,
player,201111130car,oti,JohnCh04,targets,7,,,,,
player,201111130car,oti,JohnCh04,rec,4,,,,,
player,201111130car,oti,JohnCh04,rec_yds,44,,,,,
player,201111130car,oti,JohnCh04,rec_td,0,,,,,
player,201111130car,oti,JohnCh04,rec_long,29,,,,,
player,201111130car,oti,JohnCh04,fumbles,0,,,,,
player,201111130car,oti,JohnCh04,fumbles_lost,,,,,,
player,201111130car,oti,RingJa00,pass_cmp,0,,,,,
player,201111130car,oti,RingJa00,pass_att,0,,,,,
player,201111130car,oti,RingJa00,pass_yds,0,,,,,
player,201111130car,oti,RingJa00,pass_td,0,,,,,
player,201111130car,oti,RingJa00,pass_int,0,,,,,
player,201111130car,oti,RingJa00,pass_sacked,0,,,,,
player,201111130car,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201111130car,oti,RingJa00,pass_long,0,,,,,
player,201111130car,oti,RingJa00,pass_rating,,,,,,
player,201111130car,oti,RingJa00,rush_att,6,,,,,
player,201111130car,oti,RingJa00,rush_yds,19,,,,,
player,201111130car,oti,RingJa00,rush_td,0,,,,,
player,201111130car,oti,RingJa00,rush_long,9,,,,,
player,201111130car,oti,RingJa00,targets,3,,,,,
player,201111130car,oti,RingJa00,rec,1,,,,,
player,201111130car,oti,RingJa00,rec_yds,7,,,,,
player,201111130car,oti,RingJa00,rec_td,0,,,,,
player,201111130car,oti,RingJa00,rec_long,7,,,,,
player,201111130car,oti,RingJa00,fumbles,0,,,,,
player,201111130car,oti,RingJa00,fumbles_lost,,,,,,
player,201111130car,oti,WashNa00,pass_cmp,0,,,,,
player,201111130car,oti,WashNa00,pass_att,0,,,,,
player,201111130car,oti,WashNa00,pass_yds,0,,,,,
player,201111130car,oti,WashNa00,pass_td,0,,,,,
player,201111130car,oti,WashNa00,pass_int,0,,,,,
player,201111130car,oti,WashNa00,pass_sacked,0,,,,,
player,201111130car,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201111130car,oti,WashNa00,pass_long,0,,,,,
player,201111130car,oti,WashNa00,pass_rating,,,,,,
player,201111130car,oti,WashNa00,rush_att,1,,,,,
player,201111130car,oti,WashNa00,rush_yds,2,,,,,
player,201111130car,oti,WashNa00,rush_td,0,,,,,
player,201111130car,oti,WashNa00,rush_long,2,,,,,
player,201111130car,oti,WashNa00,targets,4,,,,,
player,201111130car,oti,WashNa00,rec,3,,,,,
player,201111130car,oti,WashNa00,rec_yds,40,,,,,
player,201111130car,oti,WashNa00,rec_td,0,,,,,
player,201111130car,oti,WashNa00,rec_long,15,,,,,
player,201111130car,oti,WashNa00,fumbles,0,,,,,
player,201111130car,oti,WashNa00,fumbles_lost,,,,,,
player,201111130car,oti,WillDa04,pass_cmp,0,,,,,
player,201111130car,oti,WillDa04,pass_att,0,,,,,
player,201111130car,oti,WillDa04,pass_yds,0,,,,,
player,201111130car,oti,WillDa04,pass_td,0,,,,,
player,201111130car,oti,WillDa04,pass_int,0,,,,,
player,201111130car,oti,WillDa04,pass_sacked,0,,,,,
player,201111130car,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201111130car,oti,WillDa04,pass_long,0,,,,,
player,201111130car,oti,WillDa04,pass_rating,,,,,,
player,201111130car,oti,WillDa04,rush_att,0,,,,,
player,201111130car,oti,WillDa04,rush_yds,0,,,,,
player,201111130car,oti,WillDa04,rush_td,0,,,,,
player,201111130car,oti,WillDa04,rush_long,0,,,,,
player,201111130car,oti,WillDa04,targets,7,,,,,
player,201111130car,oti,WillDa04,rec,5,,,,,
player,201111130car,oti,WillDa04,rec_yds,107,,,,,
player,201111130car,oti,WillDa04,rec_td,1,,,,,
player,201111130car,oti,WillDa04,rec_long,43,,,,,
player,201111130car,oti,WillDa04,fumbles,0,,,,,
player,201111130car,oti,WillDa04,fumbles_lost,,,,,,
player,201111130car,oti,CookJa02,pass_cmp,0,,,,,
player,201111130car,oti,CookJa02,pass_att,0,,,,,
player,201111130car,oti,CookJa02,pass_yds,0,,,,,
player,201111130car,oti,CookJa02,pass_td,0,,,,,
player,201111130car,oti,CookJa02,pass_int,0,,,,,
player,201111130car,oti,CookJa02,pass_sacked,0,,,,,
player,201111130car,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201111130car,oti,CookJa02,pass_long,0,,,,,
player,201111130car,oti,CookJa02,pass_rating,,,,,,
player,201111130car,oti,CookJa02,rush_att,0,,,,,
player,201111130car,oti,CookJa02,rush_yds,0,,,,,
player,201111130car,oti,CookJa02,rush_td,0,,,,,
player,201111130car,oti,CookJa02,rush_long,0,,,,,
player,201111130car,oti,CookJa02,targets,3,,,,,
player,201111130car,oti,CookJa02,rec,1,,,,,
player,201111130car,oti,CookJa02,rec_yds,18,,,,,
player,201111130car,oti,CookJa02,rec_td,0,,,,,
player,201111130car,oti,CookJa02,rec_long,18,,,,,
player,201111130car,oti,CookJa02,fumbles,0,,,,,
player,201111130car,oti,CookJa02,fumbles_lost,,,,,,
player,201111130car,oti,HawkLa00,pass_cmp,0,,,,,
player,201111130car,oti,HawkLa00,pass_att,0,,,,,
player,201111130car,oti,HawkLa00,pass_yds,0,,,,,
player,201111130car,oti,HawkLa00,pass_td,0,,,,,
player,201111130car,oti,HawkLa00,pass_int,0,,,,,
player,201111130car,oti,HawkLa00,pass_sacked,0,,,,,
player,201111130car,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201111130car,oti,HawkLa00,pass_long,0,,,,,
player,201111130car,oti,HawkLa00,pass_rating,,,,,,
player,201111130car,oti,HawkLa00,rush_att,0,,,,,
player,201111130car,oti,HawkLa00,rush_yds,0,,,,,
player,201111130car,oti,HawkLa00,rush_td,0,,,,,
player,201111130car,oti,HawkLa00,rush_long,0,,,,,
player,201111130car,oti,HawkLa00,targets,1,,,,,
player,201111130car,oti,HawkLa00,rec,1,,,,,
player,201111130car,oti,HawkLa00,rec_yds,3,,,,,
player,201111130car,oti,HawkLa00,rec_td,0,,,,,
player,201111130car,oti,HawkLa00,rec_long,3,,,,,
player,201111130car,oti,HawkLa00,fumbles,0,,,,,
player,201111130car,oti,HawkLa00,fumbles_lost,,,,,,
player,201111130car,oti,AverDo00,pass_cmp,0,,,,,
player,201111130car,oti,AverDo00,pass_att,0,,,,,
player,201111130car,oti,AverDo00,pass_yds,0,,,,,
player,201111130car,oti,AverDo00,pass_td,0,,,,,
player,201111130car,oti,AverDo00,pass_int,0,,,,,
player,201111130car,oti,AverDo00,pass_sacked,0,,,,,
player,201111130car,oti,AverDo00,pass_sacked_yds,0,,,,,
player,201111130car,oti,AverDo00,pass_long,0,,,,,
player,201111130car,oti,AverDo00,pass_rating,,,,,,
player,201111130car,oti,AverDo00,rush_att,0,,,,,
player,201111130car,oti,AverDo00,rush_yds,0,,,,,
player,201111130car,oti,AverDo00,rush_td,0,,,,,
player,201111130car,oti,AverDo00,rush_long,0,,,,,
player,201111130car,oti,AverDo00,targets,1,,,,,
player,201111130car,oti,AverDo00,rec,0,,,,,
player,201111130car,oti,AverDo00,rec_yds,0,,,,,
player,201111130car,oti,AverDo00,rec_td,0,,,,,
player,201111130car,oti,AverDo00,rec_long,0,,,,,
player,201111130car,oti,AverDo00,fumbles,0,,,,,
player,201111130car,oti,AverDo00,fumbles_lost,,,,,,
player,201111130car,car,NewtCa00,pass_cmp,23,,,,,
player,201111130car,car,NewtCa00,pass_att,40,,,,,
player,201111130car,car,NewtCa00,pass_yds,212,,,,,
player,201111130car,car,NewtCa00,pass_td,0,,,,,
player,201111130car,car,NewtCa00,pass_int,1,,,,,
player,201111130car,car,NewtCa00,pass_sacked,5,,,,,
player,201111130car,car,NewtCa00,pass_sacked_yds,46,,,,,
player,201111130car,car,NewtCa00,pass_long,19,,,,,
player,201111130car,car,NewtCa00,pass_rating,61.7,,,,,
player,201111130car,car,NewtCa00,rush_att,7,,,,,
player,201111130car,car,NewtCa00,rush_yds,55,,,,,
player,201111130car,car,NewtCa00,rush_td,0,,,,,
player,201111130car,car,NewtCa00,rush_long,26,,,,,
player,201111130car,car,NewtCa00,targets,0,,,,,
player,201111130car,car,NewtCa00,rec,0,,,,,
player,201111130car,car,NewtCa00,rec_yds,0,,,,,
player,201111130car,car,NewtCa00,rec_td,0,,,,,
player,201111130car,car,NewtCa00,rec_long,0,,,,,
player,201111130car,car,NewtCa00,fumbles,1,,,,,
player,201111130car,car,NewtCa00,fumbles_lost,0,,,,,
player,201111130car,car,WillDe02,pass_cmp,0,,,,,
player,201111130car,car,WillDe02,pass_att,0,,,,,
player,201111130car,car,WillDe02,pass_yds,0,,,,,
player,201111130car,car,WillDe02,pass_td,0,,,,,
player,201111130car,car,WillDe02,pass_int,0,,,,,
player,201111130car,car,WillDe02,pass_sacked,0,,,,,
player,201111130car,car,WillDe02,pass_sacked_yds,0,,,,,
player,201111130car,car,WillDe02,pass_long,0,,,,,
player,201111130car,car,WillDe02,pass_rating,,,,,,
player,201111130car,car,WillDe02,rush_att,8,,,,,
player,201111130car,car,WillDe02,rush_yds,35,,,,,
player,201111130car,car,WillDe02,rush_td,0,,,,,
player,201111130car,car,WillDe02,rush_long,21,,,,,
player,201111130car,car,WillDe02,targets,1,,,,,
player,201111130car,car,WillDe02,rec,0,,,,,
player,201111130car,car,WillDe02,rec_yds,0,,,,,
player,201111130car,car,WillDe02,rec_td,0,,,,,
player,201111130car,car,WillDe02,rec_long,0,,,,,
player,201111130car,car,WillDe02,fumbles,0,,,,,
player,201111130car,car,WillDe02,fumbles_lost,,,,,,
player,201111130car,car,StewJo00,pass_cmp,0,,,,,
player,201111130car,car,StewJo00,pass_att,0,,,,,
player,201111130car,car,StewJo00,pass_yds,0,,,,,
player,201111130car,car,StewJo00,pass_td,0,,,,,
player,201111130car,car,StewJo00,pass_int,0,,,,,
player,201111130car,car,StewJo00,pass_sacked,0,,,,,
player,201111130car,car,StewJo00,pass_sacked_yds,0,,,,,
player,201111130car,car,StewJo00,pass_long,0,,,,,
player,201111130car,car,StewJo00,pass_rating,,,,,,
player,201111130car,car,StewJo00,rush_att,4,,,,,
player,201111130car,car,StewJo00,rush_yds,23,,,,,
player,201111130car,car,StewJo00,rush_td,0,,,,,
player,201111130car,car,StewJo00,rush_long,16,,,,,
player,201111130car,car,StewJo00,targets,7,,,,,
player,201111130car,car,StewJo00,rec,4,,,,,
player,201111130car,car,StewJo00,rec_yds,22,,,,,
player,201111130car,car,StewJo00,rec_td,0,,,,,
player,201111130car,car,StewJo00,rec_long,12,,,,,
player,201111130car,car,StewJo00,fumbles,0,,,,,
player,201111130car,car,StewJo00,fumbles_lost,,,,,,
player,201111130car,car,NaanLe00,pass_cmp,0,,,,,
player,201111130car,car,NaanLe00,pass_att,0,,,,,
player,201111130car,car,NaanLe00,pass_yds,0,,,,,
player,201111130car,car,NaanLe00,pass_td,0,,,,,
player,201111130car,car,NaanLe00,pass_int,0,,,,,
player,201111130car,car,NaanLe00,pass_sacked,0,,,,,
player,201111130car,car,NaanLe00,pass_sacked_yds,0,,,,,
player,201111130car,car,NaanLe00,pass_long,0,,,,,
player,201111130car,car,NaanLe00,pass_rating,,,,,,
player,201111130car,car,NaanLe00,rush_att,0,,,,,
player,201111130car,car,NaanLe00,rush_yds,0,,,,,
player,201111130car,car,NaanLe00,rush_td,0,,,,,
player,201111130car,car,NaanLe00,rush_long,0,,,,,
player,201111130car,car,NaanLe00,targets,9,,,,,
player,201111130car,car,NaanLe00,rec,8,,,,,
player,201111130car,car,NaanLe00,rec_yds,75,,,,,
player,201111130car,car,NaanLe00,rec_td,0,,,,,
player,201111130car,car,NaanLe00,rec_long,18,,,,,
player,201111130car,car,NaanLe00,fumbles,0,,,,,
player,201111130car,car,NaanLe00,fumbles_lost,,,,,,
player,201111130car,car,OlseGr00,pass_cmp,0,,,,,
player,201111130car,car,OlseGr00,pass_att,0,,,,,
player,201111130car,car,OlseGr00,pass_yds,0,,,,,
player,201111130car,car,OlseGr00,pass_td,0,,,,,
player,201111130car,car,OlseGr00,pass_int,0,,,,,
player,201111130car,car,OlseGr00,pass_sacked,0,,,,,
player,201111130car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201111130car,car,OlseGr00,pass_long,0,,,,,
player,201111130car,car,OlseGr00,pass_rating,,,,,,
player,201111130car,car,OlseGr00,rush_att,0,,,,,
player,201111130car,car,OlseGr00,rush_yds,0,,,,,
player,201111130car,car,OlseGr00,rush_td,0,,,,,
player,201111130car,car,OlseGr00,rush_long,0,,,,,
player,201111130car,car,OlseGr00,targets,11,,,,,
player,201111130car,car,OlseGr00,rec,4,,,,,
player,201111130car,car,OlseGr00,rec_yds,45,,,,,
player,201111130car,car,OlseGr00,rec_td,0,,,,,
player,201111130car,car,OlseGr00,rec_long,16,,,,,
player,201111130car,car,OlseGr00,fumbles,1,,,,,
player,201111130car,car,OlseGr00,fumbles_lost,1,,,,,
player,201111130car,car,SmitSt01,pass_cmp,0,,,,,
player,201111130car,car,SmitSt01,pass_att,0,,,,,
player,201111130car,car,SmitSt01,pass_yds,0,,,,,
player,201111130car,car,SmitSt01,pass_td,0,,,,,
player,201111130car,car,SmitSt01,pass_int,0,,,,,
player,201111130car,car,SmitSt01,pass_sacked,0,,,,,
player,201111130car,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201111130car,car,SmitSt01,pass_long,0,,,,,
player,201111130car,car,SmitSt01,pass_rating,,,,,,
player,201111130car,car,SmitSt01,rush_att,0,,,,,
player,201111130car,car,SmitSt01,rush_yds,0,,,,,
player,201111130car,car,SmitSt01,rush_td,0,,,,,
player,201111130car,car,SmitSt01,rush_long,0,,,,,
player,201111130car,car,SmitSt01,targets,8,,,,,
player,201111130car,car,SmitSt01,rec,5,,,,,
player,201111130car,car,SmitSt01,rec_yds,33,,,,,
player,201111130car,car,SmitSt01,rec_td,0,,,,,
player,201111130car,car,SmitSt01,rec_long,15,,,,,
player,201111130car,car,SmitSt01,fumbles,0,,,,,
player,201111130car,car,SmitSt01,fumbles_lost,,,,,,
