game,2011,1,20110911,201109110ram,phi,"Philadelphia Eagles",31,ram,"St. Louis Rams",13
player,201109110ram,phi,BrowRo05,targets,0,,,,,
player,201109110ram,phi,BrowRo05,rec,0,,,,,
player,201109110ram,phi,BrowRo05,rec_yds,0,,,,,
player,201109110ram,phi,BrowRo05,rec_td,0,,,,,
player,201109110ram,phi,BrowRo05,rec_long,0,,,,,
player,201109110ram,phi,BrowRo05,fumbles,0,,,,,
player,201109110ram,phi,BrowRo05,fumbles_lost,,,,,,
player,201109110ram,phi,JackDe00,pass_cmp,0,,,,,
player,201109110ram,phi,JackDe00,pass_att,0,,,,,
player,201109110ram,phi,JackDe00,pass_yds,0,,,,,
player,201109110ram,phi,JackDe00,pass_td,0,,,,,
player,201109110ram,phi,JackDe00,pass_int,0,,,,,
player,201109110ram,phi,JackDe00,pass_sacked,0,,,,,
player,201109110ram,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201109110ram,phi,JackDe00,pass_long,0,,,,,
player,201109110ram,phi,JackDe00,pass_rating,,,,,,
player,201109110ram,phi,JackDe00,rush_att,0,,,,,
player,201109110ram,phi,JackDe00,rush_yds,0,,,,,
player,201109110ram,phi,JackDe00,rush_td,0,,,,,
player,201109110ram,phi,JackDe00,rush_long,0,,,,,
player,201109110ram,phi,JackDe00,targets,12,,,,,
player,201109110ram,phi,JackDe00,rec,6,,,,,
player,201109110ram,phi,JackDe00,rec_yds,102,,,,,
player,201109110ram,phi,JackDe00,rec_td,1,,,,,
player,201109110ram,phi,JackDe00,rec_long,41,,,,,
player,201109110ram,phi,JackDe00,fumbles,0,,,,,
player,201109110ram,phi,JackDe00,fumbles_lost,,,,,,
player,201109110ram,phi,AvanJa00,pass_cmp,0,,,,,
player,201109110ram,phi,AvanJa00,pass_att,0,,,,,
player,201109110ram,phi,AvanJa00,pass_yds,0,,,,,
player,201109110ram,phi,AvanJa00,pass_td,0,,,,,
player,201109110ram,phi,AvanJa00,pass_int,0,,,,,
player,201109110ram,phi,AvanJa00,pass_sacked,0,,,,,
player,201109110ram,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201109110ram,phi,AvanJa00,pass_long,0,,,,,
player,201109110ram,phi,AvanJa00,pass_rating,,,,,,
player,201109110ram,phi,AvanJa00,rush_att,0,,,,,
player,201109110ram,phi,AvanJa00,rush_yds,0,,,,,
player,201109110ram,phi,AvanJa00,rush_td,0,,,,,
player,201109110ram,phi,AvanJa00,rush_long,0,,,,,
player,201109110ram,phi,AvanJa00,targets,7,,,,,
player,201109110ram,phi,AvanJa00,rec,3,,,,,
player,201109110ram,phi,AvanJa00,rec_yds,40,,,,,
player,201109110ram,phi,AvanJa00,rec_td,0,,,,,
player,201109110ram,phi,AvanJa00,rec_long,20,,,,,
player,201109110ram,phi,AvanJa00,fumbles,0,,,,,
player,201109110ram,phi,AvanJa00,fumbles_lost,,,,,,
player,201109110ram,phi,MaclJe00,pass_cmp,0,,,,,
player,201109110ram,phi,MaclJe00,pass_att,0,,,,,
player,201109110ram,phi,MaclJe00,pass_yds,0,,,,,
player,201109110ram,phi,MaclJe00,pass_td,0,,,,,
player,201109110ram,phi,MaclJe00,pass_int,0,,,,,
player,201109110ram,phi,MaclJe00,pass_sacked,0,,,,,
player,201109110ram,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201109110ram,phi,MaclJe00,pass_long,0,,,,,
player,201109110ram,phi,MaclJe00,pass_rating,,,,,,
player,201109110ram,phi,MaclJe00,rush_att,0,,,,,
player,201109110ram,phi,MaclJe00,rush_yds,0,,,,,
player,201109110ram,phi,MaclJe00,rush_td,0,,,,,
player,201109110ram,phi,MaclJe00,rush_long,0,,,,,
player,201109110ram,phi,MaclJe00,targets,3,,,,,
player,201109110ram,phi,MaclJe00,rec,1,,,,,
player,201109110ram,phi,MaclJe00,rec_yds,20,,,,,
player,201109110ram,phi,MaclJe00,rec_td,0,,,,,
player,201109110ram,phi,MaclJe00,rec_long,20,,,,,
player,201109110ram,phi,MaclJe00,fumbles,0,,,,,
player,201109110ram,phi,MaclJe00,fumbles_lost,,,,,,
player,201109110ram,phi,CeleBr00,pass_cmp,0,,,,,
player,201109110ram,phi,CeleBr00,pass_att,0,,,,,
player,201109110ram,phi,CeleBr00,pass_yds,0,,,,,
player,201109110ram,phi,CeleBr00,pass_td,0,,,,,
player,201109110ram,phi,CeleBr00,pass_int,0,,,,,
player,201109110ram,phi,CeleBr00,pass_sacked,0,,,,,
player,201109110ram,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201109110ram,phi,CeleBr00,pass_long,0,,,,,
player,201109110ram,phi,CeleBr00,pass_rating,,,,,,
player,201109110ram,phi,CeleBr00,rush_att,0,,,,,
player,201109110ram,phi,CeleBr00,rush_yds,0,,,,,
player,201109110ram,phi,CeleBr00,rush_td,0,,,,,
player,201109110ram,phi,CeleBr00,rush_long,0,,,,,
player,201109110ram,phi,CeleBr00,targets,3,,,,,
player,201109110ram,phi,CeleBr00,rec,1,,,,,
player,201109110ram,phi,CeleBr00,rec_yds,13,,,,,
player,201109110ram,phi,CeleBr00,rec_td,0,,,,,
player,201109110ram,phi,CeleBr00,rec_long,13,,,,,
player,201109110ram,phi,CeleBr00,fumbles,0,,,,,
player,201109110ram,phi,CeleBr00,fumbles_lost,,,,,,
player,201109110ram,phi,SchmOw00,pass_cmp,0,,,,,
player,201109110ram,phi,SchmOw00,pass_att,0,,,,,
player,201109110ram,phi,SchmOw00,pass_yds,0,,,,,
player,201109110ram,phi,SchmOw00,pass_td,0,,,,,
player,201109110ram,phi,SchmOw00,pass_int,0,,,,,
player,201109110ram,phi,SchmOw00,pass_sacked,0,,,,,
player,201109110ram,phi,SchmOw00,pass_sacked_yds,0,,,,,
player,201109110ram,phi,SchmOw00,pass_long,0,,,,,
player,201109110ram,phi,SchmOw00,pass_rating,,,,,,
player,201109110ram,phi,SchmOw00,rush_att,0,,,,,
player,201109110ram,phi,SchmOw00,rush_yds,0,,,,,
player,201109110ram,phi,SchmOw00,rush_td,0,,,,,
player,201109110ram,phi,SchmOw00,rush_long,0,,,,,
player,201109110ram,phi,SchmOw00,targets,2,,,,,
player,201109110ram,phi,SchmOw00,rec,0,,,,,
player,201109110ram,phi,SchmOw00,rec_yds,0,,,,,
player,201109110ram,phi,SchmOw00,rec_td,0,,,,,
player,201109110ram,phi,SchmOw00,rec_long,0,,,,,
player,201109110ram,phi,SchmOw00,fumbles,0,,,,,
player,201109110ram,phi,SchmOw00,fumbles_lost,,,,,,
player,201109110ram,ram,BradSa00,pass_cmp,17,,,,,
player,201109110ram,ram,BradSa00,pass_att,30,,,,,
player,201109110ram,ram,BradSa00,pass_yds,188,,,,,
player,201109110ram,ram,BradSa00,pass_td,0,,,,,
player,201109110ram,ram,BradSa00,pass_int,0,,,,,
player,201109110ram,ram,BradSa00,pass_sacked,4,,,,,
player,201109110ram,ram,BradSa00,pass_sacked_yds,22,,,,,
player,201109110ram,ram,BradSa00,pass_long,31,,,,,
player,201109110ram,ram,BradSa00,pass_rating,75.4,,,,,
player,201109110ram,ram,BradSa00,rush_att,1,,,,,
player,201109110ram,ram,BradSa00,rush_yds,-15,,,,,
player,201109110ram,ram,BradSa00,rush_td,0,,,,,
player,201109110ram,ram,BradSa00,rush_long,-15,,,,,
player,201109110ram,ram,BradSa00,targets,0,,,,,
player,201109110ram,ram,BradSa00,rec,0,,,,,
player,201109110ram,ram,BradSa00,rec_yds,0,,,,,
player,201109110ram,ram,BradSa00,rec_td,0,,,,,
player,201109110ram,ram,BradSa00,rec_long,0,,,,,
player,201109110ram,ram,BradSa00,fumbles,1,,,,,
player,201109110ram,ram,BradSa00,fumbles_lost,1,,,,,
player,201109110ram,ram,FeelA.00,pass_cmp,1,,,,,
player,201109110ram,ram,FeelA.00,pass_att,5,,,,,
player,201109110ram,ram,FeelA.00,pass_yds,21,,,,,
player,201109110ram,ram,FeelA.00,pass_td,0,,,,,
player,201109110ram,ram,FeelA.00,pass_int,0,,,,,
player,201109110ram,ram,FeelA.00,pass_sacked,1,,,,,
player,201109110ram,ram,FeelA.00,pass_sacked_yds,6,,,,,
player,201109110ram,ram,FeelA.00,pass_long,21,,,,,
player,201109110ram,ram,FeelA.00,pass_rating,44.6,,,,,
player,201109110ram,ram,FeelA.00,rush_att,0,,,,,
player,201109110ram,ram,FeelA.00,rush_yds,0,,,,,
player,201109110ram,ram,FeelA.00,rush_td,0,,,,,
player,201109110ram,ram,FeelA.00,rush_long,0,,,,,
player,201109110ram,ram,FeelA.00,targets,0,,,,,
player,201109110ram,ram,FeelA.00,rec,0,,,,,
player,201109110ram,ram,FeelA.00,rec_yds,0,,,,,
player,201109110ram,ram,FeelA.00,rec_td,0,,,,,
player,201109110ram,ram,FeelA.00,rec_long,0,,,,,
player,201109110ram,ram,FeelA.00,fumbles,0,,,,,
player,201109110ram,ram,FeelA.00,fumbles_lost,,,,,,
player,201109110ram,ram,WillCa02,pass_cmp,0,,,,,
player,201109110ram,ram,WillCa02,pass_att,0,,,,,
player,201109110ram,ram,WillCa02,pass_yds,0,,,,,
player,201109110ram,ram,WillCa02,pass_td,0,,,,,
player,201109110ram,ram,WillCa02,pass_int,0,,,,,
player,201109110ram,ram,WillCa02,pass_sacked,0,,,,,
player,201109110ram,ram,WillCa02,pass_sacked_yds,0,,,,,
player,201109110ram,ram,WillCa02,pass_long,0,,,,,
player,201109110ram,ram,WillCa02,pass_rating,,,,,,
player,201109110ram,ram,WillCa02,rush_att,19,,,,,
player,201109110ram,ram,WillCa02,rush_yds,91,,,,,
player,201109110ram,ram,WillCa02,rush_td,0,,,,,
player,201109110ram,ram,WillCa02,rush_long,16,,,,,
player,201109110ram,ram,WillCa02,targets,9,,,,,
player,201109110ram,ram,WillCa02,rec,5,,,,,
player,201109110ram,ram,WillCa02,rec_yds,49,,,,,
player,201109110ram,ram,WillCa02,rec_td,0,,,,,
player,201109110ram,ram,WillCa02,rec_long,16,,,,,
player,201109110ram,ram,WillCa02,fumbles,0,,,,,
player,201109110ram,ram,WillCa02,fumbles_lost,,,,,,
player,201109110ram,ram,JackSt00,pass_cmp,0,,,,,
player,201109110ram,ram,JackSt00,pass_att,0,,,,,
player,201109110ram,ram,JackSt00,pass_yds,0,,,,,
player,201109110ram,ram,JackSt00,pass_td,0,,,,,
player,201109110ram,ram,JackSt00,pass_int,0,,,,,
player,201109110ram,ram,JackSt00,pass_sacked,0,,,,,
player,201109110ram,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,JackSt00,pass_long,0,,,,,
player,201109110ram,ram,JackSt00,pass_rating,,,,,,
player,201109110ram,ram,JackSt00,rush_att,2,,,,,
player,201109110ram,ram,JackSt00,rush_yds,56,,,,,
player,201109110ram,ram,JackSt00,rush_td,1,,,,,
player,201109110ram,ram,JackSt00,rush_long,47,,,,,
player,201109110ram,ram,JackSt00,targets,0,,,,,
player,201109110ram,ram,JackSt00,rec,0,,,,,
player,201109110ram,ram,JackSt00,rec_yds,0,,,,,
player,201109110ram,ram,JackSt00,rec_td,0,,,,,
player,201109110ram,ram,JackSt00,rec_long,0,,,,,
player,201109110ram,ram,JackSt00,fumbles,0,,,,,
player,201109110ram,ram,JackSt00,fumbles_lost,,,,,,
player,201109110ram,ram,MillBr01,pass_cmp,0,,,,,
player,201109110ram,ram,MillBr01,pass_att,0,,,,,
player,201109110ram,ram,MillBr01,pass_yds,0,,,,,
player,201109110ram,ram,MillBr01,pass_td,0,,,,,
player,201109110ram,ram,MillBr01,pass_int,0,,,,,
player,201109110ram,ram,MillBr01,pass_sacked,0,,,,,
player,201109110ram,ram,MillBr01,pass_sacked_yds,0,,,,,
player,201109110ram,ram,MillBr01,pass_long,0,,,,,
player,201109110ram,ram,MillBr01,pass_rating,,,,,,
player,201109110ram,ram,MillBr01,rush_att,1,,,,,
player,201109110ram,ram,MillBr01,rush_yds,12,,,,,
player,201109110ram,ram,MillBr01,rush_td,0,,,,,
player,201109110ram,ram,MillBr01,rush_long,12,,,,,
player,201109110ram,ram,MillBr01,targets,0,,,,,
player,201109110ram,ram,MillBr01,rec,0,,,,,
player,201109110ram,ram,MillBr01,rec_yds,0,,,,,
player,201109110ram,ram,MillBr01,rec_td,0,,,,,
player,201109110ram,ram,MillBr01,rec_long,0,,,,,
player,201109110ram,ram,MillBr01,fumbles,0,,,,,
player,201109110ram,ram,MillBr01,fumbles_lost,,,,,,
player,201109110ram,ram,NorwJe00,pass_cmp,0,,,,,
player,201109110ram,ram,NorwJe00,pass_att,0,,,,,
player,201109110ram,ram,NorwJe00,pass_yds,0,,,,,
player,201109110ram,ram,NorwJe00,pass_td,0,,,,,
player,201109110ram,ram,NorwJe00,pass_int,0,,,,,
player,201109110ram,ram,NorwJe00,pass_sacked,0,,,,,
player,201109110ram,ram,NorwJe00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,NorwJe00,pass_long,0,,,,,
player,201109110ram,ram,NorwJe00,pass_rating,,,,,,
player,201109110ram,ram,NorwJe00,rush_att,3,,,,,
player,201109110ram,ram,NorwJe00,rush_yds,10,,,,,
player,201109110ram,ram,NorwJe00,rush_td,0,,,,,
player,201109110ram,ram,NorwJe00,rush_long,7,,,,,
player,201109110ram,ram,NorwJe00,targets,0,,,,,
player,201109110ram,ram,NorwJe00,rec,0,,,,,
player,201109110ram,ram,NorwJe00,rec_yds,0,,,,,
player,201109110ram,ram,NorwJe00,rec_td,0,,,,,
player,201109110ram,ram,NorwJe00,rec_long,0,,,,,
player,201109110ram,ram,NorwJe00,fumbles,0,,,,,
player,201109110ram,ram,NorwJe00,fumbles_lost,,,,,,
player,201109110ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201109110ram,ram,GibsBr00,pass_att,0,,,,,
player,201109110ram,ram,GibsBr00,pass_yds,0,,,,,
player,201109110ram,ram,GibsBr00,pass_td,0,,,,,
player,201109110ram,ram,GibsBr00,pass_int,0,,,,,
player,201109110ram,ram,GibsBr00,pass_sacked,0,,,,,
player,201109110ram,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,GibsBr00,pass_long,0,,,,,
player,201109110ram,ram,GibsBr00,pass_rating,,,,,,
player,201109110ram,ram,GibsBr00,rush_att,0,,,,,
player,201109110ram,ram,GibsBr00,rush_yds,0,,,,,
player,201109110ram,ram,GibsBr00,rush_td,0,,,,,
player,201109110ram,ram,GibsBr00,rush_long,0,,,,,
player,201109110ram,ram,GibsBr00,targets,5,,,,,
player,201109110ram,ram,GibsBr00,rec,3,,,,,
player,201109110ram,ram,GibsBr00,rec_yds,50,,,,,
player,201109110ram,ram,GibsBr00,rec_td,0,,,,,
player,201109110ram,ram,GibsBr00,rec_long,31,,,,,
player,201109110ram,ram,GibsBr00,fumbles,0,,,,,
player,201109110ram,ram,GibsBr00,fumbles_lost,,,,,,
player,201109110ram,ram,AmenDa00,pass_cmp,0,,,,,
player,201109110ram,ram,AmenDa00,pass_att,0,,,,,
player,201109110ram,ram,AmenDa00,pass_yds,0,,,,,
player,201109110ram,ram,AmenDa00,pass_td,0,,,,,
player,201109110ram,ram,AmenDa00,pass_int,0,,,,,
player,201109110ram,ram,AmenDa00,pass_sacked,0,,,,,
player,201109110ram,ram,AmenDa00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,AmenDa00,pass_long,0,,,,,
player,201109110ram,ram,AmenDa00,pass_rating,,,,,,
player,201109110ram,ram,AmenDa00,rush_att,0,,,,,
player,201109110ram,ram,AmenDa00,rush_yds,0,,,,,
player,201109110ram,ram,AmenDa00,rush_td,0,,,,,
player,201109110ram,ram,AmenDa00,rush_long,0,,,,,
player,201109110ram,ram,AmenDa00,targets,6,,,,,
player,201109110ram,ram,AmenDa00,rec,5,,,,,
player,201109110ram,ram,AmenDa00,rec_yds,45,,,,,
player,201109110ram,ram,AmenDa00,rec_td,0,,,,,
player,201109110ram,ram,AmenDa00,rec_long,18,,,,,
player,201109110ram,ram,AmenDa00,fumbles,1,,,,,
player,201109110ram,ram,AmenDa00,fumbles_lost,0,,,,,
player,201109110ram,ram,SalaGr00,pass_cmp,0,,,,,
player,201109110ram,ram,SalaGr00,pass_att,0,,,,,
player,201109110ram,ram,SalaGr00,pass_yds,0,,,,,
player,201109110ram,ram,SalaGr00,pass_td,0,,,,,
player,201109110ram,ram,SalaGr00,pass_int,0,,,,,
player,201109110ram,ram,SalaGr00,pass_sacked,0,,,,,
player,201109110ram,ram,SalaGr00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,SalaGr00,pass_long,0,,,,,
player,201109110ram,ram,SalaGr00,pass_rating,,,,,,
player,201109110ram,ram,SalaGr00,rush_att,0,,,,,
player,201109110ram,ram,SalaGr00,rush_yds,0,,,,,
player,201109110ram,ram,SalaGr00,rush_td,0,,,,,
player,201109110ram,ram,SalaGr00,rush_long,0,,,,,
player,201109110ram,ram,SalaGr00,targets,3,,,,,
player,201109110ram,ram,SalaGr00,rec,1,,,,,
player,201109110ram,ram,SalaGr00,rec_yds,21,,,,,
player,201109110ram,ram,SalaGr00,rec_td,0,,,,,
player,201109110ram,ram,SalaGr00,rec_long,21,,,,,
player,201109110ram,ram,SalaGr00,fumbles,0,,,,,
player,201109110ram,ram,SalaGr00,fumbles_lost,,,,,,
player,201109110ram,ram,BajeBi00,pass_cmp,0,,,,,
player,201109110ram,ram,BajeBi00,pass_att,0,,,,,
player,201109110ram,ram,BajeBi00,pass_yds,0,,,,,
player,201109110ram,ram,BajeBi00,pass_td,0,,,,,
player,201109110ram,ram,BajeBi00,pass_int,0,,,,,
player,201109110ram,ram,BajeBi00,pass_sacked,0,,,,,
player,201109110ram,ram,BajeBi00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,BajeBi00,pass_long,0,,,,,
player,201109110ram,ram,BajeBi00,pass_rating,,,,,,
player,201109110ram,ram,BajeBi00,rush_att,0,,,,,
player,201109110ram,ram,BajeBi00,rush_yds,0,,,,,
player,201109110ram,ram,BajeBi00,rush_td,0,,,,,
player,201109110ram,ram,BajeBi00,rush_long,0,,,,,
player,201109110ram,ram,BajeBi00,targets,3,,,,,
player,201109110ram,ram,BajeBi00,rec,2,,,,,
player,201109110ram,ram,BajeBi00,rec_yds,21,,,,,
player,201109110ram,ram,BajeBi00,rec_td,0,,,,,
player,201109110ram,ram,BajeBi00,rec_long,19,,,,,
player,201109110ram,ram,BajeBi00,fumbles,0,,,,,
player,201109110ram,ram,BajeBi00,fumbles_lost,,,,,,
player,201109110ram,ram,KendLa00,pass_cmp,0,,,,,
player,201109110ram,ram,KendLa00,pass_att,0,,,,,
player,201109110ram,ram,KendLa00,pass_yds,0,,,,,
player,201109110ram,ram,KendLa00,pass_td,0,,,,,
player,201109110ram,ram,KendLa00,pass_int,0,,,,,
player,201109110ram,ram,KendLa00,pass_sacked,0,,,,,
player,201109110ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201109110ram,ram,KendLa00,pass_long,0,,,,,
player,201109110ram,ram,KendLa00,pass_rating,,,,,,
player,201109110ram,ram,KendLa00,rush_att,0,,,,,
player,201109110ram,ram,KendLa00,rush_yds,0,,,,,
player,201109110ram,ram,KendLa00,rush_td,0,,,,,
player,201109110ram,ram,KendLa00,rush_long,0,,,,,
player,201109110ram,ram,KendLa00,targets,5,,,,,
player,201109110ram,ram,KendLa00,rec,1,,,,,
player,201109110ram,ram,KendLa00,rec_yds,18,,,,,
player,201109110ram,ram,KendLa00,rec_td,0,,,,,
player,201109110ram,ram,KendLa00,rec_long,18,,,,,
player,201109110ram,ram,KendLa00,fumbles,0,,,,,
player,201109110ram,ram,KendLa00,fumbles_lost,,,,,,
player,201109110ram,ram,WalkMi01,pass_cmp,0,,,,,
player,201109110ram,ram,WalkMi01,pass_att,0,,,,,
player,201109110ram,ram,WalkMi01,pass_yds,0,,,,,
player,201109110ram,ram,WalkMi01,pass_td,0,,,,,
player,201109110ram,ram,WalkMi01,pass_int,0,,,,,
player,201109110ram,ram,WalkMi01,pass_sacked,0,,,,,
player,201109110ram,ram,WalkMi01,pass_sacked_yds,0,,,,,
player,201109110ram,ram,WalkMi01,pass_long,0,,,,,
player,201109110ram,ram,WalkMi01,pass_rating,,,,,,
player,201109110ram,ram,WalkMi01,rush_att,0,,,,,
player,201109110ram,ram,WalkMi01,rush_yds,0,,,,,
player,201109110ram,ram,WalkMi01,rush_td,0,,,,,
player,201109110ram,ram,WalkMi01,rush_long,0,,,,,
player,201109110ram,ram,WalkMi01,targets,4,,,,,
player,201109110ram,ram,WalkMi01,rec,1,,,,,
player,201109110ram,ram,WalkMi01,rec_yds,5,,,,,
player,201109110ram,ram,WalkMi01,rec_td,0,,,,,
player,201109110ram,ram,WalkMi01,rec_long,5,,,,,
player,201109110ram,ram,WalkMi01,fumbles,0,,,,,
player,201109110ram,ram,WalkMi01,fumbles_lost,,,,,,
player,201109110ram,phi,BabiJa20,def_int,0,,,,,
player,201109110ram,phi,BabiJa20,def_int_yds,0,,,,,
player,201109110ram,phi,BabiJa20,def_int_td,0,,,,,
player,201109110ram,phi,BabiJa20,def_int_long,0,,,,,
player,201109110ram,phi,BabiJa20,pass_defended,0,,,,,
player,201109110ram,phi,BabiJa20,sacks,2.0,,,,,
player,201109110ram,phi,BabiJa20,tackles_combined,4,,,,,
player,201109110ram,phi,BabiJa20,tackles_solo,4,,,,,
player,201109110ram,phi,BabiJa20,tackles_assists,0,,,,,
player,201109110ram,phi,BabiJa20,tackles_loss,2,,,,,
player,201109110ram,phi,BabiJa20,qb_hits,3,,,,,
player,201109110ram,phi,BabiJa20,fumbles_rec,0,,,,,
player,201109110ram,phi,BabiJa20,fumbles_rec_yds,0,,,,,
player,201109110ram,phi,BabiJa20,fumbles_rec_td,0,,,,,
player,201109110ram,phi,BabiJa20,fumbles_forced,0,,,,,
