game,2011,2,20110918,201109180min,tam,"Tampa Bay Buccaneers",24,min,"Minnesota Vikings",20
team,201109180min,tam,First Downs,19,,,,,,
team,201109180min,min,First Downs,25,,,,,,
team,201109180min,tam,Rush-Yds-TDs,19-105-2,,,,,,
team,201109180min,min,Rush-Yds-TDs,33-186-2,,,,,,
team,201109180min,tam,Cmp-Att-Yd-TD-INT,22-31-243-1-1,,,,,,
team,201109180min,min,Cmp-Att-Yd-TD-INT,18-30-228-0-0,,,,,,
team,201109180min,tam,Sacked-Yards,2-13,,,,,,
team,201109180min,min,Sacked-Yards,2-16,,,,,,
team,201109180min,tam,Net Pass Yards,230,,,,,,
team,201109180min,min,Net Pass Yards,212,,,,,,
team,201109180min,tam,Total Yards,335,,,,,,
team,201109180min,min,Total Yards,398,,,,,,
team,201109180min,tam,Fumbles-Lost,0-0,,,,,,
team,201109180min,min,Fumbles-Lost,2-1,,,,,,
team,201109180min,tam,Turnovers,1,,,,,,
team,201109180min,min,Turnovers,1,,,,,,
team,201109180min,tam,Penalties-Yards,6-53,,,,,,
team,201109180min,min,Penalties-Yards,8-65,,,,,,
team,201109180min,tam,Third Down Conv.,7-12,,,,,,
team,201109180min,min,Third Down Conv.,5-11,,,,,,
team,201109180min,tam,Fourth Down Conv.,0-0,,,,,,
team,201109180min,min,Fourth Down Conv.,0-0,,,,,,
team,201109180min,tam,Time of Possession,26:30,,,,,,
team,201109180min,min,Time of Possession,33:30,,,,,,
player,201109180min,tam,FreeJo00,pass_cmp,22,,,,,
player,201109180min,tam,FreeJo00,pass_att,31,,,,,
player,201109180min,tam,FreeJo00,pass_yds,243,,,,,
player,201109180min,tam,FreeJo00,pass_td,1,,,,,
player,201109180min,tam,FreeJo00,pass_int,1,,,,,
player,201109180min,tam,FreeJo00,pass_sacked,2,,,,,
player,201109180min,tam,FreeJo00,pass_sacked_yds,13,,,,,
player,201109180min,tam,FreeJo00,pass_long,51,,,,,
player,201109180min,tam,FreeJo00,pass_rating,91.2,,,,,
player,201109180min,tam,FreeJo00,rush_att,3,,,,,
player,201109180min,tam,FreeJo00,rush_yds,16,,,,,
player,201109180min,tam,FreeJo00,rush_td,0,,,,,
player,201109180min,tam,FreeJo00,rush_long,12,,,,,
player,201109180min,tam,FreeJo00,targets,0,,,,,
player,201109180min,tam,FreeJo00,rec,0,,,,,
