game,2011,2,20110918,201109180clt,cle,"Cleveland Browns",27,clt,"Indianapolis Colts",19
team,201109180clt,cle,First Downs,18,,,,,,
team,201109180clt,clt,First Downs,19,,,,,,
team,201109180clt,cle,Rush-Yds-TDs,34-106-2,,,,,,
team,201109180clt,clt,Rush-Yds-TDs,26-109-0,,,,,,
team,201109180clt,cle,Cmp-Att-Yd-TD-INT,22-32-211-1-0,,,,,,
team,201109180clt,clt,Cmp-Att-Yd-TD-INT,19-38-191-1-1,,,,,,
team,201109180clt,cle,Sacked-Yards,1-14,,,,,,
team,201109180clt,clt,Sacked-Yards,2-15,,,,,,
team,201109180clt,cle,Net Pass Yards,197,,,,,,
team,201109180clt,clt,Net Pass Yards,176,,,,,,
team,201109180clt,cle,Total Yards,303,,,,,,
team,201109180clt,clt,Total Yards,285,,,,,,
team,201109180clt,cle,Fumbles-Lost,4-1,,,,,,
team,201109180clt,clt,Fumbles-Lost,1-1,,,,,,
team,201109180clt,cle,Turnovers,1,,,,,,
team,201109180clt,clt,Turnovers,2,,,,,,
team,201109180clt,cle,Penalties-Yards,3-49,,,,,,
team,201109180clt,clt,Penalties-Yards,4-21,,,,,,
team,201109180clt,cle,Third Down Conv.,8-16,,,,,,
team,201109180clt,clt,Third Down Conv.,4-14,,,,,,
team,201109180clt,cle,Fourth Down Conv.,1-1,,,,,,
team,201109180clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201109180clt,cle,Time of Possession,34:34,,,,,,
team,201109180clt,clt,Time of Possession,25:26,,,,,,
player,201109180clt,cle,McCoCo00,pass_cmp,22,,,,,
player,201109180clt,cle,McCoCo00,pass_att,32,,,,,
player,201109180clt,cle,McCoCo00,pass_yds,211,,,,,
player,201109180clt,cle,McCoCo00,pass_td,1,,,,,
player,201109180clt,cle,McCoCo00,pass_int,0,,,,,
player,201109180clt,cle,McCoCo00,pass_sacked,1,,,,,
player,201109180clt,cle,McCoCo00,pass_sacked_yds,14,,,,,
player,201109180clt,cle,McCoCo00,pass_long,28,,,,,
player,201109180clt,cle,McCoCo00,pass_rating,97.3,,,,,
player,201109180clt,cle,McCoCo00,rush_att,3,,,,,
player,201109180clt,cle,McCoCo00,rush_yds,10,,,,,
player,201109180clt,cle,McCoCo00,rush_td,0,,,,,
player,201109180clt,cle,McCoCo00,rush_long,9,,,,,
player,201109180clt,cle,McCoCo00,targets,0,,,,,
player,201109180clt,cle,McCoCo00,rec,0,,,,,
player,201109180clt,cle,McCoCo00,rec_yds,0,,,,,
player,201109180clt,cle,McCoCo00,rec_td,0,,,,,
player,201109180clt,cle,McCoCo00,rec_long,0,,,,,
player,201109180clt,cle,McCoCo00,fumbles,1,,,,,
player,201109180clt,cle,McCoCo00,fumbles_lost,0,,,,,
player,201109180clt,cle,HillPe00,pass_cmp,0,,,,,
player,201109180clt,cle,HillPe00,pass_att,0,,,,,
player,201109180clt,cle,HillPe00,pass_yds,0,,,,,
player,201109180clt,cle,HillPe00,pass_td,0,,,,,
player,201109180clt,cle,HillPe00,pass_int,0,,,,,
player,201109180clt,cle,HillPe00,pass_sacked,0,,,,,
player,201109180clt,cle,HillPe00,pass_sacked_yds,0,,,,,
player,201109180clt,cle,HillPe00,pass_long,0,,,,,
player,201109180clt,cle,HillPe00,pass_rating,,,,,,
player,201109180clt,cle,HillPe00,rush_att,27,,,,,
player,201109180clt,cle,HillPe00,rush_yds,94,,,,,
player,201109180clt,cle,HillPe00,rush_td,2,,,,,
player,201109180clt,cle,HillPe00,rush_long,24,,,,,
player,201109180clt,cle,HillPe00,targets,4,,,,,
player,201109180clt,cle,HillPe00,rec,4,,,,,
player,201109180clt,cle,HillPe00,rec_yds,23,,,,,
player,201109180clt,cle,HillPe00,rec_td,0,,,,,
player,201109180clt,cle,HillPe00,rec_long,19,,,,,
player,201109180clt,cle,HillPe00,fumbles,1,,,,,
player,201109180clt,cle,HillPe00,fumbles_lost,1,,,,,
