game,2011,14,20111211,201112110den,chi,"Chicago Bears",10,den,"Denver Broncos",13
team,201112110den,chi,First Downs,12,,,,,,
team,201112110den,den,First Downs,22,,,,,,
team,201112110den,chi,Rush-Yds-TDs,38-159-1,,,,,,
team,201112110den,den,Rush-Yds-TDs,34-124-0,,,,,,
team,201112110den,chi,Cmp-Att-Yd-TD-INT,12-19-115-0-0,,,,,,
team,201112110den,den,Cmp-Att-Yd-TD-INT,21-40-236-1-1,,,,,,
team,201112110den,chi,Sacked-Yards,4-29,,,,,,
team,201112110den,den,Sacked-Yards,5-15,,,,,,
team,201112110den,chi,Net Pass Yards,86,,,,,,
team,201112110den,den,Net Pass Yards,221,,,,,,
team,201112110den,chi,Total Yards,245,,,,,,
team,201112110den,den,Total Yards,345,,,,,,
team,201112110den,chi,Fumbles-Lost,1-1,,,,,,
team,201112110den,den,Fumbles-Lost,3-1,,,,,,
team,201112110den,chi,Turnovers,1,,,,,,
team,201112110den,den,Turnovers,2,,,,,,
team,201112110den,chi,Penalties-Yards,8-69,,,,,,
team,201112110den,den,Penalties-Yards,4-29,,,,,,
team,201112110den,chi,Third Down Conv.,2-15,,,,,,
team,201112110den,den,Third Down Conv.,5-17,,,,,,
team,201112110den,chi,Fourth Down Conv.,0-0,,,,,,
team,201112110den,den,Fourth Down Conv.,0-0,,,,,,
team,201112110den,chi,Time of Possession,31:47,,,,,,
team,201112110den,den,Time of Possession,34:39,,,,,,
player,201112110den,chi,HaniCa00,pass_cmp,12,,,,,
player,201112110den,chi,HaniCa00,pass_att,19,,,,,
player,201112110den,chi,HaniCa00,pass_yds,115,,,,,
player,201112110den,chi,HaniCa00,pass_td,0,,,,,
player,201112110den,chi,HaniCa00,pass_int,0,,,,,
player,201112110den,chi,HaniCa00,pass_sacked,4,,,,,
player,201112110den,chi,HaniCa00,pass_sacked_yds,29,,,,,
player,201112110den,chi,HaniCa00,pass_long,19,,,,,
player,201112110den,chi,HaniCa00,pass_rating,79.9,,,,,
player,201112110den,chi,HaniCa00,rush_att,2,,,,,
player,201112110den,chi,HaniCa00,rush_yds,11,,,,,
player,201112110den,chi,HaniCa00,rush_td,0,,,,,
player,201112110den,chi,HaniCa00,rush_long,9,,,,,
