game,2011,14,20111211,201112110gnb,rai,"Oakland Raiders",16,gnb,"Green Bay Packers",46
team,201112110gnb,rai,First Downs,23,,,,,,
team,201112110gnb,gnb,First Downs,22,,,,,,
team,201112110gnb,rai,Rush-Yds-TDs,29-117-1,,,,,,
team,201112110gnb,gnb,Rush-Yds-TDs,24-136-2,,,,,,
team,201112110gnb,rai,Cmp-Att-Yd-TD-INT,24-43-247-1-4,,,,,,
team,201112110gnb,gnb,Cmp-Att-Yd-TD-INT,17-32-281-2-1,,,,,,
team,201112110gnb,rai,Sacked-Yards,1-7,,,,,,
team,201112110gnb,gnb,Sacked-Yards,4-26,,,,,,
team,201112110gnb,rai,Net Pass Yards,240,,,,,,
team,201112110gnb,gnb,Net Pass Yards,255,,,,,,
team,201112110gnb,rai,Total Yards,357,,,,,,
team,201112110gnb,gnb,Total Yards,391,,,,,,
team,201112110gnb,rai,Fumbles-Lost,1-1,,,,,,
team,201112110gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201112110gnb,rai,Turnovers,5,,,,,,
team,201112110gnb,gnb,Turnovers,1,,,,,,
team,201112110gnb,rai,Penalties-Yards,11-89,,,,,,
team,201112110gnb,gnb,Penalties-Yards,5-35,,,,,,
team,201112110gnb,rai,Third Down Conv.,5-13,,,,,,
team,201112110gnb,gnb,Third Down Conv.,3-11,,,,,,
team,201112110gnb,rai,Fourth Down Conv.,1-2,,,,,,
team,201112110gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201112110gnb,rai,Time of Possession,31:20,,,,,,
team,201112110gnb,gnb,Time of Possession,28:40,,,,,,
player,201112110gnb,rai,PalmCa00,pass_cmp,24,,,,,
player,201112110gnb,rai,PalmCa00,pass_att,42,,,,,
player,201112110gnb,rai,PalmCa00,pass_yds,247,,,,,
player,201112110gnb,rai,PalmCa00,pass_td,1,,,,,
player,201112110gnb,rai,PalmCa00,pass_int,4,,,,,
player,201112110gnb,rai,PalmCa00,pass_sacked,1,,,,,
player,201112110gnb,rai,PalmCa00,pass_sacked_yds,7,,,,,
player,201112110gnb,rai,PalmCa00,pass_long,34,,,,,
player,201112110gnb,rai,PalmCa00,pass_rating,42.6,,,,,
player,201112110gnb,rai,PalmCa00,rush_att,2,,,,,
player,201112110gnb,rai,PalmCa00,rush_yds,12,,,,,
player,201112110gnb,rai,PalmCa00,rush_td,0,,,,,
player,201112110gnb,rai,PalmCa00,rush_long,10,,,,,
player,201112110gnb,rai,PalmCa00,targets,0,,,,,
