game,2011,2,20110918,201109180den,cin,"Cincinnati Bengals",22,den,"Denver Broncos",24
team,201109180den,cin,First Downs,18,,,,,,
team,201109180den,den,First Downs,19,,,,,,
team,201109180den,cin,Rush-Yds-TDs,20-72-0,,,,,,
team,201109180den,den,Rush-Yds-TDs,36-131-1,,,,,,
team,201109180den,cin,Cmp-Att-Yd-TD-INT,27-41-332-2-0,,,,,,
team,201109180den,den,Cmp-Att-Yd-TD-INT,15-25-195-2-0,,,,,,
team,201109180den,cin,Sacked-Yards,2-22,,,,,,
team,201109180den,den,Sacked-Yards,2-8,,,,,,
team,201109180den,cin,Net Pass Yards,310,,,,,,
team,201109180den,den,Net Pass Yards,187,,,,,,
team,201109180den,cin,Total Yards,382,,,,,,
team,201109180den,den,Total Yards,318,,,,,,
team,201109180den,cin,Fumbles-Lost,0-0,,,,,,
team,201109180den,den,Fumbles-Lost,2-2,,,,,,
team,201109180den,cin,Turnovers,0,,,,,,
team,201109180den,den,Turnovers,2,,,,,,
team,201109180den,cin,Penalties-Yards,7-69,,,,,,
team,201109180den,den,Penalties-Yards,7-55,,,,,,
team,201109180den,cin,Third Down Conv.,1-11,,,,,,
team,201109180den,den,Third Down Conv.,5-12,,,,,,
team,201109180den,cin,Fourth Down Conv.,0-2,,,,,,
team,201109180den,den,Fourth Down Conv.,0-0,,,,,,
team,201109180den,cin,Time of Possession,29:45,,,,,,
team,201109180den,den,Time of Possession,30:15,,,,,,
player,201109180den,cin,DaltAn00,pass_cmp,27,,,,,
player,201109180den,cin,DaltAn00,pass_att,41,,,,,
player,201109180den,cin,DaltAn00,pass_yds,332,,,,,
player,201109180den,cin,DaltAn00,pass_td,2,,,,,
player,201109180den,cin,DaltAn00,pass_int,0,,,,,
player,201109180den,cin,DaltAn00,pass_sacked,2,,,,,
player,201109180den,cin,DaltAn00,pass_sacked_yds,22,,,,,
player,201109180den,cin,DaltAn00,pass_long,84,,,,,
player,201109180den,cin,DaltAn00,pass_rating,107.0,,,,,
player,201109180den,cin,DaltAn00,rush_att,2,,,,,
player,201109180den,cin,DaltAn00,rush_yds,3,,,,,
player,201109180den,cin,DaltAn00,rush_td,0,,,,,
player,201109180den,cin,DaltAn00,rush_long,5,,,,,
player,201109180den,cin,DaltAn00,targets,0,,,,,
player,201109180den,cin,DaltAn00,rec,0,,,,,
player,201109180den,cin,DaltAn00,rec_yds,0,,,,,
player,201109180den,cin,DaltAn00,rec_td,0,,,,,
player,201109180den,cin,DaltAn00,rec_long,0,,,,,
player,201109180den,cin,DaltAn00,fumbles,0,,,,,
player,201109180den,cin,DaltAn00,fumbles_lost,,,,,,
player,201109180den,cin,BensCe00,pass_cmp,0,,,,,
player,201109180den,cin,BensCe00,pass_att,0,,,,,
player,201109180den,cin,BensCe00,pass_yds,0,,,,,
player,201109180den,cin,BensCe00,pass_td,0,,,,,
player,201109180den,cin,BensCe00,pass_int,0,,,,,
player,201109180den,cin,BensCe00,pass_sacked,0,,,,,
player,201109180den,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201109180den,cin,BensCe00,pass_long,0,,,,,
player,201109180den,cin,BensCe00,pass_rating,,,,,,
player,201109180den,cin,BensCe00,rush_att,16,,,,,
player,201109180den,cin,BensCe00,rush_yds,59,,,,,
player,201109180den,cin,BensCe00,rush_td,0,,,,,
player,201109180den,cin,BensCe00,rush_long,14,,,,,
player,201109180den,cin,BensCe00,targets,3,,,,,
player,201109180den,cin,BensCe00,rec,3,,,,,
player,201109180den,cin,BensCe00,rec_yds,17,,,,,
player,201109180den,cin,BensCe00,rec_td,0,,,,,
player,201109180den,cin,BensCe00,rec_long,10,,,,,
