game,2011,9,20111106,201111060buf,nyj,"New York Jets",27,buf,"Buffalo Bills",11
team,201111060buf,nyj,First Downs,24,,,,,,
team,201111060buf,buf,First Downs,14,,,,,,
team,201111060buf,nyj,Rush-Yds-TDs,39-126-2,,,,,,
team,201111060buf,buf,Rush-Yds-TDs,22-96-0,,,,,,
team,201111060buf,nyj,Cmp-Att-Yd-TD-INT,20-28-230-1-1,,,,,,
team,201111060buf,buf,Cmp-Att-Yd-TD-INT,15-31-191-1-2,,,,,,
team,201111060buf,nyj,Sacked-Yards,1-8,,,,,,
team,201111060buf,buf,Sacked-Yards,0-0,,,,,,
team,201111060buf,nyj,Net Pass Yards,222,,,,,,
team,201111060buf,buf,Net Pass Yards,191,,,,,,
team,201111060buf,nyj,Total Yards,348,,,,,,
team,201111060buf,buf,Total Yards,287,,,,,,
team,201111060buf,nyj,Fumbles-Lost,3-1,,,,,,
team,201111060buf,buf,Fumbles-Lost,2-1,,,,,,
team,201111060buf,nyj,Turnovers,2,,,,,,
team,201111060buf,buf,Turnovers,3,,,,,,
team,201111060buf,nyj,Penalties-Yards,9-60,,,,,,
team,201111060buf,buf,Penalties-Yards,6-84,,,,,,
team,201111060buf,nyj,Third Down Conv.,6-11,,,,,,
team,201111060buf,buf,Third Down Conv.,3-11,,,,,,
team,201111060buf,nyj,Fourth Down Conv.,0-0,,,,,,
team,201111060buf,buf,Fourth Down Conv.,1-3,,,,,,
team,201111060buf,nyj,Time of Possession,37:52,,,,,,
team,201111060buf,buf,Time of Possession,22:08,,,,,,
player,201111060buf,nyj,SancMa00,pass_cmp,20,,,,,
player,201111060buf,nyj,SancMa00,pass_att,28,,,,,
player,201111060buf,nyj,SancMa00,pass_yds,230,,,,,
player,201111060buf,nyj,SancMa00,pass_td,1,,,,,
player,201111060buf,nyj,SancMa00,pass_int,1,,,,,
player,201111060buf,nyj,SancMa00,pass_sacked,1,,,,,
player,201111060buf,nyj,SancMa00,pass_sacked_yds,8,,,,,
player,201111060buf,nyj,SancMa00,pass_long,24,,,,,
player,201111060buf,nyj,SancMa00,pass_rating,92.9,,,,,
player,201111060buf,nyj,SancMa00,rush_att,4,,,,,
player,201111060buf,nyj,SancMa00,rush_yds,-3,,,,,
player,201111060buf,nyj,SancMa00,rush_td,0,,,,,
player,201111060buf,nyj,SancMa00,rush_long,0,,,,,
player,201111060buf,nyj,SancMa00,targets,0,,,,,
player,201111060buf,nyj,SancMa00,rec,0,,,,,
player,201111060buf,nyj,SancMa00,rec_yds,0,,,,,
player,201111060buf,nyj,SancMa00,rec_td,0,,,,,
player,201111060buf,nyj,SancMa00,rec_long,0,,,,,
player,201111060buf,nyj,SancMa00,fumbles,1,,,,,
player,201111060buf,nyj,SancMa00,fumbles_lost,1,,,,,
player,201111060buf,nyj,GreeSh00,pass_cmp,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_att,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_yds,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_td,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_int,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_sacked,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_sacked_yds,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_long,0,,,,,
player,201111060buf,nyj,GreeSh00,pass_rating,,,,,,
player,201111060buf,nyj,GreeSh00,rush_att,19,,,,,
player,201111060buf,nyj,GreeSh00,rush_yds,76,,,,,
player,201111060buf,nyj,GreeSh00,rush_td,0,,,,,
player,201111060buf,nyj,GreeSh00,rush_long,10,,,,,
player,201111060buf,nyj,GreeSh00,targets,0,,,,,
player,201111060buf,nyj,GreeSh00,rec,0,,,,,
player,201111060buf,nyj,GreeSh00,rec_yds,0,,,,,
player,201111060buf,nyj,GreeSh00,rec_td,0,,,,,
player,201111060buf,nyj,GreeSh00,rec_long,0,,,,,
player,201111060buf,nyj,GreeSh00,fumbles,1,,,,,
player,201111060buf,nyj,GreeSh00,fumbles_lost,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_cmp,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_att,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_yds,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_td,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_int,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_sacked,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_sacked_yds,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_long,0,,,,,
player,201111060buf,nyj,McKnJo00,pass_rating,,,,,,
player,201111060buf,nyj,McKnJo00,rush_att,9,,,,,
player,201111060buf,nyj,McKnJo00,rush_yds,27,,,,,
player,201111060buf,nyj,McKnJo00,rush_td,0,,,,,
player,201111060buf,nyj,McKnJo00,rush_long,9,,,,,
player,201111060buf,nyj,McKnJo00,targets,1,,,,,
player,201111060buf,nyj,McKnJo00,rec,0,,,,,
player,201111060buf,nyj,McKnJo00,rec_yds,0,,,,,
player,201111060buf,nyj,McKnJo00,rec_td,0,,,,,
player,201111060buf,nyj,McKnJo00,rec_long,0,,,,,
player,201111060buf,nyj,McKnJo00,fumbles,0,,,,,
player,201111060buf,nyj,McKnJo00,fumbles_lost,,,,,,
player,201111060buf,nyj,TomlLa00,pass_cmp,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_att,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_yds,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_td,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_int,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_sacked,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_sacked_yds,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_long,0,,,,,
player,201111060buf,nyj,TomlLa00,pass_rating,,,,,,
player,201111060buf,nyj,TomlLa00,rush_att,5,,,,,
player,201111060buf,nyj,TomlLa00,rush_yds,18,,,,,
player,201111060buf,nyj,TomlLa00,rush_td,1,,,,,
player,201111060buf,nyj,TomlLa00,rush_long,8,,,,,
player,201111060buf,nyj,TomlLa00,targets,3,,,,,
player,201111060buf,nyj,TomlLa00,rec,3,,,,,
player,201111060buf,nyj,TomlLa00,rec_yds,30,,,,,
player,201111060buf,nyj,TomlLa00,rec_td,0,,,,,
player,201111060buf,nyj,TomlLa00,rec_long,14,,,,,
player,201111060buf,nyj,TomlLa00,fumbles,0,,,,,
player,201111060buf,nyj,TomlLa00,fumbles_lost,,,,,,
