game,2011,4,20111002,201110020sea,atl,"Atlanta Falcons",30,sea,"Seattle Seahawks",28
team,201110020sea,atl,First Downs,25,,,,,,
team,201110020sea,sea,First Downs,20,,,,,,
team,201110020sea,atl,Rush-Yds-TDs,36-121-2,,,,,,
team,201110020sea,sea,Rush-Yds-TDs,15-53-1,,,,,,
team,201110020sea,atl,Cmp-Att-Yd-TD-INT,28-42-291-1-0,,,,,,
team,201110020sea,sea,Cmp-Att-Yd-TD-INT,25-38-319-3-2,,,,,,
team,201110020sea,atl,Sacked-Yards,0-0,,,,,,
team,201110020sea,sea,Sacked-Yards,0-0,,,,,,
team,201110020sea,atl,Net Pass Yards,291,,,,,,
team,201110020sea,sea,Net Pass Yards,319,,,,,,
team,201110020sea,atl,Total Yards,412,,,,,,
team,201110020sea,sea,Total Yards,372,,,,,,
team,201110020sea,atl,Fumbles-Lost,0-0,,,,,,
team,201110020sea,sea,Fumbles-Lost,0-0,,,,,,
team,201110020sea,atl,Turnovers,0,,,,,,
team,201110020sea,sea,Turnovers,2,,,,,,
team,201110020sea,atl,Penalties-Yards,4-35,,,,,,
team,201110020sea,sea,Penalties-Yards,6-40,,,,,,
team,201110020sea,atl,Third Down Conv.,9-16,,,,,,
team,201110020sea,sea,Third Down Conv.,6-11,,,,,,
team,201110020sea,atl,Fourth Down Conv.,0-0,,,,,,
team,201110020sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201110020sea,atl,Time of Possession,40:10,,,,,,
team,201110020sea,sea,Time of Possession,19:50,,,,,,
player,201110020sea,atl,RyanMa00,pass_cmp,28,,,,,
player,201110020sea,atl,RyanMa00,pass_att,42,,,,,
player,201110020sea,atl,RyanMa00,pass_yds,291,,,,,
player,201110020sea,atl,RyanMa00,pass_td,1,,,,,
player,201110020sea,atl,RyanMa00,pass_int,0,,,,,
player,201110020sea,atl,RyanMa00,pass_sacked,0,,,,,
player,201110020sea,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201110020sea,atl,RyanMa00,pass_long,45,,,,,
player,201110020sea,atl,RyanMa00,pass_rating,94.4,,,,,
player,201110020sea,atl,RyanMa00,rush_att,4,,,,,
player,201110020sea,atl,RyanMa00,rush_yds,26,,,,,
player,201110020sea,atl,RyanMa00,rush_td,0,,,,,
player,201110020sea,atl,RyanMa00,rush_long,10,,,,,
player,201110020sea,atl,RyanMa00,targets,0,,,,,
player,201110020sea,atl,RyanMa00,rec,0,,,,,
player,201110020sea,atl,RyanMa00,rec_yds,0,,,,,
player,201110020sea,atl,RyanMa00,rec_td,0,,,,,
player,201110020sea,atl,RyanMa00,rec_long,0,,,,,
player,201110020sea,atl,RyanMa00,fumbles,0,,,,,
player,201110020sea,atl,RyanMa00,fumbles_lost,,,,,,
player,201110020sea,atl,TurnMi00,pass_cmp,0,,,,,
player,201110020sea,atl,TurnMi00,pass_att,0,,,,,
player,201110020sea,atl,TurnMi00,pass_yds,0,,,,,
player,201110020sea,atl,TurnMi00,pass_td,0,,,,,
player,201110020sea,atl,TurnMi00,pass_int,0,,,,,
player,201110020sea,atl,TurnMi00,pass_sacked,0,,,,,
player,201110020sea,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201110020sea,atl,TurnMi00,pass_long,0,,,,,
player,201110020sea,atl,TurnMi00,pass_rating,,,,,,
player,201110020sea,atl,TurnMi00,rush_att,26,,,,,
player,201110020sea,atl,TurnMi00,rush_yds,70,,,,,
player,201110020sea,atl,TurnMi00,rush_td,2,,,,,
player,201110020sea,atl,TurnMi00,rush_long,21,,,,,
player,201110020sea,atl,TurnMi00,targets,2,,,,,
player,201110020sea,atl,TurnMi00,rec,2,,,,,
player,201110020sea,atl,TurnMi00,rec_yds,18,,,,,
player,201110020sea,atl,TurnMi00,rec_td,0,,,,,
player,201110020sea,atl,TurnMi00,rec_long,10,,,,,
player,201110020sea,atl,TurnMi00,fumbles,0,,,,,
player,201110020sea,atl,TurnMi00,fumbles_lost,,,,,,
player,201110020sea,atl,RodgJa00,pass_cmp,0,,,,,
player,201110020sea,atl,RodgJa00,pass_att,0,,,,,
player,201110020sea,atl,RodgJa00,pass_yds,0,,,,,
player,201110020sea,atl,RodgJa00,pass_td,0,,,,,
player,201110020sea,atl,RodgJa00,pass_int,0,,,,,
player,201110020sea,atl,RodgJa00,pass_sacked,0,,,,,
player,201110020sea,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201110020sea,atl,RodgJa00,pass_long,0,,,,,
player,201110020sea,atl,RodgJa00,pass_rating,,,,,,
player,201110020sea,atl,RodgJa00,rush_att,6,,,,,
player,201110020sea,atl,RodgJa00,rush_yds,25,,,,,
player,201110020sea,atl,RodgJa00,rush_td,0,,,,,
player,201110020sea,atl,RodgJa00,rush_long,11,,,,,
player,201110020sea,atl,RodgJa00,targets,1,,,,,
player,201110020sea,atl,RodgJa00,rec,1,,,,,
player,201110020sea,atl,RodgJa00,rec_yds,10,,,,,
player,201110020sea,atl,RodgJa00,rec_td,0,,,,,
player,201110020sea,atl,RodgJa00,rec_long,10,,,,,
player,201110020sea,atl,RodgJa00,fumbles,0,,,,,
player,201110020sea,atl,RodgJa00,fumbles_lost,,,,,,
player,201110020sea,atl,JoneJu02,pass_cmp,0,,,,,
player,201110020sea,atl,JoneJu02,pass_att,0,,,,,
player,201110020sea,atl,JoneJu02,pass_yds,0,,,,,
player,201110020sea,atl,JoneJu02,pass_td,0,,,,,
player,201110020sea,atl,JoneJu02,pass_int,0,,,,,
player,201110020sea,atl,JoneJu02,pass_sacked,0,,,,,
player,201110020sea,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201110020sea,atl,JoneJu02,pass_long,0,,,,,
player,201110020sea,atl,JoneJu02,pass_rating,,,,,,
player,201110020sea,atl,JoneJu02,rush_att,0,,,,,
player,201110020sea,atl,JoneJu02,rush_yds,0,,,,,
player,201110020sea,atl,JoneJu02,rush_td,0,,,,,
player,201110020sea,atl,JoneJu02,rush_long,0,,,,,
player,201110020sea,atl,JoneJu02,targets,17,,,,,
player,201110020sea,atl,JoneJu02,rec,11,,,,,
player,201110020sea,atl,JoneJu02,rec_yds,127,,,,,
player,201110020sea,atl,JoneJu02,rec_td,0,,,,,
player,201110020sea,atl,JoneJu02,rec_long,45,,,,,
player,201110020sea,atl,JoneJu02,fumbles,0,,,,,
player,201110020sea,atl,JoneJu02,fumbles_lost,,,,,,
player,201110020sea,atl,WhitRo00,pass_cmp,0,,,,,
player,201110020sea,atl,WhitRo00,pass_att,0,,,,,
player,201110020sea,atl,WhitRo00,pass_yds,0,,,,,
player,201110020sea,atl,WhitRo00,pass_td,0,,,,,
player,201110020sea,atl,WhitRo00,pass_int,0,,,,,
player,201110020sea,atl,WhitRo00,pass_sacked,0,,,,,
player,201110020sea,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201110020sea,atl,WhitRo00,pass_long,0,,,,,
player,201110020sea,atl,WhitRo00,pass_rating,,,,,,
player,201110020sea,atl,WhitRo00,rush_att,0,,,,,
player,201110020sea,atl,WhitRo00,rush_yds,0,,,,,
player,201110020sea,atl,WhitRo00,rush_td,0,,,,,
player,201110020sea,atl,WhitRo00,rush_long,0,,,,,
player,201110020sea,atl,WhitRo00,targets,11,,,,,
player,201110020sea,atl,WhitRo00,rec,6,,,,,
player,201110020sea,atl,WhitRo00,rec_yds,78,,,,,
player,201110020sea,atl,WhitRo00,rec_td,0,,,,,
player,201110020sea,atl,WhitRo00,rec_long,26,,,,,
player,201110020sea,atl,WhitRo00,fumbles,0,,,,,
player,201110020sea,atl,WhitRo00,fumbles_lost,,,,,,
player,201110020sea,atl,GonzTo00,pass_cmp,0,,,,,
player,201110020sea,atl,GonzTo00,pass_att,0,,,,,
player,201110020sea,atl,GonzTo00,pass_yds,0,,,,,
player,201110020sea,atl,GonzTo00,pass_td,0,,,,,
player,201110020sea,atl,GonzTo00,pass_int,0,,,,,
player,201110020sea,atl,GonzTo00,pass_sacked,0,,,,,
