game,2011,14,20111211,201112110cin,htx,"Houston Texans",20,cin,"Cincinnati Bengals",19
team,201112110cin,htx,First Downs,25,,,,,,
team,201112110cin,cin,First Downs,16,,,,,,
team,201112110cin,htx,Rush-Yds-TDs,28-144-0,,,,,,
team,201112110cin,cin,Rush-Yds-TDs,29-101-0,,,,,,
team,201112110cin,htx,Cmp-Att-Yd-TD-INT,26-44-300-2-1,,,,,,
team,201112110cin,cin,Cmp-Att-Yd-TD-INT,16-28-189-1-0,,,,,,
team,201112110cin,htx,Sacked-Yards,5-32,,,,,,
team,201112110cin,cin,Sacked-Yards,1-5,,,,,,
team,201112110cin,htx,Net Pass Yards,268,,,,,,
team,201112110cin,cin,Net Pass Yards,184,,,,,,
team,201112110cin,htx,Total Yards,412,,,,,,
team,201112110cin,cin,Total Yards,285,,,,,,
team,201112110cin,htx,Fumbles-Lost,4-3,,,,,,
team,201112110cin,cin,Fumbles-Lost,2-2,,,,,,
team,201112110cin,htx,Turnovers,4,,,,,,
team,201112110cin,cin,Turnovers,2,,,,,,
team,201112110cin,htx,Penalties-Yards,5-50,,,,,,
team,201112110cin,cin,Penalties-Yards,3-27,,,,,,
team,201112110cin,htx,Third Down Conv.,9-16,,,,,,
team,201112110cin,cin,Third Down Conv.,5-13,,,,,,
team,201112110cin,htx,Fourth Down Conv.,0-1,,,,,,
team,201112110cin,cin,Fourth Down Conv.,1-1,,,,,,
team,201112110cin,htx,Time of Possession,31:44,,,,,,
team,201112110cin,cin,Time of Possession,28:16,,,,,,
player,201112110cin,htx,YateT.00,pass_cmp,26,,,,,
player,201112110cin,htx,YateT.00,pass_att,44,,,,,
player,201112110cin,htx,YateT.00,pass_yds,300,,,,,
player,201112110cin,htx,YateT.00,pass_td,2,,,,,
player,201112110cin,htx,YateT.00,pass_int,1,,,,,
player,201112110cin,htx,YateT.00,pass_sacked,5,,,,,
player,201112110cin,htx,YateT.00,pass_sacked_yds,32,,,,,
player,201112110cin,htx,YateT.00,pass_long,27,,,,,
player,201112110cin,htx,YateT.00,pass_rating,85.4,,,,,
player,201112110cin,htx,YateT.00,rush_att,5,,,,,
player,201112110cin,htx,YateT.00,rush_yds,36,,,,,
player,201112110cin,htx,YateT.00,rush_td,0,,,,,
player,201112110cin,htx,YateT.00,rush_long,17,,,,,
player,201112110cin,htx,YateT.00,targets,0,,,,,
player,201112110cin,htx,YateT.00,rec,0,,,,,
player,201112110cin,htx,YateT.00,rec_yds,0,,,,,
player,201112110cin,htx,YateT.00,rec_td,0,,,,,
player,201112110cin,htx,YateT.00,rec_long,0,,,,,
player,201112110cin,htx,YateT.00,fumbles,1,,,,,
player,201112110cin,htx,YateT.00,fumbles_lost,1,,,,,
player,201112110cin,htx,TateBe00,pass_cmp,0,,,,,
player,201112110cin,htx,TateBe00,pass_att,0,,,,,
player,201112110cin,htx,TateBe00,pass_yds,0,,,,,
player,201112110cin,htx,TateBe00,pass_td,0,,,,,
player,201112110cin,htx,TateBe00,pass_int,0,,,,,
player,201112110cin,htx,TateBe00,pass_sacked,0,,,,,
player,201112110cin,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201112110cin,htx,TateBe00,pass_long,0,,,,,
player,201112110cin,htx,TateBe00,pass_rating,,,,,,
player,201112110cin,htx,TateBe00,rush_att,8,,,,,
player,201112110cin,htx,TateBe00,rush_yds,67,,,,,
player,201112110cin,htx,TateBe00,rush_td,0,,,,,
player,201112110cin,htx,TateBe00,rush_long,44,,,,,
player,201112110cin,htx,TateBe00,targets,3,,,,,
player,201112110cin,htx,TateBe00,rec,3,,,,,
player,201112110cin,htx,TateBe00,rec_yds,30,,,,,
player,201112110cin,htx,TateBe00,rec_td,0,,,,,
player,201112110cin,htx,TateBe00,rec_long,14,,,,,
player,201112110cin,htx,TateBe00,fumbles,1,,,,,
player,201112110cin,htx,TateBe00,fumbles_lost,1,,,,,
player,201112110cin,htx,FostAr00,pass_cmp,0,,,,,
player,201112110cin,htx,FostAr00,pass_att,0,,,,,
player,201112110cin,htx,FostAr00,pass_yds,0,,,,,
player,201112110cin,htx,FostAr00,pass_td,0,,,,,
player,201112110cin,htx,FostAr00,pass_int,0,,,,,
player,201112110cin,htx,FostAr00,pass_sacked,0,,,,,
player,201112110cin,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201112110cin,htx,FostAr00,pass_long,0,,,,,
player,201112110cin,htx,FostAr00,pass_rating,,,,,,
player,201112110cin,htx,FostAr00,rush_att,15,,,,,
player,201112110cin,htx,FostAr00,rush_yds,41,,,,,
player,201112110cin,htx,FostAr00,rush_td,0,,,,,
player,201112110cin,htx,FostAr00,rush_long,9,,,,,
player,201112110cin,htx,FostAr00,targets,5,,,,,
player,201112110cin,htx,FostAr00,rec,4,,,,,
player,201112110cin,htx,FostAr00,rec_yds,33,,,,,
player,201112110cin,htx,FostAr00,rec_td,0,,,,,
player,201112110cin,htx,FostAr00,rec_long,21,,,,,
player,201112110cin,htx,FostAr00,fumbles,1,,,,,
player,201112110cin,htx,FostAr00,fumbles_lost,,,,,,
player,201112110cin,htx,DaniOw00,pass_cmp,0,,,,,
player,201112110cin,htx,DaniOw00,pass_att,0,,,,,
player,201112110cin,htx,DaniOw00,pass_yds,0,,,,,
player,201112110cin,htx,DaniOw00,pass_td,0,,,,,
player,201112110cin,htx,DaniOw00,pass_int,0,,,,,
player,201112110cin,htx,DaniOw00,pass_sacked,0,,,,,
player,201112110cin,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201112110cin,htx,DaniOw00,pass_long,0,,,,,
player,201112110cin,htx,DaniOw00,pass_rating,,,,,,
player,201112110cin,htx,DaniOw00,rush_att,0,,,,,
player,201112110cin,htx,DaniOw00,rush_yds,0,,,,,
player,201112110cin,htx,DaniOw00,rush_td,0,,,,,
player,201112110cin,htx,DaniOw00,rush_long,0,,,,,
player,201112110cin,htx,DaniOw00,targets,11,,,,,
player,201112110cin,htx,DaniOw00,rec,7,,,,,
player,201112110cin,htx,DaniOw00,rec_yds,100,,,,,
player,201112110cin,htx,DaniOw00,rec_td,0,,,,,
player,201112110cin,htx,DaniOw00,rec_long,27,,,,,
player,201112110cin,htx,DaniOw00,fumbles,0,,,,,
player,201112110cin,htx,DaniOw00,fumbles_lost,,,,,,
player,201112110cin,htx,WaltKe00,pass_cmp,0,,,,,
player,201112110cin,htx,WaltKe00,pass_att,0,,,,,
player,201112110cin,htx,WaltKe00,pass_yds,0,,,,,
player,201112110cin,htx,WaltKe00,pass_td,0,,,,,
player,201112110cin,htx,WaltKe00,pass_int,0,,,,,
player,201112110cin,htx,WaltKe00,pass_sacked,0,,,,,
player,201112110cin,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201112110cin,htx,WaltKe00,pass_long,0,,,,,
player,201112110cin,htx,WaltKe00,pass_rating,,,,,,
player,201112110cin,htx,WaltKe00,rush_att,0,,,,,
player,201112110cin,htx,WaltKe00,rush_yds,0,,,,,
player,201112110cin,htx,WaltKe00,rush_td,0,,,,,
