game,2011,16,20111224,201112240was,min,"Minnesota Vikings",33,was,"Washington Redskins",26
team,201112240was,min,First Downs,20,,,,,,
team,201112240was,was,First Downs,23,,,,,,
team,201112240was,min,Rush-Yds-TDs,38-241-2,,,,,,
team,201112240was,was,Rush-Yds-TDs,24-141-0,,,,,,
team,201112240was,min,Cmp-Att-Yd-TD-INT,12-18-152-2-0,,,,,,
team,201112240was,was,Cmp-Att-Yd-TD-INT,26-41-284-2-1,,,,,,
team,201112240was,min,Sacked-Yards,2-4,,,,,,
team,201112240was,was,Sacked-Yards,3-28,,,,,,
team,201112240was,min,Net Pass Yards,148,,,,,,
team,201112240was,was,Net Pass Yards,256,,,,,,
team,201112240was,min,Total Yards,389,,,,,,
team,201112240was,was,Total Yards,397,,,,,,
team,201112240was,min,Fumbles-Lost,2-0,,,,,,
team,201112240was,was,Fumbles-Lost,1-1,,,,,,
team,201112240was,min,Turnovers,0,,,,,,
team,201112240was,was,Turnovers,2,,,,,,
team,201112240was,min,Penalties-Yards,4-40,,,,,,
team,201112240was,was,Penalties-Yards,8-64,,,,,,
team,201112240was,min,Third Down Conv.,4-11,,,,,,
team,201112240was,was,Third Down Conv.,3-10,,,,,,
team,201112240was,min,Fourth Down Conv.,0-0,,,,,,
team,201112240was,was,Fourth Down Conv.,0-0,,,,,,
team,201112240was,min,Time of Possession,29:34,,,,,,
team,201112240was,was,Time of Possession,30:26,,,,,,
player,201112240was,min,PondCh00,pass_cmp,8,,,,,
player,201112240was,min,PondCh00,pass_att,13,,,,,
player,201112240was,min,PondCh00,pass_yds,68,,,,,
player,201112240was,min,PondCh00,pass_td,0,,,,,
player,201112240was,min,PondCh00,pass_int,0,,,,,
player,201112240was,min,PondCh00,pass_sacked,1,,,,,
player,201112240was,min,PondCh00,pass_sacked_yds,1,,,,,
player,201112240was,min,PondCh00,pass_long,14,,,,,
player,201112240was,min,PondCh00,pass_rating,75.2,,,,,
player,201112240was,min,PondCh00,rush_att,4,,,,,
player,201112240was,min,PondCh00,rush_yds,20,,,,,
player,201112240was,min,PondCh00,rush_td,0,,,,,
player,201112240was,min,PondCh00,rush_long,8,,,,,
player,201112240was,min,PondCh00,targets,0,,,,,
player,201112240was,min,PondCh00,rec,0,,,,,
player,201112240was,min,PondCh00,rec_yds,0,,,,,
player,201112240was,min,PondCh00,rec_td,0,,,,,
player,201112240was,min,PondCh00,rec_long,0,,,,,
player,201112240was,min,PondCh00,fumbles,0,,,,,
player,201112240was,min,PondCh00,fumbles_lost,,,,,,
player,201112240was,min,WebbJo00,pass_cmp,4,,,,,
player,201112240was,min,WebbJo00,pass_att,5,,,,,
player,201112240was,min,WebbJo00,pass_yds,84,,,,,
player,201112240was,min,WebbJo00,pass_td,2,,,,,
player,201112240was,min,WebbJo00,pass_int,0,,,,,
player,201112240was,min,WebbJo00,pass_sacked,1,,,,,
player,201112240was,min,WebbJo00,pass_sacked_yds,3,,,,,
player,201112240was,min,WebbJo00,pass_long,36,,,,,
player,201112240was,min,WebbJo00,pass_rating,158.3,,,,,
player,201112240was,min,WebbJo00,rush_att,5,,,,,
player,201112240was,min,WebbJo00,rush_yds,34,,,,,
player,201112240was,min,WebbJo00,rush_td,1,,,,,
player,201112240was,min,WebbJo00,rush_long,16,,,,,
player,201112240was,min,WebbJo00,targets,0,,,,,
player,201112240was,min,WebbJo00,rec,0,,,,,
player,201112240was,min,WebbJo00,rec_yds,0,,,,,
player,201112240was,min,WebbJo00,rec_td,0,,,,,
player,201112240was,min,WebbJo00,rec_long,0,,,,,
player,201112240was,min,WebbJo00,fumbles,0,,,,,
player,201112240was,min,WebbJo00,fumbles_lost,,,,,,
player,201112240was,min,GerhTo00,pass_cmp,0,,,,,
player,201112240was,min,GerhTo00,pass_att,0,,,,,
player,201112240was,min,GerhTo00,pass_yds,0,,,,,
player,201112240was,min,GerhTo00,pass_td,0,,,,,
player,201112240was,min,GerhTo00,pass_int,0,,,,,
player,201112240was,min,GerhTo00,pass_sacked,0,,,,,
player,201112240was,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201112240was,min,GerhTo00,pass_long,0,,,,,
player,201112240was,min,GerhTo00,pass_rating,,,,,,
player,201112240was,min,GerhTo00,rush_att,11,,,,,
player,201112240was,min,GerhTo00,rush_yds,109,,,,,
player,201112240was,min,GerhTo00,rush_td,0,,,,,
player,201112240was,min,GerhTo00,rush_long,67,,,,,
player,201112240was,min,GerhTo00,targets,1,,,,,
player,201112240was,min,GerhTo00,rec,0,,,,,
player,201112240was,min,GerhTo00,rec_yds,0,,,,,
player,201112240was,min,GerhTo00,rec_td,0,,,,,
player,201112240was,min,GerhTo00,rec_long,0,,,,,
player,201112240was,min,GerhTo00,fumbles,1,,,,,
player,201112240was,min,GerhTo00,fumbles_lost,0,,,,,
player,201112240was,min,HarvPe00,pass_cmp,0,,,,,
player,201112240was,min,HarvPe00,pass_att,0,,,,,
player,201112240was,min,HarvPe00,pass_yds,0,,,,,
player,201112240was,min,HarvPe00,pass_td,0,,,,,
player,201112240was,min,HarvPe00,pass_int,0,,,,,
player,201112240was,min,HarvPe00,pass_sacked,0,,,,,
player,201112240was,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201112240was,min,HarvPe00,pass_long,0,,,,,
player,201112240was,min,HarvPe00,pass_rating,,,,,,
player,201112240was,min,HarvPe00,rush_att,4,,,,,
player,201112240was,min,HarvPe00,rush_yds,39,,,,,
player,201112240was,min,HarvPe00,rush_td,0,,,,,
player,201112240was,min,HarvPe00,rush_long,31,,,,,
player,201112240was,min,HarvPe00,targets,6,,,,,
player,201112240was,min,HarvPe00,rec,5,,,,,
player,201112240was,min,HarvPe00,rec_yds,65,,,,,
player,201112240was,min,HarvPe00,rec_td,1,,,,,
player,201112240was,min,HarvPe00,rec_long,36,,,,,
player,201112240was,min,HarvPe00,fumbles,0,,,,,
player,201112240was,min,HarvPe00,fumbles_lost,,,,,,
player,201112240was,min,PeteAd01,pass_cmp,0,,,,,
player,201112240was,min,PeteAd01,pass_att,0,,,,,
player,201112240was,min,PeteAd01,pass_yds,0,,,,,
player,201112240was,min,PeteAd01,pass_td,0,,,,,
player,201112240was,min,PeteAd01,pass_int,0,,,,,
player,201112240was,min,PeteAd01,pass_sacked,0,,,,,
player,201112240was,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201112240was,min,PeteAd01,pass_long,0,,,,,
