game,2011,12,20111127,201111270nyj,buf,"Buffalo Bills",24,nyj,"New York Jets",28
team,201111270nyj,buf,First Downs,21,,,,,,
team,201111270nyj,nyj,First Downs,20,,,,,,
team,201111270nyj,buf,Rush-Yds-TDs,28-86-0,,,,,,
team,201111270nyj,nyj,Rush-Yds-TDs,23-138-0,,,,,,
team,201111270nyj,buf,Cmp-Att-Yd-TD-INT,26-39-264-3-0,,,,,,
team,201111270nyj,nyj,Cmp-Att-Yd-TD-INT,17-35-180-4-1,,,,,,
team,201111270nyj,buf,Sacked-Yards,3-14,,,,,,
team,201111270nyj,nyj,Sacked-Yards,0-0,,,,,,
team,201111270nyj,buf,Net Pass Yards,250,,,,,,
team,201111270nyj,nyj,Net Pass Yards,180,,,,,,
team,201111270nyj,buf,Total Yards,336,,,,,,
team,201111270nyj,nyj,Total Yards,318,,,,,,
team,201111270nyj,buf,Fumbles-Lost,0-0,,,,,,
team,201111270nyj,nyj,Fumbles-Lost,1-1,,,,,,
team,201111270nyj,buf,Turnovers,0,,,,,,
team,201111270nyj,nyj,Turnovers,2,,,,,,
team,201111270nyj,buf,Penalties-Yards,9-85,,,,,,
team,201111270nyj,nyj,Penalties-Yards,4-40,,,,,,
team,201111270nyj,buf,Third Down Conv.,6-15,,,,,,
team,201111270nyj,nyj,Third Down Conv.,5-11,,,,,,
team,201111270nyj,buf,Fourth Down Conv.,0-1,,,,,,
team,201111270nyj,nyj,Fourth Down Conv.,1-1,,,,,,
team,201111270nyj,buf,Time of Possession,36:11,,,,,,
team,201111270nyj,nyj,Time of Possession,23:49,,,,,,
player,201111270nyj,buf,FitzRy00,pass_cmp,26,,,,,
player,201111270nyj,buf,FitzRy00,pass_att,39,,,,,
player,201111270nyj,buf,FitzRy00,pass_yds,264,,,,,
player,201111270nyj,buf,FitzRy00,pass_td,3,,,,,
player,201111270nyj,buf,FitzRy00,pass_int,0,,,,,
player,201111270nyj,buf,FitzRy00,pass_sacked,3,,,,,
player,201111270nyj,buf,FitzRy00,pass_sacked_yds,14,,,,,
player,201111270nyj,buf,FitzRy00,pass_long,36,,,,,
player,201111270nyj,buf,FitzRy00,pass_rating,111.5,,,,,
player,201111270nyj,buf,FitzRy00,rush_att,5,,,,,
player,201111270nyj,buf,FitzRy00,rush_yds,34,,,,,
player,201111270nyj,buf,FitzRy00,rush_td,0,,,,,
player,201111270nyj,buf,FitzRy00,rush_long,15,,,,,
player,201111270nyj,buf,FitzRy00,targets,0,,,,,
player,201111270nyj,buf,FitzRy00,rec,0,,,,,
player,201111270nyj,buf,FitzRy00,rec_yds,0,,,,,
player,201111270nyj,buf,FitzRy00,rec_td,0,,,,,
player,201111270nyj,buf,FitzRy00,rec_long,0,,,,,
player,201111270nyj,buf,FitzRy00,fumbles,0,,,,,
player,201111270nyj,buf,FitzRy00,fumbles_lost,,,,,,
player,201111270nyj,buf,SpilC.00,pass_cmp,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_att,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_yds,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_td,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_int,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_sacked,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_sacked_yds,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_long,0,,,,,
player,201111270nyj,buf,SpilC.00,pass_rating,,,,,,
player,201111270nyj,buf,SpilC.00,rush_att,19,,,,,
player,201111270nyj,buf,SpilC.00,rush_yds,55,,,,,
player,201111270nyj,buf,SpilC.00,rush_td,0,,,,,
player,201111270nyj,buf,SpilC.00,rush_long,9,,,,,
player,201111270nyj,buf,SpilC.00,targets,3,,,,,
player,201111270nyj,buf,SpilC.00,rec,3,,,,,
player,201111270nyj,buf,SpilC.00,rec_yds,15,,,,,
player,201111270nyj,buf,SpilC.00,rec_td,0,,,,,
player,201111270nyj,buf,SpilC.00,rec_long,13,,,,,
player,201111270nyj,buf,SpilC.00,fumbles,0,,,,,
player,201111270nyj,buf,SpilC.00,fumbles_lost,,,,,,
player,201111270nyj,buf,SmitBr01,pass_cmp,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_att,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_yds,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_td,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_int,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_sacked,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_sacked_yds,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_long,0,,,,,
player,201111270nyj,buf,SmitBr01,pass_rating,,,,,,
player,201111270nyj,buf,SmitBr01,rush_att,1,,,,,
player,201111270nyj,buf,SmitBr01,rush_yds,3,,,,,
player,201111270nyj,buf,SmitBr01,rush_td,0,,,,,
player,201111270nyj,buf,SmitBr01,rush_long,3,,,,,
player,201111270nyj,buf,SmitBr01,targets,7,,,,,
player,201111270nyj,buf,SmitBr01,rec,4,,,,,
player,201111270nyj,buf,SmitBr01,rec_yds,77,,,,,
player,201111270nyj,buf,SmitBr01,rec_td,1,,,,,
player,201111270nyj,buf,SmitBr01,rec_long,36,,,,,
player,201111270nyj,buf,SmitBr01,fumbles,0,,,,,
player,201111270nyj,buf,SmitBr01,fumbles_lost,,,,,,
player,201111270nyj,buf,WhitJo01,pass_cmp,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_att,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_yds,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_td,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_int,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_sacked,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_sacked_yds,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_long,0,,,,,
player,201111270nyj,buf,WhitJo01,pass_rating,,,,,,
player,201111270nyj,buf,WhitJo01,rush_att,1,,,,,
player,201111270nyj,buf,WhitJo01,rush_yds,2,,,,,
player,201111270nyj,buf,WhitJo01,rush_td,0,,,,,
player,201111270nyj,buf,WhitJo01,rush_long,2,,,,,
player,201111270nyj,buf,WhitJo01,targets,0,,,,,
player,201111270nyj,buf,WhitJo01,rec,0,,,,,
player,201111270nyj,buf,WhitJo01,rec_yds,0,,,,,
player,201111270nyj,buf,WhitJo01,rec_td,0,,,,,
player,201111270nyj,buf,WhitJo01,rec_long,0,,,,,
player,201111270nyj,buf,WhitJo01,fumbles,0,,,,,
player,201111270nyj,buf,WhitJo01,fumbles_lost,,,,,,
player,201111270nyj,buf,JohnSt00,pass_cmp,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_att,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_yds,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_td,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_int,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_sacked,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_sacked_yds,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_long,0,,,,,
player,201111270nyj,buf,JohnSt00,pass_rating,,,,,,
player,201111270nyj,buf,JohnSt00,rush_att,0,,,,,
player,201111270nyj,buf,JohnSt00,rush_yds,0,,,,,
player,201111270nyj,buf,JohnSt00,rush_td,0,,,,,
player,201111270nyj,buf,JohnSt00,rush_long,0,,,,,
player,201111270nyj,buf,JohnSt00,targets,13,,,,,
player,201111270nyj,buf,JohnSt00,rec,8,,,,,
player,201111270nyj,buf,JohnSt00,rec_yds,75,,,,,
player,201111270nyj,buf,JohnSt00,rec_td,1,,,,,
player,201111270nyj,buf,JohnSt00,rec_long,16,,,,,
player,201111270nyj,buf,JohnSt00,fumbles,0,,,,,
player,201111270nyj,buf,JohnSt00,fumbles_lost,,,,,,
player,201111270nyj,buf,ChanSc00,pass_cmp,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_att,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_yds,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_td,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_int,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_sacked,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_sacked_yds,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_long,0,,,,,
player,201111270nyj,buf,ChanSc00,pass_rating,,,,,,
player,201111270nyj,buf,ChanSc00,rush_att,0,,,,,
player,201111270nyj,buf,ChanSc00,rush_yds,0,,,,,
player,201111270nyj,buf,ChanSc00,rush_td,0,,,,,
