game,2011,1,20110912,201109120den,rai,"Oakland Raiders",23,den,"Denver Broncos",20
team,201109120den,rai,First Downs,20,,,,,,
team,201109120den,den,First Downs,25,,,,,,
team,201109120den,rai,Rush-Yds-TDs,39-190-1,,,,,,
team,201109120den,den,Rush-Yds-TDs,13-38-0,,,,,,
team,201109120den,rai,Cmp-Att-Yd-TD-INT,13-22-105-1-0,,,,,,
team,201109120den,den,Cmp-Att-Yd-TD-INT,24-46-304-1-1,,,,,,
team,201109120den,rai,Sacked-Yards,1-6,,,,,,
team,201109120den,den,Sacked-Yards,5-32,,,,,,
team,201109120den,rai,Net Pass Yards,99,,,,,,
team,201109120den,den,Net Pass Yards,272,,,,,,
team,201109120den,rai,Total Yards,289,,,,,,
team,201109120den,den,Total Yards,310,,,,,,
team,201109120den,rai,Fumbles-Lost,2-1,,,,,,
team,201109120den,den,Fumbles-Lost,4-2,,,,,,
team,201109120den,rai,Turnovers,1,,,,,,
team,201109120den,den,Turnovers,3,,,,,,
team,201109120den,rai,Penalties-Yards,15-131,,,,,,
team,201109120den,den,Penalties-Yards,10-91,,,,,,
team,201109120den,rai,Third Down Conv.,5-14,,,,,,
team,201109120den,den,Third Down Conv.,6-13,,,,,,
team,201109120den,rai,Fourth Down Conv.,0-0,,,,,,
team,201109120den,den,Fourth Down Conv.,0-0,,,,,,
team,201109120den,rai,Time of Possession,32:35,,,,,,
team,201109120den,den,Time of Possession,27:25,,,,,,
player,201109120den,rai,CampJa00,pass_cmp,13,,,,,
player,201109120den,rai,CampJa00,pass_att,22,,,,,
player,201109120den,rai,CampJa00,pass_yds,105,,,,,
player,201109120den,rai,CampJa00,pass_td,1,,,,,
player,201109120den,rai,CampJa00,pass_int,0,,,,,
player,201109120den,rai,CampJa00,pass_sacked,1,,,,,
player,201109120den,rai,CampJa00,pass_sacked_yds,6,,,,,
player,201109120den,rai,CampJa00,pass_long,17,,,,,
player,201109120den,rai,CampJa00,pass_rating,86.4,,,,,
player,201109120den,rai,CampJa00,rush_att,6,,,,,
player,201109120den,rai,CampJa00,rush_yds,2,,,,,
player,201109120den,rai,CampJa00,rush_td,1,,,,,
player,201109120den,rai,CampJa00,rush_long,7,,,,,
player,201109120den,rai,CampJa00,targets,0,,,,,
player,201109120den,rai,CampJa00,rec,0,,,,,
player,201109120den,rai,CampJa00,rec_yds,0,,,,,
player,201109120den,rai,CampJa00,rec_td,0,,,,,
player,201109120den,rai,CampJa00,rec_long,0,,,,,
player,201109120den,rai,CampJa00,fumbles,1,,,,,
player,201109120den,rai,CampJa00,fumbles_lost,0,,,,,
player,201109120den,rai,McFaDa00,pass_cmp,0,,,,,
player,201109120den,rai,McFaDa00,pass_att,0,,,,,
player,201109120den,rai,McFaDa00,pass_yds,0,,,,,
player,201109120den,rai,McFaDa00,pass_td,0,,,,,
player,201109120den,rai,McFaDa00,pass_int,0,,,,,
player,201109120den,rai,McFaDa00,pass_sacked,,,,,,
player,201109120den,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201109120den,rai,McFaDa00,pass_long,0,,,,,
player,201109120den,rai,McFaDa00,pass_rating,,,,,,
player,201109120den,rai,McFaDa00,rush_att,22,,,,,
player,201109120den,rai,McFaDa00,rush_yds,150,,,,,
player,201109120den,rai,McFaDa00,rush_td,0,,,,,
player,201109120den,rai,McFaDa00,rush_long,47,,,,,
player,201109120den,rai,McFaDa00,targets,1,,,,,
player,201109120den,rai,McFaDa00,rec,1,,,,,
player,201109120den,rai,McFaDa00,rec_yds,6,,,,,
player,201109120den,rai,McFaDa00,rec_td,0,,,,,
player,201109120den,rai,McFaDa00,rec_long,6,,,,,
player,201109120den,rai,McFaDa00,fumbles,0,,,,,
player,201109120den,rai,McFaDa00,fumbles_lost,,,,,,
player,201109120den,rai,BushMi00,pass_cmp,0,,,,,
player,201109120den,rai,BushMi00,pass_att,0,,,,,
player,201109120den,rai,BushMi00,pass_yds,0,,,,,
player,201109120den,rai,BushMi00,pass_td,0,,,,,
player,201109120den,rai,BushMi00,pass_int,0,,,,,
player,201109120den,rai,BushMi00,pass_sacked,,,,,,
player,201109120den,rai,BushMi00,pass_sacked_yds,0,,,,,
player,201109120den,rai,BushMi00,pass_long,0,,,,,
player,201109120den,rai,BushMi00,pass_rating,,,,,,
player,201109120den,rai,BushMi00,rush_att,9,,,,,
player,201109120den,rai,BushMi00,rush_yds,30,,,,,
player,201109120den,rai,BushMi00,rush_td,0,,,,,
player,201109120den,rai,BushMi00,rush_long,12,,,,,
player,201109120den,rai,BushMi00,targets,1,,,,,
player,201109120den,rai,BushMi00,rec,0,,,,,
player,201109120den,rai,BushMi00,rec_yds,0,,,,,
