game,2011,12,20111128,201111280nor,nyg,"New York Giants",24,nor,"New Orleans Saints",49
team,201111280nor,nyg,First Downs,29,,,,,,
team,201111280nor,nor,First Downs,31,,,,,,
team,201111280nor,nyg,Rush-Yds-TDs,22-73-1,,,,,,
team,201111280nor,nor,Rush-Yds-TDs,30-205-3,,,,,,
team,201111280nor,nyg,Cmp-Att-Yd-TD-INT,33-47-406-2-1,,,,,,
team,201111280nor,nor,Cmp-Att-Yd-TD-INT,25-39-372-4-0,,,,,,
team,201111280nor,nyg,Sacked-Yards,1-14,,,,,,
team,201111280nor,nor,Sacked-Yards,0-0,,,,,,
team,201111280nor,nyg,Net Pass Yards,392,,,,,,
team,201111280nor,nor,Net Pass Yards,372,,,,,,
team,201111280nor,nyg,Total Yards,465,,,,,,
team,201111280nor,nor,Total Yards,577,,,,,,
team,201111280nor,nyg,Fumbles-Lost,4-1,,,,,,
team,201111280nor,nor,Fumbles-Lost,0-0,,,,,,
team,201111280nor,nyg,Turnovers,2,,,,,,
team,201111280nor,nor,Turnovers,0,,,,,,
team,201111280nor,nyg,Penalties-Yards,4-32,,,,,,
team,201111280nor,nor,Penalties-Yards,11-104,,,,,,
team,201111280nor,nyg,Third Down Conv.,5-11,,,,,,
team,201111280nor,nor,Third Down Conv.,5-9,,,,,,
team,201111280nor,nyg,Fourth Down Conv.,0-2,,,,,,
team,201111280nor,nor,Fourth Down Conv.,0-2,,,,,,
team,201111280nor,nyg,Time of Possession,31:28,,,,,,
team,201111280nor,nor,Time of Possession,28:32,,,,,,
player,201111280nor,nyg,MannEl00,pass_cmp,33,,,,,
player,201111280nor,nyg,MannEl00,pass_att,47,,,,,
player,201111280nor,nyg,MannEl00,pass_yds,406,,,,,
player,201111280nor,nyg,MannEl00,pass_td,2,,,,,
player,201111280nor,nyg,MannEl00,pass_int,1,,,,,
player,201111280nor,nyg,MannEl00,pass_sacked,1,,,,,
player,201111280nor,nyg,MannEl00,pass_sacked_yds,14,,,,,
player,201111280nor,nyg,MannEl00,pass_long,72,,,,,
player,201111280nor,nyg,MannEl00,pass_rating,101.9,,,,,
player,201111280nor,nyg,MannEl00,rush_att,1,,,,,
player,201111280nor,nyg,MannEl00,rush_yds,4,,,,,
player,201111280nor,nyg,MannEl00,rush_td,0,,,,,
player,201111280nor,nyg,MannEl00,rush_long,4,,,,,
player,201111280nor,nyg,MannEl00,targets,0,,,,,
player,201111280nor,nyg,MannEl00,rec,0,,,,,
player,201111280nor,nyg,MannEl00,rec_yds,0,,,,,
player,201111280nor,nyg,MannEl00,rec_td,0,,,,,
player,201111280nor,nyg,MannEl00,rec_long,0,,,,,
player,201111280nor,nyg,MannEl00,fumbles,1,,,,,
player,201111280nor,nyg,MannEl00,fumbles_lost,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_cmp,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_att,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_yds,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_td,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_int,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_sacked,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_long,0,,,,,
player,201111280nor,nyg,JacoBr00,pass_rating,,,,,,
player,201111280nor,nyg,JacoBr00,rush_att,13,,,,,
player,201111280nor,nyg,JacoBr00,rush_yds,46,,,,,
player,201111280nor,nyg,JacoBr00,rush_td,1,,,,,
player,201111280nor,nyg,JacoBr00,rush_long,9,,,,,
player,201111280nor,nyg,JacoBr00,targets,0,,,,,
player,201111280nor,nyg,JacoBr00,rec,0,,,,,
player,201111280nor,nyg,JacoBr00,rec_yds,0,,,,,
player,201111280nor,nyg,JacoBr00,rec_td,0,,,,,
player,201111280nor,nyg,JacoBr00,rec_long,0,,,,,
player,201111280nor,nyg,JacoBr00,fumbles,1,,,,,
player,201111280nor,nyg,JacoBr00,fumbles_lost,0,,,,,
player,201111280nor,nyg,WareDa00,pass_cmp,0,,,,,
player,201111280nor,nyg,WareDa00,pass_att,0,,,,,
player,201111280nor,nyg,WareDa00,pass_yds,0,,,,,
player,201111280nor,nyg,WareDa00,pass_td,0,,,,,
player,201111280nor,nyg,WareDa00,pass_int,0,,,,,
player,201111280nor,nyg,WareDa00,pass_sacked,0,,,,,
player,201111280nor,nyg,WareDa00,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,WareDa00,pass_long,0,,,,,
player,201111280nor,nyg,WareDa00,pass_rating,,,,,,
player,201111280nor,nyg,WareDa00,rush_att,5,,,,,
player,201111280nor,nyg,WareDa00,rush_yds,23,,,,,
player,201111280nor,nyg,WareDa00,rush_td,0,,,,,
player,201111280nor,nyg,WareDa00,rush_long,9,,,,,
player,201111280nor,nyg,WareDa00,targets,9,,,,,
player,201111280nor,nyg,WareDa00,rec,8,,,,,
player,201111280nor,nyg,WareDa00,rec_yds,45,,,,,
player,201111280nor,nyg,WareDa00,rec_td,0,,,,,
player,201111280nor,nyg,WareDa00,rec_long,9,,,,,
player,201111280nor,nyg,WareDa00,fumbles,0,,,,,
player,201111280nor,nyg,WareDa00,fumbles_lost,,,,,,
player,201111280nor,nyg,CruzVi00,pass_cmp,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_att,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_yds,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_td,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_int,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_sacked,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_long,0,,,,,
player,201111280nor,nyg,CruzVi00,pass_rating,,,,,,
player,201111280nor,nyg,CruzVi00,rush_att,0,,,,,
player,201111280nor,nyg,CruzVi00,rush_yds,0,,,,,
player,201111280nor,nyg,CruzVi00,rush_td,0,,,,,
player,201111280nor,nyg,CruzVi00,rush_long,0,,,,,
player,201111280nor,nyg,CruzVi00,targets,12,,,,,
player,201111280nor,nyg,CruzVi00,rec,9,,,,,
player,201111280nor,nyg,CruzVi00,rec_yds,157,,,,,
player,201111280nor,nyg,CruzVi00,rec_td,2,,,,,
player,201111280nor,nyg,CruzVi00,rec_long,72,,,,,
player,201111280nor,nyg,CruzVi00,fumbles,0,,,,,
player,201111280nor,nyg,CruzVi00,fumbles_lost,,,,,,
player,201111280nor,nyg,NickHa01,pass_cmp,0,,,,,
player,201111280nor,nyg,NickHa01,pass_att,0,,,,,
player,201111280nor,nyg,NickHa01,pass_yds,0,,,,,
player,201111280nor,nyg,NickHa01,pass_td,0,,,,,
player,201111280nor,nyg,NickHa01,pass_int,0,,,,,
player,201111280nor,nyg,NickHa01,pass_sacked,0,,,,,
player,201111280nor,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,NickHa01,pass_long,0,,,,,
player,201111280nor,nyg,NickHa01,pass_rating,,,,,,
player,201111280nor,nyg,NickHa01,rush_att,0,,,,,
player,201111280nor,nyg,NickHa01,rush_yds,0,,,,,
player,201111280nor,nyg,NickHa01,rush_td,0,,,,,
player,201111280nor,nyg,NickHa01,rush_long,0,,,,,
player,201111280nor,nyg,NickHa01,targets,12,,,,,
player,201111280nor,nyg,NickHa01,rec,7,,,,,
player,201111280nor,nyg,NickHa01,rec_yds,87,,,,,
player,201111280nor,nyg,NickHa01,rec_td,0,,,,,
player,201111280nor,nyg,NickHa01,rec_long,23,,,,,
player,201111280nor,nyg,NickHa01,fumbles,0,,,,,
player,201111280nor,nyg,NickHa01,fumbles_lost,,,,,,
player,201111280nor,nyg,BallJa21,pass_cmp,0,,,,,
player,201111280nor,nyg,BallJa21,pass_att,0,,,,,
player,201111280nor,nyg,BallJa21,pass_yds,0,,,,,
player,201111280nor,nyg,BallJa21,pass_td,0,,,,,
player,201111280nor,nyg,BallJa21,pass_int,0,,,,,
player,201111280nor,nyg,BallJa21,pass_sacked,0,,,,,
player,201111280nor,nyg,BallJa21,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,BallJa21,pass_long,0,,,,,
player,201111280nor,nyg,BallJa21,pass_rating,,,,,,
player,201111280nor,nyg,BallJa21,rush_att,0,,,,,
player,201111280nor,nyg,BallJa21,rush_yds,0,,,,,
player,201111280nor,nyg,BallJa21,rush_td,0,,,,,
player,201111280nor,nyg,BallJa21,rush_long,0,,,,,
player,201111280nor,nyg,BallJa21,targets,5,,,,,
player,201111280nor,nyg,BallJa21,rec,3,,,,,
player,201111280nor,nyg,BallJa21,rec_yds,47,,,,,
player,201111280nor,nyg,BallJa21,rec_td,0,,,,,
player,201111280nor,nyg,BallJa21,rec_long,24,,,,,
player,201111280nor,nyg,BallJa21,fumbles,0,,,,,
player,201111280nor,nyg,BallJa21,fumbles_lost,,,,,,
player,201111280nor,nyg,BardRa00,pass_cmp,0,,,,,
player,201111280nor,nyg,BardRa00,pass_att,0,,,,,
player,201111280nor,nyg,BardRa00,pass_yds,0,,,,,
player,201111280nor,nyg,BardRa00,pass_td,0,,,,,
player,201111280nor,nyg,BardRa00,pass_int,0,,,,,
player,201111280nor,nyg,BardRa00,pass_sacked,0,,,,,
player,201111280nor,nyg,BardRa00,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,BardRa00,pass_long,0,,,,,
player,201111280nor,nyg,BardRa00,pass_rating,,,,,,
player,201111280nor,nyg,BardRa00,rush_att,0,,,,,
player,201111280nor,nyg,BardRa00,rush_yds,0,,,,,
player,201111280nor,nyg,BardRa00,rush_td,0,,,,,
player,201111280nor,nyg,BardRa00,rush_long,0,,,,,
player,201111280nor,nyg,BardRa00,targets,4,,,,,
player,201111280nor,nyg,BardRa00,rec,3,,,,,
player,201111280nor,nyg,BardRa00,rec_yds,38,,,,,
player,201111280nor,nyg,BardRa00,rec_td,0,,,,,
player,201111280nor,nyg,BardRa00,rec_long,26,,,,,
player,201111280nor,nyg,BardRa00,fumbles,0,,,,,
player,201111280nor,nyg,BardRa00,fumbles_lost,,,,,,
player,201111280nor,nyg,ThomDe02,pass_cmp,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_att,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_yds,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_td,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_int,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_sacked,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_long,0,,,,,
player,201111280nor,nyg,ThomDe02,pass_rating,,,,,,
player,201111280nor,nyg,ThomDe02,rush_att,0,,,,,
player,201111280nor,nyg,ThomDe02,rush_yds,0,,,,,
player,201111280nor,nyg,ThomDe02,rush_td,0,,,,,
player,201111280nor,nyg,ThomDe02,rush_long,0,,,,,
player,201111280nor,nyg,ThomDe02,targets,1,,,,,
player,201111280nor,nyg,ThomDe02,rec,1,,,,,
player,201111280nor,nyg,ThomDe02,rec_yds,12,,,,,
player,201111280nor,nyg,ThomDe02,rec_td,0,,,,,
player,201111280nor,nyg,ThomDe02,rec_long,12,,,,,
player,201111280nor,nyg,ThomDe02,fumbles,0,,,,,
player,201111280nor,nyg,ThomDe02,fumbles_lost,,,,,,
player,201111280nor,nyg,HynoHe01,pass_cmp,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_att,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_yds,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_td,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_int,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_sacked,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_long,0,,,,,
player,201111280nor,nyg,HynoHe01,pass_rating,,,,,,
player,201111280nor,nyg,HynoHe01,rush_att,0,,,,,
player,201111280nor,nyg,HynoHe01,rush_yds,0,,,,,
player,201111280nor,nyg,HynoHe01,rush_td,0,,,,,
player,201111280nor,nyg,HynoHe01,rush_long,0,,,,,
player,201111280nor,nyg,HynoHe01,targets,1,,,,,
player,201111280nor,nyg,HynoHe01,rec,1,,,,,
player,201111280nor,nyg,HynoHe01,rec_yds,10,,,,,
player,201111280nor,nyg,HynoHe01,rec_td,0,,,,,
player,201111280nor,nyg,HynoHe01,rec_long,10,,,,,
player,201111280nor,nyg,HynoHe01,fumbles,0,,,,,
player,201111280nor,nyg,HynoHe01,fumbles_lost,,,,,,
player,201111280nor,nyg,PascBe00,pass_cmp,0,,,,,
player,201111280nor,nyg,PascBe00,pass_att,0,,,,,
player,201111280nor,nyg,PascBe00,pass_yds,0,,,,,
player,201111280nor,nyg,PascBe00,pass_td,0,,,,,
player,201111280nor,nyg,PascBe00,pass_int,0,,,,,
player,201111280nor,nyg,PascBe00,pass_sacked,0,,,,,
player,201111280nor,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,PascBe00,pass_long,0,,,,,
player,201111280nor,nyg,PascBe00,pass_rating,,,,,,
player,201111280nor,nyg,PascBe00,rush_att,0,,,,,
player,201111280nor,nyg,PascBe00,rush_yds,0,,,,,
player,201111280nor,nyg,PascBe00,rush_td,0,,,,,
player,201111280nor,nyg,PascBe00,rush_long,0,,,,,
player,201111280nor,nyg,PascBe00,targets,1,,,,,
player,201111280nor,nyg,PascBe00,rec,1,,,,,
player,201111280nor,nyg,PascBe00,rec_yds,10,,,,,
player,201111280nor,nyg,PascBe00,rec_td,0,,,,,
player,201111280nor,nyg,PascBe00,rec_long,10,,,,,
player,201111280nor,nyg,PascBe00,fumbles,0,,,,,
player,201111280nor,nyg,PascBe00,fumbles_lost,,,,,,
player,201111280nor,nyg,WeatSt20,pass_cmp,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_att,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_yds,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_td,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_int,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_sacked,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_long,0,,,,,
player,201111280nor,nyg,WeatSt20,pass_rating,,,,,,
player,201111280nor,nyg,WeatSt20,rush_att,1,,,,,
player,201111280nor,nyg,WeatSt20,rush_yds,0,,,,,
player,201111280nor,nyg,WeatSt20,rush_td,0,,,,,
player,201111280nor,nyg,WeatSt20,rush_long,0,,,,,
player,201111280nor,nyg,WeatSt20,targets,0,,,,,
player,201111280nor,nyg,WeatSt20,rec,0,,,,,
player,201111280nor,nyg,WeatSt20,rec_yds,0,,,,,
player,201111280nor,nyg,WeatSt20,rec_td,0,,,,,
player,201111280nor,nyg,WeatSt20,rec_long,0,,,,,
player,201111280nor,nyg,WeatSt20,fumbles,0,,,,,
player,201111280nor,nyg,WeatSt20,fumbles_lost,,,,,,
player,201111280nor,nyg,ScotDa01,pass_cmp,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_att,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_yds,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_td,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_int,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_sacked,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_sacked_yds,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_long,0,,,,,
player,201111280nor,nyg,ScotDa01,pass_rating,,,,,,
player,201111280nor,nyg,ScotDa01,rush_att,2,,,,,
player,201111280nor,nyg,ScotDa01,rush_yds,0,,,,,
player,201111280nor,nyg,ScotDa01,rush_td,0,,,,,
player,201111280nor,nyg,ScotDa01,rush_long,0,,,,,
player,201111280nor,nyg,ScotDa01,targets,0,,,,,
player,201111280nor,nyg,ScotDa01,rec,0,,,,,
player,201111280nor,nyg,ScotDa01,rec_yds,0,,,,,
player,201111280nor,nyg,ScotDa01,rec_td,0,,,,,
player,201111280nor,nyg,ScotDa01,rec_long,0,,,,,
player,201111280nor,nyg,ScotDa01,fumbles,1,,,,,
player,201111280nor,nyg,ScotDa01,fumbles_lost,1,,,,,
player,201111280nor,nor,BreeDr00,pass_cmp,24,,,,,
player,201111280nor,nor,BreeDr00,pass_att,38,,,,,
player,201111280nor,nor,BreeDr00,pass_yds,363,,,,,
player,201111280nor,nor,BreeDr00,pass_td,4,,,,,
player,201111280nor,nor,BreeDr00,pass_int,0,,,,,
player,201111280nor,nor,BreeDr00,pass_sacked,0,,,,,
player,201111280nor,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201111280nor,nor,BreeDr00,pass_long,50,,,,,
player,201111280nor,nor,BreeDr00,pass_rating,129.6,,,,,
player,201111280nor,nor,BreeDr00,rush_att,1,,,,,
player,201111280nor,nor,BreeDr00,rush_yds,8,,,,,
player,201111280nor,nor,BreeDr00,rush_td,1,,,,,
player,201111280nor,nor,BreeDr00,rush_long,8,,,,,
player,201111280nor,nor,BreeDr00,targets,0,,,,,
player,201111280nor,nor,BreeDr00,rec,0,,,,,
player,201111280nor,nor,BreeDr00,rec_yds,0,,,,,
player,201111280nor,nor,BreeDr00,rec_td,0,,,,,
player,201111280nor,nor,BreeDr00,rec_long,0,,,,,
player,201111280nor,nor,BreeDr00,fumbles,0,,,,,
player,201111280nor,nor,BreeDr00,fumbles_lost,,,,,,
player,201111280nor,nor,DaniCh00,pass_cmp,1,,,,,
player,201111280nor,nor,DaniCh00,pass_att,1,,,,,
player,201111280nor,nor,DaniCh00,pass_yds,9,,,,,
player,201111280nor,nor,DaniCh00,pass_td,0,,,,,
player,201111280nor,nor,DaniCh00,pass_int,0,,,,,
player,201111280nor,nor,DaniCh00,pass_sacked,0,,,,,
player,201111280nor,nor,DaniCh00,pass_sacked_yds,0,,,,,
player,201111280nor,nor,DaniCh00,pass_long,9,,,,,
player,201111280nor,nor,DaniCh00,pass_rating,104.2,,,,,
player,201111280nor,nor,DaniCh00,rush_att,0,,,,,
player,201111280nor,nor,DaniCh00,rush_yds,0,,,,,
player,201111280nor,nor,DaniCh00,rush_td,0,,,,,
player,201111280nor,nor,DaniCh00,rush_long,0,,,,,
player,201111280nor,nor,DaniCh00,targets,0,,,,,
player,201111280nor,nor,DaniCh00,rec,0,,,,,
player,201111280nor,nor,DaniCh00,rec_yds,0,,,,,
player,201111280nor,nor,DaniCh00,rec_td,0,,,,,
player,201111280nor,nor,DaniCh00,rec_long,0,,,,,
player,201111280nor,nor,DaniCh00,fumbles,0,,,,,
player,201111280nor,nor,DaniCh00,fumbles_lost,,,,,,
player,201111280nor,nor,IngrMa01,pass_cmp,0,,,,,
player,201111280nor,nor,IngrMa01,pass_att,0,,,,,
player,201111280nor,nor,IngrMa01,pass_yds,0,,,,,
player,201111280nor,nor,IngrMa01,pass_td,0,,,,,
