game,2011,10,20111110,201111100sdg,rai,"Oakland Raiders",24,sdg,"San Diego Chargers",17
team,201111100sdg,rai,First Downs,20,,,,,,
team,201111100sdg,sdg,First Downs,20,,,,,,
team,201111100sdg,rai,Rush-Yds-TDs,41-191-1,,,,,,
team,201111100sdg,sdg,Rush-Yds-TDs,15-75-0,,,,,,
team,201111100sdg,rai,Cmp-Att-Yd-TD-INT,14-21-299-2-1,,,,,,
team,201111100sdg,sdg,Cmp-Att-Yd-TD-INT,23-47-274-2-1,,,,,,
team,201111100sdg,rai,Sacked-Yards,1-1,,,,,,
team,201111100sdg,sdg,Sacked-Yards,6-35,,,,,,
team,201111100sdg,rai,Net Pass Yards,298,,,,,,
team,201111100sdg,sdg,Net Pass Yards,239,,,,,,
team,201111100sdg,rai,Total Yards,489,,,,,,
team,201111100sdg,sdg,Total Yards,314,,,,,,
team,201111100sdg,rai,Fumbles-Lost,1-1,,,,,,
team,201111100sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201111100sdg,rai,Turnovers,2,,,,,,
team,201111100sdg,sdg,Turnovers,2,,,,,,
team,201111100sdg,rai,Penalties-Yards,7-45,,,,,,
team,201111100sdg,sdg,Penalties-Yards,6-31,,,,,,
team,201111100sdg,rai,Third Down Conv.,4-10,,,,,,
team,201111100sdg,sdg,Third Down Conv.,5-16,,,,,,
team,201111100sdg,rai,Fourth Down Conv.,0-1,,,,,,
team,201111100sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201111100sdg,rai,Time of Possession,32:37,,,,,,
team,201111100sdg,sdg,Time of Possession,27:23,,,,,,
player,201111100sdg,rai,PalmCa00,pass_cmp,14,,,,,
player,201111100sdg,rai,PalmCa00,pass_att,20,,,,,
player,201111100sdg,rai,PalmCa00,pass_yds,299,,,,,
player,201111100sdg,rai,PalmCa00,pass_td,2,,,,,
player,201111100sdg,rai,PalmCa00,pass_int,1,,,,,
player,201111100sdg,rai,PalmCa00,pass_sacked,1,,,,,
player,201111100sdg,rai,PalmCa00,pass_sacked_yds,1,,,,,
player,201111100sdg,rai,PalmCa00,pass_long,55,,,,,
player,201111100sdg,rai,PalmCa00,pass_rating,125.0,,,,,
player,201111100sdg,rai,PalmCa00,rush_att,3,,,,,
player,201111100sdg,rai,PalmCa00,rush_yds,-8,,,,,
player,201111100sdg,rai,PalmCa00,rush_td,0,,,,,
player,201111100sdg,rai,PalmCa00,rush_long,-1,,,,,
player,201111100sdg,rai,PalmCa00,targets,0,,,,,
player,201111100sdg,rai,PalmCa00,rec,0,,,,,
player,201111100sdg,rai,PalmCa00,rec_yds,0,,,,,
player,201111100sdg,rai,PalmCa00,rec_td,0,,,,,
player,201111100sdg,rai,PalmCa00,rec_long,0,,,,,
player,201111100sdg,rai,PalmCa00,fumbles,1,,,,,
player,201111100sdg,rai,PalmCa00,fumbles_lost,1,,,,,
player,201111100sdg,rai,LechSh20,pass_cmp,0,,,,,
player,201111100sdg,rai,LechSh20,pass_att,1,,,,,
player,201111100sdg,rai,LechSh20,pass_yds,0,,,,,
player,201111100sdg,rai,LechSh20,pass_td,0,,,,,
player,201111100sdg,rai,LechSh20,pass_int,0,,,,,
player,201111100sdg,rai,LechSh20,pass_sacked,0,,,,,
player,201111100sdg,rai,LechSh20,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,LechSh20,pass_long,0,,,,,
player,201111100sdg,rai,LechSh20,pass_rating,39.6,,,,,
player,201111100sdg,rai,LechSh20,rush_att,0,,,,,
player,201111100sdg,rai,LechSh20,rush_yds,0,,,,,
player,201111100sdg,rai,LechSh20,rush_td,0,,,,,
player,201111100sdg,rai,LechSh20,rush_long,0,,,,,
player,201111100sdg,rai,LechSh20,targets,0,,,,,
player,201111100sdg,rai,LechSh20,rec,0,,,,,
player,201111100sdg,rai,LechSh20,rec_yds,0,,,,,
player,201111100sdg,rai,LechSh20,rec_td,0,,,,,
player,201111100sdg,rai,LechSh20,rec_long,0,,,,,
player,201111100sdg,rai,LechSh20,fumbles,0,,,,,
player,201111100sdg,rai,LechSh20,fumbles_lost,,,,,,
player,201111100sdg,rai,BushMi00,pass_cmp,0,,,,,
player,201111100sdg,rai,BushMi00,pass_att,0,,,,,
player,201111100sdg,rai,BushMi00,pass_yds,0,,,,,
player,201111100sdg,rai,BushMi00,pass_td,0,,,,,
player,201111100sdg,rai,BushMi00,pass_int,0,,,,,
player,201111100sdg,rai,BushMi00,pass_sacked,,,,,,
player,201111100sdg,rai,BushMi00,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,BushMi00,pass_long,0,,,,,
player,201111100sdg,rai,BushMi00,pass_rating,,,,,,
player,201111100sdg,rai,BushMi00,rush_att,30,,,,,
player,201111100sdg,rai,BushMi00,rush_yds,157,,,,,
player,201111100sdg,rai,BushMi00,rush_td,1,,,,,
player,201111100sdg,rai,BushMi00,rush_long,44,,,,,
player,201111100sdg,rai,BushMi00,targets,4,,,,,
player,201111100sdg,rai,BushMi00,rec,3,,,,,
player,201111100sdg,rai,BushMi00,rec_yds,85,,,,,
player,201111100sdg,rai,BushMi00,rec_td,0,,,,,
player,201111100sdg,rai,BushMi00,rec_long,55,,,,,
player,201111100sdg,rai,BushMi00,fumbles,0,,,,,
player,201111100sdg,rai,BushMi00,fumbles_lost,,,,,,
player,201111100sdg,rai,JoneTa00,pass_cmp,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_att,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_yds,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_td,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_int,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_sacked,,,,,,
player,201111100sdg,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_long,0,,,,,
player,201111100sdg,rai,JoneTa00,pass_rating,,,,,,
player,201111100sdg,rai,JoneTa00,rush_att,7,,,,,
player,201111100sdg,rai,JoneTa00,rush_yds,39,,,,,
player,201111100sdg,rai,JoneTa00,rush_td,0,,,,,
player,201111100sdg,rai,JoneTa00,rush_long,12,,,,,
player,201111100sdg,rai,JoneTa00,targets,0,,,,,
player,201111100sdg,rai,JoneTa00,rec,0,,,,,
player,201111100sdg,rai,JoneTa00,rec_yds,0,,,,,
player,201111100sdg,rai,JoneTa00,rec_td,0,,,,,
player,201111100sdg,rai,JoneTa00,rec_long,0,,,,,
player,201111100sdg,rai,JoneTa00,fumbles,0,,,,,
player,201111100sdg,rai,JoneTa00,fumbles_lost,,,,,,
player,201111100sdg,rai,ReecMa00,pass_cmp,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_att,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_yds,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_td,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_int,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_sacked,,,,,,
player,201111100sdg,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_long,0,,,,,
player,201111100sdg,rai,ReecMa00,pass_rating,,,,,,
player,201111100sdg,rai,ReecMa00,rush_att,1,,,,,
player,201111100sdg,rai,ReecMa00,rush_yds,3,,,,,
player,201111100sdg,rai,ReecMa00,rush_td,0,,,,,
player,201111100sdg,rai,ReecMa00,rush_long,3,,,,,
player,201111100sdg,rai,ReecMa00,targets,1,,,,,
player,201111100sdg,rai,ReecMa00,rec,0,,,,,
player,201111100sdg,rai,ReecMa00,rec_yds,0,,,,,
player,201111100sdg,rai,ReecMa00,rec_td,0,,,,,
player,201111100sdg,rai,ReecMa00,rec_long,0,,,,,
player,201111100sdg,rai,ReecMa00,fumbles,0,,,,,
player,201111100sdg,rai,ReecMa00,fumbles_lost,,,,,,
player,201111100sdg,rai,MoorDe02,pass_cmp,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_att,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_yds,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_td,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_int,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_sacked,,,,,,
player,201111100sdg,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_long,0,,,,,
player,201111100sdg,rai,MoorDe02,pass_rating,,,,,,
player,201111100sdg,rai,MoorDe02,rush_att,0,,,,,
player,201111100sdg,rai,MoorDe02,rush_yds,0,,,,,
player,201111100sdg,rai,MoorDe02,rush_td,0,,,,,
player,201111100sdg,rai,MoorDe02,rush_long,0,,,,,
player,201111100sdg,rai,MoorDe02,targets,7,,,,,
player,201111100sdg,rai,MoorDe02,rec,5,,,,,
player,201111100sdg,rai,MoorDe02,rec_yds,123,,,,,
player,201111100sdg,rai,MoorDe02,rec_td,2,,,,,
player,201111100sdg,rai,MoorDe02,rec_long,46,,,,,
player,201111100sdg,rai,MoorDe02,fumbles,0,,,,,
player,201111100sdg,rai,MoorDe02,fumbles_lost,,,,,,
player,201111100sdg,rai,FordJa01,pass_cmp,0,,,,,
player,201111100sdg,rai,FordJa01,pass_att,0,,,,,
player,201111100sdg,rai,FordJa01,pass_yds,0,,,,,
player,201111100sdg,rai,FordJa01,pass_td,0,,,,,
player,201111100sdg,rai,FordJa01,pass_int,0,,,,,
player,201111100sdg,rai,FordJa01,pass_sacked,,,,,,
player,201111100sdg,rai,FordJa01,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,FordJa01,pass_long,0,,,,,
player,201111100sdg,rai,FordJa01,pass_rating,,,,,,
player,201111100sdg,rai,FordJa01,rush_att,0,,,,,
player,201111100sdg,rai,FordJa01,rush_yds,0,,,,,
player,201111100sdg,rai,FordJa01,rush_td,0,,,,,
player,201111100sdg,rai,FordJa01,rush_long,0,,,,,
player,201111100sdg,rai,FordJa01,targets,2,,,,,
player,201111100sdg,rai,FordJa01,rec,1,,,,,
player,201111100sdg,rai,FordJa01,rec_yds,41,,,,,
player,201111100sdg,rai,FordJa01,rec_td,0,,,,,
player,201111100sdg,rai,FordJa01,rec_long,41,,,,,
player,201111100sdg,rai,FordJa01,fumbles,0,,,,,
player,201111100sdg,rai,FordJa01,fumbles_lost,,,,,,
player,201111100sdg,rai,BossKe00,pass_cmp,0,,,,,
player,201111100sdg,rai,BossKe00,pass_att,0,,,,,
player,201111100sdg,rai,BossKe00,pass_yds,0,,,,,
player,201111100sdg,rai,BossKe00,pass_td,0,,,,,
player,201111100sdg,rai,BossKe00,pass_int,0,,,,,
player,201111100sdg,rai,BossKe00,pass_sacked,,,,,,
player,201111100sdg,rai,BossKe00,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,BossKe00,pass_long,0,,,,,
player,201111100sdg,rai,BossKe00,pass_rating,,,,,,
player,201111100sdg,rai,BossKe00,rush_att,0,,,,,
player,201111100sdg,rai,BossKe00,rush_yds,0,,,,,
player,201111100sdg,rai,BossKe00,rush_td,0,,,,,
player,201111100sdg,rai,BossKe00,rush_long,0,,,,,
player,201111100sdg,rai,BossKe00,targets,2,,,,,
player,201111100sdg,rai,BossKe00,rec,2,,,,,
player,201111100sdg,rai,BossKe00,rec_yds,32,,,,,
player,201111100sdg,rai,BossKe00,rec_td,0,,,,,
player,201111100sdg,rai,BossKe00,rec_long,24,,,,,
player,201111100sdg,rai,BossKe00,fumbles,0,,,,,
player,201111100sdg,rai,BossKe00,fumbles_lost,,,,,,
player,201111100sdg,rai,MyerBr00,pass_cmp,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_att,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_yds,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_td,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_int,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_sacked,,,,,,
player,201111100sdg,rai,MyerBr00,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_long,0,,,,,
player,201111100sdg,rai,MyerBr00,pass_rating,,,,,,
player,201111100sdg,rai,MyerBr00,rush_att,0,,,,,
player,201111100sdg,rai,MyerBr00,rush_yds,0,,,,,
player,201111100sdg,rai,MyerBr00,rush_td,0,,,,,
player,201111100sdg,rai,MyerBr00,rush_long,0,,,,,
player,201111100sdg,rai,MyerBr00,targets,3,,,,,
player,201111100sdg,rai,MyerBr00,rec,2,,,,,
player,201111100sdg,rai,MyerBr00,rec_yds,11,,,,,
player,201111100sdg,rai,MyerBr00,rec_td,0,,,,,
player,201111100sdg,rai,MyerBr00,rec_long,6,,,,,
player,201111100sdg,rai,MyerBr00,fumbles,0,,,,,
player,201111100sdg,rai,MyerBr00,fumbles_lost,,,,,,
player,201111100sdg,rai,HousTJ00,pass_cmp,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_att,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_yds,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_td,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_int,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_sacked,,,,,,
player,201111100sdg,rai,HousTJ00,pass_sacked_yds,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_long,0,,,,,
player,201111100sdg,rai,HousTJ00,pass_rating,,,,,,
player,201111100sdg,rai,HousTJ00,rush_att,0,,,,,
player,201111100sdg,rai,HousTJ00,rush_yds,0,,,,,
player,201111100sdg,rai,HousTJ00,rush_td,0,,,,,
player,201111100sdg,rai,HousTJ00,rush_long,0,,,,,
player,201111100sdg,rai,HousTJ00,targets,1,,,,,
player,201111100sdg,rai,HousTJ00,rec,1,,,,,
player,201111100sdg,rai,HousTJ00,rec_yds,7,,,,,
player,201111100sdg,rai,HousTJ00,rec_td,0,,,,,
player,201111100sdg,rai,HousTJ00,rec_long,7,,,,,
player,201111100sdg,rai,HousTJ00,fumbles,0,,,,,
player,201111100sdg,rai,HousTJ00,fumbles_lost,,,,,,
player,201111100sdg,rai,MurpLo00,pass_cmp,0,,,,,
player,201111100sdg,rai,MurpLo00,pass_att,0,,,,,
player,201111100sdg,rai,MurpLo00,pass_yds,0,,,,,
player,201111100sdg,rai,MurpLo00,pass_td,0,,,,,
player,201111100sdg,rai,MurpLo00,pass_int,0,,,,,
player,201111100sdg,rai,MurpLo00,pass_sacked,0,,,,,
