game,2011,16,20111224,201112240kan,rai,"Oakland Raiders",16,kan,"Kansas City Chiefs",13
team,201112240kan,rai,First Downs,13,,,,,,
team,201112240kan,kan,First Downs,26,,,,,,
team,201112240kan,rai,Rush-Yds-TDs,25-71-0,,,,,,
team,201112240kan,kan,Rush-Yds-TDs,30-135-0,,,,,,
team,201112240kan,rai,Cmp-Att-Yd-TD-INT,16-26-237-1-2,,,,,,
team,201112240kan,kan,Cmp-Att-Yd-TD-INT,21-36-300-1-2,,,,,,
team,201112240kan,rai,Sacked-Yards,0-0,,,,,,
team,201112240kan,kan,Sacked-Yards,0-0,,,,,,
team,201112240kan,rai,Net Pass Yards,237,,,,,,
team,201112240kan,kan,Net Pass Yards,300,,,,,,
team,201112240kan,rai,Total Yards,308,,,,,,
team,201112240kan,kan,Total Yards,435,,,,,,
team,201112240kan,rai,Fumbles-Lost,0-0,,,,,,
team,201112240kan,kan,Fumbles-Lost,0-0,,,,,,
team,201112240kan,rai,Turnovers,2,,,,,,
team,201112240kan,kan,Turnovers,2,,,,,,
team,201112240kan,rai,Penalties-Yards,15-92,,,,,,
team,201112240kan,kan,Penalties-Yards,11-88,,,,,,
team,201112240kan,rai,Third Down Conv.,3-11,,,,,,
team,201112240kan,kan,Third Down Conv.,3-12,,,,,,
team,201112240kan,rai,Fourth Down Conv.,0-0,,,,,,
team,201112240kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201112240kan,rai,Time of Possession,29:34,,,,,,
team,201112240kan,kan,Time of Possession,32:39,,,,,,
player,201112240kan,rai,PalmCa00,pass_cmp,16,,,,,
player,201112240kan,rai,PalmCa00,pass_att,26,,,,,
player,201112240kan,rai,PalmCa00,pass_yds,237,,,,,
player,201112240kan,rai,PalmCa00,pass_td,1,,,,,
player,201112240kan,rai,PalmCa00,pass_int,2,,,,,
player,201112240kan,rai,PalmCa00,pass_sacked,0,,,,,
player,201112240kan,rai,PalmCa00,pass_sacked_yds,0,,,,,
player,201112240kan,rai,PalmCa00,pass_long,61,,,,,
player,201112240kan,rai,PalmCa00,pass_rating,72.1,,,,,
player,201112240kan,rai,PalmCa00,rush_att,0,,,,,
player,201112240kan,rai,PalmCa00,rush_yds,0,,,,,
player,201112240kan,rai,PalmCa00,rush_td,0,,,,,
player,201112240kan,rai,PalmCa00,rush_long,0,,,,,
player,201112240kan,rai,PalmCa00,targets,0,,,,,
player,201112240kan,rai,PalmCa00,rec,0,,,,,
player,201112240kan,rai,PalmCa00,rec_yds,0,,,,,
player,201112240kan,rai,PalmCa00,rec_td,0,,,,,
player,201112240kan,rai,PalmCa00,rec_long,0,,,,,
player,201112240kan,rai,PalmCa00,fumbles,0,,,,,
player,201112240kan,rai,PalmCa00,fumbles_lost,,,,,,
player,201112240kan,rai,BushMi00,pass_cmp,0,,,,,
player,201112240kan,rai,BushMi00,pass_att,0,,,,,
player,201112240kan,rai,BushMi00,pass_yds,0,,,,,
player,201112240kan,rai,BushMi00,pass_td,0,,,,,
player,201112240kan,rai,BushMi00,pass_int,0,,,,,
player,201112240kan,rai,BushMi00,pass_sacked,,,,,,
player,201112240kan,rai,BushMi00,pass_sacked_yds,0,,,,,
player,201112240kan,rai,BushMi00,pass_long,0,,,,,
player,201112240kan,rai,BushMi00,pass_rating,,,,,,
player,201112240kan,rai,BushMi00,rush_att,23,,,,,
player,201112240kan,rai,BushMi00,rush_yds,70,,,,,
player,201112240kan,rai,BushMi00,rush_td,0,,,,,
player,201112240kan,rai,BushMi00,rush_long,11,,,,,
player,201112240kan,rai,BushMi00,targets,3,,,,,
player,201112240kan,rai,BushMi00,rec,2,,,,,
player,201112240kan,rai,BushMi00,rec_yds,24,,,,,
player,201112240kan,rai,BushMi00,rec_td,0,,,,,
player,201112240kan,rai,BushMi00,rec_long,17,,,,,
player,201112240kan,rai,BushMi00,fumbles,0,,,,,
player,201112240kan,rai,BushMi00,fumbles_lost,,,,,,
player,201112240kan,rai,ReecMa00,pass_cmp,0,,,,,
player,201112240kan,rai,ReecMa00,pass_att,0,,,,,
player,201112240kan,rai,ReecMa00,pass_yds,0,,,,,
player,201112240kan,rai,ReecMa00,pass_td,0,,,,,
